11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"720,000,000","670,000,000","673,211,773",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
31230,490,  31230/490/8,שכר לימוד גנ י גיל טרום חובה    ,  -   ,  -   ,"19,086,633",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3123,גני ילדים למטה מגיל חובה          ,31230,גני ילדים למטה מגיל חובה          
31230,921,  31230/921/1,השתת' ממשלה לגנ י גיל טרום      ,"69,000,000","64,000,000","37,838,241",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3123,גני ילדים למטה מגיל חובה          ,31230,גני ילדים למטה מגיל חובה          
31250,411,  31250/411/5,הכנסות מהורים- מועדוניות גן     ,"13,300,000","14,200,000","12,559,953",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3125,מועדוניות גן וצהרונים             ,31250,מועדוניות גן וצהרונים             
31250,412,  31250/412/6,החזרים מעמותות הורים- מועדוני גן,"1,800,000","1,250,000","1,415,112",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,312,הכנסות לחינוך קדם יסודי           ,3125,מועדוניות גן וצהרונים             ,31250,מועדוניות גן וצהרונים             
31320,921,  31320/921/2,שכר שרתים                       ,"22,000,000","21,000,000","21,118,914",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31320,922,  31320/922/3,שכר מזכירות                     ,"8,100,000","7,600,000","7,746,600",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31320,923,  31320/923/4,שכר אנשי סיוע טכני              ,"2,800,000","2,800,000","2,731,351",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31320,924,  31320/924/5,דמי שכפול - בי ס יסודיים        ,"700,000","600,000","607,004",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31320,925,  31320/925/6,השתת' משה ח בטיולים             ,  -   ,  -   ,"1,009,429",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31320,928,  31320/928/9,הסעת תלמידים                    ,"12,500,000","11,500,000","13,256,177",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31320,929,  31320/929/1,ליווי להסעות                    ,"5,800,000","6,100,000","5,750,418",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3132,בתי ס יסודיים                     ,31320,בתי ס יסודיים                     
31330,431,  31330/431/4,חינוך מיוחד-שכ ל תלמידי חוץ     ,"9,000,000","8,800,000","11,398,267",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3133,חינוך מיוחד                       ,31330,חינוך מיוחד                       
31330,651,  31330/651/5,השתת' עובדי הפנימיות בדיור      ,"200,000","200,000","221,753",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3133,חינוך מיוחד                       ,31330,חינוך מיוחד                       
31330,652,  31330/652/6,השתת' בשכ ד- דירת בוגרי פנימיה  ,"60,000","60,000","155,720",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3133,חינוך מיוחד                       ,31330,חינוך מיוחד                       
31330,921,  31330/921/8,שכר סייעות טפוליות              ,"37,000,000","32,500,000","32,312,848",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3133,חינוך מיוחד                       ,31330,חינוך מיוחד                       
31330,922,  31330/922/9,חינוך מיוחד-חומרים להארכת שנה ל ,"820,000","800,000","866,849",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3133,חינוך מיוחד                       ,31330,חינוך מיוחד                       
31330,923,  31330/923/1,חינוך מיוחד-החזר הוצאות מזון    ,"1,950,000","1,615,000","1,656,117",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,313,הכנסות לחנוך יסודי                ,3133,חינוך מיוחד                       ,31330,חינוך מיוחד                       
31410,411,  31410/411/4,אגרת תלמידי חוץ-יסודיים         ,"300,000","300,000","266,246",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,412,  31410/412/5,שכ ל-בית ספר לאמנויות           ,"7,400,000","7,500,000","8,156,893",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,414,  31410/414/7,שכ ל-בי ס לטבע סביבה וחברה      ,"6,700,000","6,800,000","6,413,122",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,421,  31410/421/6,הכנסות מתלמידים עבור הסעות      ,"1,000,000","1,100,000","1,093,975",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,921,  31410/921/3,השת' מ. החינוך לרכישת ציוד      ,"100,000","100,000","283,623",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,922,  31410/922/4,קציני ביקור סדיר                ,"1,500,000","1,250,000","1,365,394",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,923,  31410/923/5,פרויקטים שונים במימון משה ח     ,"250,000","200,000","454,311",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,924,  31410/924/6,מרכז לחינוך ימי)+שרתים ומזכירות(,"360,000","350,000","441,966",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,928,  31410/928/1,השת' מ.החינוך במרכז פסגה        ,"50,000","50,000","57,541",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31410,929,  31410/929/2,השתת' משה ח באגרת חומרים        ,"1,000,000","1,000,000","1,083,071",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3141,שירותים נוספים                    ,31410,שירותים נוספים                    
31420,921,  31420/921/9,השת' ממשלה בשכר פסיכולוגים      ,"11,700,000","11,400,000","11,197,606",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3142,השירות הפסיכולוגי                 ,31420,השירות הפסיכולוגי                 
31420,922,  31420/922/1,השת' ממשלה בפרויקטים של השפ ח   ,"60,000","60,000","30,292",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3142,השירות הפסיכולוגי                 ,31420,השירות הפסיכולוגי                 
31420,924,  31420/924/3,השת' ממשלה בהשתלמויות           ,"230,000","300,000","321,837",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3142,השירות הפסיכולוגי                 ,31420,השירות הפסיכולוגי                 
31420,925,  31420/925/4,השת' ממשלה בפרו' ואבחונים בשפ ח ,  -   ,  -   ,"74,840",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3142,השירות הפסיכולוגי                 ,31420,השירות הפסיכולוגי                 
31420,941,  31420/941/4,השתתפות משרד הבריאות            ,"80,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,314,שרותים נוספים במערכות החינוך      ,3142,השירות הפסיכולוגי                 ,31420,השירות הפסיכולוגי                 
31510,421,  31510/421/4,מועדוני נוער-גביה עצמית ממשתתפים,"250,000","200,000","225,193",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31510,921,  31510/921/1,השתתפות ממשלה לחבורות נוער      ,"160,000","160,000","159,000",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31510,922,  31510/922/2,השתתפות ממשלה למועדוניות        ,"1,700,000","1,500,000","1,731,491",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31510,923,  31510/923/3,פרויקט היל ה                    ,"370,000","350,000","477,179",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31510,924,  31510/924/4,הכנסות שונות ממשה ח-ס' שאינו חוז,  -   ,  -   ,"30,937",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31510,925,  31510/925/5,נוער עולה בסיכון                ,"100,000","100,000","130,000",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31510,932,  31510/932/4,השת' מ.הרווחה בנוער וצעירים     ,"120,000","120,000","331,001",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3151,מועדוני נוער                      ,31510,מועדוני נוער                      
31520,441,  31520/441/5,מאבק בסמים-הכנסות מהרשות למלחמה ,"150,000","150,000","150,000",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3152,שיקום נוער                        ,31520,שיקום נוער                        
31520,961,  31520/961/6,השתת' משרד התמ ת למע ן          ,"1,800,000","1,550,000","1,789,715",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,315,הכנסות  לקידום נוער               ,3152,שיקום נוער                        ,31520,שיקום נוער                        
31600,210,  31600/210/5,חט ב-אגרת תלמידי חוץ            ,"140,000","140,000","140,111",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,921,  31600/921/2,שכר מורים                       ,"7,500,000","8,900,000","8,517,726",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,922,  31600/922/3,שכר עובדי סיוע טכני             ,"4,900,000","4,700,000","4,784,392",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,923,  31600/923/4,שכר ספרנים                      ,"750,000","650,000","729,525",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,924,  31600/924/5,שכר שרתים                       ,"3,100,000","3,000,000","2,865,019",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,925,  31600/925/6,שכר עובדי מינהל                 ,"4,450,000","4,350,000","4,185,498",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,926,  31600/926/7,דמי שיכפול - עי ס               ,"180,000","180,000","156,969",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,927,  31600/927/8,פרויקט לימודי יהדות             ,"300,000","600,000","261,229",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,928,  31600/928/9,הכנסות שונות-חט ב               ,"90,000","160,000","44,857",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31600,929,  31600/929/1,השת' מ.החינוך לעולים            ,"1,035,000","800,000","1,088,678",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,316,חטיבות ביניים                     ,3160,חטיבות ביניים                     ,31600,חטיבות ביניים                     
31720,211,  31720/211/7,אגרת תלמידי חוץ                 ,"160,000","160,000","508,015",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,212,  31720/212/8,אגרת תכניות לימוד נוספות        ,"1,800,000","1,700,000","1,647,597",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,525,  31720/525/4,החזר שכר מרשת עמל-סעיף שאינו חוז,  -   ,"1,800,000","2,435,952",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,921,  31720/921/3,שכר לימוד                       ,"85,000,000","77,700,000","79,643,754",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,922,  31720/922/4,הוראת שפות-סעיף שאינו חוזר      ,  -   ,"300,000","387,816",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,923,  31720/923/5,בי ס למחוננים                   ,"480,000","440,000","441,169",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,924,  31720/924/6,תמיכה בישיבות                   ,"80,000","65,000","100,035",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,925,  31720/925/7,השתלמויות מורים                 ,"10,000","10,000","35,728",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,926,  31720/926/8,מחויבות אישית                   ,"90,000","90,000","102,056",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,927,  31720/927/9,דמי שתיה למורים                 ,"70,000","55,000","52,742",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,928,  31720/928/1,רכב מנהלים                      ,"180,000","175,000","179,587",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,929,  31720/929/2,הכנסות שונות                    ,"280,000","425,000","251,015",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31720,991,  31720/991/8,השת' משהב ט-פרויקט  שחק  וגלים  ,  -   ,  -   ,"86,448",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3172,בתי-ספר על-יסודיים-חלק א          ,31720,בתי-ספר על-יסודיים-חלק א          
31750,921,  31750/921/3,השת' מ. החינוך לרכישת ציוד      ,"60,000","50,000","180,359",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3175,בתי-ספר על-יסודיים-המשך           ,31750,בתי-ספר על-יסודיים-המשך           
31750,922,  31750/922/4,השת' משה ח באחזקת בי ס רוזמצקי  ,"2,400,000","3,100,000","2,115,905",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3175,בתי-ספר על-יסודיים-המשך           ,31750,בתי-ספר על-יסודיים-המשך           
31750,923,  31750/923/5,השתת' משה ח בטיולים             ,  -   ,  -   ,"1,107,334",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,317,הכנסות לחנוך על-יסודי             ,3175,בתי-ספר על-יסודיים-המשך           ,31750,בתי-ספר על-יסודיים-המשך           
31800,921,  31800/921/7,יפו ג' דרום - ס' שאינו חוזר     ,  -   ,  -   ,"16,343",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,922,  31800/922/8,שכונת שפירא - ס' שאינו חוזר     ,  -   ,  -   ,"152,287",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,923,  31800/923/9,התקוה - ס' שאינו חוזר           ,  -   ,  -   ,"945,283",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,924,  31800/924/1,נוה עופר - ס' שאינו חוזר        ,  -   ,  -   ,"116,221",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,926,  31800/926/3,עג'מי - ס' שאינו חוזר           ,  -   ,  -   ,"89,976",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,927,  31800/927/4,לב יפו - ס' שאינו חוזר          ,  -   ,  -   ,"89,614",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,928,  31800/928/5,שכונת עזרא - ס' שאינו חוזר      ,  -   ,  -   ,"15,272",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,929,  31800/929/6,דרום מזרח העיר- ס' שאינו חוזר   ,  -   ,  -   ,"140,046",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31800,980,  31800/980/9,תוכנית תנופה                    ,  -   ,  -   ,"77,746",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,318,תכניות רווחה ושיקום שכונות        ,3180,תכניות רווחה ושיקום שכונות        ,31800,תכניות רווחה ושיקום שכונות        
31900,441,  31900/441/3,הכנסות מהחברה למתנ סים          ,"500,000",  -   ,"419,036",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,319,תוכניות רווחה בחינוך              ,3190,תוכניות רווחה בחינוך              ,31900,תוכניות רווחה בחינוך              
31900,791,  31900/791/4,הכנסות מתרומות                  ,"1,610,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,319,תוכניות רווחה בחינוך              ,3190,תוכניות רווחה בחינוך              ,31900,תוכניות רווחה בחינוך              
31900,921,  31900/921/5,קרית שלום - ס' שאינו חוזר       ,  -   ,  -   ,"38,500",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,319,תוכניות רווחה בחינוך              ,3190,תוכניות רווחה בחינוך              ,31900,תוכניות רווחה בחינוך              
31900,929,  31900/929/4,השתת' משה ח לתוכנית לאומית לילדי,"1,805,000","1,890,000","1,399,190",3,תקבולים משרותים ממלכתיים          ,31,חינוך                             ,319,תוכניות רווחה בחינוך              ,3190,תוכניות רווחה בחינוך              ,31900,תוכניות רווחה בחינוך              
,,,,"372,010,000","350,765,000","354,847,685",,,"31 סה""כ",,,,,,,
32210,751,  32210/751/6,השתת' הסוכנות היהודית לאולפנים  ,"350,000","150,000","566,279",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3221,מרכזי השכלה                       ,32210,מרכזי השכלה                       
32210,921,  32210/921/6,השתתפות הממשלה חינוך למבוגרים   ,"300,000","300,000","264,929",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3221,מרכזי השכלה                       ,32210,מרכזי השכלה                       
32210,923,  32210/923/8,השתתפות הממשלה-תרבות תורנית     ,"100,000","100,000","124,911",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3221,מרכזי השכלה                       ,32210,מרכזי השכלה                       
32220,421,  32220/421/6,תרבות תורנית-הכנסות מפעילות כולל,"100,000","100,000","266,650",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,423,  32220/423/8,יד לבנים-הכנסות מפעילות         ,  -   ,"300,000","242,085",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,424,  32220/424/9,יד לבנים-הכנסות מתיאטרון אנגלי  ,  -   ,"50,000","7,130",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,425,  32220/425/1,מרכז עינב-הכנסות מפעולות תרבות  ,"800,000","800,000","1,043,222",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,429,  32220/429/5,הכנסות מפעולות תרבות-כללי       ,"100,000","100,000","77,510",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,591,  32220/591/5,הכנסות מקרנות-לחלוקת פרסים      ,"35,000","35,000",  -   ,3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,921,  32220/921/3,השתת' מ.החינוך למוס' ואירועי תרב,"55,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32220,922,  32220/922/4,השתת' משרד התמ ס לפעולות תרבות ש,"1,125,000","1,275,000","2,122,485",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,322,הכנסות לפעולות תרבות              ,3222,פעולות תרבות כלליות               ,32220,פעולות תרבות כלליות               
32300,411,  32300/411/8,הכנסות מהספריה למוסיקה          ,"5,000","5,000","5,158",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,412,  32300/412/9,השאלת ספרים בספריות             ,"20,000","5,000","20,343",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,413,  32300/413/1,קנסות                           ,"30,000","30,000","45,081",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,421,  32300/421/1,בית העיר- הכנסות                ,"300,000","300,000","188,413",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,422,  32300/422/2,בית ביאליק-הכנסות מדמי כניסה    ,"300,000","300,000","222,516",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,423,  32300/423/3,בית ביאליק-הכנסות מפעילות תרבות ,"200,000","200,000","225,790",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,424,  32300/424/4,בית אריאלה-הכנסות מפעילות תרבות ,"1,260,000","1,260,000","911,720",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,425,  32300/425/5,הכנסות ממכירת קטלוגים           ,"10,000","10,000","8,175",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,426,  32300/426/6,הכנסות משימוש במאגרי מידע       ,"30,000","50,000","35,114",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,427,  32300/427/7,הכנסות מדמי שימוש               ,"100,000","100,000","150,085",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
32300,920,  32300/920/6,השתתפות הממשלה לספריות          ,"100,000","100,000","100,000",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,323,ספריות ובתי תרבות                 ,3230,ספריות ובתי תרבות                 ,32300,ספריות ובתי תרבות                 
