91303,מ.מ. חורה ,עסיבי חליל ,,, כולל קליטה ,חישוב תקציב יחסי :,מספר חודשים ,תמצית נתוני התקציב הרגיל מפורט -- דוח כספי לתקופה 0102 / 21 - 10 ,4/22/2013,15:18,,,
1.317400.990,משרד הבריאות ,130,130,142,-12,9,,,,,,,
1.322000.940,השתת' משרד המדע תרבות וספורט,0,0,0,0,0,,,,,,,
1.322001.940,"השתת' משרד המדע,תרבות וספורט",0,0,100,-100,0,,,,,,,
1.328100.940,השתת' מ.חינוך רכז השכלה ק.נ,45,45,83,-38,84,,,,,,,
1.328200.940,השתת' מ.חינוך - נוער ,50,50,48,2,4,,,,,,,
1.328300.940,השתת' משרד חינוך שונות ,0,0,0,0,0,,,,,,,
1.329300.940,השתת' מ.חינוך פ.ספורט ,120,120,126,-6,5,,,,,,,
1.343901.990,"מ.יום רשויות-תמ""ת)משפחתון ",120,120,167,-47,39,,,,,,,
1.379000.990,איכות הסביבה ,0,0,0,0,0,,,,,,,
1.470000.990,השתת' אגרת ביוב מ.מ.י ,1370,1370,0,1370,100,,,,,,,
1.513000.980,הוצאות אחרות ,0,0,0,0,0,,,,,,,
1.594000.990,נזקי סופה ,0,0,0,0,0,,,,,,,
. ," סה""כ תקבולים ממשלתיים אחרים",1917,1917,720,1197,62,,,,,,,
1.191000.910,מענק כללי לאיזון ,9638,9638,9638,0,0,,,,,,,
1.196001.910,מענק-משמר אזרחי ,0,0,0,0,0,,,,,,,
. ," סה""כ מענק כללי לאיזון ",9638,9638,9638,0,0,,,,,,,
1.226100.910,"משרד הפנים-מל""ח ",0,0,0,0,0,,,,,,,
1.244400.910,השתת' משרד הפנים אחזקת כבישי,0,0,0,0,0,,,,,,,
1.268000.910,"השתת' מ.הפנים - מפע""מ ",0,0,0,0,0,,,,,,,
1.353000.910,השתתפות משרד הפנים ,0,0,0,0,0,,,,,,,
. ," סה""כ מענק כללי לאיזון ",0,0,0,0,0,,,,,,,
1.192001.910,מענק רזרבת שר ,0,0,0,0,0,,,,,,,
1.192002.910,מענק שיפוי פנסיה ,20,20,19,1,5,,,,,,,
1.192003.910,מענק-שיפוי קיצוץ ,0,0,0,0,0,,,,,,,
1.192004.910,מענק-הגדלת שיעור המימוש ,0,0,0,0,0,,,,,,,
1.192005.910,מענק מותנה בגביה ,1175,1175,1700,-525,44,,,,,,,
1.192006.910,משר הפנים מענק בחירות ,0,0,0,0,0,,,,,,,
1.192007.910,מענק חד פעמי ,0,0,554,-554,0,,,,,,,
1.192008.910,"מענק שיפוי קופ""ג ",17,17,8,9,52,,,,,,,
1.192009.910,משרד הפנים תקבולים שונים ,10,10,0,10,100,,,,,,,
. ," סה""כ מענקים אחרים ",1222,1222,2281,-1059,86,,,,,,,
1.513000.510,החזר הוצאות ש.ק. ,30,30,236,-206,686,,,,,,,
1.513000.590,"החזר ב""ל-דמי פגיעה ",5,5,1,4,80,,,,,,,
1.591900.690,החזר מקרן הלואות ,0,0,0,0,0,,,,,,,
1.594000.540,החזר נזקי שריפה ,0,0,0,0,0,,,,,,,
1.594100.540,תביעות מחברת ביטוח ,0,0,0,0,0,,,,,,,
. ," סה""כ תקבולים אחרים ",35,35,238,-203,580,,,,,,,
. ," סה""כ הכנסות לפני כיסוי גרעו",54178,54178,58362,-4184,7,,,,,,,
1.594200.910,השת' מ.פניים בבחירות רשות ,0,0,0,0,0,,,,,,,
1.599100.910,מענק לכסוי גרעון ,0,0,320,-320,0,,,,,,,
1.599200.910,מלווה למענק איזון ענק ,0,0,0,0,0,,,,,,,
. ," סה""כ מענק לכיסוי גירעון מצט",0,0,320,-320,0,,,,,,,
1.116000.110,ועדת הנחות חומריות ,4500,4500,6749,-2249,49,,,,,,,
. ," סה""כ הנחה בארנונה ",4500,4500,6749,-2249,49,,,,,,,
. ," סה""כ הכנסות ",58678,58678,65430,-6752,11,,,,,,,
1.611100.110,השכר הקובע ,722,722,720,2,0,,,,,,,
1.611100.120,תוספות שאינן נכללות בש ,23,23,37,-14,60,,,,,,,
1.611100.140,החזר הוצאות ,200,200,221,-21,10,,,,,,,
1.611100.181,הפרשות סוציאליות ,216,216,223,-7,3,,,,,,,
1.611100.182,מיסים ועלויות ,73,73,75,-2,2,,,,,,,
1.612000.110,השכר הקובע ,110,110,125,-15,13,,,,,,,
1.612000.120,תוספות שאינן נכללות בש ,2,2,2,0,0,,,,,,,
1.612000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.612000.140,החזר הוצאות ,22,22,21,1,4,,,,,,,
1.612000.181,הפרשות סוציאליות ,32,32,36,-4,12,,,,,,,
1.612000.182,מיסים ועלויות ,10,10,11,-1,10,,,,,,,
1.613000.110,השכר הקובע ,896,896,1050,-154,17,,,,,,,
1.613000.120,תוספות שאינן נכללות בשכר ,31,31,47,-16,51,,,,,,,
1.613000.130,שעות נוספות ,14,14,41,-27,192,,,,,,,
1.613000.140,החזר הוצאות ,303,303,337,-34,11,,,,,,,
1.613000.181,הפרשות סוציאליות ,239,239,287,-48,20,,,,,,,
1.613000.182,מיסים ועלויות ,95,95,112,-17,17,,,,,,,
1.613000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.619000.110,השכר הקבוע-בחירות ,0,0,0,0,0,,,,,,,
1.619000.120,תוספות שאינן נכללות-בחירו ,0,0,0,0,0,,,,,,,
1.619000.140,החזר הוצאות-בחירות ,0,0,0,0,0,,,,,,,
1.619000.181,הפרשות סוציאליות-בחירות ,0,0,0,0,0,,,,,,,
1.619000.182,מיסים ועלויות-בחירות ,0,0,0,0,0,,,,,,,
1.621000.110,השכר הקובע ,407,407,423,-16,3,,,,,,,
1.621000.120,תוספות שאינן נכללות בשכר ,4,4,8,-4,100,,,,,,,
1.621000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.621000.140,החזר הוצאות ,41,41,43,-2,4,,,,,,,
1.621000.181,הפרשות סוציאליות ,64,64,68,-4,6,,,,,,,
1.621000.182,מיסים ועלויות ,35,35,36,-1,2,,,,,,,
1.621000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.623000.110,השכר הקובע ,136,136,151,-15,11,,,,,,,
1.623000.120,תוספות שאינן נכללות בשכר ,25,25,31,-6,24,,,,,,,
1.623000.130,שעות נוספות ,2,2,2,0,0,,,,,,,
1.623000.140,החזר הוצאות ,49,49,60,-11,22,,,,,,,
1.623000.181,הפרשות סוציאליות ,30,30,38,-8,26,,,,,,,
1.623000.182,מיסים ועלויות ,16,16,18,-2,12,,,,,,,
1.711000.110,השכר הקובע ,198,198,260,-62,31,,,,,,,
1.711000.120,תוספות שאינן נכללות בשכר ,10,10,22,-12,120,,,,,,,
1.711000.130,שעות נוספות ,34,34,38,-4,11,,,,,,,
1.711000.140,החזר הוצאות ,88,88,86,2,2,,,,,,,
1.711000.181,הפרשות סוציאליות ,46,46,57,-11,23,,,,,,,
1.711000.182,מיסים ועלויות ,25,25,30,-5,20,,,,,,,
1.711000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.714200.110,השכר הקובע ,43,43,42,1,2,,,,,,,
1.714200.120,תוספות שאינן נכללות בשכר ,1,1,1,0,0,,,,,,,
1.714200.130,שעות נוספות ,6,6,3,3,50,,,,,,,
1.714200.140,החזר הוצאות ,10,10,9,1,10,,,,,,,
1.714200.181,הפרשות סוציאליות ,7,7,7,0,0,,,,,,,
1.714200.182,מיסים ועלויות ,5,5,4,1,20,,,,,,,
1.721000.110,השכר הקובע ,0,0,0,0,0,,,,,,,
1.728000.110,השכר הקובע ,0,0,14,-14,0,,,,,,,
1.728000.120,תוספות שאינן נכללות ב ,0,0,1,-1,0,,,,,,,
1.728000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.728000.140,החזר הוצאות ,0,0,5,-5,0,,,,,,,
1.728000.181,הפרשות סוציאליות ,0,0,3,-3,0,,,,,,,
1.728000.182,מיסים ועלויות ,0,0,2,-2,0,,,,,,,
1.731000.110,השכר הקובע ,404,404,434,-30,7,,,,,,,
1.731000.120,תוספות שאינן נכללות בשכר ,7,7,15,-8,114,,,,,,,
1.731000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.731000.140,החזר הוצאות ,107,107,109,-2,1,,,,,,,
1.731000.181,הפרשות סוציאליות ,106,106,112,-6,5,,,,,,,
1.731000.182,מיסים ועלויות ,39,39,42,-3,7,,,,,,,
1.731000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.741000.110,השכר הקובע ,0,0,0,0,0,,,,,,,
1.741000.120,תוספות שאינן נלולות בש ,0,0,0,0,0,,,,,,,
1.741000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.741000.140,החזר הוצאות ,0,0,0,0,0,,,,,,,
1.741000.181,הפרשות סוציאליות ,0,0,0,0,0,,,,,,,
1.741000.182,מיסים ועלויות ,0,0,0,0,0,,,,,,,
1.741000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.746000.110,השכר הקובע ,110,110,125,-15,13,,,,,,,
1.746000.120,תוספות שאינן נכללות בשכר ,3,3,6,-3,100,,,,,,,
1.746000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.746000.140,החזר הוצאות ,31,31,29,2,6,,,,,,,
1.746000.181,הפרשות סוציאליות ,23,23,26,-3,13,,,,,,,
1.746000.182,מיסים ועלויות ,11,11,12,-1,9,,,,,,,
1.746000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.823000.110,השכר הקובע ,67,67,82,-15,22,,,,,,,
1.823000.120,תוספות שאינן נכללות בשכר ,0,0,1,-1,0,,,,,,,
1.823000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.823000.140,החזר הוצאות ,0,0,0,0,0,,,,,,,
1.823000.181,הפרשות סוציאליות ,5,5,7,-2,40,,,,,,,
1.823000.182,מיסים ועלויות ,5,5,6,-1,20,,,,,,,
1.824000.110,השכר הקובע ,0,0,0,0,0,,,,,,,
1.824000.120,תוספות שאינן נכללות בש ,0,0,0,0,0,,,,,,,
1.824000.140,החזר הוצאות ,0,0,0,0,0,,,,,,,
1.824000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.828100.110,השכר הקובע ,46,46,93,-47,102,,,,,,,
1.828100.120,תוספות שאינן נכללות בש ,0,0,0,0,0,,,,,,,
1.828100.130,שעות נספות ,0,0,0,0,0,,,,,,,
1.828100.140,החזר הוצאות ,2,2,6,-4,200,,,,,,,
1.828100.181,הפרשות סוציאליות ,6,6,13,-7,116,,,,,,,
1.828100.182,מיסים ועלויות ,4,4,7,-3,75,,,,,,,
1.828100.320,פיצויים ,0,0,0,0,0,,,,,,,
1.828200.110,השכר הקטבע ,0,0,0,0,0,,,,,,,
1.828200.181,הפרשות סוציאליות ,0,0,0,0,0,,,,,,,
1.828200.182,מיסים ועלויות ,0,0,0,0,0,,,,,,,
1.828300.110,השכר הקובע ,0,0,21,-21,0,,,,,,,
1.828300.130,סוצ ,0,0,1,-1,0,,,,,,,
1.828300.181,הפרשות סוציאליות ,0,0,1,-1,0,,,,,,,
1.828300.182,מסים ועלויות ,0,0,2,-2,0,,,,,,,
1.829100.110,השכר הקובע ,65,65,71,-6,9,,,,,,,
1.829100.120,תוספות שאינן נכללות בשכר ,3,3,7,-4,133,,,,,,,
1.829100.130,שעות נוספות ,18,18,16,2,11,,,,,,,
1.829100.140,החזר הוצאות ,36,36,34,2,5,,,,,,,
1.829100.181,הפרשות סוציאליות ,14,14,15,-1,7,,,,,,,
1.829100.182,מיסים ועלויות ,9,9,10,-1,11,,,,,,,
1.829100.320,פיצויים ,0,0,0,0,0,,,,,,,
1.829300.110,השכר הקובע ,6,6,23,-17,283,,,,,,,
1.829300.120,תוספות שאינן נכללות בשכר ,0,0,0,0,0,,,,,,,
1.829300.130,שעות נוספות ,0,0,1,-1,0,,,,,,,
1.829300.140,החזר הוצאות ,0,0,0,0,0,,,,,,,
1.829300.181,הפרשים סוציאלים ,1,1,1,0,0,,,,,,,
1.829300.182,מיסים ועלויות ,1,1,2,-1,100,,,,,,,
1.853000.110,השכר הקובע ,0,0,0,0,0,,,,,,,
1.853000.120,תוספות שאינן נכללות בש ,0,0,0,0,0,,,,,,,
1.853000.130,שעות נוספות ,0,0,0,0,0,,,,,,,
1.853000.140,החזר הוצאות ,0,0,0,0,0,,,,,,,
1.853000.181,הפרשות סוציאליות ,0,0,0,0,0,,,,,,,
1.853000.182,מיסים ועלויות ,0,0,0,0,0,,,,,,,
1.853000.320,פיצויים ,0,0,0,0,0,,,,,,,
1.913200.110,השכר הקובע ,189,189,224,-35,18,,,,,,,
1.913200.120,תוספות שאינן נכללות בש ,8,8,16,-8,100,,,,,,,
1.913200.130,שעות נוספות ,28,28,35,-7,25,,,,,,,
1.913200.140,החזר הוצאות ,91,91,83,8,8,,,,,,,
1.913200.181,הפרשות סוציאליות ,46,46,53,-7,15,,,,,,,
1.913200.182,מיסים ועלויות ,24,24,27,-3,12,,,,,,,
1.994000.110,השכר הקובע ,0,0,14,-14,0,,,,,,,
1.994000.120,תוספות שאינן נכללות בשכר ,3,3,3,0,0,,,,,,,
1.994000.181,הפרשוצ סוציאליות ,0,0,0,0,0,,,,,,,
1.994000.182,מסים ועלויות ,7,7,8,-1,14,,,,,,,
1.994000.310,פינסיה ,95,95,103,-8,8,,,,,,,
. ," סה""כ שכר כללי ",5890,5890,6706,-816,13,,,,,,,
1.610000.000,מינהל כללי ,0,0,0,0,0,,,,,,,
1.611000.000,הנהלה ומועצה ,0,0,0,0,0,,,,,,,
1.611100.000,ראש הרשות המקומית וסגניו ,0,0,0,0,0,,,,,,,
1.611100.441,ביטוח ,2,2,1,1,50,,,,,,,
1.611100.511,אירוח וכיבוד ,0,0,1,-1,0,,,,,,,
1.611100.514,רכישת מתנות ,0,0,0,0,0,,,,,,,
1.611100.521,השתלמויות ,27,27,30,-3,11,,,,,,,
1.611100.522,ספרות מקצועית ועתונים ,0,0,0,0,0,,,,,,,
1.611100.523,דמי חבר באירגונים ,19,19,18,1,5,,,,,,,
1.611100.536,ביטוח תאונ' אישיות נבחרים ,0,0,0,0,0,,,,,,,
1.611100.540,הוצאות תקשורת ,7,7,7,0,0,,,,,,,
1.611100.550,הוצאות פרסום ,0,0,0,0,0,,,,,,,
1.611100.580,הוצאות אחרות ,2,2,2,0,0,,,,,,,
1.611100.780,הוצאות שונות ,0,0,0,0,0,,,,,,,
1.611100.810,תרומות ראש המועצה ,0,0,0,0,0,,,,,,,
1.612000.000,מבקר הרשות ,0,0,0,0,0,,,,,,,
1.612000.521,השתלמויות ,0,0,0,0,0,,,,,,,
1.612000.522,ספרות מקצועית ועתונים ,0,0,0,0,0,,,,,,,
1.612000.523,דמי חבר באירגונים ,0,0,0,0,0,,,,,,,
1.612000.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.613000.000,מזכירות ,0,0,0,0,0,,,,,,,
1.613000.431,חשמל ,50,50,45,5,10,,,,,,,
1.613000.432,מים ,30,30,42,-12,40,,,,,,,
1.613000.433,חומרי נקיון ,0,0,0,0,0,,,,,,,
1.613000.434,שרותי נקיון ,25,25,27,-2,8,,,,,,,
1.613000.441,ביטוח ,0,0,29,-29,0,,,,,,,
1.613000.450,רהוט ואחזקתו ,0,0,0,0,0,,,,,,,
1.613000.470,ציוד משרדי מתכלה ,25,25,61,-36,144,,,,,,,
1.613000.510,כיבוד ללא עודפות ,23,23,25,-2,8,,,,,,,
1.613000.511,אירוח וכיבוד ,10,10,11,-1,10,,,,,,,
1.613000.514,רכישת מתנות ,25,25,32,-7,28,,,,,,,
1.613000.521,השתלמויות ,20,20,8,12,60,,,,,,,
1.613000.522,ספרות מקצועית ועותנים ,3,3,4,-1,33,,,,,,,
1.613000.523,דמי חבר באירגונים ,35,35,33,2,5,,,,,,,
1.613000.540,הוצאות תקשורת ,90,90,116,-26,28,,,,,,,
1.613000.550,הוצאות פרסום ,30,30,43,-13,43,,,,,,,
1.613000.560,הוצאות משרדיות ,0,0,0,0,0,,,,,,,
1.613000.580,הוצאות ארגוניות/אחרות ,17,17,23,-6,35,,,,,,,
1.613000.720,חומרים ,1,1,2,-1,100,,,,,,,
1.613000.730,טיוטה 06-743-12 ,0,0,0,0,0,,,,,,,
1.613000.731,דלק ושמנים ,40,40,48,-8,20,,,,,,,
1.613000.732,תיקונים ,10,10,19,-9,90,,,,,,,
1.613000.733,רישוי וביטוח ,15,15,11,4,26,,,,,,,
1.613000.743,רכישת כלים ומכשור ,1,1,4,-3,300,,,,,,,
1.613000.750,עבודות קבלניות ,50,50,76,-26,52,,,,,,,
1.613000.751,שמירה בנין המועצה ,95,95,99,-4,4,,,,,,,
1.613000.780,הוצאות שונות ,9,9,8,1,11,,,,,,,
1.613000.810,השתתפות ותרומות ,0,0,0,0,0,,,,,,,
1.613000.930,רכישת ציוד יסודי ,20,20,20,0,0,,,,,,,
1.613000.970,תש' הוצאות עודפות ,25,25,23,2,8,,,,,,,
1.614000.000,הסברה ויחסי ציבור ,0,0,0,0,0,,,,,,,
1.614000.523,דמי חבר באירגונים ,0,0,0,0,0,,,,,,,
1.615000.000,מנגנון ,0,0,0,0,0,,,,,,,
1.615000.521,השתלמויות ,0,0,0,0,0,,,,,,,
1.616000.000,"או""ש והדרכה ",0,0,0,0,0,,,,,,,
1.616000.980,הוצאות אחרות ,0,0,0,0,0,,,,,,,
1.617000.000,שרות משפטי ,0,0,0,0,0,,,,,,,
1.617000.750,עבודות קבלניות ,110,110,111,-1,0,,,,,,,
1.617000.751,הוצ' מישפטיות ,100,100,48,52,52,,,,,,,
1.619000.750,בחירות 8002 ,0,0,0,0,0,,,,,,,
1.621000.000,הגזברות ,0,0,0,0,0,,,,,,,
1.621000.521,השתלמויות ,5,5,4,1,20,,,,,,,
1.621000.522,ספרות מקצועית ,3,3,3,0,0,,,,,,,
1.621000.523,דמי חבר באירגונים ,0,0,2,-2,0,,,,,,,
1.621000.540,הוצאות תקשורת ,3,3,3,0,0,,,,,,,
1.621000.560,הוצאות משרדיות ,0,0,0,0,0,,,,,,,
1.621000.743,רכישת כלים ומכשור ,0,0,0,0,0,,,,,,,
1.621000.750,עבודות קבלניות ,12,12,140,-128,66,,,,,,,
1.621000.780,הוצאות שונות ,0,0,0,0,0,,,,,,,
1.621000.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.621300.000,הנהלת חשבונות ,0,0,0,0,0,,,,,,,
1.621300.580,הוצאות אורגניות/אחרות ,0,0,0,0,0,,,,,,,
1.621300.750,עבודות קבלניות ,465,465,470,-5,1,,,,,,,
1.621700.570,מיכון ועיבוד ניתונים ,350,350,348,2,0,,,,,,,
1.623000.000,שומה וגביה ,0,0,0,0,0,,,,,,,
1.623000.521,השתלמויות ,0,0,0,0,0,,,,,,,
1.623000.540,טלפון ,0,0,1,-1,0,,,,,,,
1.623000.580,הוצאות אורגניות/אחרות ,0,0,0,0,0,,,,,,,
1.623000.750,עבודות קבלניות ,100,100,100,1,1,,,,,,,
1.623000.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.623100.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.631000.000,הוצאות מימון ,0,0,0,0,0,,,,,,,
1.632000.000,הוצאות מימון ,0,0,0,0,0,,,,,,,
1.640000.000,פרעון מלוות ,0,0,0,0,0,,,,,,,
1.648100.000,פרעון מלוות אחר ,0,0,0,0,0,,,,,,,
1.649100.000,פרעון מלוות מים וביוב ,0,0,0,0,0,,,,,,,
1.711000.000,תברואה ,0,0,0,0,0,,,,,,,
1.711000.521,השתלמויות ,1,1,11,-10,0,,,,,,,
1.711000.523,דמי חבר באירגונים ,1,1,0,1,100,,,,,,,
1.711000.540,הוצאות תקשורת ,0,0,1,-1,0,,,,,,,
1.711000.560,הוצאות משרדיות ,0,0,0,0,0,,,,,,,
1.711000.580,הוצאות ארגוניות/אחרות ,0,0,0,0,0,,,,,,,
1.711000.700,רכב מיול ,0,0,0,0,0,,,,,,,
1.711000.720,חומרים-תברואה ,10,10,0,10,100,,,,,,,
1.711000.730,רכב מיול 42-816-27 ,0,0,0,0,0,,,,,,,
1.711000.731,דלק ושמנים ,30,30,29,1,3,,,,,,,
1.711000.732,תיקונים ,10,10,10,0,0,,,,,,,
1.711000.733,רישוי וביטוח ,5,5,2,3,60,,,,,,,
1.711000.743,רכישת כלים ומכשור ,18,18,20,-2,11,,,,,,,
1.711000.750,עבודות קבלניות ,45,45,32,13,28,,,,,,,
1.711000.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.712200.000,ניקוי רחובות ,0,0,0,0,0,,,,,,,
1.712200.720,חומרים ,0,0,0,0,0,,,,,,,
1.712200.730,מחפרון B.C.J ,0,0,0,0,0,,,,,,,
1.712200.731,דלק ושמנים בובקט ,90,90,43,47,52,,,,,,,
1.712200.732,בובקט-תיקונים ,17,17,23,-6,35,,,,,,,
1.712200.733,רישוי וביטוח-בובקט ,25,25,9,16,64,,,,,,,
1.712200.743,רכישת כלים ומכשור ,0,0,0,0,0,,,,,,,
1.712200.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.712200.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.712300.000,אסוף וביעור אשפה ,0,0,0,0,0,,,,,,,
1.712300.720,חומרים ,0,0,0,0,0,,,,,,,
1.712300.750,עבודות קבלניות ,720,720,996,-276,38,,,,,,,
1.713000.000,פקוח תברואי ,0,0,0,0,0,,,,,,,
1.713100.000,מינהל פיקוח תברואי ,0,0,0,0,0,,,,,,,
1.714200.523,דמי חבר באירגונים ,0,0,0,0,0,,,,,,,
1.714200.720,חומרים ,0,0,0,0,0,,,,,,,
1.714200.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.714300.000,מלחמה בכלבת ,0,0,0,0,0,,,,,,,
1.714300.720,חומרים ,1,1,0,1,100,,,,,,,
1.715000.000,תברואה מונעת ,0,0,0,0,0,,,,,,,
1.715100.000,מינהל תברואה מונעת ,0,0,0,0,0,,,,,,,
1.715200.720,חומרים ,0,0,0,0,0,,,,,,,
1.715200.743,רכישת כלים ומכשור ,0,0,0,0,0,,,,,,,
1.715200.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.715300.000,הדברת מזיקים ,0,0,0,0,0,,,,,,,
1.715300.521,השתלמויות ,0,0,0,0,0,,,,,,,
1.715300.720,חומרים ,80,80,56,24,30,,,,,,,
1.715300.743,רכישת כלים ומכשור ,0,0,0,0,0,,,,,,,
1.715300.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.721000.521,השתלמות ,0,0,0,0,0,,,,,,,
1.721000.523,דמי חבר בארגונים ,0,0,0,0,0,,,,,,,
1.722000.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.723000.830,"השתת' הבג""א ",46,46,47,-1,2,,,,,,,
1.724000.580,הוצאות ארגוניות/אחרות ,0,0,0,0,0,,,,,,,
1.724000.830,השתת' באיגוד ערים ,200,200,195,5,2,,,,,,,
1.725000.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.725100.720,"חומרים-זה""ב ",0,0,0,0,0,,,,,,,
1.725100.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.725100.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.726100.750,משק לשעת חרום ,0,0,0,0,0,,,,,,,
1.728000.000,עיר ללא אלימות ,0,0,0,0,0,,,,,,,
1.730000.000,תכנון ובנין עיר ,0,0,0,0,0,,,,,,,
1.731000.000,משרד מהנדס הרשות ,0,0,0,0,0,,,,,,,
1.731000.441,ביטוח ,0,0,0,0,0,,,,,,,
1.731000.521,השתלמויות ,1,1,1,0,0,,,,,,,
1.731000.522,ספרות מקצועית ,0,0,0,0,0,,,,,,,
1.731000.523,דמי חבר באירגונים ,1,1,1,0,0,,,,,,,
1.731000.540,הוצאות תקשורת ,0,0,0,0,0,,,,,,,
1.731000.550,הוצאות פרסום ,0,0,0,0,0,,,,,,,
1.731000.560,הוצאות משרדיות ,0,0,0,0,0,,,,,,,
1.731000.750,עבודות קבלניות ,120,120,242,-122,101,,,,,,,
1.731000.751,"שכ""ט מהנדס ",0,0,0,0,0,,,,,,,
1.731000.930,רכישת ציוד יסודי ,10,10,4,6,60,,,,,,,
1.732100.000,תכנון כללי ,0,0,0,0,0,,,,,,,
1.732100.560,הוצאות משרדיות ,0,0,0,0,0,,,,,,,
1.732100.750,עבודות קבלניות ,10,10,3,7,70,,,,,,,
1.732200.000,תוכניות אב ,0,0,0,0,0,,,,,,,
1.732200.750,תכנון עיר ,0,0,0,0,0,,,,,,,
1.732300.000,מדידות ,0,0,0,0,0,,,,,,,
1.732300.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.733000.000,רישוי ופקוח על הבניה ,0,0,0,0,0,,,,,,,
1.733100.000,אגרות רשיונות בניה ,0,0,0,0,0,,,,,,,
1.733400.760,ועדה לתכנון בניה שמעונים ,586,586,502,84,14,,,,,,,
1.734000.000,מדידות ,0,0,0,0,0,,,,,,,
1.735000.000,תכנית אב ,0,0,0,0,0,,,,,,,
1.740000.000,נכסים צבוריים-ש.פ.ה ,0,0,0,0,0,,,,,,,
1.741000.000,מינהל נכסים ציבוריים ,0,0,0,0,0,,,,,,,
1.741000.470,ציוד משרדי מתכלה ,0,0,0,0,0,,,,,,,
1.741000.521,השתלמויות ,0,0,0,0,0,,,,,,,
1.741000.523,דמי חבר באירגונים ,0,0,0,0,0,,,,,,,
1.741000.540,הוצאות תקשורת ,0,0,0,0,0,,,,,,,
1.741000.720,חומרים ,0,0,0,0,0,,,,,,,
1.741000.743,רכישת כלים ומכשור ,0,0,0,0,0,,,,,,,
1.741000.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.742000.000,דרכים ומדרכות ,0,0,0,0,0,,,,,,,
1.742000.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.742100.000,אחזקת כבישים עורקיים ,0,0,0,0,0,,,,,,,
1.742100.720,חומרים ,0,0,0,0,0,,,,,,,
1.742100.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.742200.000,אחז כבישים פנימיים ומדרכו ,0,0,0,0,0,,,,,,,
1.742200.720,חומרים ,0,0,0,0,0,,,,,,,
1.743000.000,תאורת רחובות ,0,0,0,0,0,,,,,,,
1.743000.431,חשמל ,250,250,250,0,0,,,,,,,
1.743000.720,חומרים ,0,0,0,0,0,,,,,,,
1.743000.750,עבודות קבלניות ,60,60,7,53,88,,,,,,,
1.743000.771,חשמל לפעולות ,0,0,0,0,0,,,,,,,
1.744000.000,בטיחות בדרכים ,0,0,0,0,0,,,,,,,
1.744000.470,"ציוד משרדי-זה""ב ",0,0,0,0,0,,,,,,,
1.744000.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.744100.000,תחזוקת רמזורים ואיי תנועה ,0,0,0,0,0,,,,,,,
1.744400.720,חומרים ,10,10,0,10,100,,,,,,,
1.744400.750,עבודות קבלניות ,55,55,67,-12,21,,,,,,,
1.744400.930,רכישת ציוד יסודי ,0,0,0,0,0,,,,,,,
1.744400.950,הוצאות תכנון ,0,0,0,0,0,,,,,,,
1.745000.000,תיעול וניקוז ,0,0,0,0,0,,,,,,,
1.745000.720,חומרים ,0,0,0,0,0,,,,,,,
1.745000.741,השכרת כלים מכשירים וציוד ,0,0,0,0,0,,,,,,,
1.745000.743,רכישת כלים ומכשור ,0,0,0,0,0,,,,,,,
1.745000.750,עבודות קבלניות ,0,0,0,0,0,,,,,,,
1.745000.830,השתתפות ברשות הנקוז ,80,80,80,0,0,,,,,,,
1.745300.000,ריקון בורות שופכין ,0,0,0,0,0,,,,,,,
1.746000.000,גנים ונטיעות ,0,0,0,0,0,,,,,,,
