,,,,,,הוצאות,,,,,,,
,176500810,810,765,1,מרכז יד לבנים ,"65,100",700220,315,1,אמית תל חוץ ,"-100,000","-110,600","-110,000"
,176500811,811,765,1,מרכז השלטון המקומי ,"330,000",700920,315,1,נשי מזרחי תיכון אמי ,"-92,400","-27,200","-36,200"
,,,"765 סה""כ",,,"395,100",800220,315,1,קציר תל חוץ ,"-350,000","-203,000","-200,000"
,176600110,110,766,1, .,"350,000",800920,315,1,מ.החינוך קציר -שכל ,"-19,680,000","-16,817,300","-21,000,000"
,176600130,130,766,1, .,"12,800",800921,315,1,קציר ,0,0,0
,176600542,542,766,1,דאר ,0,800924,315,1,אגרת שכפול ,"-15,300","-32,100","-42,700"
,176600812,812,766,1,ועד עובדי עיריה ,"1,600,000",800925,315,1,קציר ,0,0,0
,,,"766 סה""כ",,,"1,962,800",800926,315,1,קציר עולים ,0,0,0
,176700440,440,767,1,בטוח אזרחים_נזקי גוף ,"400,000",800927,315,1,קציר חומרים הורים ,"-56,900","-68,400","-91,000"
,176700441,441,767,1,פרמיות ביטוח ,"2,500,000",800929,315,1,"קציר חט""ב ","-2,200,000","-1,929,600","-2,143,700"
,176700442,442,767,1,השת עצמית ,"1,225,000",900220,315,1,צביה תלמידי חוץ ,"-80,000","-33,800","-43,900"
,176700443,443,767,1,ביטוח אזרחים ניזקי רכוש ,"364,000",900924,315,1,אגרת שכפול ,0,0,0
,176700444,444,767,1,"עו""ד ","251,700",900926,315,1,סל תלמיד עולה אתיופיה ,0,0,0
,176700445,445,767,1,חוקר ,"39,700",900927,315,1,מ החינוך חומרים ,0,0,0
,176700446,446,767,1,יועץ ביטוח ,"31,300",900928,315,1,יהדות-צביה ,0,0,0
,176700447,447,767,1,"פרמיות משכ""ל /נושאי משרה ",0,900929,315,1,חינוך-צביה חטב ,0,0,0
,176700448,448,767,1,"פרמיות משכ""ל /צד ג רובד 2",0,,"315 סה""כ",,,"-58,380,400","-54,587,800","-66,988,000"
,176700449,449,767,1,"פרמיות משכ""ל/ מהנדס העיר ",0,700920,316,1,אשכולות פייס ,"-150,000","-228,400","-228,900"
,,,"767 סה""כ",,,"4,811,700",,"316 סה""כ",,,"-150,000","-228,400","-228,900"
,178100570,570,781,1,אוטומציה ,"20,500",100920,317,1,מ החינוך שמירה ביס ,"-282,000","-230,100","-266,200"
,,,"781 סה""כ",,,"20,500",100921,317,1,בית שלמה שמירה ,"-100,000","-93,100","-102,400"
,178200110,110,782,1,בית משפט-משכורות ,"100,400",100922,317,1,אגרת כלי ירי ,0,"-3,000",0
,178200780,780,782,1,הוצאות שונות ,"88,800",100990,317,1,משטרת ישראל שמירה ב ,"-3,600,000","-3,548,000","-4,663,400"
,,,"782 סה""כ",,,"189,200",200440,317,1,מרכזיה פדגוגית ,"-25,000",0,0
,179700780,780,797,1,ועדה חקלאית הוצ ,"40,800",200920,317,1,"מרפ""ד -משרד החינוך ","-194,000","-79,000","-105,000"
,,,"797 סה""כ",,,"40,800",300440,317,1,הכנסות המכון הפסכול ,"-48,900","-42,700","-43,500"
,181100110,110,811,1,אגף החינוך -שכר ,"5,000,000",300441,317,1,עמותה ילדים בסיכון ,0,0,0
,181100130,130,811,1,שעות נוספות רשומות ,"221,800",300920,317,1,מ.חינוך בשירות פס ,"-3,600,000","-3,347,500","-3,662,100"
,181100210,210,811,1,מש ,"1,192,500",300921,317,1,שפי הדרכה ,"-100,000","-140,300","-140,000"
,181100230,230,811,1,שנ מש זמניים ,"6,700",300922,317,1,איבחונים שרות פסיכולוגי ,0,"-13,600","-18,000"
,181100320,320,811,1,פיצויים ,"54,900",300924,317,1,הכנסות מתוכנית מניעת אובד,0,0,0
,181100450,450,811,1,אחזקת ציוד ,"11,600",600490,317,1,הכנסות ,"-25,000","-17,100","-19,000"
,181100451,451,811,1,תוכנות מחשוב בתי ספר ,"250,000",600920,317,1,מ.החינוך-רווחה חינוך ,"-1,000,000","-1,099,200","-1,200,000"
,181100531,531,811,1,דלק -חינוך ,0,600922,317,1,תוכנית 360 ילדים ונוער בס,"-567,700","-107,400","-500,000"
,181100536,536,811,1,השכרת רכב ,"170,000",700920,317,1,"מ.החינוך קב""סים ","-721,000","-738,500","-815,400"
,181100540,540,811,1,חינוך-טלפון ומברקים ,0,700921,317,1,מניעת נשירה ,"-50,000",0,0
,181100541,541,811,1,חינוך מכשירי קשר פלאפון ,"45,000",800490,317,1,דמי הסעת תלמידים ,0,"-100,500","-54,600"
,181100542,542,811,1,חינוך-דאר ,"1,200",800920,317,1,חינוך הסעות ,"-300,000",0,0
,181100550,550,811,1,פרסומי אגף החינוך ,"7,000",800921,317,1,הסעות ח.מיוחד ,"-3,000,000","-2,317,200","-2,554,900"
,181100560,560,811,1,מכשירי כתיבה והדפסות ,"10,000",800922,317,1,הסעות-מלווים ,"-3,000,000","-3,119,500","-3,600,000"
,181100570,570,811,1,אוטומציה ,"160,000",800923,317,1,הסעות_נט ,"-1,400,000","-860,600","-1,000,000"
,181100580,580,811,1,הוצאות אירגוניות ,"41,000",,"317 סה""כ",,,"-18,013,600","-15,857,300","-18,744,500"
,181100750,750,811,1,עבודות קבלניות ,0,640,318,1,קמפוס שכד ,0,0,0
,181100751,751,811,1,בני מצווה ,"180,000",,"318 סה""כ",,,0,0,0
,181100752,752,811,1,קייטנות קיץ ,"1,800,000",990,322,1,משרדי ממשלה ,"-1,471,000","-863,100","-385,300"
,181100755,755,811,1,גרעין מורים ,"350,000",,"322 סה""כ",,,"-1,471,000","-863,100","-385,300"
,181100780,780,811,1,הוצ אחרות ,"400,000",920,327,1,מ.החינוך-תרבות תו ,"-130,000","-265,700","-260,000"
,181100781,781,811,1,מילת ישובי ,"75,000",,"327 סה""כ",,,"-130,000","-265,700","-260,000"
,181100782,782,811,1,פעולות העשרה ,"2,430,000",200920,328,1,הכנסות מ חינוך ,0,"-135,500","-180,200"
,181100783,783,811,1,רזרבה חינוך ,"947,000",200990,328,1,הכנסות משרד הבטחון צעירי,0,"-67,400","-29,900"
,181100784,784,811,1,מדריך_קידום ,"40,000",,"328 סה""כ",,,0,"-202,900","-210,100"
,181100785,785,811,1,העשרה חינוכית ,"540,000",300640,329,1,שכירות ספורט ,0,0,0
,181100786,786,811,1,חמדע ,"1,225,900",300920,329,1,מ. החינוך -ספורט ,0,"-84,300","-112,100"
,181100930,930,811,1,רכישות ,"150,000",,"329 סה""כ",,,0,"-84,300","-112,100"
,1811300110,300110,811,1,בית דרור ,"60,000",790,337,1,פרויקט סמים ,"-670,000","-556,700","-739,700"
,1811300130,300130,811,1,בית דרור ,"2,700",,"337 סה""כ",,,"-670,000","-556,700","-739,700"
,1811300451,300451,811,1,דרור מחשוב ,"1,000",1930,341,1,שכר עובדי המחלקה ,"-9,610,000","-7,937,700","-8,000,000"
,1811300760,300760,811,1,בית דרור ,"60,000",4930,341,1,"כ""א לחינוך המיוחד ","-143,000","-150,000","-199,500"
,,,"811 סה""כ",,,"15,433,300",6490,341,1,מעמד האישה ,0,"-2,100","-2,800"
,181200110,110,812,1,משכורות כוללות ,"14,950,000",6930,341,1,פעולות אירגוניות ,"-7,000",0,0
,181200111,111,812,1,שכר ,0,,"341 סה""כ",,,"-9,760,000","-8,089,800","-8,202,300"
,181200130,130,812,1,שעות נוספות רשומות ,"92,500",201930,342,1,טיפול אלכוהוליסטים ,0,0,0
,181200210,210,812,1,משכורות כוללות ,"9,438,800",202410,342,1,משפחות במצוקה ,"-4,000","-4,200","-3,900"
,181200230,230,812,1,שעות נוספות ,"150,000",202930,342,1,משפחות במצוקה בקהילה ,"-210,900","-164,700","-225,100"
,181200320,320,812,1,פיצויים ,0,205930,342,1,טיפול בדרי רחוב ,0,"-710,600","-700,000"
,181200410,410,812,1,שכר דירה דמי חכירה ,"503,500",206930,342,1,דרי רחוב ,0,"-166,900","-150,000"
,181200420,420,812,1,תיקונים ,"100,000",207930,342,1,סיוע למשפחות עם ילדים ,"-205,300","-187,200","-223,600"
,181200430,430,812,1,חשמל ,"880,000",209930,342,1,דרי רחוב רב בעיתי ,0,0,0
,181200433,433,812,1,חומרי נקיון ,"400,000",210930,342,1,סיוע בהוצאות אבל ,0,0,0
,181200450,450,812,1,רהוט והחזקתו ,0,211930,342,1,סיוע חד פעמי לחימום ,"-9,900",0,0
,181200451,451,812,1,תוכנות מיחשוב ,0,403930,342,1,טיפול באלימות-פרוייקט ,"-188,300","-165,200","-197,800"
,181200540,540,812,1,טלפונים גני ילדים ,"140,000",403931,342,1,מרכז טיפול באלימות ,"-163,500","-311,900","-173,400"
,181200580,580,812,1,הוצ' אירגוניות ,"33,000",408930,342,1,בית נועם ,0,0,0
,181200721,721,812,1,הקצבות לגננות ,"1,000,000",409930,342,1,תחנות לטיפול במשפחה ,"-39,900","-53,200","-44,300"
,181200755,755,812,1,"גני""י -משרד החינוך ","10,501,000",410930,342,1,מס.טיפול לגברים אלימים ,"-35,000",0,0
,181200760,760,812,1,גני ילדים קנית שרות ,"250,000",411930,342,1,טיפול במשפחות אומנה ,0,"-66,400",0
,181200780,780,812,1,הוצאות אחרות ,"150,000",,"342 סה""כ",,,"-856,800","-1,830,300","-1,718,100"
,181200930,930,812,1,רכישת ציוד יסודי ,"2,300",503410,343,1,טיפול בילד בקהילה ,"-34,000",-600,-800
,18121755,1755,812,1,תוכנית פנימיות יום ,"720,000",503930,343,1,טיפול בילד בקהילה ,"-1,019,400","-831,000","-921,400"
,181221110,21110,812,1,גני ילדים ,0,504930,343,1,מועדוניות משותפות ,"-394,000","-334,500","-439,300"
,1812200761,200761,812,1,גננות עובדות מדינה ,"16,002,000",505930,343,1,טיפול בילד בקהילה-פרויקט ,0,0,0
,1812600420,600420,812,1,תיקוני מזגנים ,"30,000",507930,343,1,יצירת קשר הורים ,"-53,400","-306,000","-54,300"
,1812600722,600722,812,1,מ.חינוך-הקצבות מיוחדות ,"70,000",507931,343,1,קשר הורים ילדים ,"-8,000","-14,900","-19,800"
,1812610110,610110,812,1,רננים גני ,"2,005,800",508930,343,1,טיפול במשפחות אומנה ,"-148,600","-128,500","-170,600"
,1812610130,610130,812,1,רננים-גני ,"124,500",509930,343,1,טיפול בפגיעות מיניות ,"-90,000","-74,400","-98,900"
,1812610722,610722,812,1,רננים גנים ,0,510930,343,1,בדיקות פסיכולוגיות ,"-33,100","-4,700","-6,200"
,1812620110,620110,812,1,לימן-65 ,"1,026,400",511930,343,1,בדיקות פסיכולוגיות ,0,"-23,600","-3,100"
,1812620130,620130,812,1,לימן - 65 ,"123,500",513930,343,1,תוכנית לאומית ילד ונוער ,0,"-193,300","-251,700"
,1812620451,620451,812,1,מיחשוב ,"1,600",530920,343,1,מועדונית משותפת ,"-699,000","-656,500","-800,000"
,1812620722,620722,812,1,גןלימן-הקצבות ,0,801410,343,1,ילדים בפנימיות ,"-134,000","-185,500","-185,000"
,1812630110,630110,812,1,גן רעות-42 ,"130,600",801930,343,1,אחזקת ילדים בפנימיות ,"-7,832,200","-7,398,200","-8,986,000"
,1812630130,630130,812,1,גן דפנה ,0,802930,343,1,עם הפנים לקהילה ,"-354,100","-196,600","-261,500"
,1812630722,630722,812,1,גן-דפנה ,0,901930,343,1,ילדים במעונות יום ,"-2,835,000","-2,075,200","-2,747,300"
,1812640110,640110,812,1,גן רעות-48 ,"175,000",,"343 סה""כ",,,"-13,634,800","-12,423,500","-14,945,900"
,1812640130,640130,812,1,גן רעות-48 ,"13,400",301410,344,1,אחזקת קשישים ,"-930,000","-900,900","-900,000"
,1812640722,640722,812,1,גן רעות - 48 ,0,301930,344,1,אחזקת זקנים במוסדות ,"-2,776,000","-2,396,800","-3,187,700"
,1812650110,650110,812,1,גן 19 ,"110,900",302410,344,1,נופשון ,"-10,700","-9,900","-11,900"
,1812650130,650130,812,1,גן צבעוני ,0,302930,344,1,נופשון לזקנים ,"-29,500","-39,400","-43,500"
,1812650722,650722,812,1,גן -19צבעוני ,0,402930,344,1,מועדונים לזקנים ,"-91,400","-79,100","-72,000"
,1812660110,660110,812,1,גן תורמוס שכר ,0,403410,344,1,טיפול בזקן בקהילה עצמיות ,"-15,000","-15,100","-14,900"
,1812660722,660722,812,1,גן תורמוס קצבות ,0,403930,344,1,טיפול בזקן בקהילה ,"-190,000","-91,800","-122,000"
,1812670110,670110,812,1,גן עמית שכר ,"288,400",405930,344,1,מרכזי ועדות חוק סיעוד ,"-470,000","-406,900","-537,100"
,1812670130,670130,812,1,"גן עמית ש""נ ","19,200",406930,344,1,טיפול שיניים לזקנים ,"-15,000",0,0
,1812670510,670510,812,1,גן עמית-מנות חמות ,"28,000",407930,344,1,שכונה תומכת ,"-79,800","-70,800","-88,600"
,1812670722,670722,812,1,גן -79עמית הקצבות ,0,408930,344,1,השתתפות בפעילות קשישים ,"-49,900","-41,700","-55,400"
,1812680110,680110,812,1,גן נועם ,"143,000",409930,344,1,שכונה תומכת ,"-26,600","-25,000","-33,200"
,1812680230,680230,812,1,ש.נוספות ,"13,100",410930,344,1,שרותים לניצולי שואה ,"-100,000","-96,000","-76,700"
,1812680510,680510,812,1,הזנה ,"90,000",413930,344,1,מיגון וציוד ביתי ,"-6,800",0,0
,1812681110,681110,812,1,גן שלו ,"99,200",414930,344,1,סיוע לניצולי שואה ,"-5,000",0,0
,1812681130,681130,812,1,גן שלו שנ ,"5,800",441493,344,1,סיוע לניצולי שואה ,0,0,0
,1812682110,682110,812,1,גן הילל ,"172,000",501410,344,1,מרכז יום לקשיש ,"-50,000","-29,600","-35,800"
,1812682130,682130,812,1,גן הילל ,"23,300",501930,344,1,מסגרות יומיות לזקן ,"-240,000","-118,600","-148,800"
,1812683110,683110,812,1,גן מרוה ,"191,800",,"344 סה""כ",,,"-5,085,700","-4,321,600","-5,327,600"
,1812683130,683130,812,1,גן מרוה שנ ,"4,000",101410,345,1,סידור מפגרים במוסדות ,"-45,400","-55,300","-61,800"
,1812684110,684110,812,1,שכר גן נוה ,"245,700",101930,345,1,סידור מפגרים במוסדות ,"-15,737,000","-12,303,600","-16,363,800"
,1812684130,684130,812,1,שעות נוספות גן נוה ,"13,900",102930,345,1,מפגרים במוסד ממשלתי ,"-2,633,400","-2,145,800","-2,786,000"
,1812685110,685110,812,1,שכר גן זוהר חדש ,"177,900",103410,345,1,אוטיסטים ,0,0,0
,1812685130,685130,812,1,שעות נוספות גן זוהר ,"14,900",103930,345,1,אחזקת אוטיסטים ,"-2,978,800","-2,548,300","-3,369,100"
,1812686110,686110,812,1,שכר חינוך מיוחד זיו ,"19,800",104410,345,1,טיפול בהורים וילדיהם ,0,-200,-300
,1812687110,687110,812,1,שכר חינוך מיוחד נגה ,"17,400",104930,345,1,טיפול בהורים ובילדיהם ,"-179,600","-112,300","-147,300"
,1812688110,688110,812,1,שכר גן 536524 ,0,105410,345,1,נופשונים וקיטנות ,0,0,0
,1812689110,689110,812,1,שכר גן 535005 ,0,105930,345,1,פעולות קיץ ,"-10,900","-11,300","-15,000"
,,,"812 סה""כ",,,"60,692,200",106410,345,1,מעונות יום שיקומיים אוטיס,"-4,900","-2,700","-3,500"
,1813200110,200110,813,1,משכורות כוללות ,900,106930,345,1,מעונות יום שיקומיים ,"-375,400","-377,100","-501,500"
,1813200130,200130,813,1,שעות נוספות רשומות ,"3,400",107930,345,1,מועדונים לילדים ,0,"-34,100","-41,400"
,1813200210,200210,813,1,משכורות כוללות ,"676,400",107931,345,1,מועדונ.לילדים ולמוגר ,0,"-28,300","-2,700"
,1813200230,200230,813,1,"ש""נ לעובדים זמניים ","10,100",108410,345,1,מ.יום ותעסוקה לבוגרים אוט,0,0,0
,1813200320,200320,813,1,בית ספר פיצויים ,0,108930,345,1,מ.יוםותעסוקה לבוגרים ,"-336,000","-260,700","-324,100"
,1813200420,200420,813,1,תחזוקה מבנה ,"400,000",110930,345,1,משפחות אומנה למפגר ,"-19,500","-18,900","-19,800"
,1813200430,200430,813,1,חשמל בתי ספר ,"500,000",111930,345,1,משפחות אומנה ,"-19,000","-11,700","-15,500"
,1813200434,200434,813,1,בתי ספר יסודיים-נק ,"54,000",112930,345,1,הכנסות ,"-31,400","-39,200","-52,100"
,1813200451,200451,813,1,תוכנות מיחשוב ,"180,000",113930,345,1,סביבה תומכת ,"-192,700","-143,600","-168,500"
,1813200540,200540,813,1,ביס-טלפון ומברקים ,"16,700",201410,345,1,מסגרות יום ארוך-עצמיות ,"-10,000","-40,000","-41,600"
,1813200580,200580,813,1,הוצאות אירגוניות ,"9,000",203410,345,1,מפגרים__במעון טיפולי לימן,"-44,000","-60,000","-58,200"
,1813200722,200722,813,1,מ.החינוך הקצבות מיוחדות ,0,203930,345,1,מפגרים במעון טיפולי(לימן(,"-1,290,000","-1,248,300","-1,656,300"
,1813200750,200750,813,1,תוכנית חומש לבתי ספר ,"550,000",203931,345,1,מפגרים במעון טיפולי ,"-460,700","-265,300","-348,500"
,1813200762,200762,813,1,קרב ישובים ,"1,200,000",204410,345,1,מעש__עצמיות ,"-255,000","-278,700","-278,000"
,1813200780,200780,813,1,הוצאות אחרות ,"100,000",204930,345,1,"מעש""ים ","-821,000","-914,200","-937,300"
,1813200781,200781,813,1,מילת ,"780,000",205930,345,1,מפגרים במעון אמוני ,"-57,000","-109,300","-50,800"
,1813200782,200782,813,1,מעורבות חברתית ,"250,000",301410,345,1,שירותים תומכים למפגר ,"-1,100",-100,-200
,1813200783,200783,813,1,העשרות קיץ ,"180,000",301930,345,1,שירותים תומכים למפגר ,"-32,400","-1,353,000","-36,000"
,1813200810,200810,813,1,השתת תלמידי חוץ ,"3,600,000",302410,345,1,נופשון ,"-7,400","-10,200","-12,200"
,1813200930,200930,813,1,רכישת ציוד יסודי ,"100,000",302930,345,1,נופשונים למפגר ,"-39,100","-71,900","-39,400"
,1813210110,210110,813,1,בכור לוי ,"900,000",303930,345,1,מועדונים חברתיים למפגר ,"-67,500","-7,500","-22,200"
,1813210130,210130,813,1,בכור לוי ,"23,500",304930,345,1,הסעות למ.יום מפגרים ,"-150,000","-132,200","-159,000"
,1813210320,210320,813,1,פיצויים ,0,,"345 סה""כ",,,"-25,799,200","-22,583,800","-27,512,100"
,1813210430,210430,813,1,ביס בכור לוי ,"162,000",301930,346,1,שיקום העיוור בקהילה ,"-1,600",0,0
,1813210721,210721,813,1,בכור לוי הקצבות ,"289,700",303930,346,1,הדרכת עיוור ובני ביתו ,"-86,500","-94,700","-123,800"
,1813210722,210722,813,1,בכור לוי הקצבות ,0,401930,346,1,מפעלי שיקום לעיוור ,"-8,000",0,0
,1813210762,210762,813,1,בכור לוי-קרב ,"482,000",402930,346,1,מפעלי תעסוקה ומועדון ,"-245,000","-271,300","-357,800"
,1813211110,211110,813,1,בן גוריון ,"857,600",501410,346,1,אחזקת נכים בפנמיות ,0,"-29,000",0
,1813211130,211130,813,1,בן גוריון ,"8,700",501930,346,1,אחזקת נכים בפנמיות ,"-5,811,100","-4,404,000","-5,857,300"
,1813211430,211430,813,1,בן גוריון ,"90,000",502410,346,1,נכים במשפחות אומנה ,-700,"-2,900","-2,600"
,1813211721,211721,813,1,בן גוריון הקצבות ,"255,500",502930,346,1,נכים במשפחות אומנה ,"-163,000","-98,000","-115,100"
,1813211722,211722,813,1,בן גוריון ,"1,000",503930,346,1,מעונות ממשלתיים שיקום ,"-43,300",0,0
,1813211762,211762,813,1,בן גוריון קרב ,"450,000",601930,346,1,תעסוקה מוגנת למוגבל ,"-290,000","-430,100","-527,400"
,1813212110,212110,813,1,בן צבי ,"869,800",602410,346,1,מסגרות יום לילד מוגבל ,"-7,500",-200,0
,1813212130,212130,813,1,בן צבי ,"9,700",602930,346,1,מסגרות יום לילד המוגבל ,"-265,600","-195,100","-254,300"
,1813212430,212430,813,1,ביס בן צבי ,"60,600",603930,346,1,מרכזי איבחון ושיקום ,0,"-2,600",0
,1813212540,212540,813,1,"תקשורת בה""ס הדרים ",0,701930,346,1,תוכניות לילד החריג ,"-262,500","-288,000","-382,100"
,1813212721,212721,813,1,בן צבי הקצבות ,"154,000",702930,346,1,הסעות נכים ,"-22,300","-26,200","-26,600"
,1813212722,212722,813,1,בן צבי הקצבות ,"1,000",703410,346,1,מעונות יום שיקומי נכים ,"-140,000","-223,500","-223,000"
,1813212762,212762,813,1,בן צבי קרב ,"243,000",703930,346,1,מרכז יום שיקומי לנכים ,"-520,000","-482,200","-605,900"
,1813213110,213110,813,1,הדרים שכר ,"476,400",705930,346,1,מרכז יום שיקומי לנכים ,"-700,600","-779,300","-1,035,000"
,1813213130,213130,813,1,שעות נוספות ,"25,600",706930,346,1,תוכנית מעבר לחרשים ,"-41,500","-30,500","-32,400"
,1813213721,213721,813,1,הדרים ,"3,000",707930,346,1,תעסוקה נתמכת לנכים ,"-110,000","-84,600","-112,500"
,1813213722,213722,813,1,הדרים הקצבות ,"73,000",708410,346,1,נופשנים להבראה ,"-1,000","-1,100","-1,500"
,1813213762,213762,813,1,הדרים קרב ,"121,000",708930,346,1,נופשונים להבראה ,"-6,000","-12,800","-7,800"
,1813213780,213780,813,1,הדרים הוצ' ,"1,000",709930,346,1,חלופה מ.יום שיקומי ,"-75,000","-61,100","-81,200"
,1813214110,214110,813,1,השיטה ,"575,000",711930,346,1,מועדונים לחרשים ,0,"-4,800","-1,700"
,1813214130,214130,813,1,השיטה ,"13,000",801930,346,1,מרכזי איבחון ושיקום ,"-59,000","-49,400","-63,000"
,1813214430,214430,813,1,ביס השיטה ,"54,000",802930,346,1,שיקוםנכים בקהילה ,"-20,000","-38,200","-44,300"
,1813214721,214721,813,1,השיטה הקצבות ,"154,200",803410,346,1,נכים קשים הקהילה ,0,0,0
,1813214722,214722,813,1,השיטה הקצבות ,0,803930,346,1,נכים קשים בקהילה ,"-148,500","-99,500","-49,400"
,1813215110,215110,813,1,ויצמן ,"1,431,600",806410,346,1,מועדוניות לעיוור ,0,0,0
,1813215130,215130,813,1,ויצמן ,"25,500",806930,346,1,מועדונים לעיוור ,"-79,000","-67,700","-80,900"
,1813215430,215430,813,1,ביס ויצמן ,"92,000",807930,346,1,מרכז יום לנכים ,"-84,000","-226,900","-43,000"
,1813215721,215721,813,1,ויצמן הקצבות ,"245,000",808930,346,1,ילדים עיוורים בקהילה ,"-11,000","-20,000","-10,500"
,1813215722,215722,813,1,ויצמן הקצבות ,"3,000",,"346 סה""כ",,,"-9,202,700","-8,023,700","-10,039,100"
,1813215762,215762,813,1,ויצמן קרב ,"425,000",101930,347,1,טיפול בנוער ובצעירים ,"-210,300","-117,000","-155,600"
,1813216110,216110,813,1,יבנאלי ,"1,030,200",103930,347,1,טיפול בנערות מצוקה ,"-17,700","-13,600","-18,100"
,1813216130,216130,813,1,יבנאלי ,"7,800",104930,347,1,מקלטים לנשים מוכות ,"-280,000","-198,000","-222,100"
,1813216430,216430,813,1,ביס יבניאלי ,"60,000",106930,347,1,שהות במקלט לנערות ,"-30,000","-8,800","-11,700"
,1813216721,216721,813,1,יבנאלי הקצבות ,"142,500",109930,347,1,הכנסות פרוייקט עדי ,"-199,000","-162,400","-216,000"
,1813216722,216722,813,1,יבנאלי הקצבות ,"3,500",109931,347,1,"פרויקט עד""י ","-150,500","-114,100","-151,700"
,1813216762,216762,813,1,יבנאלי קרב ,"275,000",110930,347,1,בתים חמים לנערות ,"-223,000","-178,300","-237,100"
,1813217110,217110,813,1,סמילנסקי ,"1,405,900",111930,347,1,מ.נפגעי תקיפה מינית ,"-18,000","-63,300","-84,200"
,1813217130,217130,813,1,סמלנסקי ,"24,800",112930,347,1,טיפול בנפגעי תקיפה מינית,-800,"-15,400","-20,500"
,1813217320,217320,813,1,פיצויים ,0,201930,347,1,מעונות חסות ,"-112,000",0,0
,1813217430,"217,430",813,1,ביס סמילנסקי ,"310,000",301930,347,1,סמים טיפול בקהילה ,"-236,000","-197,400","-262,500"
,1813217721,"217,721",813,1,סמילנסקי הקצבות ,"200,000",301931,347,1,"מפת""ן ת.כמותי ","-224,400","-291,000","-387,000"
,1813217722,217722,813,1,סמלנסקי הקצבות ,"3,500",302930,347,1,בדיקות למשתמשי סמים ,"-22,900","-27,200","-20,900"
,1813217762,217762,813,1,סמילנסקי קרב ,"330,000",305930,347,1,מעון יום לנוער-סמים ,"-52,400","-27,400",0
,1813217780,217780,813,1,סמילנסקי-הוצ' אחרות ,0,305931,347,1,מ.יום לנוער סמים ,"-107,600",0,0
,1813218110,218110,813,1,שזר-שכר ,"1,245,300",402930,347,1,מפתן ממשלתי ,"-10,900",0,0
,1813218130,218130,813,1,"שזר-ש""נ ","24,300",403930,347,1,מפתן מקומי-החזקה ,"-102,900","-100,100","-124,600"
,1813218320,218320,813,1,פיצויים ,0,403931,347,1,מפתן מקומי-החזקה-ילדי חוץ,"-187,500","-179,900","-203,700"
,1813218430,218430,813,1,"ביס שז""ר ","450,000",404930,347,1,פעולות משלימות למפתנים ,"-44,600","-17,900","-23,000"
,1813218721,218721,813,1,שזר הקצבות ,"256,000",405930,347,1,סיוע למטופלים ,0,0,0
,1813218722,218722,813,1,שזר הקצבות ,"3,500",406930,347,1,"מפתן כולל כ""א ",0,0,0
,1813218762,218762,813,1,קרב שזר ,"450,000",,"347 סה""כ",,,"-2,230,500","-1,711,800","-2,138,700"
,1813219110,219110,813,1,שפרינצק-שכר ,"1,662,600",201930,348,1,פיתוח תכניות קהילתיות ,"-10,000","-11,200","-7,200"
,1813219130,219130,813,1,"שפרינצק-ש""נ ","19,800",202930,348,1,עבודות קהילתיות ,"-93,000","-144,000","-171,300"
,1813219430,219430,813,1,ביס שפרינצק ,"70,500",205930,348,1,הערכות חירום ,0,0,0
,1813219721,219721,813,1,שפרינצק הקצבות ,"248,000",301930,348,1,פעולות התנדבות בקהילה ,"-7,300","-14,500","-7,900"
,1813219722,219722,813,1,שפרינצק הקצבות ,"3,500",303930,348,1,יעוץ לאזרח ,"-2,500","-2,900",-500
,1813219762,219762,813,1,קרב שפרינצק ,"435,000",304930,348,1,עמית למשפחה ,"-28,000","-23,200",0
,1813220110,220110,813,1,שריד-שכר ,"1,262,900",500980,348,1,מ.השיכון-תנופה או ,"-550,000","-536,200","-558,800"
,1813220130,220130,813,1,"שריד-ש""נ ","37,000",501930,348,1,שיקום שכונות פעולות ,"-29,900","-21,000","-3,700"
,1813220430,220430,813,1,בית ספר-שריד ,"80,000",,"348 סה""כ",,,"-720,700","-753,000","-749,400"
,1813220721,220721,813,1,שריד ,"228,000",1930,349,1,מעונות יום-עולים ,"-360,000","-159,500","-212,100"
,1813220722,220722,813,1,שריד הקצבות ,"2,500",2930,349,1,נכים בפנמיה -עולים ,"-158,000","-16,300",0
,1813220762,220762,813,1,שריד קרב ,"350,000",5930,349,1,טיפול בעיוור-עולים ,"-12,800","-13,700","-14,400"
,1813221110,221110,813,1,שכר_רמת אלון ,"1,300",9930,349,1,"מעשיי""ם-עולים ","-52,900","-457,400","-46,900"
,1813221430,221430,813,1,ביס רמת אלון ,"165,000",10930,349,1,מפגר בפנימיה ,"-405,000","-365,500","-477,100"
,1813222110,222110,813,1,בגין-שכר ,"1,628,700",11410,349,1,משפחות עולים במצוקה ,"-1,500",-600,-700
,1813222130,222130,813,1,"בגין-ש""נ ","56,700",11930,349,1,משפחות עולים במצוקה ,"-34,300","-33,000","-38,400"
,1813222430,222430,813,1,"בי""ס בגין ","111,000",12410,349,1,ילדים בפנימיות עולים ,"-3,300",0,0
,1813222721,222721,813,1,בגין הקצבות ,"135,000",12930,349,1,ילדים בפנימיות עולים ,"-486,000","-902,400","-1,155,900"
,1813222722,222722,813,1,בגין ,"50,000",13930,349,1,ילדים במצוקה-עולים ,"-76,800","-103,600","-101,500"
,1813222762,222762,813,1,קרב בגין ,"220,000",14930,349,1,טיפול בזקנים-עולים ,"-93,900","-128,600","-88,600"
