"הצעת   התקציב   הרגיל   לשנת   2014   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2013,הצעה,,
348100  סך הכל ,,,,עבודה קהילתית     ,,3.59%,"-202,100","-195,100","-166,080.00"
0,360000,1,,קליטת עליה        , ,,                ,                ,
0,368000,1,,אולפנים לעברית    , ,,                ,                ,
750,368000,1,,אולפני סוכנות     ,גמיש,0.00%,"-100,000","-100,000","-63,115.20"
368000  סך הכל ,,,,אולפנים לעברית    ,,0.00%,"-100,000","-100,000","-63,115.20"
0,369000,1,,שרותים לקליטת עליה, ,,                ,                ,
951,369000,1,,משרד הקליטה-ארועים,גמיש,0.00%,"-200,000","-200,000","-567,018.00"
369000  סך הכל ,,,,שרותים לקליטת עליה,,0.00%,"-200,000","-200,000","-567,018.00"
0,370000,1,,איכות הסביבה      , ,,                ,                ,
0,379000,1,,יח' לאיכות סביבה  , ,,                ,                ,
690,379000,1,,קנסות-זיהום ממפעלים,גמיש,0.00%,0,0,-462.42
790,379000,1,,השתתפות מועצת אזור,גמיש,0.00%,"-16,000","-16,000","-13,610.00"
990,379000,1,,מש' איכות הסביבה  ,גמיש,0.00%,"-218,700","-218,700","-131,239.00"
991,379000,1,,חנוך סביבתי-מ'איכו,גמיש,0.00%,"-100,000","-100,000","-7,823.20"
379000  סך הכל ,,,,יח' לאיכות סביבה  ,,0.00%,"-334,700","-334,700","-153,134.62"
0,400000,1,,מפעלים            , ,,                ,                ,
0,410000,1,,מים               , ,,                ,                ,
0,412000,1,,גביה              , ,,                ,                ,
111,412000,1,,החזר הנחות מימון,גמיש,0.00%,0,0,0
211,412000,1,,אספקת מים גביה    ,גמיש,-16.67%,"-250,000","-300,000","-543,517.56"
212,412000,1,,דמי בדיקת מדים    ,גמיש,0.00%,0,0,"7,305.50"
213,412000,1,,אג' ניתוק/חיבור מד,גמיש,0.00%,0,0,0
214,412000,1,,גביה - חב' מילגם,גמיש,0.00%,0,0,"-13,011.82"
215,412000,1,,שינוי ח' מים-צרכן,גמיש,0.00%,0,0,-366.81
216,412000,1,,חיבור מדים - תאגיד,גמיש,0.00%,0,0,0
661,412000,1,,עמלת גביה,גמיש,-1.92%,"-5,100,000","-5,200,000","-5,303,861.00"
662,412000,1,,שרותים לתאגיד,גמיש,6.25%,"-425,000","-400,000","-425,548.00"
663,412000,1,,שיפוי שכר תאגיד המים,גמיש,5.00%,"-273,000","-260,000","-273,153.00"
664,412000,1,,"השתתפות במל""ח",גמיש,0.00%,0,0,0
412000  סך הכל ,,,,מים גבייה,,-1.82%,"-6,048,000","-6,160,000","-6,552,152.69"
0,430000,1,,נכסים             , ,,                ,                ,
0,433000,1,,משרדים ועסקים     , ,,                ,                ,
420,433000,1,,"שכ""ד - בית קפה ""קקאו""",גמיש,233.33%,"-100,000","-30,000","-3,251.00"
430,433000,1,,בית קפה-גן בח' - 300,גמיש,0.00%,"-166,000",0,"-228,426.52"
431,433000,1,,"חשמל - בית קפה ""קקאו""",גמיש,0.00%,"-60,000",0,"-23,453.00"
640,433000,1,,"שכ""ד - חכ""ל  686",גמיש,16.67%,"-5,250,000","-4,500,000","-3,556,452.00"
641,433000,1,,"שכ""ד - מזנון העירייה",גמיש,0.00%,"-21,000",0,"-18,000.00"
642,433000,1,,"דמ""ח חכ""ל",גמיש,3.70%,"-140,000","-135,000",0
643,433000,1,,"שכ""ד - משען  683",גמיש,1.03%,"-137,000","-135,600","-133,423.00"
644,433000,1,,"שכ""ד-מכון טכנולוגי  684",גמיש,2.87%,"-502,000","-488,000","-490,646.00"
645,433000,1,,"שכ""ד - אג""ד  555",גמיש,-100.00%,0,"-187,000","-183,530.00"
646,433000,1,,"שכ""ד - תלפיות 685",גמיש,27.50%,"-918,000","-720,000","-878,402.70"
647,433000,1,,"שכ""ד מוסדות חינוך",גמיש,-100.00%,0,"-48,000","-48,000.00"
648,433000,1,,"שכ""ד - גלידריה גופרה 695",גמיש,0.00%,"-228,000",0,"-13,150.00"
649,433000,1,,"שכ""ד - שיקום הילד 693",גמיש,1.63%,"-168,700","-166,000","-163,008.58"
691,433000,1,,החזר מס רכוש,גמיש,0.00%,0,0,0
433000  סך הכל ,,,,משרדים ועסקים     ,,19.99%,"-7,690,700","-6,409,600","-5,739,742.80"
0,439000,1,,דמי זיכיון        , ,,                ,                ,
670,439000,1,,"דמ""ז - ח' לבידור  556",גמיש,1.74%,"-3,500,000","-3,440,000","-3,370,877.00"
671,439000,1,,דמי זכיון  משלטים        ,גמיש,0.00%,"-1,600,000","-1,600,000","-1,631,384.08"
672,439000,1,,זיכיון-סככות אוטו',גמיש,0.00%,0,0,0
673,439000,1,,הרשאה - מוניות קניון,גמיש,0.00%,"-17,000","-17,000","-17,072.00"
439000  סך הכל ,,,,דמי זיכיון        ,,1.19%,"-5,117,000","-5,057,000","-5,019,333.08"
0,470000,1,,מפעל הביוב        , ,,                ,                ,
0,472000,1,,ביוב עירוני       , ,,                ,                ,
111,472000,1,,החזר הנחות מימון,גמיש,0.00%,0,0,0
210,472000,1,,אג' ביוב-איגוד ערים         ,גמיש,-10.00%,"-180,000","-200,000","-180,867.72"
211,472000,1,,אגרת ביוב- מקומית,גמיש,0.00%,0,0,0
212,472000,1,,אגרת ביוב- פחת,גמיש,0.00%,0,0,0
213,472000,1,,אגרת ביוב- שידרוג,גמיש,0.00%,0,0,0
410,472000,1,,"חיבור ביוב ע""ח צרכן",גמיש,0.00%,0,0,0
472000  סך הכל ,,,,ביוב עירוני       ,,-10.00%,"-180,000","-200,000","-180,867.72"
0,500000,1,,תקבולים לא רגילים , ,,                ,                ,
0,510000,1,,ריב'+החזר הוצ' ש.ק, ,,                ,                ,
0,511000,1,,ריבית ודיווידנדים , ,,                ,                ,
662,511000,1,,רבית ודיוידנדים   ,גמיש,-33.33%,"-12,000,000","-18,000,000",0
511000  סך הכל ,,,,ריבית ודיווידנדים ,,-33.33%,"-12,000,000","-18,000,000",0
0,512000,1,,ריבית מהקדמת תשלום, ,,                ,                ,
661,512000,1,,רבית מהקדמת תשלום ,גמיש,-50.00%,"-50,000","-100,000","-84,600.46"
664,512000,1,,רבית משקים חוזרים ,גמיש,-33.33%,"-40,000","-60,000","-28,380.97"
512000  סך הכל ,,,,ריבית מהקדמת תשלום,,-43.75%,"-90,000","-160,000","-112,981.43"
0,513000,1,,החזרים-שנים קודמות, ,,                ,                ,
690,513000,1,,הכנסות-שנים קודמות,גמיש,-33.33%,"-500,000","-750,000","-229,159.11"
691,513000,1,,פרעון שטרי הון,גמיש,0.00%,0,0,0
513000  סך הכל ,,,,החזרים-שנים קודמות,,-33.33%,"-500,000","-750,000","-229,159.11"
0,590000,1,,הכנסות מיוחדות    , ,,                ,                ,
0,594000,1,,הכנסות מיוחדות    , ,,                ,                ,
691,594000,1,,תקב'-הביטוח הלאומי,גמיש,0.00%,"-300,000","-300,000","-192,215.00"
692,594000,1,,השתתפות בגימלה    ,גמיש,0.00%,"-1,100,000","-1,100,000","-593,395.15"
693,594000,1,,החזר הוצ' משפטיות ,גמיש,0.00%,"-200,000","-200,000","-268,761.47"
694,594000,1,,הכנסות שונות      ,גמיש,0.00%,"-600,000","-600,000","-2,778,753.32"
695,594000,1,,חשמל - מוזיאון הקריקטורות,גמיש,0.00%,0,0,0
696,594000,1,,חשמל - החברה  הכלכלית,גמיש,0.00%,0,0,0
790,594000,1,,תחזוקת משאיות התאגיד,גמיש,0.00%,"-10,000","-10,000","-10,000.00"
791,594000,1,,"הכנסות משכ""ל    ",גמיש,0.00%,"-250,000","-250,000","-237,498.00"
930,594000,1,,מענק תיאגוד,גמיש,0.00%,0,0,0
931,594000,1,,"מענק מתאגיד ""מי שקמה""",גמיש,-65.17%,"-1,045,000","-3,000,000",0
594000  סך הכל ,,,,הכנסות מיוחדות    ,,-35.81%,"-3,505,000","-5,460,000","-4,080,622.94"
0,599000,1,,הכנסות-קרנות הרשות, ,,                ,                ,
690,599000,1,,הכנס' מקרנות הרשות,גמיש,70.00%,"-2,550,000","-1,500,000",0
599000  סך הכל ,,,,הכנסות-קרנות הרשות,,70.00%,"-2,550,000","-1,500,000",0
0,599300,1,,העברות, ,,                ,                ,
690,599300,1,,העברת יתרות,גמיש,0.00%,0,0,"2,211,805.59"
599300  סך הכל ,,,,העברות,,0.00%,0,0,"2,211,805.59"
"סה""כ  תקבולים",,,,,,5.07%,"-1,069,500,000","-1,017,900,000","-962,422,094.43"
,,,,תשלומים,,,,,
0,600000,1,,הנהלה כללית       ,,,                ,                ,
0,610000,1,,מינהל כללי        ,,,                ,                ,
0,611100,1,,ראש  הרשות וסגניו ,,,,,
100,611100,1,,שכר עובדים לפי תקן,,,,,
110,611100,1,,השכר הקובע-תקציבית,שכר,0.44%,"1,427,500","1,421,300","1,348,768.18"
119,611100,1,,השכר הקובע-צוברת  ,שכר,16.48%,"2,761,700","2,371,000","2,397,281.75"
122,611100,1,,ביגוד             ,שכר,9.38%,"58,300","53,300","57,737.75"
126,611100,1,,דמי הבראה         ,שכר,1.03%,"78,500","77,700","64,033.70"
130,611100,1,,שעות נוספות       ,שכר,-14.81%,"11,500","13,500","17,180.75"
140,611100,1,,השתתפות באחזקת רכב,שכר,1.83%,"328,800","322,900","309,506.10"
350,611100,1,,ליסינג - 99-172-59,שכר,0.00%,"55,000","55,000","49,749.71"
351,611100,1,,הוצאות - 99-172-59,שכר,0.00%,"48,000","48,000","43,346.32"
352,611100,1,,הוצ' רכב - 64-539-63,שכר,0.00%,0,0,"1,893.12"
353,611100,1,,הוצ' רכב 65-700-73,שכר,-9.33%,"35,000","38,600","25,224.83"
400,611100,1,,אחזקת בנינים וציוד, ,,,,0
441,611100,1,,בטוח אחריות בכירים,קשיח,0.00%,"90,000","90,000","76,184.00"
471,611100,1,,מכשירי כתיבה      ,גמיש,0.00%,"45,000","45,000","24,689.30"
492,611100,1,,השתתפות בעזר 092  ,קשיח,17.69%,"478,400","406,500","423,486.00"
500,611100,1,,הוצאות מינהליות   , ,,,,0
511,611100,1,,אירוח וכיבוד      ,גמיש,-20.00%,"48,000","60,000","59,947.71"
512,611100,1,,"נסיעות ואש""ל      ",גמיש,-21.43%,"1,100","1,400",638.98
522,611100,1,,ספרים ועיתונים    ,גמיש,-20.00%,"20,000","25,000","17,078.89"
540,611100,1,,הוצאות טלפון      ,קשיח,0.00%,"4,000","4,000","2,638.34"
543,611100,1,,טלפונים סלולריים  ,גמיש,0.00%,"17,000","17,000","16,758.86"
544,611100,1,,הוצאות דאר        ,קשיח,0.00%,"60,600","60,600","54,534.21"
550,611100,1,,פירסומים          ,גמיש,0.00%,"800,000","800,000","981,683.47"
551,611100,1,,מבצע פירסום       ,גמיש,0.00%,"250,000","250,000","247,066.43"
561,611100,1,,שיכפולים          ,גמיש,0.00%,"10,000","10,000","9,981.99"
562,611100,1,,הדפסות            ,גמיש,0.00%,"7,000","7,000","11,870.20"
563,611100,1,,הדפסת פרטיכלים    ,גמיש,-20.00%,"14,400","18,000","9,328.20"
571,611100,1,,"מיכון וענ""א       ",קשיח,-10.81%,"143,600","161,000","161,100.00"
596,611100,1,,השתתפות בעזר 096  ,קשיח,-3.64%,"121,700","126,300","155,165.00"
611100  סך הכל ,,,,ראש  הרשות וסגניו ,,6.66%,"6,915,100","6,483,100","6,566,873.79"
0,612000,1,,מבקר הרשות        , ,,                ,                ,
100,612000,1,,שכר עובדים לפי תקן, ,,,,0
110,612000,1,,השכר הקובע-תקציבית,שכר,0.22%,"555,000","553,800","542,815.82"
119,612000,1,,השכר הקובע-צוברת  ,שכר,4.57%,"176,300","168,600","71,508.25"
122,612000,1,,ביגוד             ,שכר,-8.26%,"10,000","10,900","8,774.45"
126,612000,1,,דמי הבראה         ,שכר,-40.91%,"11,700","19,800","15,733.80"
140,612000,1,,השתתפות באחזקת רכב,שכר,15.97%,"36,300","31,300","6,282.25"
350,612000,1,,ליסינג - 34-796-72,שכר,0.00%,"40,400","40,400","30,893.94"
351,612000,1,,הוצאות - 34-796-72,שכר,0.00%,"18,000","18,000","17,034.74"
400,612000,1,,אחזקת בנינים וציוד, ,,,,0
470,612000,1,,אחזקת מכונות      ,גמיש,-20.00%,"1,600","2,000",200.15
471,612000,1,,מכשירי כתיבה      ,גמיש,0.00%,"9,000","9,000","7,818.57"
500,612000,1,,הוצאות מינהליות   , ,,,,0
511,612000,1,,אירוח וכיבוד      ,גמיש,0.00%,"8,000","8,000","6,081.29"
522,612000,1,,ספרים ועיתונים    ,גמיש,0.00%,"9,000","9,000","5,447.00"
562,612000,1,,הדפסות            ,גמיש,-20.34%,"9,400","11,800","5,073.00"
571,612000,1,,"מיכון וענ""א       ",קשיח,-10.92%,"20,400","22,900","22,900.00"
580,612000,1,,סקרים ויעוץ חיצוני,גמיש,0.00%,"180,000","180,000","156,213.40"
612000  סך הכל ,,,,מבקר הרשות        ,,-0.04%,"1,085,100","1,085,500","896,776.66"
0,613100,1,,"משרד מנכ""ל העירייה", ,,                ,                ,
100,613100,1,,שכר עובדים לפי תקן, ,,                ,                ,0
110,613100,1,,השכר הקובע-תקציבית,שכר,33.05%,"1,692,200","1,271,900","1,189,860.91"
119,613100,1,,השכר הקובע-צוברת  ,שכר,29.95%,"891,200","685,800","550,653.27"
122,613100,1,,ביגוד             ,שכר,7.72%,"34,900","32,400","27,620.20"
126,613100,1,,דמי הבראה         ,שכר,5.90%,"48,500","45,800","36,278.20"
130,613100,1,,שעות נוספות       ,שכר,-39.51%,"36,900","61,000","43,975.65"
140,613100,1,,השתתפות באחזקת רכב,שכר,12.81%,"235,100","208,400","212,168.35"
253,613100,1,,עובדים חיצוניים   ,שכר,0.00%,"45,000",0,0
350,613100,1,,ליסינג - 96-510-59,שכר,0.00%,0,0,117.99
351,613100,1,,הוצאות - 96-510-59,שכר,0.00%,"35,000","35,000","31,294.42"
400,613100,1,,אחזקת בנינים וציוד, ,,,,0
471,613100,1,,מכשירי כתיבה      ,גמיש,0.00%,"10,000","10,000","7,551.85"
500,613100,1,,הוצאות מינהליות   , ,,,,0
511,613100,1,,אירוח וכיבוד      ,גמיש,0.57%,"17,600","17,500","17,499.60"
512,613100,1,,"נסיעות ואש""ל      ",גמיש,-20.00%,400,500,158
522,613100,1,,ספרים ועיתונים    ,גמיש,0.00%,"5,300","5,300","5,300.00"
544,613100,1,,הוצאות דאר        ,קשיח,0.00%,"27,800","27,800","7,199.94"
561,613100,1,,שיכפולים          ,גמיש,-20.00%,"16,000","20,000","4,983.00"
562,613100,1,,הדפסות            ,גמיש,-21.05%,"3,000","3,800",585
571,613100,1,,"מיכון וענ""א       ",קשיח,-10.75%,"40,700","45,600","45,600.00"
580,613100,1,,פעולות שונות      ,גמיש,-20.00%,"9,200","11,500","11,271.59"
596,613100,1,,השתתפות בעזר 096  ,קשיח,-3.77%,"10,200","10,600","10,028.00"
780,613100,1,,"פעילות ""צעירים""",גמיש,0.00%,"500,000",0,
781,613100,1,,ניהול הרשות במדיה החברתית,גמיש,0.00%,"55,000",0,
613100  סך הכל ,,,,"משרד מנכ""ל העירייה",,48.98%,"3,714,000","2,492,900","2,202,145.97"
0,613200,1,,מז' תיפעול  ומינהל, ,,                ,                ,
100,613200,1,,שכר עובדים לפי תקן, ,,                ,                ,0
110,613200,1,,השכר הקובע-תקציבית,שכר,-35.94%,"203,400","317,500","402,785.83"
119,613200,1,,השכר הקובע-צוברת  ,שכר,-10.82%,"1,073,800","1,204,100","990,352.06"
122,613200,1,,ביגוד             ,שכר,8.14%,"23,900","22,100","17,902.35"
126,613200,1,,דמי הבראה         ,שכר,1.60%,"50,700","49,900","90,940.06"
130,613200,1,,שעות נוספות       ,שכר,0.00%,"10,000","10,000","1,846.35"
140,613200,1,,השתתפות באחזקת רכב,שכר,17.57%,"147,900","125,800","128,498.75"
350,613200,1,,ליסינג - 73-627-69,שכר,-14.89%,"40,000","47,000","35,086.05"
351,613200,1,,הוצאות - 73-627-69,שכר,15.00%,"23,000","20,000","15,365.08"
400,613200,1,,אחזקת בנינים וציוד, ,,,,0
470,613200,1,,אחזקת מכונות משרד ,גמיש,0.00%,"20,000","20,000","19,999.32"
471,613200,1,,מכשירי כתיבה      ,גמיש,0.00%,"22,000","22,000","20,541.72"
492,613200,1,,השתתפות בעזר 092  ,קשיח,24.37%,"556,700","447,600","482,914.00"
511,613200,1,,אירוח וכיבוד      ,גמיש,-23.48%,"8,800","11,500","8,054.88"
512,613200,1,,"נסיעות ואש""ל      ",גמיש,-16.67%,500,600,"2,831.65"
522,613200,1,,ספרים ועיתונים    ,גמיש,-20.33%,"9,800","12,300","9,631.00"
541,613200,1,,משלוחים           ,גמיש,0.00%,"100,000","100,000","91,208.59"
544,613200,1,,הוצאות דאר        ,קשיח,-69.39%,"18,000","58,800","46,461.27"
562,613200,1,,הדפסות            ,גמיש,-21.21%,"2,600","3,300","1,138.61"
563,613200,1,,הדפסת פרטיכלים    ,גמיש,-20.00%,"2,400","3,000","1,092.80"
571,613200,1,,"מיכון וענ""א       ",קשיח,-10.81%,"91,600","102,700","102,800.00"
580,613200,1,,סקר חשמל  ,קשיח,0.00%,"60,000","60,000","35,091.00"
581,613200,1,,סקר תקשורת,קשיח,0.00%,"25,000","25,000",0
582,613200,1,,סקר מוני מים,קשיח,-100.00%,0,"49,000","48,930.00"
781,613200,1,,"פעולות סמנכ""ל",גמיש,-19.79%,"7,700","9,600","5,983.41"
794,613200,1,,השתתפות בעזר 094  ,קשיח,2.89%,"60,500","58,800","57,186.00"
613200  סך הכל ,,,,מז' תיפעול  ומינהל,,-7.99%,"2,558,300","2,780,600","2,616,640.78"
0,613220,1,,האגף למערכות מידע ותקשוב, ,,                ,                ,
400,613220,1,,אחזקת בנינים וציוד, ,,                ,                ,0
435,613220,1,,תחזוקת תוכנה      ,קשיח,14.02%,"1,220,000","1,070,000","1,179,792.52"
438,613220,1,,תחזוקת חומרה-חוזה ,קשיח,-100.00%,0,"290,600","290,783.08"
439,613220,1,,שאילתות מינהל האוכלוסין,קשיח,0.00%,"56,000","56,000","45,712.09"
471,613220,1,,מכשירי כתיבה      ,גמיש,0.00%,"2,400","2,400",0
492,613220,1,,השתתפות בעזר 092  ,קשיח,0.00%,"108,000","108,000","101,438.00"
511,613220,1,,אירוח וכיבוד      ,גמיש,6.67%,"3,200","3,000","2,873.46"
521,613220,1,,השתלמויות עובדים  ,גמיש,-20.14%,"23,000","28,800","4,900.00"
522,613220,1,,ספרים ועיתונים    ,גמיש,-20.83%,"3,800","4,800",0
561,613220,1,,שיכפולים          ,גמיש,-22.22%,700,900,0
700,613220,1,,הוצאות לפעולות    , ,,,,0
723,613220,1,,חומרים אוזלים     ,גמיש,-20.00%,"84,000","105,000","40,841.57"
743,613220,1,,"אחזקה עפ""י קריאה  ",גמיש,-100.00%,0,"70,000",548.56
753,613220,1,,שכר עובדי אוטומציה,קשיח,0.00%,"4,800,000","4,800,000","3,882,816.40"
755,613220,1,,תוכניתנים חיצוניים,גמיש,100.17%,"720,600","360,000","442,183.29"
794,613220,1,,השתתפות בעזר 094  ,קשיח,2.69%,"19,100","18,600","18,042.00"
900,613220,1,,הוצאות חד פעמיות  , ,,,,0
931,613220,1,,"רכישות / העברה לתב""ר",גמיש,-100.00%,0,"700,000","659,528.79"
932,613220,1,,קיזוז עלויות תאגיד,גמיש,0.00%,"-693,000","-693,000",0
934,613220,1,,רכישות            ,גמיש,-100.00%,0,"67,200","66,339.00"
613220  סך הכל ,,,,אגף למע' מידע ותקשוב,,-9.22%,"6,347,800","6,992,300","6,735,798.76"
0,613221,1,,האגף למערכות מידע ותקשוב, ,,                ,                ,
571,613221,1,,"שרותי מיכון וענ""א ",קשיח,-9.22%,"-6,347,500","-6,992,300","-6,991,900.00"
613221  סך הכל ,,,,אגף למע' מידע ותקשוב,,-9.22%,"-6,347,500","-6,992,300","-6,991,900.00"
0,613300,1,,גנזך ומוזיאון     , ,,                ,                ,
100,613300,1,,שכר עובדים לפי תקן, ,,                ,                ,0
110,613300,1,,השכר הקובע-תקציבית,שכר,1.43%,"127,800","126,000","120,145.78"
119,613300,1,,השכר הקובע-צוברת  ,שכר,6.05%,"50,800","47,900","47,587.89"
122,613300,1,,ביגוד             ,שכר,24.39%,"5,100","4,100","3,400.85"
126,613300,1,,דמי הבראה         ,שכר,0.00%,"13,300","13,300","10,500.00"
140,613300,1,,השתתפות באחזקת רכב,שכר,-13.93%,"21,000","24,400","23,658.05"
400,613300,1,,אחזקת בנינים וציוד, ,,,,0
410,613300,1,,השתת במס ועד בית  ,קשיח,0.00%,"5,000","5,000","4,260.00"
420,613300,1,,כיבוי אש          ,גמיש,0.00%,"1,500","1,500","1,500.00"
431,613300,1,,חשמל              ,קשיח,25.00%,"4,000","3,200","3,966.21"
432,613300,1,,מים               ,קשיח,0.00%,800,800,0
433,613300,1,,חומרי נקיון       ,גמיש,-100.00%,0,"2,000",0
437,613300,1,,אחזקת אזעקה       ,קשיח,0.00%,"2,000",0,
471,613300,1,,מכשירי כתיבה      ,גמיש,0.00%,600,600,262.96
561,613300,1,,שיכפולים          ,גמיש,-25.00%,300,400,0
562,613300,1,,הדפסות            ,גמיש,-22.22%,700,900,0
571,613300,1,,"מיכון וענ""א       ",קשיח,-10.92%,"20,400","22,900","22,900.00"
700,613300,1,,הוצאות לפעולות    , ,,,,0
721,613300,1,,חמרים-חחזוקת מבנים,גמיש,0.00%,600,600,587.2
722,613300,1,,חמרים-תחזוקה עצמית,גמיש,-100.00%,0,500,104.18
751,613300,1,,עבודות קבלניות    ,גמיש,-100.00%,0,"1,500","1,250.00"
752,613300,1,,נקיון בקבלנות     ,קשיח,-9.27%,"18,600","20,500","20,150.91"
757,613300,1,,שרותי גניזה,גמיש,-11.11%,"16,000","18,000","15,000.00"
794,613300,1,,השתתפות בעזר 094  ,קשיח,5.00%,"2,100","2,000","1,976.00"
900,613300,1,,הוצאות חד-פעמיות  , ,,,,0
613300  סך הכל ,,,,גנזך ומוזיאון     ,,-1.86%,"290,600","296,100","277,250.03"
0,613400,1,,רשום תכולה        , ,,                ,                ,
100,613400,1,,שכר עובדים לפי תקן, ,,                ,                ,0
110,613400,1,,השכר הקובע-תקציבית,שכר,-7.40%,"108,900","117,600","100,968.69"
122,613400,1,,ביגוד             ,שכר,0.00%,"2,400","2,400","1,972.20"
126,613400,1,,דמי הבראה         ,שכר,1.54%,"6,600","6,500","5,187.00"
140,613400,1,,השתתפות באחזקת רכב,שכר,-39.83%,"13,900","23,100","19,246.90"
400,613400,1,,אחזקת בנינים וציוד, ,,,,0
571,613400,1,,"מיכון וענ""א       ",קשיח,-10.62%,"10,100","11,300","11,300.00"
710,613400,1,,הובלות והסעות     ,גמיש,-20.00%,"24,000","30,000","24,707.00"
613400  סך הכל ,,,,רשום תכולה        ,,-13.10%,"165,900","190,900","163,381.79"
0,615000,1,,מנגנון            , ,,                ,                ,
100,615000,1,,שכר עובדים לפי תקן, ,,                ,                ,0
110,615000,1,,השכר הקובע-תקציבית,שכר,-14.70%,"767,800","900,100","977,412.52"
119,615000,1,,השכר הקובע-צוברת  ,שכר,19.77%,"1,647,100","1,375,200","1,274,363.48"
122,615000,1,,ביגוד             ,שכר,-21.22%,"38,600","49,000","39,833.40"
126,615000,1,,דמי הבראה         ,שכר,-10.76%,"78,800","88,300","70,010.70"
130,615000,1,,שעות נוספות       ,שכר,0.00%,"6,000","6,000","2,037.60"
140,615000,1,,השתתפות באחזקת רכב,שכר,11.18%,"341,000","306,700","330,934.85"
255,615000,1,,"מ""מ עובדים חיצוניים",שכר,20.00%,"60,000","50,000","110,061.00"
400,615000,1,,אחזקת בנינים וציוד, ,,,,0
471,615000,1,,מכשירי כתיבה      ,גמיש,133.33%,"35,000","15,000","14,095.33"
500,615000,1,,הוצאות מינהליות   , ,,,,0
511,615000,1,,אירוח וכיבוד      ,גמיש,20.00%,"2,400","2,000","1,999.85"
512,615000,1,,"נסיעות ואש""ל      ",גמיש,-20.00%,400,500,0
521,615000,1,,השתלמויות-ימי עיון,גמיש,-20.00%,"69,600","87,000","79,808.60"
523,615000,1,,השתתפות באירגונים ,גמיש,-5.88%,"80,000","85,000","84,978.80"
524,615000,1,,קורסים מקצועיים   ,גמיש,-20.00%,"56,000","70,000","37,825.00"
525,615000,1,,השתת' בשכר לימוד  ,גמיש,0.00%,"67,000","67,000","36,397.00"
526,615000,1,,חברות-עמותות השתל',גמיש,0.00%,"500,000","500,000","438,526.00"
527,615000,1,,"עמותת ""שלך""",גמיש,-100.00%,0,"170,000",0
544,615000,1,,הוצאות דאר        ,קשיח,0.00%,"1,000","1,000",193.56
550,615000,1,,פירסומים          ,גמיש,0.00%,"250,000","250,000","268,638.10"
562,615000,1,,הדפסות            ,גמיש,-21.05%,"3,000","3,800","2,929.74"
571,615000,1,,"מיכון וענ""א       ",קשיח,-10.79%,"121,600","136,300","136,400.00"
580,615000,1,,בדיקות פסיכוטכניות,גמיש,233.33%,"200,000","60,000","59,415.49"
581,615000,1,,בדיקות רפואיות    ,גמיש,-20.00%,"40,000","50,000","14,999.00"
582,615000,1,,יעוץ משפטי,גמיש,1.49%,"408,000","402,000","390,637.34"
700,615000,1,,הוצאות לפעולות    , ,,,,0
780,615000,1,,פעולות רווחה      ,גמיש,-20.00%,"8,000","10,000","8,044.30"
781,615000,1,,טיפול  בפנסיונרים ,גמיש,-20.00%,"8,000","10,000","3,147.55"
782,615000,1,,עובד מצטיין       ,גמיש,0.00%,"48,000","48,000","36,238.00"
783,615000,1,,השתלמות מקצועית לעובדים,גמיש,0.00%,"240,000","240,000","188,954.64"
932,615000,1,,רכישות            ,גמיש,-20.00%,"4,000","5,000","2,800.72"
615000  סך הכל ,,,,מנגנון            ,,1.87%,"5,081,300","4,987,900","4,610,682.57"
0,616000,1,,פיתוח משאבי אנוש, ,,                ,                ,
110,616000,1,,השכר הקובע-תקציבית,שכר,-0.46%,"306,100","307,500","297,444.33"
119,616000,1,,השכר הקובע-צוברת  ,שכר,2.53%,"267,600","261,000","239,799.53"
122,616000,1,,ביגוד             ,שכר,1.69%,"12,000","11,800","10,145.45"
126,616000,1,,דמי הבראה         ,שכר,0.54%,"18,700","18,600","14,700.00"
130,616000,1,,שעות נוספות       ,שכר,-1.86%,"31,600","32,200","30,726.00"
140,616000,1,,השתתפות באחזקת רכב,שכר,7.26%,"96,000","89,500","92,042.65"
470,616000,1,,אחזקת מכונות משרד ,גמיש,-20.00%,"2,400","3,000",923.77
471,616000,1,,מכשירי כתיבה      ,גמיש,0.00%,"5,000","5,000","2,175.56"
511,616000,1,,אירוח וכיבוד      ,גמיש,-20.00%,"1,200","1,500","1,205.18"
522,616000,1,,ספרים ועיתונים    ,גמיש,-20.00%,800,"1,000",621
561,616000,1,,שיכפולים          ,גמיש,-20.00%,"1,600","2,000","1,287.00"
571,616000,1,,"מיכון וענ""א       ",קשיח,-10.75%,"40,700","45,600","45,600.00"
780,616000,1,,פיתוח משאבי אנוש,גמיש,-20.00%,"326,400","408,000","313,613.50"
616000  סך הכל ,,,,פיתוח משאבי אנוש,,-6.45%,"1,110,100","1,186,700","1,050,283.97"
0,617000,1,,שרות משפטי        , ,,                ,                ,
110,617000,1,,השכר הקובע-תקציבית,שכר,0.48%,"312,700","311,200","295,611.76"
119,617000,1,,השכר הקובע-צוברת  ,שכר,10.93%,"2,728,100","2,459,400","2,369,290.95"
122,617000,1,,ביגוד             ,שכר,39.07%,"50,900","36,600","40,500.20"
126,617000,1,,דמי הבראה         ,שכר,10.90%,"69,200","62,400","57,773.80"
130,617000,1,,שעות נוספות       ,שכר,-10.51%,"29,800","33,300","29,878.65"
140,617000,1,,השתתפות באחזקת רכב,שכר,2.45%,"276,300","269,700","257,998.00"
