חשבון ,פרק,שם חשבון ,מחלקה ,מקורי 2015 ,ביצוע עד ספטמ,תקציב 2016-כו,תקציב בסיס 2016
1617000141,61,החזר הוצאות אחר ,1617000,"89,000","72,800","105,000","105,000"
1617000181,61,הפרשות סוציאליות ,1617000,"431,000","357,400","501,000","501,000"
1617000182,61,מיסים ועלויות ,1617000,"385,000","297,900","430,000","430,000"
1617000210,61,משכורת זמנית ,1617000,0,0,0,0
1617000441,61,ביטוח ,1617000,"31,000","2,400","30,000","30,000"
1617000470,61,ציוד משרדי מתכלה ,1617000,"16,000","7,400","16,000","16,000"
1617000471,61,מכונות צילום ,1617000,"5,800","5,800","6,200","6,200"
1617000510,61,כיבוד ,1617000,"2,000",900,"2,000","2,000"
1617000521,61,השתלמויות ,1617000,"15,000","11,800","15,000","15,000"
1617000522,61,ספרות מקצועית ועתונות ,1617000,"15,000","1,300","15,000","15,000"
1617000530,61,רכב צמוד 7657471 ,1617000,"30,000","8,100","30,000","30,000"
1617000531,61, 89-773-66,1617000,"30,000","6,800","30,000","30,000"
1617000540,61,דואר וטלפון ,1617000,"5,000","3,000","5,000","5,000"
1617000541,61,משלוחים ,1617000,"3,000","2,400","3,000","3,000"
1617000542,61,"רט""ן-תקשורת סלולרית ",1617000,"9,900","6,700","12,000","12,000"
1617000572,61,תוכנה ,1617000,"17,000","10,900","18,000","18,000"
1617000581,61,הוצאות משפטיות(אגרות בול(,1617000,"130,000","91,500","130,000","130,000"
1617000582,61,"הוצאות משפטיות-ע""פ חוזה ",1617000,"720,000","528,900","720,000","720,000"
1617000583,61,הוצאות משפטיות שונות ,1617000,"1,500,000","1,140,500","1,500,000","1,500,000"
1617000584,61,ניהול אוכלוסין - תוכנה ,1617000,"5,000",600,"5,000","5,000"
1617000585,61,ועדת ערר ,1617000,"100,000","33,500","100,000","50,000"
1617000761,61,"שכ""ט מוממחים ",1617000,"16,000",0,"16,000","16,000"
1617000810,61,בית הדין למשמעת - השתת' א,1617000,0,0,"50,000","50,000"
1618000110,61,השכר הקובע ,1618000,"533,000","415,000","635,000","635,000"
1618000120,61,תוספות שלא נכללות ,1618000,"43,000","37,500","50,000","50,000"
1618000130,61,שעות נוספות ,1618000,"11,000","9,300","13,000","11,700"
1618000140,61,החזר הוצאות ,1618000,"62,000","48,100","71,000","71,000"
1618000141,61,החזר הוצאות אחרות ,1618000,"21,000","16,100","25,000","25,000"
1618000181,61,הפרשות סוציאליות ,1618000,"120,000","94,500","143,000","143,000"
1618000182,61,מיסים ועלויות ,1618000,"100,000","78,600","120,000","120,000"
1618000210,61,שכר עובדים זמניים ,1618000,0,0,0,0
1618000470,61,ציוד משרדי ,1618000,"8,000","5,800","8,000","8,000"
1618000471,61,מכונות צילום ,1618000,"3,500","3,500","3,700","3,700"
1618000510,61,כיבוד ,1618000,"2,000",400,"2,000","2,000"
1618000522,61,ספרות מקצועית ,1618000,"5,000","3,100","5,000","5,000"
1618000530,61, 13-210-30,1618000,"35,000","44,100","44,000","44,000"
1618000540,61,דואר וטלפון ,1618000,"2,000","1,300","2,500","2,500"
1618000542,61,"רט""ן - תקשורת סלולרית ",1618000,"3,500","3,600","7,000","7,000"
1618000560,61,הוצ' משרדיות ,1618000,0,0,0,0
1618000561,61,שנתון סטטיסטי ,1618000,"35,000",0,"35,000","35,000"
1618000562,61,חוברות ועיבודים סטטיסטים ,1618000,"50,000","2,800","50,000","50,000"
1618000572,61,תוכנה ,1618000,"37,500",400,"37,500","37,500"
1618000580,61,תוכנית עבודה מקושרת תקציב,1618000,"50,000","40,800","50,000","50,000"
1618000581,61,מיתוג ,1618000,0,0,0,0
1618000582,61,קוד אתי ,1618000,"100,000","30,600","100,000","70,000"
1618000583,61,הוצ' סקר שביעות רצון תושב,1618000,"100,000","37,600","100,000","70,000"
1618000584,61,ימי עיון וכנסים ,1618000,"145,000","50,500","500,000","350,000"
1618000585,61,תוכנית אב לתרבות ,1618000,0,0,0,0
1618000586,61,יועצים ,1618000,0,0,0,0
1618000750,61,עבודות קבלניות ,1618000,"300,000","163,000","368,000","300,000"
1618000760,61,בת שירות ,1618000,"20,000","12,600","20,000","20,000"
1618000761,61,שיתוף הציבור ,1618000,"90,000",500,"90,000","60,000"
1618000981,61,קרן היחידה האסטרטגית ,1618000,0,0,0,0
1619000580,61,בחירות לרשות המקומית ,1610000,0,0,0,0
1621100110,62,השכר הקובע ,2621100,"671,000","555,400","795,000","795,000"
1621100120,62,תוספות שלא נכללות בשכר ,2621100,"50,000","35,500","41,000","41,000"
1621100130,62,שעות נוספות ,2621100,"14,000","13,600","19,000","17,100"
1621100140,62,החזר הוצאות רכב ,2621100,"50,000","51,300","74,000","74,000"
1621100141,62,החזר הוצאות אחר ,2621100,"16,000","21,900","31,000","31,000"
1621100181,62,הפרשות סוציאליות ,2621100,"74,000","71,500","102,000","102,000"
1621100182,62,מיסים ועלויות ,2621100,"118,000","99,900","145,000","145,000"
1621100210,62,שכר זמניים ,2621100,"130,000","32,100",0,0
1621100470,62,ציוד מישרדי ,2621100,"6,000","5,900","6,000","6,000"
1621100471,62,מכונות צילום ,2621100,"5,000","3,500","5,400","5,400"
1621100510,62,כיבודים ,2621100,"5,000","5,200","5,000","5,000"
1621100521,62,השתלמויות ,2621100,"10,000",700,"10,000","10,000"
1621100522,62,ספרות מקצועית ועתונות ,2621100,"8,000","3,600","8,000","8,000"
1621100523,62,דמי חבר ,2621100,"3,000","1,200","3,000","3,000"
1621100530,62, 75-182-53ר.צמוד ,2621100,"60,000","39,300","46,000","46,000"
1621100540,62,דואר וטלפון ,2621100,"3,000","1,200","2,000","2,000"
1621100541,62,שליחויות ,2621100,"1,000",0,"1,000","1,000"
1621100542,62,"רט""ן - רשת טלפונים ניידים",2621100,"6,000","5,200","9,000","9,000"
1621100580,62,יועצים ופעולות ארגוניות ,2621100,"100,000","54,700","100,000","60,000"
1621100581,62,התייעלות ומקסום הכנסות ,2621100,"150,000","77,100","150,000","100,000"
1621100582,62,הסבת מערכות מידע ,2621100,0,0,"100,000","50,000"
1621100760,62,בנות שירות לאומי ,2621100,"20,000","2,400","20,000","20,000"
1621200110,62,השכר הקבוע ,2621200,"790,000","589,200","812,000","812,000"
1621200120,62,תוספות לא נכללות בשכר ,2621200,"428,000","349,100","446,000","446,000"
1621200130,62,שעות נוספות ,2621200,0,200,"1,000",900
1621200140,62,החזר הוצאות רכב ,2621200,"117,000","103,200","133,000","133,000"
1621200141,62,החזר הוצאות אחר ,2621200,"22,000","19,800","27,000","27,000"
1621200181,62,הפרשות סוציאליות ,2621200,"130,000","101,800","137,000","137,000"
1621200182,62,מיסים ועלויות ,2621200,"189,000","149,200","206,000","206,000"
1621200210,62,שכר זמניים ,2621200,0,0,0,0
1621200470,62,ציוד משרדי מתכלה ,2621200,"13,000","5,800","13,000","13,000"
1621200471,62,צילומים ,2621200,"3,500","3,500","3,700","3,700"
1621200522,62,ספרות מקצועית ועתונות ,2621200,"5,000","3,100","5,000","5,000"
1621200530,62, 33-319-34,2621200,"40,000","18,400","30,000","30,000"
1621200540,62,דואר וטלפון ,2621200,"2,000","1,700","3,000","3,000"
1621200541,62,שליחויות ,2621200,0,0,0,0
1621200542,62,"רט""ן - רשת טלפוני ",2621200,"3,800","2,500","4,000","4,000"
1621200572,62,תוכנה ,2621200,"55,000","17,700","40,000","40,000"
1621200580,62,פיתוח אירגוני ,2621200,"50,000",0,"50,000","30,000"
1621200760,62,שרות לאומי ,2621200,0,0,0,0
1621300110,62,השכר הקבוע ,2621300,"981,000","747,400","957,000","957,000"
1621300120,62,תוספות שלא נכללות בשכר ,2621300,"172,000","148,600","176,000","176,000"
1621300130,62,שעות נוספות ,2621300,"39,000","37,000","47,000","42,300"
1621300140,62,החזר הוצאות רכב ,2621300,"114,000","129,200","189,000","189,000"
1621300141,62,החזר הוצאות אחר ,2621300,"54,000","46,400","52,000","52,000"
1621300181,62,הפרשות סוציאליות ,2621300,"207,000","139,700","191,000","191,000"
1621300182,62,מיסים ועלויות ,2621300,"186,000","146,900","191,000","191,000"
1621300210,62,עובדי כ'א ,2621300,0,0,0,0
1621300470,62,ציוד משרדי ,2621300,"30,000","15,100","30,000","30,000"
1621300471,62,מכונותצילום ,2621300,"6,500","5,600","4,800","4,800"
1621300522,62,ספרות מקצועית ועתונות ,2621300,"5,000","3,600","5,000","5,000"
1621300530,62,רכב -צמוד ,2621300,"50,000",100,0,0
1621300540,62,דואר וטלפון ,2621300,"3,000","2,000","3,000","3,000"
1621300541,62,שליחויות ,2621300,0,0,0,0
1621300542,62,"רט""ן - רשת טלפוני ",2621300,"2,500","3,300","3,000","3,000"
1621300572,62,תוכנה ,2621300,"166,000","87,300","170,000","140,000"
1621300575,62,שירותי מחשוב שונים ,2621300,"39,000","9,100","39,000","39,000"
1621300580,62,פעולות אירגוניות ,2621300,"50,000","23,500","50,000","30,000"
1621300751,62,"התאמת הנה""ח גביה ",2621300,0,0,0,0
1621400110,62,השכר הקבוע ,2621400,"462,000","312,600","496,000","496,000"
1621400120,62,תוספות שלא נכללות בשכר ,2621400,"124,000","57,000","60,000","60,000"
1621400130,62,שעות נוספות ,2621400,"96,000","86,400","126,000","113,400"
1621400140,62,החזר הוצאות רכב ,2621400,"135,000","74,700","80,000","80,000"
1621400141,62,החזר הוצאות אחר ,2621400,"29,000","21,700","42,000","42,000"
1621400181,62,הפרשות סוציאליות ,2621400,"78,000","53,600","95,000","95,000"
1621400182,62,מיסים ועלויות ,2621400,"113,000","72,300","109,000","109,000"
1621400540,62,דואר וטלפון ,2621400,"2,000",400,"1,200","1,200"
1621500110,62,השכר הקבוע ,2621500,"635,000","468,800","637,000","637,000"
1621500120,62,תוספות שלא נכללות בשכר ,2621500,"111,000","93,800","108,000","108,000"
1621500130,62,שעות נוספות ,2621500,"59,000","45,400","64,000","57,600"
1621500140,62,החזר הוצאות רכב ,2621500,"174,000","145,200","203,000","203,000"
1621500141,62,החזר הוצאות אחר ,2621500,"36,000","24,200","33,000","33,000"
1621500181,62,הפרשות סוציאליות ,2621500,"158,000","119,400","161,000","161,000"
1621500182,62,מיסים ועלויות ,2621500,"136,000","103,600","143,000","143,000"
1621500210,62,משכורות זמניים ,2621500,"220,000","116,900","220,000","220,000"
1621500470,62,ציוד משרדי ,2621500,"10,000","6,400","10,000","10,000"
1621500471,62,מכונות צילום ופקס ,2621500,"3,500","3,500","3,700","3,700"
1621500540,62,דואר וטלפון ,2621500,"25,000","17,400","27,000","27,000"
1621500542,62,"רט""ן - רשת טלפוני ",2621500,"2,500","1,800","3,000","3,000"
1621500575,62,שירותי מחשוב שונים ,2621500,"550,000","205,600","700,000","600,000"
1621600110,62,השכר הקבוע ,2621600,"231,000","142,000","298,000","298,000"
1621600120,62,תוספות שלא נכללות בשכר ,2621600,"19,000","19,700","21,000","21,000"
1621600130,62,שעות נוספות ,2621600,"17,000","7,900","17,000","15,300"
1621600140,62,החזר הוצאות רכב ,2621600,"56,000","27,600","58,000","58,000"
1621600141,62,החזר הוצאות אחר ,2621600,"18,000","12,800","21,000","21,000"
1621600181,62,הפרשות סוציאליות ,2621600,"66,000","51,700","90,000","90,000"
1621600182,62,מיסים ועלויות ,2621600,"46,000","28,400","57,000","57,000"
1621600210,62,משכורות זמניים ,2621600,0,0,0,0
1621600540,62,דואר וטלפון ,2621600,"4,000",0,"4,000","4,000"
1621600542,62,"רט""ן - רשת טלפוני ",2621600,0,0,"2,000","2,000"
1621600580,62,ליווי ויעוץ למיקסום הכנסו,2621600,"90,000","17,800","90,000","60,000"
1621701110,62,השכר הקבוע ,2621700,"640,000","499,300","688,000","688,000"
1621701120,62,תוספות שלא נכללות בשכר ,2621700,"166,000","139,700","158,000","158,000"
1621701130,62,שעות נוספות ,2621700,"18,000","22,000","28,000","25,200"
1621701140,62,החזר הוצאות רכב ,2621700,"127,000","83,200","107,000","107,000"
1621701141,62,החזר הוצאות אחר ,2621700,"22,000","17,100","23,000","23,000"
1621701181,62,הפרשות סוציאליות ,2621700,"143,000","121,700","169,000","169,000"
1621701182,62,מיסים ועלויות ,2621700,"131,000","101,200","139,000","139,000"
1621701210,62,משכורות זמניים ,2621700,"200,000","91,600","100,000","100,000"
1621701470,62,ציוד משרדי מתכלה ,2621700,"20,000","4,100","20,000","20,000"
1621701471,62,מכונות צילום ,2621700,"10,500","8,300","11,200","11,200"
1621701530,62,הוצ' רכב מנהלי-7989366 ,2621700,0,0,"30,000","30,000"
1621701540,62,דואר וטלפון ,2621700,"4,000","2,800","4,500","4,500"
1621701542,62,"רט""ן - רשת טלפונית ",2621700,"5,000","3,400","4,000","4,000"
1621701572,62,תוכנה ,2621700,"18,000","8,900","18,000","18,000"
1621701580,62,פיתוח אירגוני ,2621700,"23,000","1,000","20,000","10,000"
1621701779,62,בטיחות עובדים ,2621700,"2,000",500,"2,000","2,000"
1621701781,62,מיגון ,2621700,"2,000",0,0,0
1621702110,62,השכר הקובע ,2621700,"115,000","57,600","80,000","80,000"
1621702120,62,תוספות שלא נכללות בשכר ,2621700,"43,000","27,700","36,000","36,000"
1621702130,62,שעות נוספות ,2621700,"40,000","37,900","52,000","46,800"
1621702140,62,החזר הוצאות רכב ,2621700,"56,000","34,200","43,000","43,000"
1621702141,62,החזר הוצאות אחר ,2621700,"5,000","1,800","3,000","3,000"
1621702181,62,הפרשות סוציאליות ,2621700,"36,000","23,400","32,000","32,000"
1621702182,62,מיסים ועלויות ,2621700,"35,000","22,000","30,000","30,000"
1621702420,62,אחזקת מבנים ,2621700,"10,000","10,000","10,000","10,000"
1621702422,62,החזקת מבנים חומרים ,2621700,"2,000",0,"2,000","2,000"
1621702433,62,חומרי נקיון ,2621700,"3,000",0,"3,000","3,000"
1621702471,62,מכונות צילום ,2621700,0,0,0,0
1621702540,62,דואר וטלפון ,2621700,"1,000",300,"1,000","1,000"
1621702542,62,"רט""ן - רשת טלפונים ניידים",2621700,"1,300",800,"3,000","3,000"
1621702580,62,ספירות מלאי ,2621700,"30,000",0,"30,000","20,000"
1621702743,62,רכישת כלים.מכשירים וציוד ,2621700,"2,000",0,"2,000","2,000"
1621702781,62,מגון מחסני העירייה ,2621700,"2,000",0,"2,000","2,000"
1621702920,62,הוצאות עבודות פתוח ,2621700,0,0,0,0
1621702930,62,ציוד יסודי ,2621700,"3,000",0,"3,000","3,000"
1621800110,62,השכר הקבוע ,2621800,"240,000","178,200","243,000","243,000"
1621800120,62,תוספות שלא נכללות בשכר ,2621800,"83,000","69,500","84,000","84,000"
1621800130,62,שעות נוספות ,2621800,"14,000","10,500","13,000","11,700"
1621800140,62,החזר הוצאות רכב ,2621800,"63,000","50,900","64,000","64,000"
1621800141,62,החזר הוצאות אחר ,2621800,"9,000","6,200","9,000","9,000"
1621800181,62,הפרשות סוציאליות ,2621800,"33,000","24,700","33,000","33,000"
1621800182,62,מיסים ועלויות ,2621800,"54,000","41,100","56,000","56,000"
1623000110,62,השכר הקבוע ,2623000,"1,193,000","878,500","1,223,000","1,223,000"
1623000120,62,תוספות שלא נכללות בשכר ,2623000,"378,000","289,900","361,000","361,000"
1623000130,62,שעות נוספות ,2623000,"134,000","93,400","133,000","119,700"
1623000140,62,החזר הוצאות רכב ,2623000,"292,000","214,400","296,000","296,000"
1623000141,62,החזר הוצאות אחר ,2623000,"78,000","56,500","75,000","75,000"
1623000181,62,הפרשות סוציאליות ,2623000,"236,000","177,800","248,000","248,000"
1623000182,62,מיסים ועליות ,2623000,"282,000","207,700","292,000","292,000"
1623000210,62,משכורת זמניים ,2623000,"480,000","229,100","400,000","400,000"
1623000211,62,מילוי מקום-שמירה ,2623000,"100,000","21,200","100,000","100,000"
1623000470,62,ציוד משרדי ,2623000,"90,000","73,200","90,000","90,000"
1623000471,62,מכונות צילום ,2623000,"11,600",400,"12,400","12,400"
1623000522,62,ספרות מקצועית ,2623000,"2,000",600,"2,000","2,000"
1623000540,62,דואר וטלפון ,2623000,"15,000","11,600","22,000","22,000"
1623000541,62,דואר ,2623000,"150,000","65,900","150,000","150,000"
1623000542,62,"רט""ן - רשת טלפונים ניידים",2623000,"18,100","12,700","18,000","18,000"
1623000550,62,פירסומים ,2623000,"45,000",0,"45,000","45,000"
1623000561,62,הפקת החשבונות הדו חודשים ,2623000,"180,000","44,600","180,000","150,000"
1623000571,62,חומרה ,2623000,"7,000",0,"7,000","7,000"
1623000572,62,תוכנות גביה ,2623000,"1,100,000","732,500","1,100,000","1,100,000"
1623000575,62,שירותי מחשוב שונים ,2623000,"10,000",0,"10,000","10,000"
1623000577,62,תקשורת מחשבים ,2623000,"7,000","2,200","7,000","7,000"
1623000579,62,פרויקטי מחשוב ,2623000,"50,000","36,400","50,000","50,000"
1623000580,62,הוצאות אירגוניות ,2623000,"110,000","58,600","110,000","90,000"
1623000730,62,קטנוע- 11-408-70 ,2623000,"20,000","15,000","20,000","20,000"
1623000731,62, 79-545-72,2623000,"30,000","10,300","30,000","30,000"
1623000732,62,קטנוע 11-689-70 ,2623000,"20,000","6,800","20,000","20,000"
1623000751,62,מדידות ,2623000,"450,000","270,600","500,000","250,000"
1623000752,62,העברת תיקים לארכיב מרכזי ,2623000,"20,000","10,000","20,000","20,000"
1623000754,62,הרחבת בסיס המס ,2623000,0,0,0,0
1623000758,62,ביצוע תשלומים במוקדן ,2623000,"460,000","240,100","460,000","460,000"
1623000759,62,שירותי מוקד אחרים ,2623000,"23,000","14,800","15,000","15,000"
1623000778,62,טפסים ,2623000,"30,000","21,500","30,000","30,000"
1623001110,62,השכר הקובע ,2623001,"446,000","352,400","1,045,000","1,045,000"
1623001120,62,תוספות שלא נכללות בשכר ,2623001,"78,000","43,300","45,000","45,000"
1623001130,62,שעות נוספות ,2623001,"2,000","4,300","55,000","49,500"
1623001140,62,החזר הוצ' רכב ,2623001,"90,000","79,500","215,000","215,000"
1623001141,62,החזר הוצאות אחרות ,2623001,"46,000","33,400","57,000","57,000"
1623001181,62,הפרשות סוציאליות ,2623001,"113,000","100,200","216,000","216,000"
1623001182,62,מיסים ועלויות ,2623001,"86,000","65,900","187,000","187,000"
1623001212,62,ביגוד עובדי הגבייה ,2623000,"50,000",0,"50,000","50,000"
1623100110,62,השכר הקובע ,2623100,"1,314,000","924,400","869,000","869,000"
1623100120,62,תוספות שלא נכללות בשכר ,2623100,"225,000","200,700","231,000","231,000"
1623100130,62,שעות נוספות ,2623100,"4,000","10,000","22,000","19,800"
1623100140,62,החזר הוצאות רכב ,2623100,"176,000","113,700","114,000","114,000"
1623100141,62,החר הוצאות אחר ,2623100,"99,000","80,900","103,000","103,000"
1623100181,62,הפרשות סוציאליות ,2623100,"285,000","210,100","204,000","204,000"
1623100182,62,מיסים ועלויות ,2623100,"234,000","168,800","180,000","180,000"
1623100757,62,חקירות ,2623100,"200,000","49,500","150,000","150,000"
1623101110,62,השכר הקבוע ,2623101,"868,000","636,200","1,090,000","1,090,000"
1623101120,62,תוספות שלא נכללות בשכר ,2623101,"241,000","191,700","230,000","230,000"
1623101130,62,שעות נוספות ,2623101,"96,000","71,400","103,000","92,700"
1623101140,62,החזר הוצאות רכב ,2623101,"202,000","190,600","238,000","238,000"
1623101141,62,החזר הוצאות אחר ,2623101,"58,000","44,300","71,000","71,000"
1623101181,62,הפרשות סוציאליות ,2623101,"176,000","144,000","237,000","237,000"
1623101182,62,מיסים ועלויות ,2623101,"193,000","148,500","232,000","232,000"
1623101779,62,בטיחות עובדים ,2623101,"3,000",800,"3,000","3,000"
1623102110,62,השכר הקבוע ,2623102,"929,000","694,100","1,182,000","1,182,000"
1623102120,62,תוספות שלא נכללות בשכר ,2623102,"189,000","170,100","199,000","199,000"
1623102130,62,שעות נוספות ,2623102,"40,000","38,400","51,000","45,900"
1623102140,62,החזר הוצאות רכב ,2623102,"188,000","189,000","314,000","314,000"
1623102141,62,החזר הוצאות אחר ,2623102,"77,000","60,000","83,000","83,000"
1623102181,62,הפרשות סוציאליות ,2623102,"227,000","185,100","302,000","302,000"
1623102182,62,מיסים ועלויות ,2623102,"188,000","151,600","249,000","249,000"
1623102410,62,שכירות ואחזקת מבנה ,2623102,"290,000","121,700","290,000","250,000"
1623102510,62,כיבוד מח' עסקים ,2623102,"1,000",200,"1,000","1,000"
1623102540,62,דואר וטלפון ,2623102,"20,000","13,400","22,000","22,000"
1623102541,62,תקשורת ,2623102,0,0,0,0
1623102542,62,"רט""ן ",2623102,"5,500","3,400","10,000","10,000"
1623102580,62,יועצים - מח' עסקים ,2623102,"47,000","19,300","47,000","30,000"
1623102771,62,חשמל למח' עסקים ,2623102,"14,000",0,"14,000","14,000"
1623500110,62,השכר הקובע ,2623500,"719,000","613,400","426,000","426,000"
1623500120,62,תוספות שלא נכללות בשכר ,2623500,"192,000","176,600","208,000","208,000"
1623500130,62,שעות נוספות ,2623500,"7,000","19,600","22,000","19,800"
1623500140,62,החזר הוצאות רכב ,2623500,"128,000","127,200","119,000","119,000"
1623500141,62,החזר הוצאות אחר ,2623500,"58,000","57,000","70,000","70,000"
1623500181,62,הפרשות סוציאליות ,2623500,"134,000","148,500","134,000","134,000"
1623500182,62,מיסים ןעלויות ,2623500,"139,000","126,600","112,000","112,000"
1623501756,62,אכיפה מנהלית ,2623500,"4,700,000","2,814,900","4,700,000","4,200,000"
1623501757,62,מערכות למידע ובירורים ,2623500,"70,000","63,300","116,000","116,000"
1623502750,62,"שכ""ט עו""ד אכיפה משפטית ",2623500,"600,000","285,900","600,000","500,000"
1623502751,62,עו'ד אכיפה משפטית-אגרו ,2623500,"1,000,000","327,300","1,000,000","900,000"
1623502752,62,"אגרות עו""ד חינוך ",2623500,"120,000","10,000","80,000","80,000"
1631000610,63,עמלות ,2630000,"3,144,000","2,366,100","3,144,000","3,144,000"
1631000611,63,עמלות בתשלום יזום ,2630000,"270,000","32,000","270,000","270,000"
1632000620,63,ריבית ומשיכות יתר ,2630000,"100,000","3,100","100,000","100,000"
1632000640,63,ריבית בטוח לאומי מס בכנסה,2630000,"20,000",0,"20,000","20,000"
1648000691,64,תשלום ע'ח קרן ,2640000,"9,182,000","8,240,300","12,990,000","12,990,000"
1648000692,64,תשלום ע'ח ריבית ,2640000,"1,663,000","1,270,600","1,568,000","1,568,000"
1648000693,64,תשלום ע'ח הצמדה וערך ,2640000,"1,996,000","1,382,600","2,014,000","2,014,000"
1648001691,64,"תשלום ע""ח קרן-חפ""א ",2640000,"1,350,000","675,000","1,350,000","1,350,000"
1648001692,64,"תשלום ע""ח ריבית - חפ""א ",2640000,"452,000","345,700","382,000","382,000"
1648001693,64,"תשלום ע""ח הצמדה וערך - חפ",2640000,"382,000","597,400","382,000","382,000"
1648002691,64,"תשלום ע""ח קרן ",2640000,"41,681,000","28,076,600","47,082,000","45,082,000"
1648002692,64,"תשלום ע""ח ריבית ",2640000,"5,569,000","3,542,100","5,586,000","5,586,000"
1648002693,64,"תשלום ע""ח הצמדה וערך ",2640000,"3,056,000","1,755,600","3,833,000","3,833,000"
1648003691,64,"תשלום ע""ח קרן - הלוואה למ",2640000,"1,941,000","1,490,600","1,978,000","1,978,000"
1648003692,64,"תשלום ע""ח ריבית -הלוואה ל",2640000,"357,000","181,100","320,000","320,000"
1648003693,64,"תשלום ע""ח הצמדה -הלוואה ל",2640000,0,0,0,0
1710000110,71,השכר הקובע ,6710000,"892,000","734,100","566,000","566,000"
1710000120,71,תוספות שאינן נכללות בשכר ,6710000,"189,000","49,500","56,000","56,000"
1710000130,71,שעות נוספות ,6710000,"68,000","56,300","23,000","20,700"
1710000140,71,החזר הוצאות ,6710000,"48,000","126,000","75,000","75,000"
1710000141,71,החזר הוצאות אחר ,6710000,"53,000","39,000","40,000","40,000"
1710000181,71,הפרשות סוציאליות ,6710000,"198,000","189,600","144,000","144,000"
1710000182,71,מיסים ועלויות ,6710000,"185,000","134,200","114,000","114,000"
1710000470,71,ציוד משרדי מתכלה ,6710000,"11,000","5,600","11,000","11,000"
1710000471,71,מכונות צילום ,6710000,"3,500","3,500","3,700","3,700"
1710000510,71,כיבודים ,6710000,"4,000","2,200","4,000","4,000"
1710000521,71,השתלמויות ,6710000,"8,000",0,"8,000","8,000"
1710000522,71,ספרות מקצועית ,6710000,"5,000",0,"5,000","5,000"
1710000530,71,ר.צמוד 1320830 ,6710000,"50,000","59,700","44,000","44,000"
1710000531,71,רכב צמוד ,6710000,"45,000","29,900",0,0
1710000540,71,דואר וטלפון ,6710000,"5,000","3,900","4,000","4,000"
1710000542,71,"רט""ן - רשת טלפונים נייד ",6710000,"6,300","4,000","5,000","5,000"
1710000580,71,יועצים והוצ' אירגוניות ,6710000,"160,000","48,800","160,000","100,000"
1710000730,71,רכב תפעולי 55-926-69- ,6710000,"30,000","3,600","30,000","30,000"
1710000750,71,"אירועי טבע בלצ""מ ",6710000,"200,000","88,200","200,000",0
1710000751,71,קרן תחזוקה ,6710000,0,0,0,0
1710000780,71,"גמישות תפעולית לער""נ תשתי",6710000,"600,000","53,900","600,000","400,000"
1710000920,71,פינוי פסולת בנייה ,6710000,"350,000","55,800","255,000","55,000"
1711000110,71,השכר הקובע ,6711000,"575,000","479,400","648,000","648,000"
1711000120,71,תוספות שלא נכללות בשכר ,6711000,"57,000","70,200","85,000","85,000"
1711000130,71,שעות נוספות ,6711000,"53,000","53,900","70,000","63,000"
1711000140,71,החזר הוצאות רכב ,6711000,"84,000","78,900","101,000","101,000"
1711000141,71,החזר הוצאות אחר ,6711000,"22,000","17,000","26,000","26,000"
1711000181,71,הפרשות סוציאליות ,6711000,"129,000","109,800","147,000","147,000"
1711000182,71,מיסים ועלויות ,6711000,"117,000","99,700","135,000","135,000"
1711000210,71,שכר עובדי זמני ,6711000,"100,000","60,200","200,000","200,000"
1711000420,71,"תחזוקת מבנים אגף תפו""ח ",6711000,"28,100","10,900","50,000","50,000"
1711000422,71,ניקיון המבנה כולל ציוד מת,6711000,"99,000","61,100","103,000","103,000"
1711000470,71,ציוד משרדי מתכלה ,6711000,"6,000","4,700","6,000","6,000"
1711000471,71,מכונות צילום ,6711000,"3,500","3,500","3,700","3,700"
1711000510,71,כיבוד ,6711000,"3,000","2,300","3,000","3,000"
1711000523,71,דמי חבר בארגונים ,6711000,"1,000",500,"1,000","1,000"
1711000530,71,רכב צמוד 89-849-11 ,6711000,"50,000","47,100","65,000","65,000"
1711000540,71,דואר וטלפון ,6711000,"5,000","3,500","5,000","5,000"
1711000542,71,"רט""ן - רשת טלפונים ניידים",6711000,"10,000","1,400","9,000","9,000"
1711000550,71,פירסום מידע לציבור ,6711000,"43,000",0,"43,000","43,000"
1711000730,71,רכב תפעולי 7443972 ,6711000,"35,000","26,100","35,000","35,000"
1711000750,71,אחזקת מצלמות ,6711000,"10,000",0,"10,000","10,000"
1711000771,71,חשמל לפעולות ,6711000,"37,000","24,000","37,000","37,000"
1711000779,71,בטיחות עובדים ,6711000,0,0,0,0
1711000781,71,"מיגון מבנה תפו""ח ",6711000,"8,000","5,100","8,000","8,000"
1711000930,71,ציוד יסודי ,6711000,"68,000","16,700","68,000","30,000"
1712200110,71,השכר הקבוע ,6712200,"2,988,000","2,007,000","2,863,000","2,611,000"
1712200120,71,תוספות שלא נכללות בשכר ,6712200,"688,000","555,200","686,000","686,000"
1712200130,71,שעות נוספות ,6712200,"443,000","369,500","566,000","509,400"
1712200140,71,החזר הוצאות רכב ,6712200,"540,000","347,300","580,000","580,000"
1712200141,71,החזר הוצאות אחר ,6712200,"189,000","144,800","201,000","201,000"
1712200181,71,הפרשות סוציאליות ,6712200,"508,000","365,500","517,000","517,000"
1712200182,71,מיסים ועלויות ,6712200,"644,000","444,500","668,000","668,000"
1712200470,71,ציוד משרדי ,6712200,"3,400","3,100","3,400","3,400"
