חשבון ,שם חשבון ,מחלקה , ביצוע 2014 , תקציב 2015 מעודכן , הצעת תקציב 2016  
1813222130,שעות נוספות ,43222," 17,637 "," 12,267 "," 12,243 "
1813222140,החזר הוצאות ,43222," 18,680 "," 20,881 "," 11,726 "
1813222181,הפרשות סוציאליות ,43222," 143,654 "," 170,781 "," 93,327 "
1813222182,מיסים ועלויות ,43222," 58,694 "," 67,070 "," 40,120 "
1813222440,ביטוח מבנה ותכולה ,43222," 12,818 "," 11,484 "," 11,583 "
1813222720,סל תלמיד לעולה ,43222," 13,203 "," 11,880 "," 11,880 "
1813222722,העברה מיועדת ,43222," 1,000 ", 99 , 99 
1813222725,אגרת שכפול יסודי ,43222, 368 ," 1,089 "," 1,089 "
1813222726,השתת.בתשלומי הורים(חומרים,43222," 3,890 "," 12,870 "," 12,870 "
1813222727,אגרת שכפול פר תלמיד ,43222," 2,066 "," 6,435 "," 6,435 "
1813222751,רואה חשבון ,43222," 4,838 "," 6,425 "," 6,678 "
1813222780,"בי""ס ירוק ",43222," 13,521 ", 99 , 99 
1813222877,תוספת דפרנציאלית פדגוגית ,43222," 31,229 "," 30,419 "," 30,195 "
1813222878,סל תלמיד עיריה-ניהול עצמי,43222," 269,325 "," 269,171 "," 239,545 "
1313223920,סל תלמיד לעולה ,43223, -498 , -500 , -100 
1313223921,השתתפות בשכר מזכירות ,43223," -1,558 "," -1,100 "," -1,898 "
1313223922,העברה מיועדת ,43223," -1,000 ", -   , -100 
1313223923,השתת.בשכר שרתים וניהול ע.,43223," -464,339 "," -471,712 "," -483,470 "
1313223926,השתת.בתשלומי הורים(חומרים,43223," -5,112 "," -18,000 "," -18,000 "
1313223927,אגרת שכפול פר תלמיד ,43223," -2,960 "," -10,000 "," -8,000 "
1313223928,סל תלמיד לעולי אתיופיה ,43223," -2,800 "," -1,600 "," -1,600 "
1313223929,"מנב""ס מזכירים ",43223, -   , -100 ," -8,000 "
1813223110,שכר קובע ,43223," 375,972 "," 526,889 "," 339,051 "
1813223120,תוספות שאינן בשכר קובע ,43223," 78,529 "," 125,105 "," 70,279 "
1813223130,שעות נוספות ,43223, 535 , -   , -   
1813223140,החזר הוצאות ,43223," 13,275 "," 18,516 "," 11,402 "
1813223181,הפרשות סוציאליות ,43223," 82,486 "," 116,916 "," 78,595 "
1813223182,מיסים ועלויות ,43223," 35,575 "," 50,884 "," 32,034 "
1813223440,ביטוח מבנה ותכולה ,43223," 12,818 "," 11,484 "," 11,583 "
1813223720,סל תלמיד לעולה ,43223, 498 , 495 , 495 
1813223722,העברה מיועדת ,43223," 1,000 ", -   , -   
1813223726,השתת.בתשלומי הורים(חומרים,43223," 5,112 "," 17,820 "," 17,820 "
1813223727,אגרת שכפול פר תלמיד ,43223," 2,960 "," 9,900 "," 9,900 "
1813223728,סל תלמיד לעולי אתיופיה ,43223," 2,800 "," 1,584 "," 1,584 "
1813223751,רואה חשבון ,43223," 4,838 "," 6,425 "," 6,678 "
1813223877,תוספת דפרנציאלית פדגוגית ,43223," 41,567 "," 41,066 "," 41,085 "
1813223878,סל תלמיד עיריה-ניהול עצמי,43223," 353,600 "," 350,905 "," 313,038 "
1313224420,הכנסות מהורים ,43224, -   , -   , -100 
1313224490,הכנסות שונות ,43224, -   , -   , -100 
1313224920,סל תלמיד לעולה ,43224," -2,817 ", -100 , -100 
1313224921,השתתפות בשכר מזכירות ,43224," -17,055 "," -25,222 "," -2,000 "
1313224922,העברה מיועדת ,43224," -1,000 ", -   , -100 
1313224923,השתת.בשכר שרתים וניהול ע.,43224," -703,247 "," -715,015 "," -726,000 "
1313224924,השתת.בשכר סייעות כיתתיות ,43224," -78,861 "," -80,217 "," -82,000 "
1313224926,השתת.בתשלומי הורים(חומרים,43224," -7,326 "," -23,000 "," -20,000 "
1313224927,אגרת שכפול פר תלמיד ,43224," -4,998 "," -13,000 "," -13,000 "
1313224929,"מנב""ס מזכירים ",43224, -   , -   ," -15,000 "
1813224110,שכר קובע ,43224," 373,144 "," 344,915 "," 519,702 "
1813224120,תוספות שאינן בשכר קובע ,43224," 96,360 "," 106,351 "," 109,494 "
1813224130,שעות נוספות ,43224," 32,770 "," 14,888 "," 14,859 "
1813224140,החזר הוצאות ,43224," 27,388 "," 28,000 "," 33,036 "
1813224181,הפרשות סוציאליות ,43224," 88,577 "," 85,743 "," 115,328 "
1813224182,מיסים ועלויות ,43224," 40,037 "," 38,286 "," 51,075 "
1813224440,ביטוח מבנה ותכולה ,43224," 12,818 "," 11,484 "," 11,583 "
1813224720,סל תלמיד לעולה ,43224," 1,878 ", 99 , 99 
1813224722,העברה מיועדת ,43224," 1,000 ", -   , -   
1813224726,השתת.בתשלומי הורים(חומרים,43224," 7,326 "," 22,770 "," 22,770 "
1813224727,אגרת שכפול פר תלמיד ,43224," 4,998 "," 22,770 "," 22,770 "
1813224751,רואה חשבון ,43224," 4,838 "," 6,425 "," 6,678 "
1813224877,תוספת דפרנציאלית פדגוגית ,43224," 69,064 "," 68,310 "," 68,310 "
1813224878,סל תלמיד עיריה ניהול עצמי,43224," 572,124 "," 568,054 "," 544,935 "
1312225929,"מנב""ס מזכירים ",43225, -   , -   , -   
1313225420,הכנסות מהורים ,43225, -   , -   , -100 
1313225490,הכנסות שונות ,43225, -   , -   , -100 
1313225920,סל תלמיד לעולה ,43225, -626 ," -2,400 "," -1,000 "
1313225921,השתת.בשכר מזכירות ,43225," -26,306 "," -26,028 "," -26,484 "
1313225922,העברה מיועדת ,43225," -16,462 ", -100 , -100 
1313225923,השתת.בשכר שרתים וניהול ע.,43225," -435,825 "," -442,364 "," -472,000 "
1313225924,השתת.בשכר סייעות כיתתיות ,43225," -98,576 "," -101,486 "," -102,000 "
1313225925,אגרת שכפול יסודי ,43225," -2,916 "," -3,650 "," -3,650 "
1313225926,השתת.בתשלומי הורים(חומרים,43225," -4,434 "," -13,000 "," -13,000 "
1313225927,אגרת שכפול פר תלמיד ,43225," -2,402 "," -7,000 "," -7,000 "
1313225929,"מנב""ס מזכירים ",43225, -   , -   ," -11,514 "
1813225110,שכר קובע ,43225," 299,008 "," 324,126 "," 234,377 "
1813225120,תוספות שאינן בשכר קובע ,43225," 63,202 "," 83,218 "," 57,017 "
1813225130,שעות נוספות ,43225," 9,146 "," 7,410 "," 7,395 "
1813225140,החזר הוצאות ,43225," 8,160 "," 8,540 "," 6,511 "
1813225181,הפרשות סוציאליות ,43225," 68,486 "," 77,692 "," 55,292 "
1813225182,מיסים ועלויות ,43225," 28,736 "," 32,484 "," 23,032 "
1813225440,ביטוח מבנה ותכולה ,43225," 12,818 "," 11,484 "," 11,583 "
1813225720,סל תלמיד לעולה ,43225, 626 ," 2,376 ", 990 
1813225722,העברה מיועדת ,43225," 16,462 ", 99 , 99 
1813225725,אגרת שכפול יסודי ,43225," 2,916 "," 3,613 "," 3,613 "
1813225726,השתת.בתשלומי הורים(חומרים,43225," 4,434 "," 12,870 "," 12,870 "
1813225727,אגרת שכפול פר תלמיד ,43225," 2,402 "," 6,930 "," 6,930 "
1813225751,רואה חשבון ,43225," 4,838 "," 6,425 "," 6,678 "
1813225877,תוספת דפרנציאלית פדגוגית ,43225," 34,461 "," 33,267 "," 33,922 "
1813225878,סל תלמיד עיריה ניהול עצמי,43225," 309,510 "," 320,750 "," 326,125 "
1313226920,סל תלמיד לעולה ,43226, -626 , -100 , -100 
1313226921,השתתפות בשכר מזכירות ,43226," -9,098 "," -6,420 "," -6,420 "
1313226923,השתת.בשכר שרתים וניהול ע.,43226," -186,930 "," -169,605 "," -182,168 "
1313226925,אגרת שכפול יסודי ,43226," -1,092 ", -900 , -900 
1313226926,השתת.בתשלומי הורים(חומרים,43226," -1,629 "," -4,500 "," -4,500 "
1313226927,אגרת שכפול פר תלמיד ,43226," -1,101 "," -2,500 "," -2,500 "
1813226110,שכר קובע ,43226," 304,125 "," 378,205 "," 252,453 "
1813226120,תוספות שאינן בשכר קובע ,43226," 21,019 "," 24,431 "," 25,088 "
1813226130,שעות נוספות ,43226," 5,711 "," 4,218 "," 4,209 "
1813226140,החזר הוצאות ,43226," 10,469 "," 12,975 "," 7,669 "
1813226181,הפרשות סוציאליות ,43226," 66,408 "," 85,835 "," 57,714 "
1813226182,מיסים ועלויות ,43226," 25,906 "," 32,153 "," 22,046 "
1813226440,ביטוח מבנה ותכולה ,43226," 12,818 "," 11,484 "," 11,583 "
1813226720,סל תלמיד לעולה ,43226, 626 , 99 , 99 
1813226725,אגרת שכפול יסודי ,43226," 1,092 ", 891 , 891 
1813226726,השתת.בתשלומי הורים(חומרים,43226," 1,629 "," 4,455 "," 4,455 "
1813226727,אגרת שכפול פר תלמיד ,43226," 1,101 "," 2,475 "," 2,475 "
1813226751,רואה חשבון ,43226," 4,838 "," 6,425 "," 6,678 "
1813226877,תוספת דפרנציאלית פדגוגית ,43226," 17,151 "," 16,917 "," 17,584 "
1813226878,סל תלמיד עיריה ניהול עצמי,43226," 184,476 "," 183,059 "," 177,058 "
1313227921,השתתפות בשכר מזכירות ,43227," -7,952 "," -10,387 "," -2,000 "
1313227922,העברה מיועדת ,43227," -1,000 ", -100 , -   
1313227923,השתת.בשכר שרתים וניהול ע.,43227," -288,773 "," -272,847 "," -288,700 "
1313227926,השתת.בתשלומי הורים(חומרים,43227," -2,802 "," -8,400 "," -8,400 "
1313227927,אגרת שכפול פר תלמיד ,43227," -1,502 "," -4,800 "," -4,800 "
1313227929,"מנב""ס מזכירים ",43227, -   , -   ," -7,400 "
1813227110,שכר קובע ,43227," 225,706 "," 288,806 "," 265,828 "
1813227120,תוספות שאינן בשכר קובע ,43227," 38,628 "," 66,019 "," 37,781 "
1813227130,שעות נוספות ,43227," 7,299 "," 7,242 "," 7,227 "
1813227140,החזר הוצאות ,43227," 10,276 "," 14,365 "," 9,874 "
1813227181,הפרשות סוציאליות ,43227," 51,089 "," 72,568 "," 60,030 "
1813227182,מיסים ועלויות ,43227," 21,353 "," 28,958 "," 24,151 "
1813227440,ביטוח מבנה ותכולה ,43227," 12,818 "," 11,484 "," 11,583 "
1813227722,העברה מיועדת ,43227," 1,000 ", 99 , 99 
1813227726,השתת.בתשלומי הורים(חומרים,43227," 2,802 "," 6,336 "," 8,316 "
1813227727,אגרת שכפול פר תלמיד ,43227," 1,502 "," 4,752 "," 4,752 "
1813227751,רואה חשבון ,43227," 4,838 "," 6,425 "," 6,678 "
1813227877,תוספת דפרנציאלית פדגוגית ,43227," 28,805 "," 27,708 "," 28,802 "
1813227878,סל תלמיד עיריה ניהול עצמי,43227," 250,772 "," 268,370 "," 250,549 "
1313228421,השתת.הורים בהזנה לאומית ,43228, -   , -   , -   
1313228920,סל תלמיד לעולה ,43228, -626 , -   , -   
1313228921,השתתפות בשכר מזכירות ,43228," -23,786 "," -29,126 "," -15,000 "
1313228922,העברה מיועדת ,43228," -3,820 ", -100 , -100 
1313228923,השתת.בשכר שרתים וניהול ע.,43228," -651,055 "," -663,952 "," -666,900 "
1313228925,אגרת שכפול יסודי ,43228," -2,912 "," -3,300 "," -3,300 "
1313228926,השתת.בתשלומי הורים(חומרים,43228," -6,920 "," -22,000 "," -13,000 "
1313228927,אגרת שכפול פר תלמיד ,43228," -3,990 "," -12,500 "," -12,000 "
1313228928,סל תלמיד לעולי אתיופיה ,43228, -   , -   , -   
1813228110,שכר קובע ,43228," 371,427 "," 406,686 "," 427,471 "
1813228120,תוספות שאינן בשכר קובע ,43228," 20,212 "," 24,747 "," 24,535 "
1813228130,שעות נוספות ,43228," 10,269 "," 7,201 "," 7,187 "
1813228140,החזר הוצאות ,43228," 11,680 "," 12,394 "," 12,677 "
1813228181,הפרשות סוציאליות ,43228," 83,044 "," 92,910 "," 97,495 "
1813228182,מיסים ועלויות ,43228," 31,408 "," 34,662 "," 36,841 "
1813228440,ביטוח מבנה ותכולה ,43228," 12,818 "," 11,484 "," 11,583 "
1813228720,סל תלמיד לעולה ,43228, 626 , -   , -   
1813228722,העברה מיועדת ,43228," 3,820 ", 99 , 99 
1813228725,אגרת שכפול יסודי ,43228," 2,912 "," 3,267 "," 3,267 "
1813228726,השתת.בתשלומי הורים(חומרים,43228," 6,920 "," 21,780 "," 12,870 "
1813228727,אגרת שכפול פר תלמיד ,43228," 3,990 "," 12,375 "," 11,880 "
1813228728,סל תלמיד לעולי אתיופיה ,43228, -   , -   , -   
1813228751,רואה חשבון ,43228, -   ," 6,425 "," 6,678 "
1813228877,תוספת דפרנציאלית פדגוגית ,43228," 54,828 "," 30,923 "," 32,144 "
1813228878,סל תלמיד עיריה ניהול עצמי,43228," 490,620 "," 477,019 "," 449,736 "
1313229920,סל תלמיד לעולה ,43229," -1,594 ", -100 , -100 
1313229921,השתתפות בשכר מזכירות ,43229," -20,774 "," -21,094 "," -22,000 "
1313229922,העברה מיועדת ,43229," -3,820 ", -100 , -100 
1313229923,השתת.בשכר שרתים וניהול ע.,43229," -861,524 "," -873,693 "," -902,000 "
1313229924,השתת.בשכר סייעות כיתתיות ,43229," -118,291 "," -120,326 "," -122,600 "
1313229925,אגרת שכפול יסודי ,43229, -552 ," -1,700 "," -1,700 "
1313229926,השתת.בתשלומי הורים(חומרים,43229," -8,592 "," -25,400 "," -25,400 "
1313229927,אגרת שכפול פר תלמיד ,43229," -5,463 "," -13,600 "," -13,600 "
1313229929,"מנב""ס מזכירים ",43229, -   , -   ," -17,200 "
1813229110,שכר קובע ,43229," 1,236,486 "," 1,537,723 "," 1,285,953 "
1813229120,תוספות שאינן בשכר קובע ,43229," 174,053 "," 234,304 "," 194,109 "
1813229130,שעות נוספות ,43229," 22,447 "," 17,096 "," 17,063 "
1813229140,החזר הוצאות ,43229," 62,289 "," 71,467 "," 62,334 "
1813229181,הפרשות סוציאליות ,43229," 289,501 "," 372,680 "," 320,867 "
1813229182,מיסים ועלויות ,43229," 113,607 "," 142,360 "," 118,710 "
1813229440,ביטוח מבנה ותכולה ,43229," 12,818 "," 11,484 "," 11,583 "
1813229720,סל תלמיד לעולה ,43229," 1,594 ", 99 , 99 
1813229722,העברה מיועדת ,43229," 3,820 ", 99 , 99 
1813229725,אגרת שכפול יסודי ,43229, 552 ," 1,683 "," 1,683 "
1813229726,השתת.בתשלומי הורים(חומרים,43229," 8,592 "," 25,146 "," 25,146 "
1813229727,אגרת שכפול פר תלמיד ,43229," 5,463 "," 13,464 "," 13,464 "
1813229751,רואה חשבון ,43229," 4,838 "," 6,425 "," 6,678 "
1813229877,תוספת דפרנציאלית פדגוגית ,43229," 80,801 "," 79,581 "," 82,724 "
1813229878,סל תלמיד עיריה-ניהול עצמי,43229," 665,792 "," 665,660 "," 673,817 "
1313231790,תרומת מ.מ. רמת חובב ,43231, -   , -   , -   
1313231920,סל תלמיד לעולה ,43231, -498 , -600 , -900 
1313231921,השתתפות בשכר מזכירות ,43231," -5,937 "," -5,625 "," -4,200 "
1313231922,העברה מיועדת ,43231, -   , -100 , -100 
1313231923,השתת.בשכר שרתים וניהול ע.,43231," -479,408 "," -436,110 "," -552,086 "
1313231924,השתת.בשכר סייעות כיתתיות ,43231," -34,966 "," -108,000 "," -115,524 "
1313231926,השתת.בתשלומי הורים(חומרים,43231," -5,699 "," -12,500 "," -12,500 "
1313231927,אגרת שכפול פר תלמיד ,43231," -3,539 "," -7,000 "," -7,000 "
1313231928,סל תלמיד לעולי אתיופיה ,43231, -   ," -1,000 "," -1,000 "
1313231929,"מנב""ס מזכירים ",43231, -   , -   , -   
1813231110,שכר קובע ,43231," 300,211 "," 362,376 "," 448,586 "
1813231120,תוספות שאינן בשכר קובע ,43231," 44,418 "," 32,698 "," 111,982 "
1813231130,שעות נוספות ,43231," 10,775 "," 9,379 "," 9,360 "
1813231140,החזר הוצאות ,43231," 7,840 "," 8,114 "," 12,776 "
1813231181,הפרשות סוציאליות ,43231," 76,148 "," 90,056 "," 124,083 "
1813231182,מיסים ועלויות ,43231," 27,626 "," 31,904 "," 44,273 "
1813231440,ביטוח מבנה ותכולה ,43231," 12,818 "," 11,484 "," 11,583 "
1813231720,סל תלמיד לעולה ,43231, 498 , 594 , 891 
1813231722,העברה מיועדת ,43231, -   , 99 , 99 
1813231726,השתת.בתשלומי הורים(חומרים,43231," 5,699 "," 12,375 "," 12,375 "
1813231727,אגרת שכפול פר תלמיד ,43231," 3,539 "," 6,930 "," 6,930 "
1813231728,סל תלמיד לעולי אתיופיה ,43231, -   , 990 , 990 
1813231751,רואה חשבון ,43231," 4,838 "," 6,425 "," 6,678 "
1813231780,תרומת מ.מ. רמת חובב ,43231, -   , -   , -   
1813231877,תוספת דפרנציאלית פדגוגית ,43231," 46,356 "," 43,936 "," 45,670 "
1813231878,סל תלמיד עיריה-ניהול עצמי,43231," 373,150 "," 427,482 "," 431,086 "
1313232920,סל תלמיד לעולה ,43232, -498 ," -1,500 ", -500 
1313232921,השתתפות בשכר מזכירות ,43232," -22,593 "," -23,000 "," -21,770 "
1313232922,העברה מיועדת ,43232," -1,000 ", -100 , -100 
1313232923,השתת.בשכר שרתים וניהול ע.,43232," -345,106 "," -349,186 "," -361,754 "
1313232924,השתת.בשכר סייעות כיתתיות ,43232," -91,228 "," -87,849 "," -122,576 "
1313232925,אגרת שכפול יסודי ,43232, -552 ," -1,000 "," -1,000 "
1313232926,השתת.בתשלומי הורים(חומרים,43232," -3,858 "," -10,400 "," -10,400 "
1313232927,אגרת שכפול פר תלמיד ,43232," -1,981 "," -5,400 "," -5,400 "
1313232928,סל תלמיד לעולי אתיופיה ,43232," -19,080 "," -2,400 "," -2,400 "
1313232929,"מנב""ס מזכירים ",43232, -449 , -100 ," -3,000 "
1313232990,"הסמכה לבי""ס ירוק ",43232, -   , -100 , -   
1813232110,שכר קובע ,43232," 411,741 "," 416,514 "," 387,831 "
1813232120,תוספות שאינן בשכר קובע ,43232," 98,783 "," 109,994 "," 120,316 "
1813232130,שעות נוספות ,43232," 5,655 "," 3,472 "," 3,465 "
1813232140,החזר הוצאות ,43232," 9,600 "," 9,753 "," 9,085 "
1813232181,הפרשות סוציאליות ,43232," 91,909 "," 96,907 "," 93,508 "
1813232182,מיסים ועלויות ,43232," 39,726 "," 41,006 "," 39,441 "
1813232440,ביטוח מבנה ותכולה ,43232," 12,818 "," 11,484 "," 11,583 "
1813232720,סל תלמיד לעולה ,43232, 498 ," 1,485 ", 495 
1813232722,העברה מיועדת ,43232," 1,000 ", 99 , 99 
1813232725,אגרת שכפול יסודי ,43232, 552 , 99 , 990 
1813232726,השתת.בתשלומי הורים(חומרים,43232," 3,858 "," 10,296 "," 10,296 "
1813232727,אגרת שכפול פר תלמיד ,43232," 1,981 "," 5,346 "," 5,346 "
1813232728,סל תלמיד לעולי אתיופיה ,43232," 19,080 "," 2,376 "," 2,376 "
1813232751,רואה חשבון ,43232," 4,838 "," 6,425 "," 6,678 "
1813232780,"הסמכה לבי""ס ירוק ",43232, -   , -   , -   
1813232877,תוספת דפרנציאלית פדגוגית ,43232," 28,855 "," 28,393 "," 29,513 "
1813232878,סל תלמיד עיריה-ניהול עצמי,43232," 249,889 "," 252,635 "," 243,893 "
1313233920,סל תלמיד לעולה ,43233, -498 , -650 , -650 
1313233921,השתתפות בשכר מזכירות ,43233," -14,393 "," -14,647 "," -9,112 "
1313233923,השתת.בשכר שרתים וניהול ע.,43233," -287,570 "," -293,566 "," -291,594 "
1313233925,אגרת שכפול יסודי ,43233," -1,638 "," -3,600 "," -1,638 "
1313233926,השתת.בתשלומי הורים(חומרים,43233," -3,091 "," -11,000 "," -5,000 "
1313233927,אגרת שכפול פר תלמיד ,43233," -1,788 "," -6,600 "," -3,000 "
1313233928,סל תלמיד לעולי אתיופיה ,43233, -   , -   , -800 
1313233929,"מנב""ס מזכירים ",43233, -337 , -100 ," -7,400 "
1813233110,שכר קובע ,43233," 223,707 "," 253,741 "," 246,727 "
1813233120,תוספות שאינן בשכר קובע ,43233," 46,808 "," 63,415 "," 39,385 "
1813233130,שעות נוספות ,43233," 14,402 "," 13,148 "," 13,122 "
1813233140,החזר הוצאות ,43233," 6,240 "," 6,818 "," 6,869 "
1813233181,הפרשות סוציאליות ,43233," 62,027 "," 76,925 "," 60,465 "
1813233182,מיסים ועלויות ,43233," 22,046 "," 26,329 "," 22,950 "
1813233440,ביטוח מבנה ותכולה ,43233," 12,818 "," 11,484 "," 11,583 "
1813233720,סל תלמיד לעולה ,43233, 498 , 643 , 643 
1813233725,אגרת שכפול יסודי ,43233, -   ," 3,564 "," 1,621 "
1813233726,השתת.בתשלומי הורים(חומרים,43233," 3,091 "," 11,880 "," 4,950 "
1813233727,אגרת שכפול פר תלמיד ,43233," 1,866 "," 6,534 "," 2,970 "
1813233728,סל תלמיד לעולי אתיופיה ,43233, -   , -   , -   
1813233751,רואה חשבון ,43233," 4,838 "," 6,425 "," 6,411 "
1813233877,תוספת דפרנציאלית פדגוגית ,43233," 23,949 "," 24,342 "," 25,344 "
1813233878,סל תלמיד עיריה-ניהול עצמי,43233," 219,255 "," 216,138 "," 210,596 "
1313234921,השתתפות בשכר מזכירות ,43234," -8,952 "," -13,916 "," -1,800 "
1313234922,העברה מיועדת ,43234," -3,770 ", -100 , -   
1313234923,השתת.בשכר שרתים וניהול ע.,43234," -535,918 "," -542,713 "," -567,290 "
1313234926,השתת.בתשלומי הורים(חומרים,43234," -6,001 "," -18,000 "," -18,000 "
1313234927,אגרת שכפול פר תלמיד ,43234," -3,482 "," -10,000 "," -10,000 "
1313234929,"מנב""ס מזכירים ",43234, -   , -   ," -12,850 "
1813234110,שכר קובע ,43234," 329,949 "," 406,165 "," 451,454 "
1813234120,תוספות שאינן בשכר קובע ,43234," 69,394 "," 103,373 "," 64,771 "
1813234130,שעות נוספות ,43234, 550 , 128 , 126 
1813234140,החזר הוצאות ,43234," 9,760 "," 10,927 "," 14,953 "
1813234181,הפרשות סוציאליות ,43234," 77,660 "," 100,410 "," 108,554 "
1813234182,מיסים ועלויות ,43234," 31,050 "," 39,464 "," 40,281 "
1813234440,ביטוח מבנה ותכולה ,43234," 12,818 "," 11,484 "," 11,583 "
1813234722,העברה מיועדת ,43234," 3,770 ", 99 , 99 
1813234726,השתת.בתשלומי הורים(חומרים,43234," 6,001 "," 17,820 "," 17,820 "
1813234727,אגרת שכפול פר תלמיד ,43234," 3,482 "," 9,900 "," 9,900 "
1813234751,רואה חשבון ,43234," 4,838 "," 6,425 "," 6,411 "
1813234877,תוספת דפרנציאלית פדגוגית ,43234," 48,014 "," 47,104 "," 48,964 "
1813234878,סל תלמיד עיריה-ניהול עצמי,43234," 405,450 "," 414,018 "," 388,773 "
1313235921,השתתפות בשכר מזכירות ,43235, -   , -100 , -   
1313235922,העברה מיועדת ,43235, -   , -100 , -100 
1313235923,השתת.בשכר שרתים וניהול ע.,43235," -637,995 "," -640,804 "," -688,938 "
1313235926,השתת.בתשלומי הורים(חומרים,43235," -6,978 "," -18,500 "," -18,500 "
1313235927,אגרת שכפול פר תלמיד ,43235," -4,762 "," -10,500 "," -10,500 "
1313235929,"מנב""ס מזכירים ",43235, -   , -   ," -6,000 "
1813235110,שכר קובע ,43235," 392,396 "," 396,556 "," 600,495 "
1813235120,תוספות שאינן בשכר קובע ,43235," 87,383 "," 97,654 "," 92,376 "
1813235130,שעות נוספות ,43235," 4,779 "," 3,447 "," 3,439 "
1813235140,החזר הוצאות ,43235," 11,840 "," 12,048 "," 20,438 "
1813235181,הפרשות סוציאליות ,43235," 90,900 "," 96,287 "," 131,261 "
1813235182,מיסים ועלויות ,43235," 37,623 "," 38,887 "," 54,338 "
1813235440,ביטוח מבנה ותכולה ,43235," 12,818 "," 11,484 "," 11,583 "
1813235722,העברה מיועדת ,43235, -   , 99 , 99 
1813235726,השתת.בתשלומי הורים(חומרים,43235," 6,978 "," 18,315 "," 18,315 "
1813235727,אגרת שכפול פר תלמיד ,43235," 4,762 "," 10,395 "," 10,395 "
1813235751,רואה חשבון ,43235," 4,838 "," 6,425 "," 6,678 "
1813235877,תוספת דפרנציאלית פדגוגית ,43235," 63,283 "," 60,849 "," 63,252 "
1813235878,סל תלמיד עיריה-ניהול עצמי,43235," 514,578 "," 551,540 "," 560,623 "
1313236920,סל תלמיד לעולה ,43236, -   , -650 , -650 
1313236921,השתתפות בשכר מזכירות ,43236," -14,360 "," -16,708 "," -10,478 "
1313236922,העברה מיועדת ,43236, -   , -100 , -100 
1313236923,השתת.בשכר שרתים וניהול ע.,43236," -413,499 "," -419,292 "," -432,404 "
1313236924,השתת.בשכר סייעות כיתתיות ,43236," -39,430 "," -40,108 "," -40,858 "
1313236925,אגרת שכפול יסודי ,43236, -184 , -500 , -500 
1313236926,השתת.בתשלומי הורים(חומרים,43236," -4,150 "," -13,000 "," -13,000 "
1313236927,אגרת שכפול פר תלמיד ,43236," -2,803 "," -7,100 "," -7,100 "
1313236928,סל תלמיד לעולי אתיופיה ,43236, -   , -   ," -1,000 "
1313236929,"מנב""ס מזכירים ",43236, -   , -   ," -10,082 "
1813236110,שכר קובע ,43236," 316,759 "," 361,473 "," 442,611 "
1813236120,תוספות שאינן בשכר קובע ,43236," 66,345 "," 90,138 "," 97,123 "
1813236130,שעות נוספות ,43236, 428 , 250 , 249 
1813236140,החזר הוצאות ,43236," 15,592 "," 16,652 "," 18,609 "
1813236181,הפרשות סוציאליות ,43236," 81,399 "," 99,215 "," 113,157 "
1813236182,מיסים ועלויות ,43236," 30,243 "," 35,494 "," 42,237 "
1813236440,ביטוח מבנה ותכולה ,43236," 12,818 "," 11,484 "," 11,583 "
1813236720,סל תלמיד לעולה ,43236, -   , 643 , 643 
1813236722,העברה מיועדת ,43236, -   , -   , -   
1813236725,אגרת שכפול יסודי ,43236, 184 , 99 , 495 
1813236726,השתת.בתשלומי הורים(חומרים,43236," 4,150 "," 12,870 "," 12,870 "
1813236727,אגרת שכפול פר תלמיד ,43236," 2,803 "," 7,029 "," 7,029 "
1813236728,סל תלמיד לעולי אתיופיה ,43236, -   , -   , -   
1813236751,רואה חשבון ,43236," 4,838 "," 6,425 "," 6,678 "
1813236877,תוספת דפרנציאלית פדגוגית ,43236," 40,301 "," 39,679 "," 41,245 "
1813236878,סל תלמיד עיריה-ניהול עצמי,43236," 343,400 "," 341,649 "," 351,747 "
1313237920,סל תלמיד לעולה ,43237," -2,718 ", -100 ," -2,000 "
1313237921,השתתפות בשכר מזכירות ,43237," -1,558 "," -1,000 "," -2,000 "
1313237923,השתת.בשכר שרתים וניהול ע.,43237," -534,027 "," -537,282 "," -583,042 "
1313237926,השתת.בתשלומי הורים(חומרים,43237," -5,718 "," -18,000 "," -10,000 "
1313237927,אגרת שכפול פר תלמיד ,43237," -3,790 "," -10,000 "," -10,000 "
1313237928,סל תלמיד לעולה אתיופיה ,43237, -   ," -1,000 "," -1,000 "
1313237929,"מנב""ס מזכירים ",43237, -   , -   ," -12,200 "
1813237110,שכר קובע ,43237," 497,905 "," 654,608 "," 444,695 "
1813237120,תוספות שאינן בשכר קובע ,43237," 46,501 "," 64,476 "," 44,981 "
1813237130,שעות נוספות ,43237," 1,288 ", 930 , 927 
1813237140,החזר הוצאות ,43237," 27,815 "," 34,787 "," 22,256 "
1813237181,הפרשות סוציאליות ,43237," 124,644 "," 170,665 "," 109,861 "
1813237182,מיסים ועלויות ,43237," 43,679 "," 57,523 "," 39,006 "
1813237440,ביטוח מבנה ותכולה ,43237," 12,818 "," 11,484 "," 11,583 "
1813237720,סל תלמיד לעולה ,43237," 2,718 ", 99 ," 1,980 "
1813237726,השתת.בתשלומי הורים(חומרים,43237," 5,718 "," 17,820 "," 9,900 "
1813237727,אגרת שכפול פר תלמיד ,43237," 3,790 "," 9,900 "," 9,900 "
1813237728,סל תלמיד לעולה אתיופיה ,43237, -   , 990 , 990 
