,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
פרעון מלוות לכבישים ,2 ,692 ,648500 ,"פרע""מ - תשלומים ע""ח ריבית",800,900,"1,000","1,000","1,067"
פרעון מלוות לכבישים ,2 ,693 ,648500 ,"פרע""מ - תשלומים ע""ח הצמדה","1,000","1,050","1,200","1,200","1,024"
,,,6485.,"סה""כ  - פרעון מלוות לכבישים:","4,850","5,200","5,450","5,450","5,324"
,,,6486.,פרעון מלוות לניקוז,,,,,
פרעון מלוות לניקוז,2 ,691 ,648600 ,"פרע""מ - תשלומים ע""ח קרן","3,750","3,600","3,600","3,600","3,599"
פרעון מלוות לניקוז ,2 ,692 ,648600 ,"פרע""מ - תשלומים ע""ח ריבית","1,100","1,300","1,350","1,350","1,414"
פרעון מלוות לניקוז,2 ,693 ,648600 ,"פרע""מ - תשלומים ע""ח הצמדה","1,200","1,100","1,200","1,200","1,024"
,,,6486.,"סה""כ  - פרעון מלוות לניקוז:","6,050","6,000","6,150","6,150","6,037"
,,,64.,"סה""כ - פרעון מלוות  (לא כולל פרע""מ לביוב - פרק .971):",0,0,0,0,0
,,,6.,"סה""כ - מינהל ומימון:",0,0,0,0,0
,,,7.,שרותים מקומיים,,,,,
,,,71.,תברואה,,,,,
,,,711.,"מינהל אגף שאיפ""ה (שיפור איכות פיקוח הסביבה)",,,,,
"מינהל אגף שאיפ""ה",3 ,100 ,711000 ,משכורות כוללות,"1,800","1,520","1,934","1,895","1,533"
"מינהל אגף שאיפ""ה",3 ,430 ,711000 ,הוצאות חשמל,104,104,93,93,90
"מינהל אגף שאיפ""ה",3 ,470 ,711000 ,ציוד משרדי שוטף,81,81,81,81,75
"מינהל אגף שאיפ""ה",3 ,522 ,711000 ,ספרים ועתונים,1,1,3,3,0
"מינהל אגף שאיפ""ה",3 ,540 ,711000 ,אחזקת פלאפונים,6,6,6,4,2
"מינהל אגף שאיפ""ה",12 ,550 ,711000 ,פרסומים ודפוס,130,130,130,130,123
"מינהל אגף שאיפ""ה",5 ,730 ,711000 ,אחזקת רכב עירוני - תיפעולי (2) ,50,80,105,105,56
"מינהל אגף שאיפ""ה",3 ,742 ,711000 ,אחזקת מכונת צילום,4,4,5,5,3
"מינהל אגף שאיפ""ה",5 ,750 ,711000 ,"נקיון  בקבלנות - אגף שאיפ""ה",119,115,118,118,53
"מינהל אגף שאיפ""ה",5 ,752 ,711000 ,"תחזוקה ושירות מעלית - בית שאיפ""ה",15,15,15,0,0
"מינהל אגף שאיפ""ה",3 ,960 ,711000 ,"רזרבת ר' האגף להוצאות ב""צ ",400,600,600,450,486
,,,711.,"סה""כ  - מינהל אגף שאיפ""ה:","2,710","2,656","3,090","2,884","2,419"
,,,712.,נקיון כללי,,,,,
נקיון כללי,3 ,100 ,712000 ,משכורות כוללות ,800,830,"1,242","1,285",940
נקיון כללי,3 ,101 ,712000 ,משכורות כוללות - נהגי משאיות גזם ,560,500,540,540,353
נקיון כללי,3 ,102 ,712000 ,משכורות כוללות - מחזור ותברואה מונעת,900,0,0,0,0
נקיון כללי,3 ,127 ,712000 ,כלכלה ושתיה ,5,5,6,6,5
נקיון כללי,3 ,720 ,712000 ,"הוצאות שוטפות, שקיות אשפה, כלי אצירה ",180,180,180,220,297
נקיון כללי,5 ,730 ,712000 ,אחזקת רכבים - תיפעולי,230,230,220,220,237
נקיון כללי,5 ,731 ,712000 ,אחזקת רכבים - תיפעולי - משאיות גזם,420,420,420,420,328
נקיון כללי,3 ,751 ,712000 ,שרותי אחזקה חיצוניים לנקיון רחובות (עוזרי נהגי משאיות ב- 755),"19,000","18,000","18,000","18,400","16,010"
נקיון כללי,3 ,752 ,712000 ,פינוי אשפה (אזורי - קבוע) בקבלנות ,"16,700","16,200","16,724","17,800","15,444"
נקיון כללי,3 ,753 ,712000 ,שרותי אחזקה חיצוניים לנקיון שירותים ציבוריים,0,120,200,200,99
נקיון כללי,3 ,755 ,712000 ,"העסקת כ""א באמצעות חב' השמה לפינוי גזם",200,0,0,320,0
נקיון כללי,3 ,756 ,712000 ,ניקוי מגרשים בקבלנות,240,283,283,183,130
נקיון כללי,3 ,757 ,712000 ,היטל הטמנה,"7,700","7,340","7,340","7,340","5,737"
נקיון כללי,3 ,759 ,712000 ,הוצאות הובלה והטמנת אשפה וגזם ,"11,500","11,250","11,320","11,470","10,673"
נקיון כללי,3 ,780 ,712000 ,תפעול ואחזקת אתר המשקל,70,70,70,100,90
נקיון כללי,3 ,750 ,712100 ,איסוף ופינוי פסולת אריזות קרטון (במקביל בהכנסות בסעיף 2121/221),400,270,600,600,0
נקיון כללי,3 ,751 ,712100 ,ניקוי רחבות וגרפיטי  ,75,75,75,75,27
נקיון כללי,3 ,752 ,712100 ,"פינוי פסולת אריזות (כולל דמ""ש) - חב' ת.מ.י.ר (במקביל בהכנסות בסעיף 2121/220)","3,080","3,085","3,065","3,065","2,598"
,,,712.,"סה""כ  - נקיון כללי:","62,060","58,858","60,285","62,244","52,969"
,,,713.,"רישוי עסקים, פיקוח תברואי ושילוט ",,,,,
"רישוי עסקים, פיקוח תברואי ושילוט",3 ,100 ,713000 ,משכורות כוללות,"1,550","1,550","1,550","1,470","1,479"
"רישוי עסקים, פיקוח תברואי ושילוט",12 ,550 ,713000 ,פרסומים ודפוס ,10,10,10,10,7
"רישוי עסקים, פיקוח תברואי ושילוט",10 ,570 ,713000 ,הוצאות מיכון,50,50,50,50,72
"רישוי עסקים, פיקוח תברואי ושילוט",3 ,780 ,713000 ,הוצאות שילוט ואחרות,130,110,110,20,18
,,,713.,"סה""כ  - רישוי עסקים ופיקוח תברואי:","1,740","1,720","1,720","1,550","1,576"
,,,714.,שרות וטרינרי,,,,,
שרות וטרינרי,3 ,100 ,714000 ,משכורות כוללות,"2,210","2,150","2,150","2,070","1,949"
שרות וטרינרי,3 ,430 ,714000 ,הוצאות חשמל - כלבייה,0,0,0,0,11
שרות וטרינרי,3 ,540 ,714000 ,דואר וטלפון ישיר,9,8,9,12,8
שרות וטרינרי,12 ,550 ,714000 ,פרסומים ודפוס  ,15,15,15,15,12
שרות וטרינרי,3 ,720 ,714000 ,"חומרים (תויות רישוי, תרכ' חיסון) ושוטפות",330,317,317,182,174
שרות וטרינרי,3 ,721 ,714000 ,מזון לכלבים ובדיקות מזון מן החי,3,3,3,6,6
שרות וטרינרי,5 ,730 ,714000 ,אחזקת רכב - תיפעולי (1),120,115,125,125,113
שרות וטרינרי,3 ,740 ,714000 ,כלים וציוד,9,4,4,14,5
שרות וטרינרי,5 ,750 ,714000 ,נקיון בקבלנות,17,16,16,16,14
שרות וטרינרי,3 ,980 ,714000 ,עיקור וטיפול בחתולי רחוב וכלבים,150,250,250,200,150
,,,714.,"סה""כ  - שרות וטרינרי:","2,863","2,878","2,889","2,640","2,442"
,,,715.,תברואה מונעת,,,,,
תברואה מונעת,3 ,750 ,715000 ,עבודות ריסוס והדברה בקבלנות ,420,400,400,400,272
,,,715.,"סה""כ  - תברואה מונעת:",420,400,400,400,272
,,,71.,"סה""כ - תברואה:",0,0,0,0,0
,,,72.,שמירה ובטחון,,,,,
,,,721.,בטחון ובטיחות,,,,,
בטחון ובטיחות,5 ,100 ,721000 ,משכורות כוללות,806,780,780,770,735
בטחון ובטיחות,5 ,423 ,721000 ,"ביקורת והדרכות בטיחות אש - כללי (מוס""ח בסעיף 81796/423)",175,200,200,200,0
בטחון ובטיחות,5 ,540 ,721000 ,טלפון ישיר ,6,6,6,6,4
בטחון ובטיחות,5 ,730 ,721000 ,אחזקת רכבים - תיפעולי ,80,75,90,90,57
בטחון ובטיחות,5 ,740 ,721000 ,ציוד כיבוי אש - אחזקה וחידוש,78,78,78,58,53
בטחון ובטיחות,5 ,780 ,721000 ,הוצאות לפעולות בטחון ושונות  ,86,86,86,86,81
בטחון ובטיחות,5 ,781 ,721000 ,"בטיחות וגהות (מוס""ח בסעיף 81796/783)",30,30,30,20,15
בטחון ובטיחות,5 ,782 ,721000 ,"הדרכות בנושא בטיחות (מוס""ח בסעיף 81796/783)",150,244,244,254,97
,,,721.,"סה""כ  - בטחון ובטיחות:","1,411","1,499","1,514","1,484","1,042"
,,,7221.,משמר אזרחי,,,,,
משמר אזרחי,5 ,100 ,722100 ,משכורות כוללות,0,108,108,108,101
משמר אזרחי,2 ,410 ,722100 ,שכר דירה,40,30,28,0,17
משמר אזרחי,5 ,420 ,722100 ,אחזקת בסיסי הפעלה,3,3,3,3,2
משמר אזרחי,5 ,430 ,722100 ,הוצאות חשמל,4,4,4,4,3
משמר אזרחי,5 ,511 ,722100 ,שתיה וכיבוד למתנדבים,16,16,16,19,14
משמר אזרחי,5 ,540 ,722100 ,טלפון ישיר,3,3,3,3,2
משמר אזרחי,12 ,550 ,722100 ,פרסומים והסברה,1,1,1,1,0
משמר אזרחי,5 ,750 ,722100 ,נקיון בקבלנות,6,6,6,6,4
משמר אזרחי,5 ,780 ,722100 ,"טיפוח מתנדבים, ארועים ושונות",36,36,36,41,32
,,,7221.,"סה""כ  - משמר אזרחי:",109,207,205,185,174
,,,7227.,שיטור עירוני,,,,,
שיטור עירוני,5 ,101 ,722700 ,שכר שיטור עירוני,"2,995","2,313","2,313","2,205","2,214"
שיטור עירוני,5 ,730 ,722700 ,אחזקת רכב תפעולי,345,300,335,335,346
שיטור עירוני,5 ,750 ,722700 ,אבטחת גינות ציבוריות,170,323,323,323,265
שיטור עירוני,5 ,751 ,722700 ,סיירת בטחון בקבלנות,0,100,120,20,18
שיטור עירוני,5 ,780 ,722700 ,הוצאות לפעולות ,70,70,70,70,62
,,,7227.,"סה""כ  - שיטור עירוני:","3,580","3,106","3,161","2,953","2,905"
,,,7228.,מוקד רואה,,,,,
מוקד בטחון,5 ,100 ,722800 ,משכורות כוללות,"1,226","1,185","1,185","1,250","1,107"
מוקד בטחון,5 ,540 ,722800 ,טלפון ישיר + קווי תקשורת vpn,180,180,180,180,159
מוקד בטחון,5 ,780 ,722800 ,הוצאות אחזקת מצלמות ,71,30,90,90,76
,,,7228.,"סה""כ  - מוקד רואה:","1,477","1,395","1,455","1,520","1,342"
,,,723.,"הג""א",,,,,
"ה ג "" א",5 ,100 ,723000 ,משכורות כוללות,558,540,540,540,495
"ה ג "" א",2 ,411 ,723000 ,"תשלום ארנונה עבור מחסני הג""א",240,200,240,240,191
"ה ג "" א",5 ,420 ,723000 ,"אחזקת מקלטים צבוריים, מחסנים ומפקדות ",270,310,310,310,279
"ה ג "" א",5 ,430 ,723000 ,הוצאות חשמל,73,71,70,67,58
"ה ג "" א",5 ,432 ,723000 ,הוצאות צריכת מים ואגרת ביוב,37,37,28,28,37
"ה ג "" א",5 ,440 ,723000 ,ביטוח ציוד,93,93,110,110,100
"ה ג "" א",5 ,540 ,723000 ,טלפון ישיר,11,11,13,13,10
"ה ג "" א",5 ,730 ,723000 ,אחזקת רכב ייעודי ,55,55,55,55,45
"ה ג "" א",5 ,811 ,723000 ,"השתתפות בפעולות הג""א ארצי ",590,590,590,590,561
,,,723.,"סה""כ  - הג""א:","1,927","1,907","1,956","1,953","1,776"
,,,724.,כיבוי אש,,,,,
כיבוי אש,7 ,830 ,724000 ,השתתפות בתקציב איגוד ערים לכבאות,0,0,0,0,167
כיבוי אש,7 ,831 ,724000 ,השתתפות בתקציב הרשות הארצית לכבאות והצלה ,"3,635","4,160","4,160","4,160","3,599"
,,,724.,"סה""כ  - כיבוי אש:","3,635","4,160","4,160","4,160","3,766"
,,,726.,"מל""ח ופס""ח",,,,,
"מל""ח ופס""ח",5 ,100 ,726000 ,"משכורות כוללות - מל""ח ופס""ח",77,75,75,55,55
"מל""ח ופס""ח",5 ,540 ,726000 ,טלפון ישיר,8,8,8,8,6
"מל""ח ופס""ח",5 ,780 ,726000 ,הוצאות לפעולות,24,24,24,24,23
,,,726.,"סה""כ  - מל""ח ופס""ח:",109,107,107,87,84
,,,72.,"סה""כ - שמירה ובטחון:",0,0,0,0,0
,,,73.,תכנון ובניין עיר,,,,,
,,,731.,משרד מהנדס העיר,,,,,
משרד מהנדס העיר,4 ,100 ,731000 ,משכורות כוללות,"2,620","2,400","2,510","2,272","1,932"
משרד מהנדס העיר,2 ,410 ,731000 ,שכר-דירה (ב- 2015 הועבר מסעיף 7322/410),280,0,0,0,0
משרד מהנדס העיר,2 ,429 ,731000 ,דמי ניהול משרדי לב-העיר ,200,180,200,200,173
משרד מהנדס העיר,4 ,430 ,731000 ,הוצאות חשמל,200,155,155,155,143
משרד מהנדס העיר,4 ,470 ,731000 ,ציוד משרדי שוטף ,108,98,98,98,77
משרד מהנדס העיר,4 ,511 ,731000 ,הוצאות כיבוד (שיתוף הציבור),30,20,20,20,0
משרד מהנדס העיר,5 ,530 ,731000 ,אחזקת רכב - מינהלי (2),97,97,80,80,88
משרד מהנדס העיר,4 ,540 ,731000 ,טלפון ישיר,31,28,28,28,21
משרד מהנדס העיר,12 ,550 ,731000 ,פרסומים ומכרזים,38,38,38,38,24
משרד מהנדס העיר,10 ,570 ,731000 ,הוצאות מיכון,209,176,176,176,70
משרד מהנדס העיר,4 ,742 ,731000 ,אחזקת מכונת צילום,9,8,8,8,6
משרד מהנדס העיר,5 ,750 ,731000 ,נקיון בקבלנות,183,157,157,141,125
משרד מהנדס העיר,5 ,751 ,731000 ,אבטחת משרדי אגף מהנדס העיר,68,66,66,53,49
משרד מהנדס העיר,4 ,780 ,731000 ,"הוצאות כלים וציוד, ספרים ושונות ",32,29,29,29,27
משרד מהנדס העיר,4 ,960 ,731000 ,"רזרבת ר' האגף להוצאות ב""צ ",125,98,98,98,135
,,,731.,"סה""כ  - משרד מהנדס העיר:","4,230","3,550","3,663","3,396","2,869"
,,,732.,תכנון עיר ופיתוח סביבה,,,,,
תכנון עיר,4 ,100 ,732000 ,משכורות כוללות תכנון עיר,"1,550","1,500","1,755","1,755","1,584"
פתוח סביבה,4 ,101 ,732000 ,משכורות כוללות - פתוח סביבה ,760,730,765,765,750
תכנון עיר,10 ,570 ,732000 ,הוצאות מיכון - קובץ ייעודי קרקע,178,177,177,177,157
תכנון עיר,4 ,950 ,732000 ,מדידות ותכנון חוץ,190,190,190,190,93
תכנון עיר,4 ,951 ,732000 ,"שכ""ט לשמאים  (במקביל בהכנסות בסעיף 230/591)","3,000","3,000","3,500","3,500","2,268"
,,,732.,"סה""כ - תכנון עיר ופיתוח סביבה:","5,678","5,597","6,387","6,387","4,852"
,,,7322.,התחדשות עירונית,,,,,
התחדשות עירונית,4 ,100 ,732200 ,משכורות כוללות התחדשות עירונית,800,401,401,0,0
התחדשות עירונית,2 ,410 ,732200 ,שכר דירה - התחדשות עירונית (ב- 2015 הועבר לסעיף 731/410),0,140,247,0,0
התחדשות עירונית,4 ,430 ,732200 ,חשמל - התחדשות עירונית ,0,0,50,0,0
התחדשות עירונית,4 ,781 ,732200 ,הוצאות שונות- התחדשות עירונית,50,50,50,0,0
,,,7322.,"סה""כ - התחדשות עירונית:",850,591,748,0,0
,,,7331.,רישוי הבנייה,,,,,
רישוי הבנייה,4 ,100 ,733100 ,משכורות כוללות,"2,060","1,920","2,000","2,000","1,814"
,,,7331.,"סה""כ - רישוי הבנייה:","2,060","1,920","2,000","2,000","1,814"
,,,7332.,פיקוח על הבנייה,,,,,
פיקוח על הבנייה,4 ,100 ,733200 ,משכורות כוללות,"1,560","1,490","1,587","1,490","1,510"
פיקוח על הבנייה,5 ,730 ,733200 ,אחזקת רכב עירוני - תיפעולי (2),75,75,72,72,41
פיקוח על הבנייה,4 ,750 ,733200 ,עבודות קבלניות למדידות והריסת מבנים עם חריגות בנייה ,230,230,230,230,40
,,,7332.,"סה""כ - פיקוח על הבנייה:","1,865","1,795","1,889","1,792","1,591"
,,,734.,תיאום ובקרה הנדסיים,,,,,
תיאום ובקרה הנדסיים,4 ,100 ,734000 ,משכורות כוללות ,505,300,897,800,697
,,,734.,"סה""כ - תיאום ובקרה הנדסיים :",505,300,897,800,697
,,,735.,בנייה ציבורית,,,,,
בנייה ציבורית,4 ,100 ,735000 ,משכורות כוללות,620,360,380,380,350
,,,735.,"סה""כ - בנייה ציבורית:",620,360,380,380,350
,,,73.,"סה""כ - תכנון ובניין עיר:",0,0,0,0,0
,,,74.,נכסים צבוריים,,,,,
,,,742.,כבישים ומדרכות,,,,,
כבישים ומדרכות,4 ,100 ,742000 ,משכורות כוללות ,"1,120",825,"1,136","1,150",832
כבישים ומדרכות,5 ,102 ,742000 ,שכר עובדי אחזקה ,796,770,770,750,726
כבישים ומדרכות,5 ,420 ,742000 ,"אחזקת כבישים, מדרכות ודרכי כורכר ",350,375,375,350,497
כבישים ומדרכות,5 ,730 ,742000 ,אחזקת רכבים - תיפעולי ,130,113,165,165,113
כבישים ומדרכות,5 ,740 ,742000 ,כלים וציוד,16,10,10,16,15
כבישים ומדרכות,5 ,751 ,742000 ,"טיפול שוטף בתשתיות (כבישים, מדרכות, תאורה, צביעה, וכו')",500,500,500,500,458
כבישים ומדרכות,4 ,755 ,742000 ,כבישים - העסקה באמצעות חברת השמה  ,0,5,14,0,55
,,,742.,"סה""כ - כבישים ומדרכות:","2,912","2,598","2,970","2,931","2,696"
,,,743.,מאור רחובות וחשמל,,,,,
מאור רחובות,5 ,100 ,743000 ,משכורות כוללות,"1,283","1,240","1,240","1,335","1,352"
מאור רחובות,5 ,720 ,743000 ,חומרים ונורות ,170,170,170,50,28
מאור רחובות,5 ,730 ,743000 ,אחזקת רכבים - תיפעולי ,240,240,185,185,213
מאור רחובות,5 ,740 ,743000 ,כלים וציוד,10,10,10,10,9
מאור רחובות,5 ,750 ,743000 ,עבודות קבלניות (כולל חומרים ונורות),400,414,414,500,495
מאור רחובות,5 ,771 ,743000 ,הוצאות חשמל - תאורת רחובות,"6,032","5,534","5,200","5,200","5,058"
,,,743.,"סה""כ - מאור רחובות וחשמל:","8,135","7,608","7,219","7,280","7,155"
,,,744.,בטיחות בדרכים,,,,,
בטיחות בדרכים,5 ,720 ,744000 ,סימון כבישים ומעברי חצייה ,"1,150","1,200","1,200","1,200",975
בטיחות בדרכים,5 ,740 ,744000 ,תמרורים וגדרות בטיחות,87,87,87,87,72
בטיחות בדרכים,5 ,750 ,744000 ,אחזקת רמזורים בקבלנות,536,520,520,612,577
בטיחות בדרכים,4 ,752 ,744000 ,"ייעוץ ותכנון תנועה, תחבורה ורמזורים",370,350,350,350,336
בטיחות בדרכים,5 ,771 ,744000 ,הוצאות חשמל - רמזורים,327,300,309,315,295
,,,744.,"סה""כ - בטיחות בדרכים:","2,470","2,457","2,466","2,564","2,255"
,,,745.,תיעול וניקוז,,,,,
תיעול וניקוז,4 ,100 ,745000 ,משכורות כוללות ,250,120,240,240,220
תיעול וניקוז,5 ,420 ,745000 ,טיפול בצנרת ניקוז ושונות ,220,220,220,220,214
תיעול וניקוז,4 ,750 ,745000 ,תיעול וניקוז - תחזוקת מתקן שאיבה,100,0,0,0,0
תיעול וניקוז,4 ,830 ,745000 ,השתתפות ברשויות ניקוז: ירקון ושרון,275,260,260,260,234
,,,745.,"סה""כ - תיעול וניקוז:",845,600,720,720,668
,,,746.,גנים ונטיעות,,,,,
גנים ונטיעות,3 ,100 ,746000 ,משכורות כוללות ,"1,500","1,430","1,450","1,450","1,403"
גנים ונטיעות,3 ,127 ,746000 ,"כלכלה, ביגוד ושתיה ",7,7,10,10,7
גנים ונטיעות,3 ,432 ,746000 ,צריכת מים - השקיית גינות צבוריות,"6,000","6,000","6,000","6,000","5,804"
גנים ונטיעות,3 ,720 ,746000 ,חומרי דישון והדברה,205,200,200,200,200
גנים ונטיעות,5 ,730 ,746000 ,אחזקת רכבים - תיפעולי,90,90,165,165,124
גנים ונטיעות,3 ,740 ,746000 ,כלים וציוד,20,20,20,40,18
גנים ונטיעות,3 ,750 ,746000 ,אחזקת גינות ציבוריות בקבלנות,"7,300","7,250","7,250","7,900","7,696"
גנים ונטיעות,3 ,751 ,746000 ,אחזקת מזרקות בקבלנות ,400,400,400,460,376
גנים ונטיעות,3 ,752 ,746000 ,טיפול בחורשות בקבלנות,551,520,520,482,472
גנים ונטיעות,3 ,753 ,746000 ,שרותי אחזקה חיצוניים - רחוב וגן ,685,645,645,685,639
גנים ונטיעות,3 ,754 ,746000 ,גיזומים ברחבי העיר בקבלנות,915,"1,000","1,000","1,000",929
גנים ונטיעות,3 ,756 ,746000 ,השקיית עצים במדרכות בקבלנות,450,520,520,500,369
גנים ונטיעות,3 ,757 ,746000 ,אחזקת מערכת מיחשוב השקיית גינות,495,465,465,465,377
גנים ונטיעות,3 ,758 ,746000 ,פיקוח גנים ברובעים,300,293,293,287,287
גנים ונטיעות,3 ,759 ,746000 ,תחזוקת היער העירוני,19,18,19,19,18
גנים ונטיעות,3 ,780 ,746000 ,שימור גנים וחידוש צמחיה ,750,"1,400","1,400",750,"2,749"
,,,746.,"סה""כ  - גנים ונטיעות:","19,687","20,258","20,357","20,413","21,470"
,,,7461.,פארק הרצליה ,,,,,
פארק הרצליה,7 ,100 ,746100 ,משכורות כוללות ,780,607,607,660,479
פארק הרצליה,7 ,101 ,746100 ,משכורות כוללות פיקוח,423,410,430,430,380
פארק הרצליה,7 ,420 ,746100 ,תיקונים ואחזקה,260,220,220,370,277
פארק הרצליה,7 ,430 ,746100 ,הוצאות חשמל,189,183,165,165,137
פארק הרצליה,7 ,432 ,746100 ,צריכת מים ,600,740,500,500,726
פארק הרצליה,7 ,470 ,746100 ,ציוד משרדי,10,10,10,10,9
פארק הרצליה,7 ,540 ,746100 ,טלפון ישיר ותקשורת,16,15,16,16,12
פארק הרצליה,12 ,550 ,746100 ,פרסומים ודפוס,10,10,10,10,9
פארק הרצליה,7 ,720 ,746100 ,רכישת חומרים שוטפים,206,200,200,200,98
פארק הרצליה,5 ,730 ,746100 ,אחזקת רכבים - תיפעולי ,150,120,125,125,119
פארק הרצליה,7 ,740 ,746100 ,כלים וציוד,50,30,30,70,56
פארק הרצליה,7 ,750 ,746100 ,עבודות נקיון בקבלנות ,"2,500","2,300","2,522","2,922","1,789"
פארק הרצליה,7 ,751 ,746100 ,גינון בקבלנות (כולל פיקוח וייעוץ),715,645,650,650,457
פארק הרצליה,7 ,752 ,746100 ,אחזקת מתקני משחק בקבלנות,200,200,200,200,82
פארק הרצליה,7 ,753 ,746100 ,אבטחה בקבלנות,215,210,249,306,181
פארק הרצליה,7 ,755 ,746100 ,העסקה באמצעות חברת השמה,20,45,45,0,42
פארק הרצליה,7 ,757 ,746100 ,אחזקת מערכת מיחשוב להשקייה,100,100,100,100,34
פארק הרצליה,7 ,780 ,746100 ,הוצאות שונות,450,565,565,420,301
פארק הרצליה,7 ,781 ,746100 ,טיפול בצמחיה,175,175,175,175,99
,,,7461.,":סה""כ - פארק הרצליה","7,069","6,785","6,819","7,329","5,286"
,,,7472.,חופי רחצה,,,,,
חופי רחצה,6 ,101 ,747200 ,משכורות כוללות - מינהל ושרותים ,"1,150","1,100","1,355","1,355","1,185"
חופי רחצה,6 ,102 ,747200 ,משכורות כוללות - מצילים ועוזרי מצילים,"8,500","8,000","8,478","8,510","8,042"
חופי רחצה,6 ,127 ,747200 ,"(כלכלה, שתיה ואמצעי מיגון (משחות",260,250,250,218,205
חופי רחצה,6 ,420 ,747200 ,תיקונים ואחזקת מתקנים בחוף,220,180,180,252,202
חופי רחצה,6 ,430 ,747200 ,הוצאות חשמל,9,8,9,9,4
חופי רחצה,6 ,432 ,747200 ,הוצאות צריכת מים ואגרת ביוב,320,300,431,431,290
חופי רחצה,6 ,521 ,747200 ,השתלמויות מצילים,55,52,54,54,49
חופי רחצה,6 ,540 ,747200 ,טלפון ישיר,7,6,6,6,5
חופי רחצה,12 ,550 ,747200 ,פרסומים ודפוס,8,8,8,8,7
חופי רחצה,5 ,730 ,747200 ,אחזקת רכבים - תיפעולי ,500,500,450,450,431
חופי רחצה,6 ,740 ,747200 ,כלים וציוד ,165,160,160,140,123
חופי רחצה,6 ,750 ,747200 ,סדרנות ואבטחה בקבלנות,620,602,602,508,440
חופי רחצה,6 ,751 ,747200 ,עבודות נקיון בקבלנות ,"2,000","2,375","2,375","2,075","2,171"
חופי רחצה,6 ,752 ,747200 ,שוטרים בשכר,270,258,258,247,212
חופי רחצה,6 ,753 ,747200 ,עזרה רפואית בקבלנות,845,810,810,407,383
חופי רחצה,6 ,754 ,747200 ,פינוי מכולות,130,120,120,156,91
חופי רחצה,6 ,780 ,747200 ,הוצאות אחרות והיערכות לפתיחת העונה ,200,170,170,212,128
,,,7472.,"סה""כ - חופי רחצה:","15,259","14,899","15,716","15,038","13,968"
,,,74.,"סה""כ - נכסים צבוריים:",0,0,0,0,0
,,,75.,"חגיגות, מבצעים וארועים",,,,,
,,,751.,ארועי יום העצמאות,,,,,
ארועי יום העצמאות,7 ,100 ,751000 ,"שכר וש""נ",0,0,50,150,140
ארועי יום העצמאות,12 ,550 ,751000 ,פרסומים ודפוס,45,45,45,45,44
ארועי יום העצמאות,82 ,781 ,751000 ,הוצאות לפעולות מטה,130,110,110,110,110
ארועי יום העצמאות,82 ,782 ,751000 ,הוצאות למופעי אמנים,325,290,290,290,291
ארועי יום העצמאות,5 ,783 ,751000 ,הוצאות לפעולות תחזוקה ולוגיסטיקה,400,350,350,350,309
ארועי יום העצמאות,82 ,785 ,751000 ,ערב שירי לוחמים לנוער,100,0,0,0,0
,,,751.,"סה""כ - ארועי יום העצמאות:","1,000",795,845,945,893
,,,752.,טקסים וארועים,,,,,
טקסים וארועים,12 ,550 ,752000 ,פרסומים ודפוס,50,50,50,50,29
טקסים וארועים,12 ,780 ,752000 ,הוצאות לפעולות ארועים,270,270,270,270,219
,,,752.,"סה""כ - טקסים וארועים:",320,320,320,320,248
,,,753.,פעולות אימוץ,,,,,
פעולות אימוץ,7 ,781 ,753000 ,שרות כביסה לחיילים בסופי שבוע,170,160,160,160,163
פעולות אימוץ,7 ,782 ,753000 ,אימוץ חילות,20,20,20,20,17
,,,753.,"סה""כ - פעולות אימוץ:",190,180,180,180,180
,,,754.,קשרים בינלאומיים,,,,,
קשרים בינלאומיים,1 ,100 ,754000 ,שכר קשרי חוץ,93,90,90,90,84
קשרים בינלאומיים,1 ,510 ,754000 ,"נסיעות, ארוח ומימון משלחות וערים תאומות",70,50,100,100,50
קשרים בינלאומיים,1 ,540 ,754000 ,הוצאות טלפון ישיר,2,2,2,2,2
,,,754.,"סה""כ - קשרים בינלאומיים:",165,142,192,192,136
,,,75.,"סה""כ - חגיגות, מבצעים וארועים:",0,0,0,0,0
,,,76.,שרותים שונים,,,,,
,,,761.,מוקד עירוני,,,,,
מוקד עירוני,7 ,100 ,761000 ,משכורות כוללות - מוקדנים,"1,750","1,575","1,540","1,540","1,501"
מוקד עירוני,7 ,130 ,761000 ,"(כוננות מפגעים כולל חורף (ש""נ לכוננים",0,0,25,25,10
מוקד עירוני,7 ,540 ,761000 ,טלפון ישיר,20,15,25,25,12
מוקד עירוני,5 ,730 ,761000 ,אחזקת רכב - תיפעולי,100,103,103,103,94
מוקד עירוני,7 ,780 ,761000 ,טיפול במפגעים ושונות,70,70,70,70,81
,,,761.,"סה""כ - מוקד עירוני:","1,940","1,763","1,763","1,763","1,699"
,,,7621.,הדבקת מודעות ,,,,,
הדבקת מודעות,3 ,750 ,762100 ,הדבקת מודעות בקבלנות,68,68,72,72,69
,,,7621.,"סה""כ  - הדבקת מודעות:",68,68,72,72,69
,,,764.,תרבות הדיור,,,,,
תרבות הדיור,3 ,100 ,764000 ,משכורות כוללות ,460,430,452,452,431
תרבות הדיור,3 ,540 ,764000 ,טלפון ישיר,3,4,5,5,3
תרבות הדיור,12 ,550 ,764000 ,פרסומים ודפוס ,10,10,10,10,8
