,שם הפרק,אגף,הסעיף,הפרק,"ת ק ב ו ל י ם  - באלפי ש""ח",2016,2015,סופי 2015,מקורי 2015,2014
611100100,נבחרים,1,100,611100,משכורות כוללות ,2090,2050,2150,2150,1978
611100514,נבחרים,1,514,611100,מתנות,10,10,10,10,7
611100540,נבחרים,10,540,611100,הוצאות טלפון,20,20,20,20,7
611100780,נבחרים,1,780,611100,הוצאות אחרות,25,20,25,25,16
,,,,6111,"סה""כ  - נבחרים:",2145,2100,2205,2205,2008
,,,,6112,מועצה וועדות,,,,,
611200100,מועצה וועדות,1,100,611200,שכר ריכוז ועדות,1081,1050,1060,985,902
611200410,מועצה וועדות,2,410,611200,שכר דירה,30,25,30,30,25
611200470,מועצה וועדות,1,470,611200,ציוד משרדי שוטף ,8,10,10,10,10
611200560,מועצה וועדות,1,560,611200,הוצאות הקלטה ורישום סטנוגרמות - מועצה (באחריות מזכיר העיר),20,40,40,30,23
611200561,מועצה וועדות,1,561,611200,הוצאות הקלטה ורישום סטנוגרמות - ועדות שונות,20,0,0,0,0
611200570,מועצה וועדות,10,570,611200,הוצאות מיכון וועדות,56,41,41,41,27
611200750,מועצה וועדות,5,750,611200,ניקיון בקבלנות,5,5,5,5,4
611200755,מועצה וועדות,1,755,611200,"העסקת כ""א באמצעות חברת השמה (בת שירות לאומי לנגישות)",30,30,30,0,0
611200780,מועצה וועדות,1,780,611200,"תפעול ישיבות מועצה, ועדות ושונות",90,90,110,120,87
611200781,מועצה וועדות,1,781,611200,הוצאות לפעולות - ועדת חינוך ,40,90,90,90,85
611200782,מועצה וועדות,1,782,611200,הוצאות לפעולות - ועדת מעמד הילד ,30,30,30,30,29
611200783,מועצה וועדות,1,783,611200,הוצאות לפעולות - ועדת נגישות,150,150,150,150,52
611200784,מועצה וועדות,82,784,611200,הוצאות לפעולות - פורום צעירים (ב- 2015 הועבר למרכז צעירים - סעיף 7692/782),0,0,0,0,162
611200785,מועצה וועדות,1,785,611200,הוצאות לפעולות - ועדת תנועה,10,30,20,30,22
611200786,מועצה וועדות,1,786,611200,הוצאות לפעולות - ועדת ערר לארנונה,130,130,130,80,75
611200787,מועצה וועדות,81,787,611200,הוצאות לפעולות - ועדת בריאות,4,14,14,14,14
611200788,מועצה וועדות,4,788,611200,הוצאות לפעולות - ועדת בניין עיר,35,30,30,30,1
611200789,מועצה וועדות,1,789,611200,ועדה לסיוע לנזקקים לדיור (ב- 2016 עבר מסעיף 996/846),400,0,0,0,0
,,,,6112,"סה""כ - מועצה (+ ועדות):",2139,1765,1790,1645,1517
,,,,6113,הנהלה כללית,,,,,
611300100,הנהלה כללית,1,100,611300,משכורות כוללות  ,4498,4100,4151,3900,3487
611300470,הנהלה כללית,1,470,611300,ציוד משרדי שוטף ,70,100,60,60,60
611300511,הנהלה כללית,1,511,611300,הוצאות כיבוד,100,80,120,120,95
611300522,הנהלה כללית,1,522,611300,"ספרים, עתונים ואגרת טלוויזיה",80,80,85,85,69
611300530,הנהלה כללית,5,530,611300,אחזקת רכב עירוני - מינהלי ,125,90,90,190,124
611300540,הנהלה כללית,10,540,611300,דואר וטלפון ישיר,50,50,60,60,32
611300550,הנהלה כללית,12,550,611300,פרסומים ודפוס,200,200,300,300,97
611300560,הנהלה כללית,1,560,611300,הוצאות משרד ושוטפות  ,25,25,25,25,22
611300570,הנהלה כללית,10,570,611300,הוצאות מיכון,23,17,17,17,9
611300742,הנהלה כללית,12,742,611300,אחזקת מכונת צילום,3,2,3,3,2
611300750,הנהלה כללית,9,750,611300,אבטחת בנין העירייה בקבלנות ,245,250,255,390,383
611300751,הנהלה כללית,5,751,611300,אחזקת מעלית,11,11,11,11,8
611300752,הנהלה כללית,1,752,611300,הוצאות בגין ייעוץ חיצוני ,40,100,30,100,50
611300755,הנהלה כללית,1,755,611300,"העסקת כ""א באמצעות חב' השמה",50,130,250,300,295
611300780,הנהלה כללית,1,780,611300,הוצאות אחרות לפעולות,20,20,20,20,20
611300930,הנהלה כללית,1,930,611300,רכישת ציוד יסודי,5,5,5,5,5
611300950,הנהלה כללית,11,950,611300,בקרה על העסקת עובדי קבלן (החל מ- 2016 בסעיף 615/783),0,50,50,50,0
,,,,6113,"סה""כ  - הנהלה כללית:",5545,5310,5532,5636,4759
,,,,612,מבקר העירייה,,,,,
612000100,מבקר העירייה,1,100,612000,משכורות כוללות,955,900,930,930,887
612000410,מבקר העירייה,2,410,612000,שכר דירה (כולל ועד בית),70,65,75,75,62
612000522,מבקר העירייה,1,522,612000,ספרים ועתונים,5,0,5,5,0
612000540,מבקר העירייה,10,540,612000,פלאפון וטלפון ישיר,6,6,6,6,5
612000780,מבקר העירייה,1,780,612000,הוצאות לפעולות ושוטפות,270,270,270,270,235
612000930,מבקר העירייה,1,930,612000,רכישת ציוד יסודי,6,5,12,12,0
,,,,612,"סה""כ  - מבקר העירייה:",1312,1246,1298,1298,1189
,,,,6121,נציב תלונות הציבור,,,,,
612100100,נציב תלונות הציבור,1,100,612100,משכורות כוללות,249,220,155,600,662
612100540,נציב תלונות הציבור,10,540,612100,טלפון ישיר,5,5,5,5,2
612100560,נציב תלונות הציבור,1,560,612100,הוצאות משרד ושונות,10,6,11,11,5
612100570,נציב תלונות הציבור,10,570,612100,הוצאות מיכון,19,19,19,19,17
612100780,נציב תלונות הציבור,1,780,612100,הוצאות ליישום חוק חופש המידע,10,10,10,10,0
,,,,6121,"סה""כ  - נציב תלונות הציבור:",293,260,200,645,686
,,,,613,מזכיר העיר,,,,,
613000100,מזכיר העיר,1,100,613000,משכורות כוללות,1040,1020,1035,1035,976
613000522,מזכיר העיר,1,522,613000,ספרים ועתונים ,3,3,3,3,2
613000540,מזכיר העיר,10,540,613000,דואר וטלפון ישיר,9,9,9,9,7
613000560,מזכיר העיר,1,560,613000,הוצאות משרד ושונות,11,10,10,10,10
613000750,מזכיר העיר,1,750,613000,שרותי שליחות,100,120,120,120,98
613000751,מזכיר העיר,1,751,613000,שרותי ארכיב בקבלנות,200,200,250,250,184
613000780,מזכיר העיר,1,780,613000,ארכיון עירוני (הסטורי) - כולל ייעוץ,40,36,42,42,27
613000781,מזכיר העיר,1,781,613000,פרס הרצל  ,0,0,0,0,114
613000782,מזכיר העיר,1,782,613000,דמי אחזקת תו תקן ISO,70,70,70,70,68
613000785,מזכיר העיר,1,785,613000,שלטי הנצחה,80,80,80,80,38
,,,,613,"סה""כ  - מזכיר העיר:",1553,1548,1619,1619,1524
,,,,614,הסברה ותדמית,,,,,
614000100,הסברה ותדמית,12,100,614000,משכורות כוללות,1274,1230,1300,1250,919
614000470,הסברה ותדמית,12,470,614000,ציוד משרדי שוטף ,15,20,29,29,12
614000514,הסברה ותדמית,12,514,614000,"מזכרות, מתנות למשלחות, סמלים ושונות",150,177,177,200,142
614000530,הסברה ותדמית,5,530,614000,אחזקת רכב עירוני - מינהלי,50,42,42,30,26
614000540,הסברה ותדמית,10,540,614000,טלפון ישיר ,15,15,15,15,5
614000550,הסברה ותדמית,12,550,614000,פרסומים ודפוס,550,525,525,525,446
614000551,הסברה ותדמית,12,551,614000,תהליך מיתוג העיר,40,60,60,60,100
614000571,הסברה ותדמית,12,571,614000,אחזקת אינטרנט עירוני ,150,150,150,200,176
614000780,הסברה ותדמית,12,780,614000,הוצאות שונות ורזרבה ,100,120,120,120,120
614000784,הסברה ותדמית,12,784,614000,תיעוד,100,120,120,120,87
,,,,614,"סה""כ  - הסברה ותדמית:",2444,2459,2538,2549,2032
,,,,615,משאבי אנוש,,,,,
615000100,משאבי אנוש,11,100,615000,משכורות כוללות ,2637,2465,2465,2445,2328
615000470,משאבי אנוש,11,470,615000,ציוד משרדי שוטף,45,65,65,65,54
615000521,משאבי אנוש,11,521,615000,"השתלמויות, הדרכה  והעשרה מקצועית (בנפרד: מצילים, שפ""ח ושר""ק) ",350,320,320,320,346
615000522,משאבי אנוש,11,522,615000,ספרות מקצועית,10,10,10,10,5
615000523,משאבי אנוש,11,523,615000,דמי חבר בארגונים - כללי  (חינוך בפרק .811),360,360,360,360,336
615000524,משאבי אנוש,11,524,615000,"השתתפות בשכ""ל ",180,150,150,150,135
615000526,משאבי אנוש,11,526,615000,השתלמות אירגונית ,600,250,250,250,186
615000540,משאבי אנוש,10,540,615000,פלאפון וטלפון ישיר,11,10,10,10,11
615000550,משאבי אנוש,12,550,615000,פרסומים ודפוס,216,216,216,216,208
615000560,משאבי אנוש,11,560,615000,הוצאות משרד ושונות ,15,15,15,15,8
615000570,משאבי אנוש,10,570,615000,אחזקת מערכות נוכחות ומיכון,175,166,166,166,130
615000742,משאבי אנוש,11,742,615000,אחזקת מכונת צילום,3,3,3,3,2
615000755,משאבי אנוש,11,755,615000,העסקה באמצעות חברת השמה,15,16,16,0,0
615000780,משאבי אנוש,11,780,615000,סקרים והוצאות לפעולות,85,35,35,35,6
615000781,משאבי אנוש,11,781,615000,פעולות גיבוש וארועי עובדים ,130,180,180,180,126
615000782,משאבי אנוש,11,782,615000,איבחון מועמדים לעבודה,15,15,15,15,8
615000783,משאבי אנוש,11,783,615000,בקרה על העסקת עובדי קבלן (ב- 2016 עבר מסעיף 6113/950),70,0,0,0,0
615000930,משאבי אנוש,11,930,615000,רכישת ציוד יסודי,18,35,35,35,22
615000960,משאבי אנוש,11,960,615000,"רזרבת ר' האגף להוצאות ב""צ ",10,10,10,10,5
,,,,615,"סה""כ - משאבי אנוש:",4945,4321,4321,4285,3913
,,,,616,יח' מטה למיחשוב ,,,,,
616000100,יח' מטה למיחשוב ,10,100,616000,משכורות כוללות ,1980,1895,1895,1810,1689
616000410,יח' מטה למיחשוב ,2,410,616000,שכר דירה (כולל ועד בית),179,160,185,165,150
616000530,יח' מטה למיחשוב ,5,530,616000,אחזקת רכב עירוני - מינהלי ,53,48,48,30,26
616000540,יח' מטה למיחשוב ,10,540,616000,פלאפון וטלפון ישיר,23,22,22,22,19
616000570,יח' מטה למיחשוב ,10,570,616000,הוצאות מיכון ,507,590,590,590,390
616000571,יח' מטה למיחשוב ,10,571,616000,תמיכה שוטפת בתשתיות מיחשוב ,620,571,571,607,568
616000572,יח' מטה למיחשוב ,10,572,616000,חידוש ורכישת רישיונות (מייקרוסופט וCRM) ,1000,130,130,130,86
616000573,יח' מטה למיחשוב ,10,573,616000,טיפול בפרוייקטים עירוניים,180,250,250,250,140
616000574,יח' מטה למיחשוב ,10,574,616000,קווי אינטרנט ותקשורת כלל עירוני,209,202,202,164,163
616000750,יח' מטה למיחשוב ,10,750,616000,שירותי ייעוץ בנושאי מיחשוב (כולל מתאם האוטומציה) ,570,541,541,541,521
616000930,יח' מטה למיחשוב ,10,930,616000,חידוש ציוד מיחשוב ,225,200,200,200,443
616000960,יח' מטה למיחשוב ,10,960,616000,שונות ורזרבה (כולל ספרות מקצועית וציוד משרדי),100,100,100,100,105
,,,,616,"סה""כ  -  יח' מטה למיחשוב:",5646,4709,4734,4609,4300
,,,,617,שרות משפטי,,,,,
617000100,שרות משפטי,1,100,617000,משכורות כוללות,2139,2100,2150,2150,1899
617000410,שרות משפטי,2,410,617000,שכר דירה (כולל ועד בית),250,120,125,110,97
617000522,שרות משפטי,1,522,617000,ספרות מקצועית,20,20,20,20,11
617000530,שרות משפטי,5,530,617000,אחזקת רכב מינהלי - עירוני ,72,60,61,35,56
617000540,שרות משפטי,10,540,617000,פלאפון וטלפון ישיר,17,15,13,13,11
617000560,שרות משפטי,1,560,617000,הוצאות משרד ואחרות,20,30,50,50,15
617000570,שרות משפטי,10,570,617000,הוצאות מיכון (בית משפט),4,4,4,4,4
617000581,שרות משפטי,1,581,617000,הוצאות משפטיות,200,250,250,250,126
617000742,שרות משפטי,1,742,617000,אחזקת מכונת צילום,3,2,3,3,1
617000750,שרות משפטי,1,750,617000,ייעוץ משפטי חיצוני,2600,2700,2700,2700,3107
617000751,שרות משפטי,1,751,617000,שמאויות שונות ואיתור נאשמים,10,10,10,10,6
617000755,שרות משפטי,1,755,617000,העסקה באמצעות חברת השמה,0,0,0,0,13
617000930,שרות משפטי,1,930,617000,רכישת ציוד יסודי,10,20,20,20,14
,,,,617,"סה""כ  - שרות משפטי:",5345,5331,5406,5365,5361
,,,,61,"סה""כ מינהל כללי:",0,0,0,0,0
,,,,62,מינהל כספי,,,,,
,,,,621,גזברות,,,,,
621000100,גזברות,2,100,621000,משכורות כוללות ,6050,5800,6030,6030,5420
621000429,גזברות,2,429,621000,דמי ניהול משרדי לב-העיר ,165,156,160,160,141
621000430,גזברות,2,430,621000,הוצאות חשמל,55,50,60,60,52
621000470,גזברות,2,470,621000,ציוד משרדי שוטף ,80,105,105,105,104
621000522,גזברות,2,522,621000,ספרים ועתונים,9,9,9,9,4
621000530,גזברות,5,530,621000,אחזקת רכב - מינהלי ,69,61,61,40,38
621000540,גזברות,10,540,621000,פלאפונים וטלפון ישיר,25,25,25,25,28
621000550,גזברות,12,550,621000,פרסומים ודפוס  ,20,30,30,30,17
621000570,גזברות,10,570,621000,"הוצאות מיכון - הנהח""ש וגזברות ",125,128,128,128,115
621000571,גזברות,10,571,621000,הוצאות מיכון - מחלקת שכר ,351,351,351,351,280
621000742,גזברות,2,742,621000,אחזקת מכונת צילום,5,4,5,5,4
621000750,גזברות,5,750,621000,נקיון בקבלנות,95,96,96,96,91
621000755,גזברות,2,755,621000,"העסקת כ""א באמצעות חב' השמה",30,50,80,50,118
621000930,גזברות,2,930,621000,רכישת ציוד יסודי,10,20,15,20,20
621000950,גזברות,2,950,621000,"סקרים, ייעוץ מקצועי ושונות  ",650,650,650,650,584
621000951,גזברות,2,951,621000,דירוג אשראי לעירייה ,50,50,50,50,48
621000960,גזברות,2,960,621000,"רזרבת ר' האגף להוצאות ב""צ ",25,25,20,25,15
,,,,621,"סה""כ - גזברות:",7814,7610,7875,7834,7080
,,,,623,שומה וגבייה,,,,,
623000100,שומה וגבייה,2,100,623000,משכורות כוללות,6075,5200,5330,5330,4906
623000101,שומה וגבייה,2,101,623000,משכורות כוללות - מוקד טלפוני,820,650,720,720,608
623000410,שומה וגבייה,2,410,623000,שכר דירה,890,890,890,890,818
623000430,שומה וגבייה,2,430,623000,הוצאות חשמל,65,60,65,65,47
623000470,שומה וגבייה,2,470,623000,ציוד משרדי שוטף ושונות ,80,80,80,80,72
623000540,שומה וגבייה,10,540,623000,פלאפון וטלפון ישיר,5,10,10,10,3
623000550,שומה וגבייה,12,550,623000,פרסומים ודפוס,30,40,40,40,31
623000570,שומה וגבייה,10,570,623000,הוצאות מיכון  ,455,450,450,461,415
623000581,שומה וגבייה,2,581,623000,"הוצאות טיפול בתיקי הוצל""פ  - נטו  (הועבר מסעיף 617/581)",150,150,135,350,-175
623000582,שומה וגבייה,2,582,623000,"שכ""ט עו""ד בגין אכיפה משפטית",450,440,450,250,386
623000583,שומה וגבייה,2,583,623000,הוצאות בגין אכיפה מינהלית (מגער) - נטו,150,100,110,260,-58
623000584,שומה וגבייה,2,584,623000,"שכ""ט בגין אכיפה מינהלית (מגער)",1104,1100,950,800,878
623000610,שומה וגבייה,2,610,623000,עמלות גבייה (חב' טלאול),20,30,70,70,44
623000611,שומה וגבייה,2,611,623000,עמלות גבייה (החב' לאוטומציה),100,90,100,100,72
623000612,שומה וגבייה,2,612,623000,עמלות גבייה לבנק הדואר (ארנונה ומים. חנייה בסעיף - 943/610),280,270,330,330,259
623000730,שומה וגבייה,5,730,623000,אחזקת קטנוע ,14,14,14,14,3
623000742,שומה וגבייה,2,742,623000,אחזקת מכונת צילום,3,2,4,4,1
623000750,שומה וגבייה,2,750,623000,מדידות נכסים לצורך חיוב ארנונה,1980,350,400,400,237
623000753,שומה וגבייה,9,753,623000,אבטחה בקבלנות ,74,70,82,82,70
623000754,שומה וגבייה,2,754,623000,בדיקת יכולת כלכלית של פונים לקבלת הנחות,10,0,10,10,0
623000755,שומה וגבייה,2,755,623000,"העסקת כ""א באמצעות חב' השמה",20,0,20,20,0
623000756,שומה וגבייה,5,756,623000,נקיון בקבלנות ,79,80,80,93,76
623000780,שומה וגבייה,2,780,623000,הפצת חיובי ארנונה ,400,400,450,450,350
623000781,שומה וגבייה,2,781,623000,הוצאות אחרות,150,300,300,350,106
623000930,שומה וגבייה,2,930,623000,רכישת ציוד יסודי,30,30,30,35,26
,,,,623,"סה""כ  - שומה וגבייה:",13434,10806,11120,11214,9173
,,,,62,"סה""כ - מינהל כספי:",0,0,0,0,0
,,,,63,הוצאות מימון,,,,,
,,,,631,עמלות והוצאות בנקאיות,,,,,
631000610,עמלות והוצאות בנקאיות,2,610,631000,תשלומי עמלות לבנקים ,150,130,200,200,130
,,,,631,"סה""כ  - עמלות והוצאות בנקאיות:",150,130,200,200,130
,,,,632,הוצאות מימון ביניים,,,,,
632000611,הוצאות מימון ביניים,2,611,632000,הוצאות מימון כרטיסי אשראי,1300,1200,1200,1200,988
632000620,הוצאות מימון ביניים,2,620,632000,"ריבית על משיכות יתר, הפרשי הצמדה ושער",5,0,10,10,-1
632000861,הוצאות מימון ביניים,2,861,632000,הנחות מימון בארנונה למשלמים מראש ובהוראות קבע,1650,1500,1500,1500,1386
,,,,632,"סה""כ  - הוצאות מימון ביניים:",2955,2700,2710,2710,2373
,,,,63,"סה""כ  -  עמלות והוצאות מימון:",0,0,0,0,0
,,,,64,פרעון מלוות,,,,,
,,,,6481,פרעון מלוות לפיתוח אחר,,,,,
648100691,פרעון מלוות לפיתוח אחר,2,691,648100,"פרע""מ - תשלומים ע""ח קרן",4100,4750,4750,4750,5375
648100692,פרעון מלוות לפיתוח אחר,2,692,648100,"פרע""מ - תשלומים ע""ח ריבית",1150,1300,1350,1350,1540
648100693,פרעון מלוות לפיתוח אחר,2,693,648100,"פרע""מ - תשלומים ע""ח הצמדה",1200,1400,1600,1600,1729
,,,,6481,"סה""כ  - פרעון מלוות לפיתוח אחר:",6450,7450,7700,7700,8644
,,,,6482,פרעון מלוות לכיסוי גרעון מצטבר,,,,,
648200691,"פרע""מ לכיסוי גרעון מצטבר",2,691,648200,"פרע""מ - תשלומים ע""ח קרן",2100,4300,4300,4300,6539
648200692,"פרע""מ לכיסוי גרעון מצטבר",2,692,648200,"פרע""מ - תשלומים ע""ח ריבית",500,500,500,500,845
648200693,"פרע""מ לכיסוי גרעון מצטבר",2,693,648200,"פרע""מ - תשלומים ע""ח הצמדה",750,1350,1550,1550,2258
,,,,6482,"סה""כ  - פרעון מלוות לכיסוי גרעון מצטבר:",3350,6150,6350,6350,9642
,,,,6483,פרעון מלווה לאוצר המדינה,,,,,
648300691,פרעון מלווה לאוצר המדינה,2,691,648300,"פרע""מ - תשלומים ע""ח קרן",1050,1050,1050,1050,504
648300692,פרעון מלווה לאוצר המדינה,2,692,648300,"פרע""מ - תשלומים ע""ח ריבית",300,300,300,300,118
648300693,פרעון מלווה לאוצר המדינה,2,693,648300,"פרע""מ - תשלומים ע""ח הצמדה",50,20,50,50,2
,,,,6483,"סה""כ  - פרעון מלווה לאוצר המדינה:",1400,1370,1400,1400,625
,,,,6484,פרעון מלוות למים ,,,,,
648400691,פרעון מלוות למים,2,691,648400,"פרע""מ - תשלומים ע""ח קרן",250,335,335,335,333
648400692,פרעון מלוות למים,2,692,648400,"פרע""מ - תשלומים ע""ח ריבית",30,40,40,40,41
648400693,פרעון מלוות למים,2,693,648400,"פרע""מ - תשלומים ע""ח הצמדה",70,125,125,125,117
,,,,6484,"סה""כ  - פרעון מלוות למים:",350,500,500,500,491
,,,,6485,פרעון מלוות לכבישים,,,,,
648500691,פרעון מלוות לכבישים ,2,691,648500,"פרע""מ - תשלומים ע""ח קרן",2750,3050,3050,3050,3277
648500692,פרעון מלוות לכבישים ,2,692,648500,"פרע""מ - תשלומים ע""ח ריבית",800,750,800,800,892
648500693,פרעון מלוות לכבישים ,2,693,648500,"פרע""מ - תשלומים ע""ח הצמדה",900,900,1000,1000,1024
,,,,6485,"סה""כ  - פרעון מלוות לכבישים:",4450,4700,4850,4850,5194
,,,,6486,פרעון מלוות לניקוז,,,,,
648600691,פרעון מלוות לניקוז,2,691,648600,"פרע""מ - תשלומים ע""ח קרן",3750,3750,3750,3750,3648
648600692,פרעון מלוות לניקוז ,2,692,648600,"פרע""מ - תשלומים ע""ח ריבית",1100,1100,1100,1100,1236
648600693,פרעון מלוות לניקוז,2,693,648600,"פרע""מ - תשלומים ע""ח הצמדה",1200,1200,1200,1200,1043
,,,,6486,"סה""כ  - פרעון מלוות לניקוז:",6050,6050,6050,6050,5926
,,,,64,"סה""כ - פרעון מלוות  (לא כולל פרע""מ לביוב - פרק .971):",0,0,0,0,0
,,,,6,"סה""כ - מינהל ומימון:",0,0,0,0,0
,,,,7,שרותים מקומיים,,,,,
,,,,71,תברואה,,,,,
,,,,711,"מינהל אגף שאיפ""ה ",,,,,
711000100,"מינהל אגף שאיפ""ה",3,100,711000,משכורות כוללות,1282,1600,1800,1800,1467
711000101,"מינהל אגף שאיפ""ה",3,101,711000,משכורות כוללות - מנהלי רבעים (ב- 2016 עבר מ- 781/100),1343,0,0,0,0
711000430,"מינהל אגף שאיפ""ה",3,430,711000,הוצאות חשמל,100,95,104,104,97
711000470,"מינהל אגף שאיפ""ה",3,470,711000,ציוד משרדי שוטף,51,81,81,81,77
711000530,"מינהל אגף שאיפ""ה",5,530,711000,אחזקת רכב מנהלי,70,60,60,0,0
711000522,"מינהל אגף שאיפ""ה",3,522,711000,ספרים ועתונים,0,1,1,1,2
711000540,"מינהל אגף שאיפ""ה",10,540,711000,אחזקת פלאפונים,17,18,6,6,12
711000550,"מינהל אגף שאיפ""ה",12,550,711000,פרסומים ודפוס,80,130,130,130,117
711000730,"מינהל אגף שאיפ""ה",5,730,711000,אחזקת רכב עירוני - תיפעולי ,26,25,25,50,70
711000742,"מינהל אגף שאיפ""ה",3,742,711000,אחזקת מכונת צילום,4,4,4,4,3
711000750,"מינהל אגף שאיפ""ה",5,750,711000,נקיון  בקבלנות ,118,119,119,119,113
711000752,"מינהל אגף שאיפ""ה",5,752,711000,"תחזוקה ושירות מעלית - בית שאיפ""ה",15,15,15,15,7
711000960,"מינהל אגף שאיפ""ה",3,960,711000,"רזרבת ר' האגף להוצאות ב""צ ",350,573,573,400,583
,,,,711,"סה""כ  - מינהל אגף שאיפ""ה:",3456,2721,2918,2710,2549
,,,,712,נקיון כללי,,,,,
712000100,נקיון כללי,3,100,712000,משכורות כוללות ,1095,935,800,800,834
712000101,נקיון כללי,3,101,712000,משכורות כוללות - נהגי משאיות גזם ,557,520,560,560,481
712000102,נקיון כללי,3,102,712000,משכורות כוללות - מחזור ותברואה מונעת,1045,950,900,900,0
712000127,נקיון כללי,3,127,712000,כלכלה ושתיה ,5,5,5,5,4
712000720,נקיון כללי,3,720,712000,"הוצאות שוטפות, שקיות אשפה, כלי אצירה ",180,180,180,180,165
712000730,נקיון כללי,5,730,712000,אחזקת רכבים - תיפעולי,149,150,150,230,297
712000731,נקיון כללי,5,731,712000,אחזקת רכבים - תיפעולי - משאיות גזם,416,400,420,420,406
712000751,נקיון כללי,3,751,712000,שרותי אחזקה חיצוניים לנקיון רחובות (עוזרי נהגי משאיות ב- 755),16632,16790,16790,19000,17277
712000752,נקיון כללי,3,752,712000,פינוי אשפה (אזורי - קבוע) בקבלנות ,16988,16630,16630,16700,15913
712000753,נקיון כללי,3,753,712000,שרותי אחזקה חיצוניים לנקיון שירותים ציבוריים,0,0,0,0,88
712000755,נקיון כללי,3,755,712000,"העסקת כ""א באמצעות חב' השמה לפינוי גזם",0,0,0,200,0
712000756,נקיון כללי,3,756,712000,"ניקוי מגרשים בקבלנות (מתוכם 70 אלש""ח מותנה בהכנסות 212/420)",240,170,170,240,171
712000757,נקיון כללי,3,757,712000,היטל הטמנה,8316,8000,8000,7700,7135
712000759,נקיון כללי,3,759,712000,הוצאות הובלה והטמנת אשפה וגזם ,14454,12400,12400,11500,11029
712000780,נקיון כללי,3,780,712000,תפעול ואחזקת אתר המשקל,70,70,70,70,44
712100750,נקיון כללי,3,750,712100,איסוף ופינוי פסולת אריזות קרטון (במקביל בהכנסות בסעיף 2121/221),588,505,505,400,331
712100751,נקיון כללי,3,751,712100,ניקוי רחבות וגרפיטי  ,50,50,50,75,49
712100752,נקיון כללי,3,752,712100,"פינוי פסולת אריזות (כולל דמ""ש) - חב' ת.מ.י.ר (במקביל בהכנסות בסעיף 2121/220)",2782,3460,3460,3080,3172
,,,,712,"סה""כ  - נקיון כללי:",63567,61215,61090,62060,57398
,,,,713,"רישוי עסקים, פיקוח תברואי ושילוט ",,,,,
713000100,"רישוי עסקים, פיקוח תברואי ושילוט",3,100,713000,משכורות כוללות,1592,1550,1550,1550,1560
713000550,"רישוי עסקים, פיקוח תברואי ושילוט",12,550,713000,פרסומים ודפוס ,10,10,10,10,10
713000570,"רישוי עסקים, פיקוח תברואי ושילוט",10,570,713000,הוצאות מיכון,50,50,50,50,44
713000780,"רישוי עסקים, פיקוח תברואי ושילוט",3,780,713000,הוצאות שילוט ואחרות (כולל סקר שילוט),150,50,50,130,110
,,,,713,"סה""כ  - רישוי עסקים ופיקוח תברואי:",1802,1660,1660,1740,1724
,,,,714,שרות וטרינרי,,,,,
714000100,שרות וטרינרי,3,100,714000,משכורות כוללות,2139,2100,2210,2210,2095
714000430,שרות וטרינרי,3,430,714000,הוצאות חשמל - כלבייה,2,2,0,0,1
714000540,שרות וטרינרי,10,540,714000,דואר וטלפון ישיר,9,9,9,9,8
714000550,שרות וטרינרי,12,550,714000,פרסומים ודפוס  ,15,15,15,15,14
714000720,שרות וטרינרי,3,720,714000,"חומרים (תויות רישוי, תרכ' חיסון) ושוטפות",335,330,330,330,301
714000721,שרות וטרינרי,3,721,714000,מזון לכלבים ובדיקות מזון מן החי,3,3,3,3,2
714000730,שרות וטרינרי,5,730,714000,אחזקת רכב - תיפעולי ,119,115,120,120,113
714000740,שרות וטרינרי,3,740,714000,כלים וציוד,5,9,9,9,4
714000750,שרות וטרינרי,5,750,714000,נקיון בקבלנות,17,17,17,17,15
714000980,שרות וטרינרי,3,980,714000,עיקור וטיפול בחתולי רחוב וכלבים,150,150,150,150,248
,,,,714,"סה""כ  - שרות וטרינרי:",2794,2750,2863,2863,2801
,,,,715,תברואה מונעת,,,,,
715000750,תברואה מונעת,3,750,715000,עבודות ריסוס והדברה בקבלנות ,390,390,390,420,345
,,,,715,"סה""כ  - תברואה מונעת:",390,390,390,420,345
,,,,71,"סה""כ - תברואה:",0,0,0,0,0
,,,,72,שמירה ובטחון,,,,,
,,,,721,בטחון ובטיחות,,,,,
721000100,בטחון ובטיחות,9,100,721000,משכורות כוללות,548,520,806,806,762
721000101,בטחון ובטיחות,9,101,721000,שכר מנהלה - אגף ביטחון,577,340,340,0,0
721000423,בטחון ובטיחות,5,423,721000,"ביקורת והדרכות בטיחות אש - כללי (מוס""ח בסעיף 81796/423)",50,50,50,175,50
721000470,בטחון ובטיחות,9,470,721000,ציוד משרדי שוטף,70,0,0,0,0
721000511,בטחון ובטיחות,9,511,721000,שתיה וכיבוד ,25,0,0,0,0
721000530,בטחון ובטיחות,5,530,721000,אחזקת רכב מינהלי ,82,50,50,0,0
721000540,בטחון ובטיחות,10,540,721000,טלפון ישיר ,8,7,6,6,5
721000570,בטחון ובטיחות,10,570,721000,הוצאות מיכון,50,0,0,0,0
721000730,בטחון ובטיחות,5,730,721000,אחזקת רכבים - תיפעולי ,69,70,80,80,60
721000740,בטחון ובטיחות,5,740,721000,ציוד כיבוי אש - אחזקה וחידוש,78,78,78,78,51
721000755,בטחון ובטיחות,9,755,721000,"העסקת כ""א באמצעות חברת השמה ",30,0,0,0,0
721000780,בטחון ובטיחות,9,780,721000,הוצאות לפעולות בטחון ושונות  ,85,86,86,86,80
