,,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
632000620,הוצאות מימון ביניים,2,620,632000,"ריבית על משיכות יתר, הפרשי הצמדה ושער",10,1,10,10,0
632000861,הוצאות מימון ביניים,2,861,632000,הנחות מימון בארנונה למשלמים מראש ובהוראות קבע,1500,1400,1550,1550,1365
,,,,632,"סה""כ  - הוצאות מימון ביניים:",2710,2501,2710,2710,2327
,,,,63,"סה""כ  -  עמלות והוצאות מימון:",0,0,0,0,0
,,,,64,פרעון מלוות,,,,,
,,,,6481,פרעון מלוות לפיתוח אחר,,,,,
648100691,פרעון מלוות לפיתוח אחר,2,691,648100,"פרע""מ - תשלומים ע""ח קרן",4750,5400,5500,5500,5955
648100692,פרעון מלוות לפיתוח אחר,2,692,648100,"פרע""מ - תשלומים ע""ח ריבית",1350,1550,1600,1600,1820
648100693,פרעון מלוות לפיתוח אחר,2,693,648100,"פרע""מ - תשלומים ע""ח הצמדה",1600,1750,2000,2000,2000
,,,,6481,"סה""כ  - פרעון מלוות לפיתוח אחר:",7700,8700,9100,9100,9775
,,,,6482,פרעון מלוות לכיסוי גרעון מצטבר,,,,,
648200691,"פרע""מ לכיסוי גרעון מצטבר",2,691,648200,"פרע""מ - תשלומים ע""ח קרן",4300,6550,6550,6550,6255
648200692,"פרע""מ לכיסוי גרעון מצטבר",2,692,648200,"פרע""מ - תשלומים ע""ח ריבית",500,850,900,900,1265
648200693,"פרע""מ לכיסוי גרעון מצטבר",2,693,648200,"פרע""מ - תשלומים ע""ח הצמדה",1550,2300,2500,2500,2242
,,,,6482,"סה""כ  - פרעון מלוות לכיסוי גרעון מצטבר:",6350,9700,9950,9950,9762
,,,,6483,פרעון מלווה לאוצר המדינה,,,,,
648300691,פרעון מלווה לאוצר המדינה,2,691,648300,"פרע""מ - תשלומים ע""ח קרן",1050,550,850,850,0
648300692,פרעון מלווה לאוצר המדינה,2,692,648300,"פרע""מ - תשלומים ע""ח ריבית",300,150,380,380,0
648300693,פרעון מלווה לאוצר המדינה,2,693,648300,"פרע""מ - תשלומים ע""ח הצמדה",50,10,20,20,0
,,,,6483,"סה""כ  - פרעון מלווה לאוצר המדינה:",1400,710,1250,1250,0
,,,,6484,פרעון מלוות למים ,,,,,
648400691,פרעון מלוות למים,2,691,648400,"פרע""מ - תשלומים ע""ח קרן",335,335,335,335,333
648400692,פרעון מלוות למים,2,692,648400,"פרע""מ - תשלומים ע""ח ריבית",40,50,70,70,60
648400693,פרעון מלוות למים,2,693,648400,"פרע""מ - תשלומים ע""ח הצמדה",125,125,145,145,120
,,,,6484,"סה""כ  - פרעון מלוות למים:",500,510,550,550,514
,,,,6485,פרעון מלוות לכבישים,,,,,
648500691,פרעון מלוות לכבישים ,2,691,648500,"פרע""מ - תשלומים ע""ח קרן",3050,3250,3250,3250,3233
648500692,פרעון מלוות לכבישים ,2,692,648500,"פרע""מ - תשלומים ע""ח ריבית",800,900,1000,1000,1067
648500693,פרעון מלוות לכבישים ,2,693,648500,"פרע""מ - תשלומים ע""ח הצמדה",1000,1050,1200,1200,1024
,,,,6485,"סה""כ  - פרעון מלוות לכבישים:",4850,5200,5450,5450,5324
,,,,6486,פרעון מלוות לניקוז,,,,,
648600691,פרעון מלוות לניקוז,2,691,648600,"פרע""מ - תשלומים ע""ח קרן",3750,3600,3600,3600,3599
648600692,פרעון מלוות לניקוז ,2,692,648600,"פרע""מ - תשלומים ע""ח ריבית",1100,1300,1350,1350,1414
648600693,פרעון מלוות לניקוז,2,693,648600,"פרע""מ - תשלומים ע""ח הצמדה",1200,1100,1200,1200,1024
,,,,6486,"סה""כ  - פרעון מלוות לניקוז:",6050,6000,6150,6150,6037
,,,,64,"סה""כ - פרעון מלוות  (לא כולל פרע""מ לביוב - פרק .971):",0,0,0,0,0
,,,,6,"סה""כ - מינהל ומימון:",0,0,0,0,0
,,,,7,שרותים מקומיים,,,,,
,,,,71,תברואה,,,,,
,,,,711,"מינהל אגף שאיפ""ה (שיפור איכות פיקוח הסביבה)",,,,,
711000100,"מינהל אגף שאיפ""ה",3,100,711000,משכורות כוללות,1800,1520,1934,1895,1533
711000430,"מינהל אגף שאיפ""ה",3,430,711000,הוצאות חשמל,104,104,93,93,90
711000470,"מינהל אגף שאיפ""ה",3,470,711000,ציוד משרדי שוטף,81,81,81,81,75
711000522,"מינהל אגף שאיפ""ה",3,522,711000,ספרים ועתונים,1,1,3,3,0
711000540,"מינהל אגף שאיפ""ה",3,540,711000,אחזקת פלאפונים,6,6,6,4,2
711000550,"מינהל אגף שאיפ""ה",12,550,711000,פרסומים ודפוס,130,130,130,130,123
711000730,"מינהל אגף שאיפ""ה",5,730,711000,אחזקת רכב עירוני - תיפעולי (2) ,50,80,105,105,56
711000742,"מינהל אגף שאיפ""ה",3,742,711000,אחזקת מכונת צילום,4,4,5,5,3
711000750,"מינהל אגף שאיפ""ה",5,750,711000,"נקיון  בקבלנות - אגף שאיפ""ה",119,115,118,118,53
711000752,"מינהל אגף שאיפ""ה",5,752,711000,"תחזוקה ושירות מעלית - בית שאיפ""ה",15,15,15,0,0
711000960,"מינהל אגף שאיפ""ה",3,960,711000,"רזרבת ר' האגף להוצאות ב""צ ",400,600,600,450,486
,,,,711,"סה""כ  - מינהל אגף שאיפ""ה:",2710,2656,3090,2884,2419
,,,,712,נקיון כללי,,,,,
712000100,נקיון כללי,3,100,712000,משכורות כוללות ,800,830,1242,1285,940
712000101,נקיון כללי,3,101,712000,משכורות כוללות - נהגי משאיות גזם ,560,500,540,540,353
712000102,נקיון כללי,3,102,712000,משכורות כוללות - מחזור ותברואה מונעת,900,0,0,0,0
712000127,נקיון כללי,3,127,712000,כלכלה ושתיה ,5,5,6,6,5
712000720,נקיון כללי,3,720,712000,"הוצאות שוטפות, שקיות אשפה, כלי אצירה ",180,180,180,220,297
712000730,נקיון כללי,5,730,712000,אחזקת רכבים - תיפעולי,230,230,220,220,237
712000731,נקיון כללי,5,731,712000,אחזקת רכבים - תיפעולי - משאיות גזם,420,420,420,420,328
712000751,נקיון כללי,3,751,712000,שרותי אחזקה חיצוניים לנקיון רחובות (עוזרי נהגי משאיות ב- 755),19000,18000,18000,18400,16010
712000752,נקיון כללי,3,752,712000,פינוי אשפה (אזורי - קבוע) בקבלנות ,16700,16200,16724,17800,15444
712000753,נקיון כללי,3,753,712000,שרותי אחזקה חיצוניים לנקיון שירותים ציבוריים,0,120,200,200,99
712000755,נקיון כללי,3,755,712000,"העסקת כ""א באמצעות חב' השמה לפינוי גזם",200,0,0,320,0
712000756,נקיון כללי,3,756,712000,ניקוי מגרשים בקבלנות,240,283,283,183,130
712000757,נקיון כללי,3,757,712000,היטל הטמנה,7700,7340,7340,7340,5737
712000759,נקיון כללי,3,759,712000,הוצאות הובלה והטמנת אשפה וגזם ,11500,11250,11320,11470,10673
712000780,נקיון כללי,3,780,712000,תפעול ואחזקת אתר המשקל,70,70,70,100,90
712100750,נקיון כללי,3,750,712100,איסוף ופינוי פסולת אריזות קרטון (במקביל בהכנסות בסעיף 2121/221),400,270,600,600,0
712100751,נקיון כללי,3,751,712100,ניקוי רחבות וגרפיטי  ,75,75,75,75,27
712100752,נקיון כללי,3,752,712100,"פינוי פסולת אריזות (כולל דמ""ש) - חב' ת.מ.י.ר (במקביל בהכנסות בסעיף 2121/220)",3080,3085,3065,3065,2598
,,,,712,"סה""כ  - נקיון כללי:",62060,58858,60285,62244,52969
,,,,713,"רישוי עסקים, פיקוח תברואי ושילוט ",,,,,
713000100,"רישוי עסקים, פיקוח תברואי ושילוט",3,100,713000,משכורות כוללות,1550,1550,1550,1470,1479
713000550,"רישוי עסקים, פיקוח תברואי ושילוט",12,550,713000,פרסומים ודפוס ,10,10,10,10,7
713000570,"רישוי עסקים, פיקוח תברואי ושילוט",10,570,713000,הוצאות מיכון,50,50,50,50,72
713000780,"רישוי עסקים, פיקוח תברואי ושילוט",3,780,713000,הוצאות שילוט ואחרות,130,110,110,20,18
,,,,713,"סה""כ  - רישוי עסקים ופיקוח תברואי:",1740,1720,1720,1550,1576
,,,,714,שרות וטרינרי,,,,,
714000100,שרות וטרינרי,3,100,714000,משכורות כוללות,2210,2150,2150,2070,1949
714000430,שרות וטרינרי,3,430,714000,הוצאות חשמל - כלבייה,0,0,0,0,11
714000540,שרות וטרינרי,3,540,714000,דואר וטלפון ישיר,9,8,9,12,8
714000550,שרות וטרינרי,12,550,714000,פרסומים ודפוס  ,15,15,15,15,12
714000720,שרות וטרינרי,3,720,714000,"חומרים (תויות רישוי, תרכ' חיסון) ושוטפות",330,317,317,182,174
714000721,שרות וטרינרי,3,721,714000,מזון לכלבים ובדיקות מזון מן החי,3,3,3,6,6
714000730,שרות וטרינרי,5,730,714000,אחזקת רכב - תיפעולי (1),120,115,125,125,113
714000740,שרות וטרינרי,3,740,714000,כלים וציוד,9,4,4,14,5
714000750,שרות וטרינרי,5,750,714000,נקיון בקבלנות,17,16,16,16,14
714000980,שרות וטרינרי,3,980,714000,עיקור וטיפול בחתולי רחוב וכלבים,150,250,250,200,150
,,,,714,"סה""כ  - שרות וטרינרי:",2863,2878,2889,2640,2442
,,,,715,תברואה מונעת,,,,,
715000750,תברואה מונעת,3,750,715000,עבודות ריסוס והדברה בקבלנות ,420,400,400,400,272
,,,,715,"סה""כ  - תברואה מונעת:",420,400,400,400,272
,,,,71,"סה""כ - תברואה:",0,0,0,0,0
,,,,72,שמירה ובטחון,,,,,
,,,,721,בטחון ובטיחות,,,,,
721000100,בטחון ובטיחות,5,100,721000,משכורות כוללות,806,780,780,770,735
721000423,בטחון ובטיחות,5,423,721000,"ביקורת והדרכות בטיחות אש - כללי (מוס""ח בסעיף 81796/423)",175,200,200,200,0
721000540,בטחון ובטיחות,5,540,721000,טלפון ישיר ,6,6,6,6,4
721000730,בטחון ובטיחות,5,730,721000,אחזקת רכבים - תיפעולי ,80,75,90,90,57
721000740,בטחון ובטיחות,5,740,721000,ציוד כיבוי אש - אחזקה וחידוש,78,78,78,58,53
721000780,בטחון ובטיחות,5,780,721000,הוצאות לפעולות בטחון ושונות  ,86,86,86,86,81
721000781,בטחון ובטיחות,5,781,721000,"בטיחות וגהות (מוס""ח בסעיף 81796/783)",30,30,30,20,15
721000782,בטחון ובטיחות,5,782,721000,"הדרכות בנושא בטיחות (מוס""ח בסעיף 81796/783)",150,244,244,254,97
,,,,721,"סה""כ  - בטחון ובטיחות:",1411,1499,1514,1484,1042
,,,,7221,משמר אזרחי,,,,,
722100100,משמר אזרחי,5,100,722100,משכורות כוללות,0,108,108,108,101
722100410,משמר אזרחי,2,410,722100,שכר דירה,40,30,28,0,17
722100420,משמר אזרחי,5,420,722100,אחזקת בסיסי הפעלה,3,3,3,3,2
722100430,משמר אזרחי,5,430,722100,הוצאות חשמל,4,4,4,4,3
722100511,משמר אזרחי,5,511,722100,שתיה וכיבוד למתנדבים,16,16,16,19,14
722100540,משמר אזרחי,5,540,722100,טלפון ישיר,3,3,3,3,2
722100550,משמר אזרחי,12,550,722100,פרסומים והסברה,1,1,1,1,0
722100750,משמר אזרחי,5,750,722100,נקיון בקבלנות,6,6,6,6,4
722100780,משמר אזרחי,5,780,722100,"טיפוח מתנדבים, ארועים ושונות",36,36,36,41,32
,,,,7221,"סה""כ  - משמר אזרחי:",109,207,205,185,174
,,,,7227,שיטור עירוני,,,,,
722700101,שיטור עירוני,5,101,722700,שכר שיטור עירוני,2995,2313,2313,2205,2214
722700730,שיטור עירוני,5,730,722700,אחזקת רכב תפעולי,345,300,335,335,346
722700750,שיטור עירוני,5,750,722700,אבטחת גינות ציבוריות,170,323,323,323,265
722700751,שיטור עירוני,5,751,722700,סיירת בטחון בקבלנות,0,100,120,20,18
722700780,שיטור עירוני,5,780,722700,הוצאות לפעולות ,70,70,70,70,62
,,,,7227,"סה""כ  - שיטור עירוני:",3580,3106,3161,2953,2905
,,,,7228,מוקד רואה,,,,,
722800100,מוקד בטחון,5,100,722800,משכורות כוללות,1226,1185,1185,1250,1107
722800540,מוקד בטחון,5,540,722800,טלפון ישיר + קווי תקשורת vpn,180,180,180,180,159
722800780,מוקד בטחון,5,780,722800,הוצאות אחזקת מצלמות ,71,30,90,90,76
,,,,7228,"סה""כ  - מוקד רואה:",1477,1395,1455,1520,1342
,,,,723,"הג""א",,,,,
723000100,"ה ג "" א",5,100,723000,משכורות כוללות,558,540,540,540,495
723000411,"ה ג "" א",2,411,723000,"תשלום ארנונה עבור מחסני הג""א",240,200,240,240,191
723000420,"ה ג "" א",5,420,723000,"אחזקת מקלטים צבוריים, מחסנים ומפקדות ",270,310,310,310,279
723000430,"ה ג "" א",5,430,723000,הוצאות חשמל,73,71,70,67,58
723000432,"ה ג "" א",5,432,723000,הוצאות צריכת מים ואגרת ביוב,37,37,28,28,37
723000440,"ה ג "" א",5,440,723000,ביטוח ציוד,93,93,110,110,100
723000540,"ה ג "" א",5,540,723000,טלפון ישיר,11,11,13,13,10
723000730,"ה ג "" א",5,730,723000,אחזקת רכב ייעודי ,55,55,55,55,45
723000811,"ה ג "" א",5,811,723000,"השתתפות בפעולות הג""א ארצי ",590,590,590,590,561
,,,,723,"סה""כ  - הג""א:",1927,1907,1956,1953,1776
,,,,724,כיבוי אש,,,,,
724000830,כיבוי אש,7,830,724000,השתתפות בתקציב איגוד ערים לכבאות,0,0,0,0,167
724000831,כיבוי אש,7,831,724000,השתתפות בתקציב הרשות הארצית לכבאות והצלה ,3635,4160,4160,4160,3599
,,,,724,"סה""כ  - כיבוי אש:",3635,4160,4160,4160,3766
,,,,726,"מל""ח ופס""ח",,,,,
726000100,"מל""ח ופס""ח",5,100,726000,"משכורות כוללות - מל""ח ופס""ח",77,75,75,55,55
726000540,"מל""ח ופס""ח",5,540,726000,טלפון ישיר,8,8,8,8,6
726000780,"מל""ח ופס""ח",5,780,726000,הוצאות לפעולות,24,24,24,24,23
,,,,726,"סה""כ  - מל""ח ופס""ח:",109,107,107,87,84
,,,,72,"סה""כ - שמירה ובטחון:",0,0,0,0,0
,,,,73,תכנון ובניין עיר,,,,,
,,,,731,משרד מהנדס העיר,,,,,
731000100,משרד מהנדס העיר,4,100,731000,משכורות כוללות,2620,2400,2510,2272,1932
731000410,משרד מהנדס העיר,2,410,731000,שכר-דירה (ב- 2015 הועבר מסעיף 7322/410),280,0,0,0,0
731000429,משרד מהנדס העיר,2,429,731000,דמי ניהול משרדי לב-העיר ,200,180,200,200,173
731000430,משרד מהנדס העיר,4,430,731000,הוצאות חשמל,200,155,155,155,143
731000470,משרד מהנדס העיר,4,470,731000,ציוד משרדי שוטף ,108,98,98,98,77
731000511,משרד מהנדס העיר,4,511,731000,הוצאות כיבוד (שיתוף הציבור),30,20,20,20,0
731000530,משרד מהנדס העיר,5,530,731000,אחזקת רכב - מינהלי (2),97,97,80,80,88
731000540,משרד מהנדס העיר,4,540,731000,טלפון ישיר,31,28,28,28,21
731000550,משרד מהנדס העיר,12,550,731000,פרסומים ומכרזים,38,38,38,38,24
731000570,משרד מהנדס העיר,10,570,731000,הוצאות מיכון,209,176,176,176,70
731000742,משרד מהנדס העיר,4,742,731000,אחזקת מכונת צילום,9,8,8,8,6
731000750,משרד מהנדס העיר,5,750,731000,נקיון בקבלנות,183,157,157,141,125
731000751,משרד מהנדס העיר,5,751,731000,אבטחת משרדי אגף מהנדס העיר,68,66,66,53,49
731000780,משרד מהנדס העיר,4,780,731000,"הוצאות כלים וציוד, ספרים ושונות ",32,29,29,29,27
731000960,משרד מהנדס העיר,4,960,731000,"רזרבת ר' האגף להוצאות ב""צ ",125,98,98,98,135
,,,,731,"סה""כ  - משרד מהנדס העיר:",4230,3550,3663,3396,2869
,,,,732,תכנון עיר ופיתוח סביבה,,,,,
732000100,תכנון עיר,4,100,732000,משכורות כוללות תכנון עיר,1550,1500,1755,1755,1584
732000101,פתוח סביבה,4,101,732000,משכורות כוללות - פתוח סביבה ,760,730,765,765,750
732000570,תכנון עיר,10,570,732000,הוצאות מיכון - קובץ ייעודי קרקע,178,177,177,177,157
732000950,תכנון עיר,4,950,732000,מדידות ותכנון חוץ,190,190,190,190,93
732000951,תכנון עיר,4,951,732000,"שכ""ט לשמאים  (במקביל בהכנסות בסעיף 230/591)",3000,3000,3500,3500,2268
,,,,732,"סה""כ - תכנון עיר ופיתוח סביבה:",5678,5597,6387,6387,4852
,,,,7322,התחדשות עירונית,,,,,
732200100,התחדשות עירונית,4,100,732200,משכורות כוללות התחדשות עירונית,800,401,401,0,0
732200410,התחדשות עירונית,2,410,732200,שכר דירה - התחדשות עירונית (ב- 2015 הועבר לסעיף 731/410),0,140,247,0,0
732200430,התחדשות עירונית,4,430,732200,חשמל - התחדשות עירונית ,0,0,50,0,0
732200781,התחדשות עירונית,4,781,732200,הוצאות שונות- התחדשות עירונית,50,50,50,0,0
,,,,7322,"סה""כ - התחדשות עירונית:",850,591,748,0,0
,,,,7331,רישוי הבנייה,,,,,
733100100,רישוי הבנייה,4,100,733100,משכורות כוללות,2060,1920,2000,2000,1814
,,,,7331,"סה""כ - רישוי הבנייה:",2060,1920,2000,2000,1814
,,,,7332,פיקוח על הבנייה,,,,,
733200100,פיקוח על הבנייה,4,100,733200,משכורות כוללות,1560,1490,1587,1490,1510
733200730,פיקוח על הבנייה,5,730,733200,אחזקת רכב עירוני - תיפעולי (2),75,75,72,72,41
733200750,פיקוח על הבנייה,4,750,733200,עבודות קבלניות למדידות והריסת מבנים עם חריגות בנייה ,230,230,230,230,40
,,,,7332,"סה""כ - פיקוח על הבנייה:",1865,1795,1889,1792,1591
,,,,734,תיאום ובקרה הנדסיים,,,,,
734000100,תיאום ובקרה הנדסיים,4,100,734000,משכורות כוללות ,505,300,897,800,697
,,,,734,"סה""כ - תיאום ובקרה הנדסיים :",505,300,897,800,697
,,,,735,בנייה ציבורית,,,,,
735000100,בנייה ציבורית,4,100,735000,משכורות כוללות,620,360,380,380,350
,,,,735,"סה""כ - בנייה ציבורית:",620,360,380,380,350
,,,,73,"סה""כ - תכנון ובניין עיר:",0,0,0,0,0
,,,,74,נכסים צבוריים,,,,,
,,,,742,כבישים ומדרכות,,,,,
742000100,כבישים ומדרכות,4,100,742000,משכורות כוללות ,1120,825,1136,1150,832
742000102,כבישים ומדרכות,5,102,742000,שכר עובדי אחזקה ,796,770,770,750,726
742000420,כבישים ומדרכות,5,420,742000,"אחזקת כבישים, מדרכות ודרכי כורכר ",350,375,375,350,497
742000730,כבישים ומדרכות,5,730,742000,אחזקת רכבים - תיפעולי ,130,113,165,165,113
742000740,כבישים ומדרכות,5,740,742000,כלים וציוד,16,10,10,16,15
742000751,כבישים ומדרכות,5,751,742000,"טיפול שוטף בתשתיות (כבישים, מדרכות, תאורה, צביעה, וכו')",500,500,500,500,458
742000755,כבישים ומדרכות,4,755,742000,כבישים - העסקה באמצעות חברת השמה  ,0,5,14,0,55
,,,,742,"סה""כ - כבישים ומדרכות:",2912,2598,2970,2931,2696
,,,,743,מאור רחובות וחשמל,,,,,
743000100,מאור רחובות,5,100,743000,משכורות כוללות,1283,1240,1240,1335,1352
743000720,מאור רחובות,5,720,743000,חומרים ונורות ,170,170,170,50,28
743000730,מאור רחובות,5,730,743000,אחזקת רכבים - תיפעולי ,240,240,185,185,213
743000740,מאור רחובות,5,740,743000,כלים וציוד,10,10,10,10,9
743000750,מאור רחובות,5,750,743000,עבודות קבלניות (כולל חומרים ונורות),400,414,414,500,495
743000771,מאור רחובות,5,771,743000,הוצאות חשמל - תאורת רחובות,6032,5534,5200,5200,5058
,,,,743,"סה""כ - מאור רחובות וחשמל:",8135,7608,7219,7280,7155
,,,,744,בטיחות בדרכים,,,,,
744000720,בטיחות בדרכים,5,720,744000,סימון כבישים ומעברי חצייה ,1150,1200,1200,1200,975
744000740,בטיחות בדרכים,5,740,744000,תמרורים וגדרות בטיחות,87,87,87,87,72
744000750,בטיחות בדרכים,5,750,744000,אחזקת רמזורים בקבלנות,536,520,520,612,577
744000752,בטיחות בדרכים,4,752,744000,"ייעוץ ותכנון תנועה, תחבורה ורמזורים",370,350,350,350,336
744000771,בטיחות בדרכים,5,771,744000,הוצאות חשמל - רמזורים,327,300,309,315,295
,,,,744,"סה""כ - בטיחות בדרכים:",2470,2457,2466,2564,2255
,,,,745,תיעול וניקוז,,,,,
745000100,תיעול וניקוז,4,100,745000,משכורות כוללות ,250,120,240,240,220
745000420,תיעול וניקוז,5,420,745000,טיפול בצנרת ניקוז ושונות ,220,220,220,220,214
745000750,תיעול וניקוז,4,750,745000,תיעול וניקוז - תחזוקת מתקן שאיבה,100,0,0,0,0
745000830,תיעול וניקוז,4,830,745000,השתתפות ברשויות ניקוז: ירקון ושרון,275,260,260,260,234
,,,,745,"סה""כ - תיעול וניקוז:",845,600,720,720,668
,,,,746,גנים ונטיעות,,,,,
746000100,גנים ונטיעות,3,100,746000,משכורות כוללות ,1500,1430,1450,1450,1403
746000127,גנים ונטיעות,3,127,746000,"כלכלה, ביגוד ושתיה ",7,7,10,10,7
746000432,גנים ונטיעות,3,432,746000,צריכת מים - השקיית גינות צבוריות,6000,6000,6000,6000,5804
746000720,גנים ונטיעות,3,720,746000,חומרי דישון והדברה,205,200,200,200,200
746000730,גנים ונטיעות,5,730,746000,אחזקת רכבים - תיפעולי,90,90,165,165,124
746000740,גנים ונטיעות,3,740,746000,כלים וציוד,20,20,20,40,18
746000750,גנים ונטיעות,3,750,746000,אחזקת גינות ציבוריות בקבלנות,7300,7250,7250,7900,7696
746000751,גנים ונטיעות,3,751,746000,אחזקת מזרקות בקבלנות ,400,400,400,460,376
746000752,גנים ונטיעות,3,752,746000,טיפול בחורשות בקבלנות,551,520,520,482,472
746000753,גנים ונטיעות,3,753,746000,שרותי אחזקה חיצוניים - רחוב וגן ,685,645,645,685,639
746000754,גנים ונטיעות,3,754,746000,גיזומים ברחבי העיר בקבלנות,915,1000,1000,1000,929
746000756,גנים ונטיעות,3,756,746000,השקיית עצים במדרכות בקבלנות,450,520,520,500,369
746000757,גנים ונטיעות,3,757,746000,אחזקת מערכת מיחשוב השקיית גינות,495,465,465,465,377
746000758,גנים ונטיעות,3,758,746000,פיקוח גנים ברובעים,300,293,293,287,287
746000759,גנים ונטיעות,3,759,746000,תחזוקת היער העירוני,19,18,19,19,18
746000780,גנים ונטיעות,3,780,746000,שימור גנים וחידוש צמחיה ,750,1400,1400,750,2749
,,,,746,"סה""כ  - גנים ונטיעות:",19687,20258,20357,20413,21470
,,,,7461,פארק הרצליה ,,,,,
746100100,פארק הרצליה,7,100,746100,משכורות כוללות ,780,607,607,660,479
746100101,פארק הרצליה,7,101,746100,משכורות כוללות פיקוח,423,410,430,430,380
746100420,פארק הרצליה,7,420,746100,תיקונים ואחזקה,260,220,220,370,277
746100430,פארק הרצליה,7,430,746100,הוצאות חשמל,189,183,165,165,137
746100432,פארק הרצליה,7,432,746100,צריכת מים ,600,740,500,500,726
746100470,פארק הרצליה,7,470,746100,ציוד משרדי,10,10,10,10,9
746100540,פארק הרצליה,7,540,746100,טלפון ישיר ותקשורת,16,15,16,16,12
746100550,פארק הרצליה,12,550,746100,פרסומים ודפוס,10,10,10,10,9
746100720,פארק הרצליה,7,720,746100,רכישת חומרים שוטפים,206,200,200,200,98
746100730,פארק הרצליה,5,730,746100,אחזקת רכבים - תיפעולי ,150,120,125,125,119
746100740,פארק הרצליה,7,740,746100,כלים וציוד,50,30,30,70,56
746100750,פארק הרצליה,7,750,746100,עבודות נקיון בקבלנות ,2500,2300,2522,2922,1789
746100751,פארק הרצליה,7,751,746100,גינון בקבלנות (כולל פיקוח וייעוץ),715,645,650,650,457
746100752,פארק הרצליה,7,752,746100,אחזקת מתקני משחק בקבלנות,200,200,200,200,82
746100753,פארק הרצליה,7,753,746100,אבטחה בקבלנות,215,210,249,306,181
746100755,פארק הרצליה,7,755,746100,העסקה באמצעות חברת השמה,20,45,45,0,42
746100757,פארק הרצליה,7,757,746100,אחזקת מערכת מיחשוב להשקייה,100,100,100,100,34
746100780,פארק הרצליה,7,780,746100,הוצאות שונות,450,565,565,420,301
746100781,פארק הרצליה,7,781,746100,טיפול בצמחיה,175,175,175,175,99
,,,,7461,":סה""כ - פארק הרצליה",7069,6785,6819,7329,5286
,,,,7472,חופי רחצה,,,,,
747200101,חופי רחצה,6,101,747200,משכורות כוללות - מינהל ושרותים ,1150,1100,1355,1355,1185
747200102,חופי רחצה,6,102,747200,משכורות כוללות - מצילים ועוזרי מצילים,8500,8000,8478,8510,8042
747200127,חופי רחצה,6,127,747200,"(כלכלה, שתיה ואמצעי מיגון (משחות",260,250,250,218,205
747200420,חופי רחצה,6,420,747200,תיקונים ואחזקת מתקנים בחוף,220,180,180,252,202
747200430,חופי רחצה,6,430,747200,הוצאות חשמל,9,8,9,9,4
747200432,חופי רחצה,6,432,747200,הוצאות צריכת מים ואגרת ביוב,320,300,431,431,290
747200521,חופי רחצה,6,521,747200,השתלמויות מצילים,55,52,54,54,49
747200540,חופי רחצה,6,540,747200,טלפון ישיר,7,6,6,6,5
747200550,חופי רחצה,12,550,747200,פרסומים ודפוס,8,8,8,8,7
747200730,חופי רחצה,5,730,747200,אחזקת רכבים - תיפעולי ,500,500,450,450,431
747200740,חופי רחצה,6,740,747200,כלים וציוד ,165,160,160,140,123
747200750,חופי רחצה,6,750,747200,סדרנות ואבטחה בקבלנות,620,602,602,508,440
747200751,חופי רחצה,6,751,747200,עבודות נקיון בקבלנות ,2000,2375,2375,2075,2171
747200752,חופי רחצה,6,752,747200,שוטרים בשכר,270,258,258,247,212
747200753,חופי רחצה,6,753,747200,עזרה רפואית בקבלנות,845,810,810,407,383
747200754,חופי רחצה,6,754,747200,פינוי מכולות,130,120,120,156,91
747200780,חופי רחצה,6,780,747200,הוצאות אחרות והיערכות לפתיחת העונה ,200,170,170,212,128
,,,,7472,"סה""כ - חופי רחצה:",15259,14899,15716,15038,13968
,,,,74,"סה""כ - נכסים צבוריים:",0,0,0,0,0
,,,,75,"חגיגות, מבצעים וארועים",,,,,
,,,,751,ארועי יום העצמאות,,,,,
751000100,ארועי יום העצמאות,7,100,751000,"שכר וש""נ",0,0,50,150,140
751000550,ארועי יום העצמאות,12,550,751000,פרסומים ודפוס,45,45,45,45,44
751000781,ארועי יום העצמאות,82,781,751000,הוצאות לפעולות מטה,130,110,110,110,110
751000782,ארועי יום העצמאות,82,782,751000,הוצאות למופעי אמנים,325,290,290,290,291
751000783,ארועי יום העצמאות,5,783,751000,הוצאות לפעולות תחזוקה ולוגיסטיקה,400,350,350,350,309
751000785,ארועי יום העצמאות,82,785,751000,ערב שירי לוחמים לנוער,100,0,0,0,0
,,,,751,"סה""כ - ארועי יום העצמאות:",1000,795,845,945,893
,,,,752,טקסים וארועים,,,,,
752000550,טקסים וארועים,12,550,752000,פרסומים ודפוס,50,50,50,50,29
752000780,טקסים וארועים,12,780,752000,הוצאות לפעולות ארועים,270,270,270,270,219
,,,,752,"סה""כ - טקסים וארועים:",320,320,320,320,248
,,,,753,פעולות אימוץ,,,,,
753000781,פעולות אימוץ,7,781,753000,שרות כביסה לחיילים בסופי שבוע,170,160,160,160,163
753000782,פעולות אימוץ,7,782,753000,אימוץ חילות,20,20,20,20,17
,,,,753,"סה""כ - פעולות אימוץ:",190,180,180,180,180
,,,,754,קשרים בינלאומיים,,,,,
754000100,קשרים בינלאומיים,1,100,754000,שכר קשרי חוץ,93,90,90,90,84
754000510,קשרים בינלאומיים,1,510,754000,"נסיעות, ארוח ומימון משלחות וערים תאומות",70,50,100,100,50
754000540,קשרים בינלאומיים,1,540,754000,הוצאות טלפון ישיר,2,2,2,2,2
,,,,754,"סה""כ - קשרים בינלאומיים:",165,142,192,192,136
