,"הצעת   התקציב   הרגיל   לשנת   2016   בש""ח",,,,,,,,,
621300511,511,621300,1,,אירוח וכיבוד      ,גמיש,-25.00% ,1200,1600,1246.79
621300522,522,621300,1,,ספרים ועיתונים    ,גמיש,0.00% ,8000,8000,7735.84
621300561,561,621300,1,,שיכפולים          ,גמיש,0.00% ,4000,4000,3513.5
621300562,562,621300,1,,הדפסות            ,גמיש,0.00% ,4800,4800,4309.68
621300563,563,621300,1,,הדפסת דוחות       ,קשיח,0.00% ,10000,10000,8986.2
621300570,570,621300,1,,שידורי תנועות בנק ,קשיח,10.00% ,22000,20000,15637.97
621300571,571,621300,1,,"מיכון וענ""א       ",קשיח,20.56% ,275600,228600,215548.46
621300580,580,621300,1,,יעוץ חיצוני       ,גמיש,0.00% ,30000,30000,272.2
621300700,700,621300,1,,הוצאות לפעולות    , ,,,,
621300757,757,621300,1,,"שרותי הנה""ח       ",קשיח,0.00% ,200000,200000,170182
621500110,110,621500,1,,השכר הקובע-תקציבית,שכר,3.59% ,312000,301200,289560.96
621500119,119,621500,1,,השכר הקובע-צוברת  ,שכר,9.09% ,597600,547800,536866.88
621500122,122,621500,1,,ביגוד             ,שכר,9.27% ,16500,15100,12067.15
621500126,126,621500,1,,דמי הבראה         ,שכר,17.67% ,37300,31700,25143.85
621500130,130,621500,1,,שעות נוספות       ,שכר,0.00% ,42900,42900,38085
621500140,140,621500,1,,השתתפות באחזקת רכב,שכר,1.52% ,113200,111500,107838.5
621500471,471,621500,1,,מכשירי כתיבה      ,גמיש,12.50% ,4500,4000,3613.74
621500544,544,621500,1,,הוצאות דאר        ,קשיח,2.86% ,36000,35000,34453.56
621500565,565,621500,1,,ארכיבאות מגנטית,גמיש,0.00% ,15000,15000,8446.6
621500566,566,621500,1,,מצבת גימלאים,גמיש,0.00% ,10000,10000,5000
621500570,570,621500,1,,תשלום לאוטומציה   ,קשיח,2.22% ,920000,900000,843430.01
621500571,571,621500,1,,"מיכון וענ""א       ",קשיח,20.54% ,137900,114400,107880.1
621800110,110,621800,1,,השכר הקובע-תקציבית,שכר,-0.90% ,318200,321100,298689.89
621800119,119,621800,1,,השכר הקובע-צוברת  ,שכר,3.86% ,110300,106200,95751.86
621800122,122,621800,1,,ביגוד             ,שכר,-1.05% ,9400,9500,8240.95
621800126,126,621800,1,,דמי הבראה         ,שכר,0.00% ,11800,11800,9394
621800130,130,621800,1,,שעות נוספות       ,שכר,0.00% ,30900,30900,30920.4
621800140,140,621800,1,,השתתפות באחזקת רכב,שכר,-2.62% ,67000,68800,68705.75
621800471,471,621800,1,,מכשירי כתיבה      ,גמיש,0.00% ,500,500,497.37
621800522,522,621800,1,,ספרים ועיתונים    ,גמיש,4.00% ,2600,2500,2463.84
621800550,550,621800,1,,פירסומים          ,גמיש,0.00% ,60000,60000,22136.8
621800571,571,621800,1,,"מיכון וענ""א       ",קשיח,20.35% ,13600,11300,10692.73
621800580,580,621800,1,,יעוץ חיצוני       ,גמיש,0.00% ,60000,60000,10042
622000110,110,622000,1,,השכר הקובע-תקציבית,שכר,33.39% ,469000,351600,349211.39
622000119,119,622000,1,,השכר הקובע-צוברת  ,שכר,9.58% ,1746700,1594000,1437979.68
622000122,122,622000,1,,ביגוד             ,שכר,24.20% ,42600,34300,27516.6
622000126,126,622000,1,,דמי הבראה         ,שכר,33.12% ,106100,79700,63260.35
622000130,130,622000,1,,שעות נוספות       ,שכר,0.00% ,77200,77200,54961.35
622000140,140,622000,1,,השתתפות באחזקת רכב,שכר,7.85% ,221100,205000,202869.7
622000492,492,622000,1,,השתתפות בעזר 092  ,קשיח,3.93% ,172000,165500,147302
622000544,544,622000,1,,הוצאות דאר        ,קשיח,0.00% ,200,200,0
622000563,563,622000,1,,הדפסת פרטיכלים    ,גמיש,20.00% ,24000,20000,22115.6
622000571,571,622000,1,,"מיכון וענ""א       ",קשיח,20.58% ,331100,274600,258954.58
622000580,580,622000,1,,סקרים             ,גמיש,-28.57% ,1000000,1400000,794206.46
622000581,581,622000,1,,הוצ' משפטיות - ועדת ערר,גמיש,0.00% ,800000,800000,505640.04
622000780,780,622000,1,,הוצ' חברי ועדת ערר,גמיש,100.00% ,120000,60000,54607.99
622000794,794,622000,1,,השתתפות בעזר 094  ,קשיח,2.41% ,8500,8300,7368
622000961,961,622000,1,,רז' פעולות ורכישות,גמיש,0.00% ,2000,0,0
623100110,110,623100,1,,השכר הקובע-תקציבית,שכר,0.00% ,162500,0,0
623100119,119,623100,1,,השכר הקובע-צוברת  ,שכר,0.64% ,1689900,1679100,1596174.02
623100122,122,623100,1,,ביגוד             ,שכר,-1.45% ,27100,27500,22127.45
623100126,126,623100,1,,דמי הבראה         ,שכר,6.19% ,66900,63000,49956
623100130,130,623100,1,,שעות נוספות       ,שכר,0.00% ,30700,30700,15696.85
623100140,140,623100,1,,השתתפות באחזקת רכב,שכר,-2.19% ,161000,164600,159794.9
623100253,253,623100,1,,עובדים חיצוניים   ,שכר,0.00% ,0,0,36312.74
623100471,471,623100,1,,מכשירי כתיבה      ,גמיש,0.00% ,140300,140300,132451.82
623100511,511,623100,1,,אירוח וכיבוד      ,גמיש,-25.00% ,5400,7200,7018.2
623100541,541,623100,1,,משלוחים           ,קשיח,0.00% ,400000,400000,385448.95
623100562,562,623100,1,,הדפסות            ,קשיח,0.00% ,430000,430000,364534.26
623100571,571,623100,1,,"מיכון וענ""א       ",קשיח,20.58% ,178700,148200,139746.54
623100757,757,623100,1,,"שרותי הנה""ח       ",גמיש,0.00% ,36000,36000,8850
623100758,758,623100,1,,דמי סליקה לוטרינריה,גמיש,0.00% ,20000,0,
623200110,110,623200,1,,השכר הקובע-תקציבית,שכר,-35.66% ,462700,719200,848683.19
623200119,119,623200,1,,השכר הקובע-צוברת  ,שכר,17.55% ,1396800,1188300,630461.08
623200122,122,623200,1,,ביגוד             ,שכר,-35.53% ,25400,39400,38835.75
623200126,126,623200,1,,דמי הבראה         ,שכר,-48.42% ,49100,95200,80628.2
623200130,130,623200,1,,שעות נוספות       ,שכר,0.00% ,60100,60100,44790.95
623200140,140,623200,1,,השתתפות באחזקת רכב,שכר,-16.45% ,135600,162300,130431.2
623200253,253,623200,1,,עובדים חיצוניים   ,שכר,0.00% ,0,0,134856.6
623200492,492,623200,1,,השתתפות בעזר 092  ,קשיח,3.95% ,347400,334200,297459
623200542,542,623200,1,,מענה קולי         ,קשיח,-20.00% ,400000,500000,678953.27
623200544,544,623200,1,,הוצאות דאר        ,קשיח,0.00% ,400000,400000,278000
623200550,550,623200,1,,פירסומים          ,גמיש,42.86% ,30000,21000,16375.48
623200571,571,623200,1,,"מיכון וענ""א       ",קשיח,20.57% ,865100,717500,676500.31
623200572,572,623200,1,,אוטומציה - עיקולי רכב,קשיח,0.00% ,216000,216000,0
623200581,581,623200,1,,הוצאות משפטיות    ,גמיש,-33.33% ,1000000,1500000,2297591.46
623200582,582,623200,1,,אגרות משפט        ,קשיח,25.00% ,250000,200000,198995.4
623200756,756,623200,1,,שמירה בקבלנות     ,קשיח,0.00% ,187000,187000,175459.66
623200757,757,623200,1,,אכיפת גביה        ,גמיש,0.00% ,1700000,1700000,1569695.64
623200758,758,623200,1,,אכיפת גביה - חניה,גמיש,-21.88% ,2500000,3200000,2031729.14
623200759,759,623200,1,,אכיפת עישון - מילגם,גמיש,0.00% ,20000,20000,7477
623200794,794,623200,1,,השתתפות בעזר 094  ,קשיח,2.38% ,8600,8400,7457
623700100,100,623700,1,,שכר עובדים לפי תקן, ,,                ,                ,
623700119,119,623700,1,,השכר הקובע-צוברת  ,שכר,6.65% ,176400,165400,165801.92
623700122,122,623700,1,,ביגוד             ,שכר,123.53% ,3800,1700,1380.95
623700126,126,623700,1,,דמי הבראה         ,שכר,127.66% ,10700,4700,3663.65
623700253,253,623700,1,,עובדת חברה        ,שכר,0.00% ,0,0,8096.42
623700400,400,623700,1,,אחזקת בנינים וציוד, ,,,,
623700441,441,623700,1,,ביטוח כספים       ,קשיח,0.00% ,3200,3200,1800
623700500,500,623700,1,,הוצאות מינהליות   , ,,,,
623700571,571,623700,1,,"מיכון וענ""א       ",קשיח,20.57% ,55100,45700,43088.52
631000610,610,631000,1,,עמלות תשלומי דלפק ,קשיח,0.00% ,300000,300000,259512.58
631000611,611,631000,1,,עמלות כרטיסי אשראי,קשיח,0.00% ,2200000,2200000,1592657.99
631000612,612,631000,1,,עמלת תשלום חוזרים ,קשיח,0.00% ,11000,0,1462.46
631000613,613,631000,1,,עמלות הוראות קבע  ,קשיח,0.00% ,100000,100000,56711.56
631000614,614,631000,1,,עמלות שקים מעותדים,קשיח,0.00% ,0,0,13
631000616,616,631000,1,,דמי ניהול חשבון   ,קשיח,0.00% ,20000,20000,10832.35
631000617,617,631000,1,,העברות בין בנקים  ,קשיח,0.00% ,25000,25000,8664.63
631000619,619,631000,1,,ע'אחרות+פנקסי שקים,קשיח,0.00% ,900000,900000,685167.85
631000694,694,631000,1,,החזר הצמדת פק' פינוי פסולת,קשיח,0.00% ,15000,15000,3655
632000620,620,632000,1,,ריבית על משיכת יתר,קשיח,0.00% ,10000,10000,-477.31
633000860,860,633000,1,,הנחות למשלמים מראש   ,קשיח,4.04% ,891000,856400,833834.46
648000691,691,648000,1,,"תשלומים ע""ח הקרן  ",קשיח,13.31% ,13612400,12013000,9346687.59
648000692,692,648000,1,,"תשלומים ע""ח הריבית",קשיח,-5.64% ,1838100,1948000,2293865.69
648000693,693,648000,1,,"תש' ע""ח הצמדה וערך",קשיח,-18.09% ,2648200,3233000,3323669.33
648000694,694,648000,1,,"תשל' ע""ח קרן-מים",קשיח,-2.76% ,704000,724000,723997
648000695,695,648000,1,,"תשל' ע""ח ריבית-מים",קשיח,-27.38% ,105300,145000,184064
648000696,696,648000,1,,"תשל' ע""ח הצמדה-מים",קשיח,-14.35% ,204700,239000,226302
648000697,697,648000,1,,"תשל' ע""ח קרן-ביוב",קשיח,0.00% ,206000,206000,205892
648000698,698,648000,1,,"תשל' ע""ח ריבית-ביוב",קשיח,-18.43% ,41600,51000,60718
648000699,699,648000,1,,"תשל' ע""ח הצמדה-ביוב",קשיח,-10.94% ,57000,64000,59172
648000701,701,648000,1,,קרן - הלוואה  לממשלה,קשיח,0.00% ,1776200,0,0
648000702,702,648000,1,,ריבית - הלוואה  לממשלה,קשיח,0.00% ,194600,0,0
711100100,100,711100,1,,שכר עובדים לפי תקן, ,,                ,                ,
711100110,110,711100,1,,השכר הקובע-תקציבית,שכר,6.05% ,2506800,2363900,2630254.85
711100119,119,711100,1,,השכר הקובע-צוברת  ,שכר,28.45% ,937700,730000,420712.05
711100122,122,711100,1,,ביגוד             ,שכר,16.09% ,114000,98200,79832.3
711100126,126,711100,1,,דמי הבראה         ,שכר,-16.90% ,114100,137300,108924.45
711100130,130,711100,1,,שעות נוספות       ,שכר,0.00% ,985000,985000,965372.05
711100140,140,711100,1,,השתתפות באחזקת רכב,שכר,0.47% ,471400,469200,456634.55
711100253,253,711100,1,,פקידת מוקד חיצוני ,שכר,0.00% ,0,0,18131.7
711100470,470,711100,1,,אחזקת מכונות משרד ,גמיש,0.00% ,4000,4000,2375.38
711100471,471,711100,1,,מכשירי כתיבה      ,גמיש,0.00% ,21000,21000,19773.44
711100492,492,711100,1,,השתתפות בעזר 092  ,קשיח,3.94% ,276900,266400,237147
711100511,511,711100,1,,אירוח וכיבוד      ,גמיש,-25.00% ,2400,3200,3051.42
711100512,512,711100,1,,"נסיעות ואש""ל      ",גמיש,0.00% ,6400,6400,4919.89
711100522,522,711100,1,,ספרים ועיתונים    ,גמיש,0.00% ,800,800,98
711100544,544,711100,1,,הוצאות דאר        ,קשיח,2.56% ,4000,3900,498.38
711100550,550,711100,1,,פירסומים          ,גמיש,0.00% ,700,700,0
711100561,561,711100,1,,שיכפולים          ,גמיש,0.00% ,1600,1600,1194
711100562,562,711100,1,,הדפסות            ,גמיש,0.00% ,4500,4500,1031
711100571,571,711100,1,,"מיכון וענ""א       ",קשיח,20.59% ,151700,125800,118572.82
711100580,580,711100,1,,יעוץ חיצוני       ,גמיש,0.00% ,90200,0,0
711100596,596,711100,1,,השתתפות בעזר 096  ,קשיח,-6.24% ,808400,862200,768537
711100794,794,711100,1,,השתתפות בעזר 094  ,קשיח,1.86% ,82200,80700,71668
711200757,757,711200,1,,הדבקת מודעות-קבלן ,קשיח,-100.00% ,0,50000,32939.6
712200255,255,712200,1,,ניקוי מגרשים - עובדים,שכר,2.08% ,245000,240000,137459.21
712200400,400,712200,1,,אחזקת בנינים וציוד, ,,,,
712200431,431,712200,1,,חשמל              ,קשיח,0.00% ,12000,12000,8418.88
712200561,561,712200,1,,שיכפולים          ,גמיש,0.00% ,4800,4800,2027.2
712200700,700,712200,1,,הוצאות לפעולות    , ,,,,
712200715,715,712200,1,,עבודות קבלניות רכב,גמיש,-1.08% ,827000,836000,791070.07
712200722,722,712200,1,,חמרים-תחזוקה עצמית,גמיש,0.00% ,7800,7800,4371.03
712200723,723,712200,1,,שקיות אשפה        ,גמיש,0.00% ,52000,52000,50990
712200745,745,712200,1,,תיקון נזקים       ,קשיח,0.00% ,24000,24000,0
712200752,752,712200,1,,אספקת ג'טר        ,גמיש,-0.07% ,146000,146100,53062.89
712200758,758,712200,1,,נקוי רח'בקבלנות   ,גמיש,2.71% ,19952700,19425500,20162253.99
712200759,759,712200,1,,פנוי גזם          ,גמיש,-0.75% ,6261500,6309000,5996233.5
712200794,794,712200,1,,השתתפות בעזר 094  ,קשיח,1.90% ,187400,183900,163074
712200900,900,712200,1,,הוצאות חד פעמיות  , ,,,,
712200935,935,712200,1,,מתקני איסוף גללים,גמיש,0.00% ,20000,20000,19824
712300100,100,712300,1,,שכר עובדים לפי תקן, ,,                ,                ,
712300110,110,712300,1,,השכר הקובע-תקציבית,שכר,-0.34% ,7380000,7405100,7510210.38
712300119,119,712300,1,,השכר הקובע-צוברת  ,שכר,-3.47% ,1176700,1219000,1045320.16
712300122,122,712300,1,,ביגוד             ,שכר,-8.89% ,296100,325000,277420.85
712300126,126,712300,1,,דמי הבראה         ,שכר,-8.03% ,418000,454500,369963.15
712300130,130,712300,1,,שעות נוספות       ,שכר,-4.17% ,5198000,5424000,5816902.7
712300140,140,712300,1,,השתתפות באחזקת רכב,שכר,-3.06% ,285300,294300,274977.45
712300253,253,712300,1,,אספקת עובדים      ,שכר,42.05% ,2106600,1483000,664693.68
712300255,255,712300,1,,אספקת פועלים      ,שכר,0.93% ,163500,162000,137806.25
712300400,400,712300,1,,אחזקת בנינים וציוד, ,,,,
712300437,437,712300,1,,אחזקת אזעקה       ,קשיח,0.00% ,10000,10000,0
712300596,596,712300,1,,השתתפות בעזר 096  ,קשיח,-6.23% ,1616800,1724300,1575332.53
712300700,700,712300,1,,הוצאות לפעולות    , ,,,,
712300710,710,712300,1,,הובלות לאיסוף סוללות,קשיח,0.00% ,20000,0,
712300742,742,712300,1,,כלים וציוד        ,גמיש,68.48% ,62000,36800,35904.68
712300750,750,712300,1,,מיחזור ופסולת בנין,קשיח,-14.92% ,449200,528000,121201.62
712300752,752,712300,1,,נקיון בקבלנות     ,קשיח,-12.50% ,3500,4000,3132.65
712300753,753,712300,1,,איסוף קרטון - למיחזור,קשיח,-25.88% ,507700,685000,44849
712300754,754,712300,1,,פינוי אשפה - פחים ,קשיח,2.58% ,3922500,3824000,4728798.07
712300755,755,712300,1,,פינוי אריזות-כתומים במקור,קשיח,-2.50% ,1054000,1081000,199434
712300757,757,712300,1,,פנוי אשפה  בקבלנות,קשיח,-4.71% ,9623800,10100000,8860226.16
712300758,758,712300,1,,פנוי אשפה (מהכנסה),קשיח,3.73% ,7748800,7470000,5888701.94
712300759,759,712300,1,,שינוע אשפה        ,קשיח,-0.13% ,77400,77500,74630.88
712300760,760,712300,1,,איסוף נייר למיחזור,קשיח,0.00% ,601900,0,
712300794,794,712300,1,,השתתפות בעזר 094  ,קשיח,1.86% ,136600,134100,119125
712300800,800,712300,1,,השת' תמיכות תרומות, ,,,,
712300830,830,712300,1,,השתת'באיגוד תברואה,קשיח,2.18% ,32699000,32000000,34025000
712300900,900,712300,1,,הוצאות חד פעמיות  , ,,,,
712500100,100,712500,1,,שכר עובדים לפי תקן, ,,                ,                ,
712500110,110,712500,1,,השכר הקובע-תקציבית,שכר,3.62% ,192000,185300,176495.08
712500122,122,712500,1,,ביגוד             ,שכר,55.74% ,9500,6100,4924.15
712500126,126,712500,1,,דמי הבראה         ,שכר,0.00% ,9100,9100,7259
712500130,130,712500,1,,שעות נוספות       ,שכר,0.00% ,77200,77200,68291
712500140,140,712500,1,,השתתפות באחזקת רכב,שכר,0.00% ,36600,36600,35924.95
712500255,255,712500,1,,מסגרים חיצוניים   ,שכר,0.00% ,0,0,356823.66
712500722,722,712500,1,,חמרים-תחזוקה עצמית,גמיש,0.00% ,30000,30000,10940.2
712500751,751,712500,1,,עבודות קבלניות    ,גמיש,0.00% ,27200,27200,27403
712500752,752,712500,1,,נקיון שרותים צבורי,קשיח,2.13% ,432000,423000,474852.25
712500757,757,712500,1,,מסגרים חיצוניים   ,גמיש,24.86% ,452000,362000,0
712500794,794,712500,1,,השתתפות בעזר 094  ,קשיח,2.05% ,14900,14600,12983
712500931,931,712500,1,,"עבודות בטיחות ח""פ ",גמיש,0.00% ,20000,20000,10456
712500933,933,712500,1,,רכישת תגים        ,גמיש,0.00% ,1000,1000,0
712600110,110,712600,1,,השכר הקובע-תקציבית,שכר,76750.00% ,153700,200,311649.16
712600119,119,712600,1,,השכר הקובע-צוברת  ,שכר,-100.00% ,0,126100,33379.66
712600122,122,712600,1,,ביגוד             ,שכר,-84.38% ,1000,6400,10506.4
712600126,126,712600,1,,דמי הבראה         ,שכר,2.20% ,9300,9100,12703.25
712600130,130,712600,1,,שעות נוספות       ,שכר,0.00% ,132200,132200,104819
712600140,140,712600,1,,השתתפות באחזקת רכב,שכר,-39.25% ,24300,40000,36738.4
712600431,431,712600,1,,חשמל              ,קשיח,0.00% ,80000,80000,0
712600432,432,712600,1,,מים               ,קשיח,0.00% ,54500,54500,7692.6
712600476,476,712600,1,,אחזקת גנרטור ומשקל,קשיח,0.00% ,2000,2000,480
712600511,511,712600,1,,אירוח וכיבוד      ,גמיש,0.00% ,400,400,368.74
712600540,540,712600,1,,הוצאות טלפון      ,קשיח,0.00% ,14000,14000,1085.79
712600571,571,712600,1,,"מיכון וענ""א       ",קשיח,20.57% ,55100,45700,43088.52
712600722,722,712600,1,,חמרים-תחזוקה עצמית,גמיש,0.00% ,1000,1000,899.06
712600751,751,712600,1,,עבודות קבלניות    ,גמיש,0.00% ,4000,4000,3935
712600756,756,712600,1,,שמ' תחנה+מ'גרוטאות,קשיח,-0.19% ,161700,162000,138912.78
713300100,100,713300,1,,שכר עובדים לפי תקן, ,,                ,                ,
713300110,110,713300,1,,השכר הקובע-תקציבית,שכר,-79.07% ,80700,385600,366910.86
713300119,119,713300,1,,השכר הקובע-צוברת  ,שכר,8.16% ,1657300,1532200,1382318.98
713300122,122,713300,1,,ביגוד             ,שכר,35.93% ,57500,42300,35843.35
713300126,126,713300,1,,דמי הבראה         ,שכר,12.06% ,89200,79600,63131.95
713300130,130,713300,1,,שעות נוספות       ,שכר,0.00% ,6000,6000,0
713300140,140,713300,1,,השתתפות באחזקת רכב,שכר,6.89% ,282400,264200,269745.35
713300400,400,713300,1,,אחזקת בנינים וציוד, ,,,,
713300470,470,713300,1,,אחזקת מכונות משרד ,גמיש,0.00% ,3700,3700,1580.43
713300471,471,713300,1,,מכשירי כתיבה      ,גמיש,0.00% ,30000,30000,28418
713300511,511,713300,1,,אירוח וכיבוד      ,גמיש,-16.25% ,6700,8000,7515.35
713300522,522,713300,1,,ספרים ועיתונים    ,גמיש,87.50% ,1500,800,0
713300544,544,713300,1,,הוצאות דאר        ,קשיח,0.00% ,25000,25000,11548.91
713300550,550,713300,1,,פירסומים          ,גמיש,0.00% ,21000,21000,12137.4
713300561,561,713300,1,,שיכפולים          ,גמיש,0.00% ,4800,4800,882.2
713300562,562,713300,1,,הדפסות            ,גמיש,0.00% ,10400,10400,4490
713300571,571,713300,1,,"מיכון וענ""א       ",קשיח,20.60% ,152200,126200,118996.3
713300581,581,713300,1,,"דו""ח רשם החברות",גמיש,0.00% ,2000,2000,0
713300750,750,713300,1,,מנגנון לסגירת עסקים,קשיח,-27.85% ,100000,138600,0
713300761,761,713300,1,,בדיקות זיהום אוויר,גמיש,-42.31% ,30000,52000,0
713300780,780,713300,1,,עיר בריאה ומקיימת,גמיש,0.00% ,0,0,17700
713300931,931,713300,1,,רכישות            ,גמיש,0.00% ,20000,20000,0
713300932,932,713300,1,,ציוד בטיחותי אישי,גמיש,0.00% ,3200,3200,0
714000110,110,714000,1,,השכר הקובע-תקציבית,שכר,1.23% ,371000,366500,808933.95
714000119,119,714000,1,,השכר הקובע-צוברת  ,שכר,-9.83% ,1293800,1434800,1098158.81
714000122,122,714000,1,,ביגוד             ,שכר,-32.51% ,24700,36600,29440.6
714000126,126,714000,1,,דמי הבראה         ,שכר,-13.15% ,50200,57800,45809.45
714000130,130,714000,1,,שעות נוספות       ,שכר,0.00% ,79400,79400,73485.45
714000140,140,714000,1,,השתתפות באחזקת רכב,שכר,1.41% ,143700,141700,139128.25
714000253,253,714000,1,,"עובדי כ""א",שכר,0.00% ,0,0,7325
714000400,400,714000,1,,אחזקת בנינים וציוד, ,,,,
714000433,433,714000,1,,חומרי נקיון       ,גמיש,0.00% ,2500,2500,2223.16
714000437,437,714000,1,,אחזקת אזעקה       ,קשיח,0.00% ,2000,2000,1983.58
714000470,470,714000,1,,אחזקת מכונות משרד ,גמיש,0.00% ,1500,1500,1100.2
714000471,471,714000,1,,מכשירי כתיבה      ,גמיש,0.00% ,10000,10000,9440.85
714000511,511,714000,1,,אירוח וכיבוד      ,גמיש,-25.00% ,3300,4400,3467.37
714000522,522,714000,1,,ספרים ועיתונים    ,גמיש,0.00% ,1000,1000,800
714000540,540,714000,1,,הוצאות טלפון      ,קשיח,0.00% ,10000,10000,1033.67
714000544,544,714000,1,,הוצאות דאר        ,קשיח,0.00% ,15000,15000,16427.38
714000550,550,714000,1,,פירסומים          ,גמיש,0.00% ,20000,20000,69837.1
714000561,561,714000,1,,שיכפולים          ,גמיש,0.00% ,1800,1800,0
714000562,562,714000,1,,הדפסות            ,גמיש,0.00% ,24000,24000,5372.6
714000571,571,714000,1,,"מיכון וענ""א       ",קשיח,20.47% ,41200,34200,32289.92
714000585,585,714000,1,,בדיקות בשר        ,גמיש,0.00% ,4600,4600,2157
714000596,596,714000,1,,השתתפות בעזר 096  ,קשיח,-6.27% ,74700,79700,71673
714000700,700,714000,1,,הוצאות לפעולות    , ,,,,
714000721,721,714000,1,,חמרים-תחזוקת מבנים,גמיש,0.00% ,1600,1600,914
714000722,722,714000,1,,לוחיות ושבבים     ,גמיש,0.00% ,15000,15000,14248.5
714000723,723,714000,1,,חומר חיסון לכלבים ,קשיח,0.00% ,137000,137000,107188.4
714000742,742,714000,1,,כלים וציוד        ,גמיש,0.00% ,9200,9200,8421.52
714000751,751,714000,1,,עבודות קבלניות    ,גמיש,0.00% ,3800,3800,3800
714000752,752,714000,1,,נקיון בקבלנות     ,קשיח,0.00% ,20000,20000,18868.36
714000754,754,714000,1,,מרפאות וטרינרית-חרום,גמיש,0.00% ,40000,40000,0
714000757,757,714000,1,,הסגרת כלבים       ,קשיח,0.00% ,18000,18000,1975.5
714000758,758,714000,1,,הסגר-בעלי חיים    ,קשיח,15.15% ,380000,330000,138506.11
714000759,759,714000,1,,עיקור חתולים,גמיש,17.65% ,100000,85000,113000.01
714000780,780,714000,1,,מוקד ארצי לחיסונים,גמיש,7.14% ,30000,28000,26465
714000931,931,714000,1,,רכישות ציוד,גמיש,50.00% ,12000,8000,7860
715300100,100,715300,1,,שכר עובדים לפי תקן, ,,                ,                ,
715300110,110,715300,1,,השכר הקובע-תקציבית,שכר,5.40% ,329600,312700,298950.26
715300122,122,715300,1,,ביגוד             ,שכר,30.09% ,14700,11300,9096.8
715300126,126,715300,1,,דמי הבראה         ,שכר,-0.71% ,13900,14000,11102
715300130,130,715300,1,,שעות נוספות       ,שכר,0.00% ,102700,102700,86375.6
715300140,140,715300,1,,השתתפות באחזקת רכב,שכר,-2.07% ,47300,48300,46355.45
715300550,550,715300,1,,פעולות הסברה      ,גמיש,0.00% ,30000,30000,42796.2
715300596,596,715300,1,,השתתפות בעזר 096  ,קשיח,-6.21% ,149500,159400,143258
715300700,700,715300,1,,הוצאות לפעולות    , ,,,,
715300722,722,715300,1,,חומרי הדברה       ,גמיש,0.00% ,15400,15400,1203.6
715300742,742,715300,1,,כלים וציוד        ,גמיש,0.00% ,2700,2700,2468
715300757,757,715300,1,,פעולות הדברה      ,גמיש,115.23% ,110200,51200,37564.73
715300758,758,715300,1,,לוכד נחשים        ,קשיח,-1.89% ,26000,26500,21059
721000100,100,721000,1,,שכר עובדים לפי תקן, ,,                ,                ,
721000110,110,721000,1,,השכר הקובע-תקציבית,שכר,7.84% ,294400,273000,266803.85
721000119,119,721000,1,,השכר הקובע-צוברת  ,שכר,6.97% ,810400,757600,715755.81
721000122,122,721000,1,,ביגוד             ,שכר,-14.71% ,17400,20400,16393.85
721000126,126,721000,1,,דמי הבראה         ,שכר,-18.23% ,34100,41700,33097.8
721000130,130,721000,1,,שעות נוספות       ,שכר,0.00% ,63000,63000,41578.4
721000140,140,721000,1,,השתתפות באחזקת רכב,שכר,-7.60% ,138600,150000,143441.15
721000400,400,721000,1,,אחזקת בנינים וציוד, ,,,,
721000437,437,721000,1,,לחצני מצוקה ומערכות טנולוגיות,קשיח,-5.33% ,142000,150000,117142.14
721000438,438,721000,1,,אגרת רישוי מכשירי קשר,גמיש,40.00% ,28000,20000,20000
721000470,470,721000,1,,אחזקת מכונות משרד ,גמיש,0.00% ,8000,8000,1446.59
721000471,471,721000,1,,מכשירי כתיבה      ,גמיש,0.00% ,13800,13800,12362.47
721000511,511,721000,1,,אירוח וכיבוד      ,גמיש,-25.00% ,24000,32000,17856.19
721000512,512,721000,1,,"נסיעות ואש""ל      ",גמיש,0.00% ,200,200,0
721000522,522,721000,1,,ספרים ועיתונים    ,גמיש,0.00% ,300,300,0
721000561,561,721000,1,,שיכפולים          ,גמיש,0.00% ,10000,10000,7689
721000562,562,721000,1,,הדפסות            ,גמיש,0.00% ,800,800,0
721000571,571,721000,1,,"מיכון וענ""א       ",קשיח,20.63% ,69000,57200,53887.11
721000596,596,721000,1,,השתתפות בעזר 096  ,קשיח,-6.27% ,74700,79700,71673
721000710,710,721000,1,,הובלות והסעות     ,גמיש,0.00% ,1500,1500,0
721000722,722,721000,1,,חמרים-תחזוקה עצמית,גמיש,0.00% ,7500,7500,6629.57
721000740,740,721000,1,,ציוד חרום         ,גמיש,0.00% ,5000,5000,3062.6
721000742,742,721000,1,,כלים וציוד        ,גמיש,0.00% ,16000,16000,14393
721000743,743,721000,1,,"מערכות מיגון אב""כ",גמיש,0.00% ,50000,0,
721000780,780,721000,1,,סדרי ביטחון+הדרכה      ,גמיש,0.00% ,42200,42200,16838.54
721000781,781,721000,1,,מטווחים           ,גמיש,0.00% ,7400,7400,4703
721000782,782,721000,1,,ארועים עירוניים,גמיש,-10.37% ,1210000,1350000,1799796.84
721000784,784,721000,1,,מתנדבים,גמיש,0.00% ,10000,0,
721000931,931,721000,1,,"גידור ועזרים - מוס""ח",גמיש,0.00% ,40000,40000,35634.4
721000932,932,721000,1,,רזרבה-מערכות אזעקה,גמיש,0.00% ,40000,40000,29369.3
721000933,933,721000,1,,רכישה ותחזוקת נשק ,גמיש,0.00% ,5700,5700,796
