"הצעת   התקציב   הרגיל   לשנת   2015   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2014,"הצעה
2015","תקציב  מקורי
2014","ביצוע
2013"
937 ,347300 ,1 ,,טיפול בעולים נפגעי סמים,גמיש,25.78% ,"-28,300 ","-22,500 ","-27,081.00"
347300  סך הכל ,,,,מלחמה בסמים       ,,-13.01% ,"-636,800 ","-732,000 ","-549,953.00"
000 ,348000 ,1 ,,עבודה קהילתית     , ,,                ,                ,
000 ,348100 ,1 ,,עבודה קהילתית     , ,,                ,                ,
421 ,348100 ,1 ,,השת' חד הוריות,גמיש,0.00% ,"-5,000 ","-5,000 ","-7,094.00"
931 ,348100 ,1 ,,פע' התנדבות 094030,גמיש,0.00% ,"-12,100 ","-12,100 ","-31,305.00"
933 ,348100 ,1 ,,אחז'מרכ'קהל1072410,גמיש,0.00% ,"-28,000 ","-28,000 ","-10,875.00"
934 ,348100 ,1 ,,"עו""ש עולים 1073120",גמיש,0.00% ,"-145,000 ","-145,000 ","-144,586.00"
936 ,348100 ,1 ,,לשכת יעוץ לאזרח,גמיש,0.00% ,"-3,700 ",0 ,"-3,713.00"
937 ,348100 ,1 ,,פרוייקט קדימה     ,גמיש,-100.00% ,0 ,"-12,000 ","-6,961.00"
348100  סך הכל ,,,,עבודה קהילתית     ,,-4.11% ,"-193,800 ","-202,100 ","-204,534.00"
000 ,360000 ,1 ,,קליטת עליה        , ,,                ,                ,
000 ,368000 ,1 ,,אולפנים לעברית    , ,,                ,                ,
750 ,368000 ,1 ,,אולפני סוכנות     ,גמיש,0.00% ,"-100,000 ","-100,000 ","-19,520.60"
368000  סך הכל ,,,,אולפנים לעברית    ,,0.00% ,"-100,000 ","-100,000 ","-19,520.60"
000 ,369000 ,1 ,,שרותים לקליטת עליה, ,,                ,                ,
951 ,369000 ,1 ,,משרד הקליטה-ארועים,גמיש,0.00% ,"-200,000 ","-200,000 ","-449,084.00"
369000  סך הכל ,,,,שרותים לקליטת עליה,,0.00% ,"-200,000 ","-200,000 ","-449,084.00"
000 ,370000 ,1 ,,איכות הסביבה      , ,,                ,                ,
000 ,379000 ,1 ,,יח' לאיכות סביבה  , ,,                ,                ,
690 ,379000 ,1 ,,קנסות-זיהום ממפעלים,גמיש,0.00% ,0 ,0 ,-0.10
790 ,379000 ,1 ,,השתתפות מועצת אזור,גמיש,10.63% ,"-17,700 ","-16,000 ","-15,861.00"
990 ,379000 ,1 ,,מש' איכות הסביבה  ,גמיש,-100.00% ,0 ,"-218,700 ","-87,495.00"
991 ,379000 ,1 ,,חנוך סביבתי-מ'איכו,גמיש,-100.00% ,0 ,"-100,000 ",
379000  סך הכל ,,,,יח' לאיכות סביבה  ,,-94.71% ,"-17,700 ","-334,700 ","-103,356.10"
000 ,400000 ,1 ,,מפעלים            , ,,                ,                ,
000 ,410000 ,1 ,,מים               , ,,                ,                ,
000 ,412000 ,1 ,,גביה              , ,,                ,                ,
211 ,412000 ,1 ,,אספקת מים גביה    ,גמיש,-20.00% ,"-200,000 ","-250,000 ","-263,135.45"
212 ,412000 ,1 ,,דמי בדיקת מדים    ,גמיש,0.00% ,0 ,0 ,"5,787.60"
214 ,412000 ,1 ,,גביה - חב' מילגם,גמיש,0.00% ,0 ,0 ,"-15,007.98"
661 ,412000 ,1 ,,עמלת גביה,גמיש,-100.00% ,0 ,"-5,100,000 ","-5,546,149.00"
662 ,412000 ,1 ,,שרותים לתאגיד,גמיש,1.65% ,"-432,000 ","-425,000 ","-431,547.00"
663 ,412000 ,1 ,,שיפוי שכר תאגיד המים,גמיש,-100.00% ,0 ,"-273,000 ","-177,752.00"
412000  סך הכל ,,,,מים גבייה,,-89.55% ,"-632,000 ","-6,048,000 ","-6,427,803.83"
000 ,430000 ,1 ,,נכסים             , ,,                ,                ,
000 ,433000 ,1 ,,משרדים ועסקים     , ,,                ,                ,
420 ,433000 ,1 ,,"שכ""ד - בית קפה ""קקאו""",גמיש,230.00% ,"-330,000 ","-100,000 ","-23,974.19"
430 ,433000 ,1 ,,בית קפה-גן בח' - 300,גמיש,9.64% ,"-182,000 ","-166,000 ","-355,797.16"
431 ,433000 ,1 ,,"חשמל - בית קפה ""קקאו""",גמיש,0.00% ,"-60,000 ","-60,000 ","-2,536.00"
640 ,433000 ,1 ,,"שכ""ד - חכ""ל  686",גמיש,42.86% ,"-7,500,000 ","-5,250,000 ","-5,417,934.00"
641 ,433000 ,1 ,,"שכ""ד - מזנון העירייה",גמיש,0.00% ,"-21,000 ","-21,000 ","-19,750.00"
642 ,433000 ,1 ,,"דמ""ח חכ""ל",גמיש,0.00% ,"-140,000 ","-140,000 ","-174,843.00"
643 ,433000 ,1 ,,"שכ""ד - משען  683",גמיש,0.00% ,"-137,000 ","-137,000 ","-134,275.75"
644 ,433000 ,1 ,,"שכ""ד-מכון טכנולוגי  684",גמיש,-0.80% ,"-498,000 ","-502,000 ","-495,911.00"
645 ,433000 ,1 ,,"שכ""ד - אג""ד  555",גמיש,0.00% ,"-50,000 ",0 ,"-187,014.00"
646 ,433000 ,1 ,,"שכ""ד - תלפיות 685",גמיש,1.53% ,"-932,000 ","-918,000 ","-870,940.00"
648 ,433000 ,1 ,,"שכ""ד - גלידריה גופרה 695",גמיש,-9.65% ,"-206,000 ","-228,000 ","-119,332.00"
649 ,433000 ,1 ,,"שכ""ד - שיקום הילד 693",גמיש,0.36% ,"-169,300 ","-168,700 ","-165,383.02"
433000  סך הכל ,,,,משרדים ועסקים     ,,32.96% ,"-10,225,300 ","-7,690,700 ","-7,967,690.12"
000 ,439000 ,1 ,,דמי זיכיון        , ,,                ,                ,
670 ,439000 ,1 ,,"דמ""ז - ח' לבידור  556",גמיש,6.65% ,"-3,732,600 ","-3,500,000 ","-3,435,255.00"
671 ,439000 ,1 ,,דמי זכיון  משלטים        ,גמיש,0.00% ,"-1,600,000 ","-1,600,000 ","-1,399,556.19"
673 ,439000 ,1 ,,הרשאה - מוניות קניון,גמיש,17.65% ,"-20,000 ","-17,000 ","-17,318.00"
439000  סך הכל ,,,,דמי זיכיון        ,,4.60% ,"-5,352,600 ","-5,117,000 ","-4,852,129.19"
000 ,470000 ,1 ,,מפעל הביוב        , ,,                ,                ,
000 ,472000 ,1 ,,ביוב עירוני       , ,,                ,                ,
210 ,472000 ,1 ,,אג' ביוב-איגוד ערים         ,גמיש,-72.22% ,"-50,000 ","-180,000 ","-7,788.66"
472000  סך הכל ,,,,ביוב עירוני       ,,-72.22% ,"-50,000 ","-180,000 ","-7,788.66"
000 ,500000 ,1 ,,תקבולים לא רגילים , ,,                ,                ,
000 ,510000 ,1 ,,ריב'+החזר הוצ' ש.ק, ,,                ,                ,
000 ,511000 ,1 ,,ריבית ודיווידנדים , ,,                ,                ,
662 ,511000 ,1 ,,רבית ודיוידנדים   ,גמיש,10.83% ,"-13,300,000 ","-12,000,000 ","-9,343,842.00"
511000  סך הכל ,,,,ריבית ודיווידנדים ,,10.83% ,"-13,300,000 ","-12,000,000 ","-9,343,842.00"
000 ,512000 ,1 ,,ריבית מהקדמת תשלום, ,,                ,                ,
661 ,512000 ,1 ,,רבית מהקדמת תשלום ,גמיש,-60.00% ,"-20,000 ","-50,000 ","-122,951.10"
664 ,512000 ,1 ,,רבית משקים חוזרים ,גמיש,-100.00% ,0 ,"-40,000 ","-50,361.93"
512000  סך הכל ,,,,ריבית מהקדמת תשלום,,-77.78% ,"-20,000 ","-90,000 ","-173,313.03"
000 ,513000 ,1 ,,החזרים-שנים קודמות, ,,                ,                ,
690 ,513000 ,1 ,,הכנסות-שנים קודמות,גמיש,260.00% ,"-1,800,000 ","-500,000 ","-3,560,763.96"
513000  סך הכל ,,,,החזרים-שנים קודמות,,260.00% ,"-1,800,000 ","-500,000 ","-3,560,763.96"
000 ,590000 ,1 ,,הכנסות מיוחדות    , ,,                ,                ,
000 ,594000 ,1 ,,הכנסות מיוחדות    , ,,                ,                ,
691 ,594000 ,1 ,,תקב'-הביטוח הלאומי,גמיש,0.00% ,"-300,000 ","-300,000 ","-277,908.00"
692 ,594000 ,1 ,,השתתפות בגימלה    ,גמיש,9.09% ,"-1,200,000 ","-1,100,000 ","-1,865,697.85"
693 ,594000 ,1 ,,החזר הוצ' משפטיות ,גמיש,0.00% ,"-200,000 ","-200,000 ","-158,743.66"
694 ,594000 ,1 ,,הכנסות שונות      ,גמיש,-83.33% ,"-100,000 ","-600,000 ","-3,604.06"
695 ,594000 ,1 ,,חשמל - מוזיאון הקריקטורות,גמיש,0.00% ,0 ,0 ,"-10,565.86"
696 ,594000 ,1 ,,חשמל - החברה  הכלכלית,גמיש,0.00% ,0 ,0 ,"-3,186.82"
790 ,594000 ,1 ,,תחזוקת משאיות התאגיד,גמיש,0.00% ,"-10,000 ","-10,000 ","-10,300.00"
791 ,594000 ,1 ,,"הכנסות משכ""ל    ",גמיש,0.00% ,"-250,000 ","-250,000 ","-257,231.00"
931 ,594000 ,1 ,,"מענק מתאגיד ""מי שקמה""",גמיש,-16.91% ,"-868,300 ","-1,045,000 ","-3,092,250.00"
594000  סך הכל ,,,,הכנסות מיוחדות    ,,-16.45% ,"-2,928,300 ","-3,505,000 ","-5,679,487.25"
000 ,599000 ,1 ,,הכנסות-קרנות הרשות, ,,                ,                ,
690 ,599000 ,1 ,,הכנס' מקרנות הרשות,גמיש,-18.24% ,"-2,085,000 ","-2,550,000 ",
599000  סך הכל ,,,,הכנסות-קרנות הרשות,,-18.24% ,"-2,085,000 ","-2,550,000 ",0.00
000 ,599300 ,1 ,,העברות, ,,                ,                ,
690 ,599300 ,1 ,,העברת יתרות,גמיש,0.00% ,0 ,0 ,"3,408,909.18"
599300  סך הכל ,,,,העברות,,0.00% ,0 ,0 ,"3,408,909.18"
"סה""כ  תקבולים",,,,,,6.36% ,"-1,137,513,000 ","-1,069,500,000 ","-1,018,906,396.44"
,,,,תשלומים,,,,,
000 ,600000 ,1 ,,הנהלה כללית       ,,,                ,                ,
000 ,610000 ,1 ,,מינהל כללי        ,,,                ,                ,
000 ,611000 ,1 ,,ההנהלה והמועצה    ,,,                ,                ,
000 ,611100 ,1 ,,ראש  הרשות וסגניו ,,,,,
100 ,611100 ,1 ,,שכר עובדים לפי תקן,,,,,0.00
110 ,611100 ,1 ,,השכר הקובע-תקציבית,שכר,1.32% ,"1,446,400 ","1,427,500 ","1,496,130.39"
119 ,611100 ,1 ,,השכר הקובע-צוברת  ,שכר,-6.54% ,"2,581,100 ","2,761,700 ","2,361,666.83"
122 ,611100 ,1 ,,ביגוד             ,שכר,11.49% ,"65,000 ","58,300 ","56,277.60"
126 ,611100 ,1 ,,דמי הבראה         ,שכר,3.69% ,"81,400 ","78,500 ","65,411.85"
130 ,611100 ,1 ,,שעות נוספות       ,שכר,-21.74% ,"9,000 ","11,500 ","15,120.05"
140 ,611100 ,1 ,,השתתפות באחזקת רכב,שכר,12.26% ,"369,100 ","328,800 ","325,033.45"
350 ,611100 ,1 ,,ליסינג - 99-172-59,שכר,1.45% ,"55,800 ","55,000 ","53,706.85"
351 ,611100 ,1 ,,הוצאות - 99-172-59,שכר,0.00% ,"48,000 ","48,000 ","38,449.43"
352 ,611100 ,1 ,,הוצ' רכב - 64-539-63,שכר,0.00% ,0 ,0 ,"3,776.98"
353 ,611100 ,1 ,,הוצ' רכב 65-700-73,שכר,10.00% ,"38,500 ","35,000 ","26,071.51"
400 ,611100 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
441 ,611100 ,1 ,,בטוח אחריות בכירים,קשיח,-16.44% ,"75,200 ","90,000 ","75,189.00"
471 ,611100 ,1 ,,מכשירי כתיבה      ,גמיש,-33.33% ,"30,000 ","45,000 ","40,110.42"
492 ,611100 ,1 ,,השתתפות בעזר 092  ,קשיח,0.23% ,"479,500 ","478,400 ","463,073.00"
500 ,611100 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,611100 ,1 ,,אירוח וכיבוד      ,גמיש,-9.79% ,"43,300 ","48,000 ","60,000.46"
512 ,611100 ,1 ,,"נסיעות ואש""ל      ",גמיש,0.00% ,"1,100 ","1,100 ",263.50
522 ,611100 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"20,000 ","20,000 ","23,755.16"
540 ,611100 ,1 ,,הוצאות טלפון      ,קשיח,0.00% ,"4,000 ","4,000 ","2,418.45"
543 ,611100 ,1 ,,טלפונים סלולריים  ,גמיש,129.41% ,"39,000 ","17,000 ","20,165.24"
544 ,611100 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"60,600 ","60,600 ","39,220.35"
550 ,611100 ,1 ,,פירסומים          ,גמיש,0.00% ,"800,000 ","800,000 ","981,586.28"
551 ,611100 ,1 ,,מבצע פירסום       ,גמיש,0.00% ,"250,000 ","250,000 ","257,612.27"
561 ,611100 ,1 ,,שיכפולים          ,גמיש,0.00% ,"10,000 ","10,000 ","3,201.18"
562 ,611100 ,1 ,,הדפסות            ,גמיש,0.00% ,"7,000 ","7,000 ","3,945.70"
563 ,611100 ,1 ,,הדפסת פרטיכלים    ,גמיש,0.00% ,"14,400 ","14,400 ","10,206.60"
571 ,611100 ,1 ,,"מיכון וענ""א       ",קשיח,12.26% ,"161,200 ","143,600 ","161,000.00"
596 ,611100 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.81% ,"119,500 ","121,700 ","108,560.00"
611100  סך הכל ,,,,ראש  הרשות וסגניו ,,-1.53% ,"6,809,100 ","6,915,100 ","6,691,952.55"
000 ,612000 ,1 ,,מבקר הרשות        , ,,                ,                ,
100 ,612000 ,1 ,,שכר עובדים לפי תקן, ,,,,0.00
110 ,612000 ,1 ,,השכר הקובע-תקציבית,שכר,2.32% ,"567,900 ","555,000 ","542,901.72"
119 ,612000 ,1 ,,השכר הקובע-צוברת  ,שכר,3.86% ,"183,100 ","176,300 ","99,335.17"
122 ,612000 ,1 ,,ביגוד             ,שכר,3.00% ,"10,300 ","10,000 ","7,976.15"
126 ,612000 ,1 ,,דמי הבראה         ,שכר,0.85% ,"11,800 ","11,700 ","9,306.00"
140 ,612000 ,1 ,,השתתפות באחזקת רכב,שכר,16.80% ,"42,400 ","36,300 ","19,944.80"
350 ,612000 ,1 ,,ליסינג - 34-796-72,שכר,5.94% ,"42,800 ","40,400 ","34,647.82"
351 ,612000 ,1 ,,הוצאות - 34-796-72,שכר,0.00% ,"18,000 ","18,000 ","19,600.44"
400 ,612000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
470 ,612000 ,1 ,,אחזקת מכונות      ,גמיש,0.00% ,"1,600 ","1,600 ",112.59
471 ,612000 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"9,000 ","9,000 ","2,122.52"
500 ,612000 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,612000 ,1 ,,אירוח וכיבוד      ,גמיש,-10.00% ,"7,200 ","8,000 ","7,993.48"
522 ,612000 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"9,000 ","9,000 ","4,768.00"
562 ,612000 ,1 ,,הדפסות            ,גמיש,0.00% ,"9,400 ","9,400 ","5,465.00"
571 ,612000 ,1 ,,"מיכון וענ""א       ",קשיח,12.25% ,"22,900 ","20,400 ","22,900.00"
580 ,612000 ,1 ,,סקרים ויעוץ חיצוני,גמיש,0.00% ,"180,000 ","180,000 ","151,335.00"
612000  סך הכל ,,,,מבקר הרשות        ,,2.79% ,"1,115,400 ","1,085,100 ","928,408.69"
000 ,613000 ,1 ,,מזכירות           , ,,                ,                ,
000 ,613100 ,1 ,,"משרד מנכ""ל העירייה", ,,                ,                ,
100 ,613100 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,613100 ,1 ,,השכר הקובע-תקציבית,שכר,2.94% ,"1,742,000 ","1,692,200 ","1,230,886.79"
119 ,613100 ,1 ,,השכר הקובע-צוברת  ,שכר,9.76% ,"978,200 ","891,200 ","511,270.24"
122 ,613100 ,1 ,,ביגוד             ,שכר,32.95% ,"46,400 ","34,900 ","29,581.60"
126 ,613100 ,1 ,,דמי הבראה         ,שכר,37.11% ,"66,500 ","48,500 ","38,463.05"
130 ,613100 ,1 ,,שעות נוספות       ,שכר,10.84% ,"40,900 ","36,900 ","37,971.95"
140 ,613100 ,1 ,,השתתפות באחזקת רכב,שכר,11.65% ,"262,500 ","235,100 ","221,093.85"
253 ,613100 ,1 ,,עובדים חיצוניים   ,שכר,-100.00% ,0 ,"45,000 ","36,033.12"
350 ,613100 ,1 ,,ליסינג - 96-510-59,שכר,0.00% ,0 ,0 ,544.13
351 ,613100 ,1 ,,הוצאות - 96-510-59,שכר,0.00% ,"35,000 ","35,000 ","24,516.81"
400 ,613100 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
471 ,613100 ,1 ,,מכשירי כתיבה      ,גמיש,30.00% ,"13,000 ","10,000 ","9,540.61"
500 ,613100 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,613100 ,1 ,,אירוח וכיבוד      ,גמיש,-21.02% ,"13,900 ","17,600 ","17,537.34"
512 ,613100 ,1 ,,"נסיעות ואש""ל      ",גמיש,0.00% ,400 ,400 ,172.00
522 ,613100 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"5,300 ","5,300 ","5,300.00"
544 ,613100 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"27,800 ","27,800 ","28,140.52"
561 ,613100 ,1 ,,שיכפולים          ,גמיש,0.00% ,"16,000 ","16,000 ","7,701.96"
562 ,613100 ,1 ,,הדפסות            ,גמיש,0.00% ,"3,000 ","3,000 ","2,451.00"
571 ,613100 ,1 ,,"מיכון וענ""א       ",קשיח,12.29% ,"45,700 ","40,700 ","45,600.00"
580 ,613100 ,1 ,,פעולות שונות      ,גמיש,0.00% ,"9,200 ","9,200 ","10,376.49"
596 ,613100 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.96% ,"10,000 ","10,200 ","9,111.00"
700 ,613100 ,1 ,,הוצאות לפעולות    , ,,,,0.00
780 ,613100 ,1 ,,"פעילות ""צעירים""",גמיש,0.00% ,"500,000 ","500,000 ",
781 ,613100 ,1 ,,ניהול הרשות במדיה החברתית,גמיש,183.64% ,"156,000 ","55,000 ",
613100  סך הכל ,,,,"משרד מנכ""ל העירייה",,6.94% ,"3,971,800 ","3,714,000 ","2,266,292.46"
000 ,613200 ,1 ,,מז' תיפעול  ומינהל, ,,                ,                ,
110 ,613200 ,1 ,,השכר הקובע-תקציבית,שכר,13.77% ,"231,400 ","203,400 ","458,331.45"
119 ,613200 ,1 ,,השכר הקובע-צוברת  ,שכר,11.01% ,"1,192,000 ","1,073,800 ","1,055,223.17"
122 ,613200 ,1 ,,ביגוד             ,שכר,-20.08% ,"19,100 ","23,900 ","21,289.25"
126 ,613200 ,1 ,,דמי הבראה         ,שכר,-25.84% ,"37,600 ","50,700 ","197,718.05"
130 ,613200 ,1 ,,שעות נוספות       ,שכר,-40.00% ,"6,000 ","10,000 ",173.15
140 ,613200 ,1 ,,השתתפות באחזקת רכב,שכר,-17.44% ,"122,100 ","147,900 ","143,024.25"
350 ,613200 ,1 ,,ליסינג - 73-627-69,שכר,-10.25% ,"35,900 ","40,000 ","34,655.28"
351 ,613200 ,1 ,,הוצאות - 73-627-69,שכר,0.00% ,"23,000 ","23,000 ","14,974.29"
470 ,613200 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"20,000 ","20,000 ","18,656.34"
471 ,613200 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"22,000 ","22,000 ","19,139.11"
492 ,613200 ,1 ,,השתתפות בעזר 092  ,קשיח,0.23% ,"558,000 ","556,700 ","470,866.00"
511 ,613200 ,1 ,,אירוח וכיבוד      ,גמיש,-9.09% ,"8,000 ","8,800 ","10,495.55"
512 ,613200 ,1 ,,"נסיעות ואש""ל      ",גמיש,0.00% ,500 ,500 ,825.40
522 ,613200 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"9,800 ","9,800 ","5,817.00"
541 ,613200 ,1 ,,משלוחים           ,גמיש,0.00% ,"100,000 ","100,000 ","88,254.60"
544 ,613200 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"18,000 ","18,000 ","63,600.29"
562 ,613200 ,1 ,,הדפסות            ,גמיש,0.00% ,"2,600 ","2,600 ","3,067.20"
563 ,613200 ,1 ,,הדפסת פרטיכלים    ,גמיש,0.00% ,"2,400 ","2,400 ",960.50
571 ,613200 ,1 ,,"מיכון וענ""א       ",קשיח,12.23% ,"102,800 ","91,600 ","102,700.00"
580 ,613200 ,1 ,,סקר חשמל  ,קשיח,195.00% ,"177,000 ","60,000 ","35,064.00"
581 ,613200 ,1 ,,סקר תקשורת,קשיח,-100.00% ,0 ,"25,000 ",
582 ,613200 ,1 ,,ייעוץ,קשיח,0.00% ,"24,000 ",0 ,
781 ,613200 ,1 ,,"פעולות סמנכ""ל",גמיש,0.00% ,"7,700 ","7,700 ","3,150.18"
794 ,613200 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.16% ,"59,800 ","60,500 ","54,755.00"
613200  סך הכל ,,,,מז' תיפעול  ומינהל,,8.65% ,"2,779,700 ","2,558,300 ","2,802,740.06"
000 ,613220 ,1 ,,האגף למערכות מידע ותקשוב, ,,                ,                ,
400 ,613220 ,1 ,,אחזקת בנינים וציוד, ,,                ,                ,0.00
435 ,613220 ,1 ,,תחזוקת תוכנה      ,קשיח,8.20% ,"1,320,000 ","1,220,000 ","1,053,760.92"
438 ,613220 ,1 ,,תחזוקת חומרה-חוזה ,קשיח,0.00% ,0 ,0 ,"272,324.19"
439 ,613220 ,1 ,,שאילתות מינהל האוכלוסין,קשיח,0.00% ,"56,000 ","56,000 ","51,929.60"
471 ,613220 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"2,400 ","2,400 ",
492 ,613220 ,1 ,,השתתפות בעזר 092  ,קשיח,0.19% ,"108,200 ","108,000 ","113,613.00"
511 ,613220 ,1 ,,אירוח וכיבוד      ,גמיש,0.00% ,"3,200 ","3,200 ","2,999.11"
521 ,613220 ,1 ,,השתלמויות עובדים  ,גמיש,0.00% ,"23,000 ","23,000 ","20,505.06"
522 ,613220 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"3,800 ","3,800 ","2,736.20"
561 ,613220 ,1 ,,שיכפולים          ,גמיש,0.00% ,700 ,700 ,545.50
700 ,613220 ,1 ,,הוצאות לפעולות    , ,,,,0.00
723 ,613220 ,1 ,,חומרים אוזלים     ,גמיש,0.00% ,"84,000 ","84,000 ","51,974.00"
743 ,613220 ,1 ,,"אחזקה עפ""י קריאה  ",גמיש,0.00% ,0 ,0 ,"66,385.98"
753 ,613220 ,1 ,,שכר עובדי אוטומציה,קשיח,0.00% ,"4,800,000 ","4,800,000 ","4,284,597.23"
755 ,613220 ,1 ,,תוכניתנים חיצוניים,גמיש,0.00% ,"720,600 ","720,600 ","359,936.34"
794 ,613220 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.05% ,"18,900 ","19,100 ","17,320.00"
900 ,613220 ,1 ,,הוצאות חד פעמיות  , ,,,,0.00
931 ,613220 ,1 ,,"רכישות / העברה לתב""ר",גמיש,0.00% ,0 ,0 ,"681,012.20"
932 ,613220 ,1 ,,קיזוז עלויות תאגיד,גמיש,-100.00% ,0 ,"-693,000 ",
934 ,613220 ,1 ,,רכישות            ,גמיש,0.00% ,0 ,0 ,"50,126.00"
613220  סך הכל ,,,,אגף למע' מידע ותקשוב,,12.49% ,"7,140,800 ","6,347,800 ","7,029,765.33"
000 ,613221 ,1 ,,האגף למערכות מידע ותקשוב, ,,                ,                ,
571 ,613221 ,1 ,,"שרותי מיכון וענ""א ",קשיח,12.50% ,"-7,140,800 ","-6,347,500 ","-6,992,300.00"
613221  סך הכל ,,,,אגף למע' מידע ותקשוב,,12.50% ,"-7,140,800 ","-6,347,500 ","-6,992,300.00"
000 ,613300 ,1 ,,גנזך ומוזיאון     , ,,                ,                ,
100 ,613300 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,613300 ,1 ,,השכר הקובע-תקציבית,שכר,1.64% ,"129,900 ","127,800 ","123,296.60"
119 ,613300 ,1 ,,השכר הקובע-צוברת  ,שכר,0.98% ,"51,300 ","50,800 ","49,911.03"
122 ,613300 ,1 ,,ביגוד             ,שכר,1.96% ,"5,200 ","5,100 ","4,175.85"
126 ,613300 ,1 ,,דמי הבראה         ,שכר,0.75% ,"13,400 ","13,300 ","10,575.00"
140 ,613300 ,1 ,,השתתפות באחזקת רכב,שכר,16.67% ,"24,500 ","21,000 ","20,608.75"
400 ,613300 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
410 ,613300 ,1 ,,השתת במס ועד בית  ,קשיח,0.00% ,"5,000 ","5,000 ","3,360.00"
420 ,613300 ,1 ,,כיבוי אש          ,גמיש,33.33% ,"2,000 ","1,500 ","1,404.00"
431 ,613300 ,1 ,,חשמל              ,קשיח,0.00% ,"4,000 ","4,000 ","4,451.34"
432 ,613300 ,1 ,,מים               ,קשיח,0.00% ,800 ,800 ,
437 ,613300 ,1 ,,אחזקת אזעקה       ,קשיח,0.00% ,"2,000 ","2,000 ",
471 ,613300 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,600 ,600 ,531.00
561 ,613300 ,1 ,,שיכפולים          ,גמיש,0.00% ,300 ,300 ,
562 ,613300 ,1 ,,הדפסות            ,גמיש,0.00% ,700 ,700 ,
571 ,613300 ,1 ,,"מיכון וענ""א       ",קשיח,12.25% ,"22,900 ","20,400 ","22,900.00"
700 ,613300 ,1 ,,הוצאות לפעולות    , ,,,,0.00
721 ,613300 ,1 ,,חמרים-חחזוקת מבנים,גמיש,0.00% ,600 ,600 ,115.20
751 ,613300 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"1,500 ",0 ,"1,190.00"
752 ,613300 ,1 ,,נקיון בקבלנות     ,קשיח,-3.23% ,"18,000 ","18,600 ","16,499.70"
757 ,613300 ,1 ,,שרותי גניזה,גמיש,0.00% ,"16,000 ","16,000 ","12,616.35"
794 ,613300 ,1 ,,השתתפות בעזר 094  ,קשיח,0.00% ,"2,100 ","2,100 ","1,863.00"
900 ,613300 ,1 ,,הוצאות חד-פעמיות  , ,,,,0.00
613300  סך הכל ,,,,גנזך ומוזיאון     ,,3.51% ,"300,800 ","290,600 ","273,497.82"
000 ,613400 ,1 ,,רשום תכולה        , ,,                ,                ,
100 ,613400 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,613400 ,1 ,,השכר הקובע-תקציבית,שכר,1.84% ,"110,900 ","108,900 ","104,515.96"
122 ,613400 ,1 ,,ביגוד             ,שכר,8.33% ,"2,600 ","2,400 ","1,990.25"
126 ,613400 ,1 ,,דמי הבראה         ,שכר,0.00% ,"6,600 ","6,600 ","5,224.05"
140 ,613400 ,1 ,,השתתפות באחזקת רכב,שכר,30.22% ,"18,100 ","13,900 ","17,726.40"
400 ,613400 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
571 ,613400 ,1 ,,"מיכון וענ""א       ",קשיח,11.88% ,"11,300 ","10,100 ","11,300.00"
710 ,613400 ,1 ,,הובלות והסעות     ,גמיש,0.00% ,"24,000 ","24,000 ","23,613.00"
613400  סך הכל ,,,,רשום תכולה        ,,4.58% ,"173,500 ","165,900 ","164,369.66"
000 ,615000 ,1 ,,מנגנון            , ,,                ,                ,
100 ,615000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,615000 ,1 ,,השכר הקובע-תקציבית,שכר,-8.11% ,"705,500 ","767,800 ","717,172.53"
