"תקציב 2016","שם הסעיף","מספר סעיף"
8200000,"הנחה לגבייה - הוראות קבע",6310-780-3
800000,"הנחה לגבייה מרוכזת",6310-781-0
1800000,"הוצאות בנק וריבית",6320-780-0
7600000,"החזקת חשבונות - מסים",6320-781-7
2000000,"הנחה למקדימים בתשלום",6330-780-7
490000,"שיפוץ נכסים",7610-422-6
400000,"הוצאות עודפות",7610-532-0
3120000,"מכסות ניקוז",7610-533-7
1000000,"המרת משרות לקניית שירות",7610-750-4
2210000,"החזר פקדונות מים",7610-761-4
,"פנסיית עוכדי חכרת הגיחון",7610-780-3
6992107,"תכיעות והוצאות שונות",7610-781-0
2000000,"תגכור פעולות ושונות",7610-782-7
2053856,"מרכז השלטון המקומי - דמי חכר",7610-813-4
1000000,"הרשות לפיתוח ירושלים",7610-823-7
155000,"כית הדין למשמעת",7610-921-4
10500000,"השתתפות כתקצים הככאות הארצית",7610-922-1
470000,"רכישת ציוד",7610-930-0
8400000,"תגכור פעולות",7610-957-5
7000000,"קידום יעדים עירוניים",7610-959-9
30000000,"השתתפות בתקציב המועצה הדתית",8510-810-1
600000,"השתתפות בתקציב מועצת בתי עלמין",8510-811-8
961626,"משכורת ושכר משולבים",7701-111-8
243716,תוספות,7701-112-5
84001,"החזר הוצאות",7701-113-2
420139,"הפרשות סוציאליות",7701-116-3
129110,"מסים והיטלים על השכר",7701-117-0
130221,"החזקת רכב",7701-118-7
36672,"שעות נוספות",7701-119-4
10376,"תקשורת סלולרית",7701-448-9
18000,"מכשירי כתיבה וציוד משרדי",7701-460-9
5000,"עיתונות וספרות",7701-480-5
6700,כיבודים,7701-610-6
20000,"הוצאות ארגוניות ושונות",7701-682-1
300000,"שירותי ניהול ידע",7701-795-6
480000,"פעולות חדשנות",7701-796-3
,כנסים,7701-797-0
200000,"פיתוח עסקי - ""עדן""",7701-952-5
650000,"קידום יעד עירוני - פיתוח כלכלי",7701-959-4
1339393,"משכורת ושכר משולבים",6180-111-6
"1,972 71",תוספות,6180-112-3
"15,810 1","החזר הוצאות",6180-113-0
498637,"הפרשות סוציאליות",6180-116-1
219594,"מסים והיטלים על השכר",6180-117-8
281246,"החזקת רכב",6180-118-5
248367,"שעות נוספות",6180-119-2
18960,"קניית שירותי כ״א",6180-211-7
1109486,"קריית העירייה - העמסה",6180-400-9
236808,"כלי רכב בליסינג תפעולי",6180-424-3
25089,"תקשורת סלולרית",6180-448-7
-3804990,"טלפונים - הפחתה",6180-541-9
3804990,טלפונים־ראשי,6180-543-3
14111,כיבודים,6180-610-4
65600,"הוצאות ארגוניות ושונות",6180-682-9
24206824,"החזקת מערכות מחשוב",6180-754-5
2863868,"שינויים ושיפורים במערכות מחשוב",6180-756-9
1445000,"פיתוח מערכות מחשוב",6180-758-3
10000,"החזקת תכנות אגפיות",6180-759-0
3900000,"הסכם ""מייקרוסופט""",6180-780-6
160000,"חיבור לאינטרנט",6180-781-3
375000,"DRP תחזוקת אתר",6180-785-1
350000,"תחזוקת חדר מחשב",6180-786-8
250000,"ליווי פרויקטים מחשובים",6180-796-1
180000,"יועץ תשתיות טלפוניה",6180-797-8
,"תפעול והחזקת מסופונים",6180-798-5
1000000,"שאילתות חניה",6180-799-2
10000,"פעולות מחשוב",6180-951-6
100000,"מחשוב כללי",6180-952-3
50000,"חיבור לרשת",6180-954-7
50000,"גבייה מתאגידים עירוניים",6180-955-4
100000,"מערכת מידע גיאוגרפית",6180-956-1
742596,"משכורת ושכר משולבים",7710-111-6
358479,תוספות,7710-112-3
75759,"החזר הוצאות",7710-113-0
294094,"הפרשות סוציאליות",7710-116-1
105641,"מסים והיטלים על השכר",7710-117-8
75811,"החזקת רכב",7710-118-5
72527,"שעות נוספות",7710-119-2
1026000,"קניית שירותי מנהלות עסקים",7710-200-7
36092,"בגדי עבודה",7710-215-5
,"כלי רכב בליסינג תפעולי",7710-424-3
49421,"תקשורת סלולרית",7710-448-7
20000,"כיבוס מדים",7710-451-1
105400,"מכשירי כתיבה והדפסות",7710-460-7
26300,"תיקי ארכיב",7710-465-2
37920,"העסקת בנות שירות",7710-466-9
43500,"החזקת מכונות משרד וצילום",7710-470-0
10190,"עיתונות וספרות",7710-480-3
2747,"רכש ואספקה - העמסה",7710-490-6
8000,נסיעות,7710-510-3
135125,דואר,7710-545-7
15660,כיבודים,7710-610-4
14000,פרסומים,7710-630-0
14000,"כנסים מקצועיים למקבלי שירות",7710-685-0
9200,"הפעלת מודל מצוינות",7710-688-1
630886,"מחשוב עירוני - העמסה",7710-755-2
105000,"קידום שילוט ופרסום חוצות",7710-791-6
53000,"בדיקות כלכליות לרוכלים",7710-792-3
296000,"הפעלת מנהלות עסקים־פעולות",7710-797-8
20000,"רכישת ציוד וכלי עבודה",7710-930-3
685648,"משכורת ושכר משולבים",7720-111-3
917010,תוספות,7720-112-0
93953,"החזר הוצאות",7720-113-7
409689,"הפרשות סוציאליות",7720-116-8
186354,"מסים והיטלים על השכר",7720-117-5
344333,"החזקת רכב",7720-118-2
190521,"שעות נוספות",7720-119-9
118404,"כלי רכב בליסינג תפעולי",7720-424-0
2700,"מידע ושאילתות",7720-570-8
25000,"שליחויות לגורמים המאשרים",7720-712-6
1927599,"סקר שילוט",7720-740-1
190000,"יועץ נגישות",7720-791-3
80000,"בדיקת בטיחות לשלטי חוצות",7720-794-4
350000,"תגבור בחינת תיקי רישוי",7720-795-1
313420,"משכורת ושכר משולבים",7730-111-0
367547,תוספות,7730-112-7
33247,"החזר הוצאות",7730-113-4
163127,"הפרשות סוציאליות",7730-116-5
68699,"מסים והיטלים על השכר",7730-117-2
108060,"החזקת רכב",7730-118-9
74913,"שעות נוספות",7730-119-6
715941,"משכורת ושכר משולבים",7740-111-7
955224,תוספות,7740-112-4
123659,"החזר הוצאות",7740-113-1
453768,"הפרשות סוציאליות",7740-116-2
188070,"מסים והיטלים על השכר",7740-117-9
373631,"החזקת רכב",7740-118-6
271125,"שעות נוספות",7740-119-3
1780586,"משכורת ושכר משולבים",9350-111-4
830584,תוספות,9350-112-1
184910,"החזר הוצאות",9350-113-8
553248,"הפרשות סוציאליות",9350-116-9
266473,"מסים והיטלים על השכר",9350-117-6
445077,"החזקת רכב",9350-118-3
132665,"שעות נוספות",9350-119-0
140000,"קניית שירותי כ״א",9350-200-5
186749,"קריית העירייה - העמסה",9350-400-7
3640000,"שכר דירה ודמי הכירה",9350-410-0
,"שיפוץ נכסים",9350-422-7
118404,"כלי רכב בליסינג תפעולי",9350-424-1
34609,"תקשורת סלולרית",9350-448-5
11000,"ציוד וספרות מקצועית",9350-480-1
22230,"נסיעות וחנייה",9350-514-9
9000,כיבודים,9350-610-2
60000,"פרסום להקצאת מקרקעין",9350-630-8
55000,"הוצאות ארגוניות שונות",9350-682-7
45000,"תכנון ועבודות קבלניות",9350-750-5
70000,"נסהי רישום ומפות",9350-752-9
,"רכישת ציוד",9350-930-1
559000,"הערכות שומה ומדידות",9350-940-4
,"מיפוי נכסים",9350-943-5
10000,"פרסום, איתורים והקצאות מקרקעין",9350-950-7
5000,"ביצוע עבודות לגורמים משלמים",9350-951-4
,"תגבור פעולות",9350-959-0
1111768,"משכורת ושכר משולבים",7010-111-5
458970,תוספות,7010-112-2
95999,"החזר הוצאות",7010-113-9
398534,"הפרשות סוציאליות",7010-116-0
161524,"מסים והיטלים על השכר",7010-117-7
131771,"החזקת רכב",7010-118-4
134807,"שעות נוספות",7010-119-1
236808,"כלי רכב בליסינג תפעולי",7010-424-2
15837,"תקשורת סלולרית",7010-448-6
18000,"מכשירי כתיבה וציוד משרדי",7010-460-6
300000,"פיקוח ובקרת קבלנים",7010-477-8
5000,"עיתונות ספרות",7010-480-2
8600,כיבודים,7010-610-3
35000,"הוצאות ארגוניות ושונות",7010-682-8
25000,"הפעלת מודל מצוינות",7010-688-0
121360,"מחשוב עירוני - העמסה",7010-755-1
3000000,"תגבור פעולות",7010-959-1
1605155,"משכורת ושכר משולבים",7110-111-8
1108219,תוספות,7110-112-5
173441,"החזר הוצאות",7110-113-2
687739,"הפרשות סוציאליות",7110-116-3
286824,"מסים והיטלים על השכר",7110-117-0
396298,"החזקת רכב",7110-118-7
321799,"שעות נוספות",7110-119-4
1144216,"בגדי עבודה",7110-215-7
355422,"קריית העירייה - העמסה",7110-400-1
177606,"כלי רכב בליסינג תפעולי",7110-424-5
1031879,"ביטוח - העמסה",7110-440-3
404015,"תקשורת סלולרית",7110-448-9
98330,"ציוד משרדי והדפסות",7110-460-9
3053,"עיתונות וספרות",7110-480-5
802004,"רכש ואספקה - העמסה",7110-490-8
37592,"טלפונים - העמסה",7110-541-1
1940,דואר,7110-545-9
30845,כיבודים,7110-610-6
40000,"הפעלת מודל מצוינות",7110-688-3
350000,"תשלום אגרות כיבוי אש",7110-689-0
13992277,דלק,7110-735-8
203500,"חינוך והדרכה לאיכות הסביבה",7110-745-1
498765,"פעולות מחזור במינהלים קהילתיים",7110-746-8
1219419,"מחשוב עירוני - העמסה",7110-755-4
100000,"ביצוע עבודות לגורמים משלמים",7110-954-9
150000,"הוצאות שונות",7110-956-3
1000000,"מיגון כלי רכב",7110-957-0
,"תגבור פעולות ניקיון",7110-959-4
1371159,"משכורת ושכר משולבים",7111-111-7
4188849,תוספות,7111-112-4
240933,"החזר הוצאות",7111-113-1
1241599,"הפרשות סוציאליות",7111-116-2
485433,"מסים והיטלים על השכר",7111-117-9
190988,"החזקת רכב",7111-118-6
369615,"שעות נוספות",7111-119-3
796684,"מוסך ותחבורה - העמסה",7111-710-6
1731098,"חומרים וכלים לעבודה",7111-720-9
271800,"החזקת מכלי אשפה",7111-740-5
520000,"החזקת מכולות ודחסניות",7111-742-9
,"רכישת כלי אצירה",7111-747-4
25000,"תיקון כלי אצירה",7111-951-7
26402812,"משכורת ושכר משולבים",7120-111-5
74453754,תוספות,7120-112-2
4178747,"החזר הוצאות",7120-113-9
23123867,"הפרשות סוציאליות",7120-116-0
8594912,"מסים והיטלים על השכר",7120-117-7
1463308,"החזקת רכב",7120-118-4
5439643,"שעות נוספות",7120-119-1
557039,"שכר דירה",7120-410-1
6000,"תיקונים ושיפוצים",7120-420-4
651222,"כלי רכב בליסינג תפעולי",7120-424-2
215834,חשמל,7120-430-7
430788,מים,7120-431-4
125513,טלפונים,7120-540-1
83261,כיבודים,7120-610-3
81977358,"מוסך ותחבורה - העמסה",7120-710-4
325000,"מבצעי ניקיון",7120-720-7
1038420,"שקיות אשפה לשכונות ולנפות",7120-721-4
,"ניקיון ותחזוקה-אגן העיר העתיקה",7120-749-6
123537694,"טיפול באשפה",7120-781-2
1637769,"החזקת שכונות",7120-783-6
1347489,"מחזור קרטון",7120-786-7
37700,"מחזור צמיגים",7120-787-4
,"ניקיון שכונת צור באהר",7120-790-8
30000,"רכישת ציוד",7120-930-2
40000,"מכלי אשפה 350 ליטר",7120-951-5
8000,"מכלי אשפה 770 ליטר",7120-952-2
100000,"מכלי אשפה 1,100 ליטר",7120-953-9
250000,"מכולות אשפה 8 קוב",7120-955-3
100000,"כלי אצירה למזרח העיר",7120-956-0
40000,"דחסנית אשפה 10 קוב",7120-957-7
50000,"דחסנית אשפה 22 קוב",7120-958-4
"13,275 1","משכורת ושכר משולבים",7125-111-0
250161,תוספות,7125-112-7
15001,"החזר הוצאות",7125-113-4
87604,"הפרשות סוציאליות",7125-116-5
41963,"מסים והיטלים על השכר",7125-117-2
27309,"החזקת רכב",7125-118-9
108009,"שעות נוספות",7125-119-6
96499,"שכר דירה",7125-410-6
59202,"כלי רכב בליסינג תפעולי",7125-424-7
7009008,"קניית שירותי ניקיון בבש״צים",7125-749-1
10000,"עבודות לטובת משלמים - בש״צ",7125-958-9
416613,"משכורת ושכר משולבים",7135-111-7
1075666,תוספות,7135-112-4
77344,"החזר הוצאות",7135-113-1
382656,"הפרשות סוציאליות",7135-116-2
141131,"מסים והיטלים על השכר",7135-117-9
36125,"החזקת רכב",7135-118-6
215437,"שעות נוספות",7135-119-3
59202,"כלי רכב בליסינג תפעולי",7135-424-4
66718,"מוסך ותחבורה - העמסה",7135-710-6
644450,"חומרים וכלים לעבודה",7135-720-9
221439,"משכורת ושכר משולבים",7138-111-4
"14 315,1",תוספות,7138-112-1
35794,"החזר הוצאות",7138-113-8
129805,"הפרשות סוציאליות",7138-116-9
54349,"מסים והיטלים על השכר",7138-117-6
66653,"החזקת רכב",7138-118-3
72958,"שעות נוספות",7138-119-0
1698228,"אבטחה ושמירה - העמסה",7138-415-5
491739,"תיקונים ושיפוצים",7138-420-3
2986287,"חשמל, מים, ניקיון והסקה",7138-430-6
-2209883,"חשמל, מים, ניקיון והסקה- הפחתה",7138-431-3
24694,"מכשירי כתיבה והדפסות",7138-460-5
287850,"החזקת מערכות",7138-475-3
72012,"טלפונים - העמסה",7138-541-7
6495,כיבודים,7138-610-2
20853,שליחויות,7138-712-7
100000,"ביצוע עבודות לגורמים משלמים",7138-951-4
627335,"משכורת ושכר משולבים",9560-111-7
1573394,תוספות,9560-112-4
69273,"החזר הוצאות",9560-113-1
444493,"הפרשות סוציאליות",9560-116-2
210500,"מסים והיטלים על השכר",9560-117-9
196588,"החזקת רכב",9560-118-6
174711,"שעות נוספות",9560-119-3
177606,"כלי רכב בליסינג תפעולי",9560-424-4
35000,"כיבוס מדים",9560-451-2
16000,"ציוד משרדי",9560-459-8
14500,"מכשירי כתיבה והדפסות",9560-460-8
25719,"טלפונים - העמסה",9560-541-0
5681,כיבודים,9560-610-5
15000,"חומרי ניקוי",9560-748-1
591969,"משכורת ושכר משולבים",9561-111-6
1405973,תוספות,9561-112-3
86446,"החזר הוצאות",9561-113-0
440446,"הפרשות סוציאליות",9561-116-1
193414,"מסים והיטלים על השכר",9561-117-8
232034,"החזקת רכב",9561-118-5
165289,"שעות נוספות",9561-119-2
59202,"כלי רכב בליסינג תפעולי",9561-424-3
40000,"חומרים וכלים לעבודה",9561-720-8
2000000,"חלקי חילוף",9561-740-4
140853,מצברים,9561-741-1
1640768,"צמיגים ותיקונים",9561-742-8
7700000,"תיקוני חוץ",9561-750-7
989845,"רישוי כלי רכב",9561-752-1
300000,"החזרי ביטוח",9561-952-3
30000,"מוסכי הסדר",9561-955-4
1458614,"משכורת ושכר משולבים",9570-111-4
3354312,תוספות,9570-112-1
178128,"החזר הוצאות",9570-113-8
1052314,"הפרשות סוציאליות",9570-116-9
480503,"מסים והיטלים על השכר",9570-117-6
423897,"החזקת רכב",9570-118-3
615807,"שעות נוספות",9570-119-0
1006434,"כלי רכב בליסינג תפעולי",9570-424-1
2209883,"חשמל,מים,ניקיון והסקה-העמסה",9570-431-3
5414509,"ביטוח - העמסה",9570-440-9
53000,"מכשירי כתיבה והדפסות",9570-460-5
3940,"אגרות ודמי חברות",9570-485-6
25719,"טלפונים - העמסה",9570-541-7
8239,כיבודים,9570-610-2
8949,"הפעלת מוקדי דיווחי נהיגה",9570-611-9
20000,"שימוש במיניבוס עירוני",9570-953-8
7972620,"משכורת ושכר משולבים",9571-111-3
24593636,תוספות,9571-112-0
1196273,"ההזר הוצאות",9571-113-7
6991426,"הפרשות סוציאליות",9571-116-8
2955903,"מסים והיטלים על השכר",9571-117-5
3871354,"החזקת רכב",9571-118-2
449232,"שעות נוספות",9571-119-9
1524263,"הסכם החזקה",9571-530-6
4813809,"החזקת דהסים",9571-531-3
9129570,"כלי רכב בליסינג תפעולי",9571-532-0
-14149278,"כלי רכב בליסינג תפעולי- הפחתה",9571-533-7
10000,"כלי עבודה",9571-720-5
2000,"צבע לארגזים",9571-730-8
664373,שמנים,9571-732-2
5019708,"דלק - כלי רכב בליסינג",9571-734-6
16546300,דלק,9571-735-3
-17210673,"דלק - הפחתת העמסה",9571-736-0
264579,"החזקת מערכות איתור",9571-741-8
73500,"חומרי ניקוי",9571-748-7
30000,"קרן לעידוד נהג זהיר",9571-951-3
100000,"ליסינג תפעולי",9571-958-2
1160092,"משכורת ושכר משולבים",7410-111-7
626880,תוספות,7410-112-4
123042,"החזר הוצאות",7410-113-1
380304,"הפרשות סוציאליות",7410-116-2
190498,"מסים והיטלים על השכר",7410-117-9
247760,"החזקת רכב",7410-118-6
283104,"שעות נוספות",7410-119-3
614472,"קריית העירייה - העמסה",7410-400-0
59202,"כלי רכב בליסינג תפעולי",7410-424-4
1425877,"ביטוח - העמסה",7410-440-2
268459,"תקשורת סלולרית",7410-448-8
37100,"מכשירי כתיבה וציוד משרדי",7410-460-8
14400,"הדפסות וצילומים",7410-462-2
13916,"עיתונות וספרות",7410-480-4
713721,"רכש ואספקה - העמסה",7410-490-7
22500,נסיעות,7410-510-4
63885,"טלפונים - העמסה",7410-541-0
3361,דואר,7410-545-8
41132,כיבודים,7410-610-5
40000,"מודל מצוינות",7410-688-2
1652225,דלק,7410-735-7
1169996,"מחשוב עירוני - העמסה",7410-755-3
36750,"רכישת ציוד",7410-930-4
3487545,"משכורת ושכר משולבים",7420-111-4
5131059,תוספות,7420-112-1
557645,"החזר הוצאות",7420-113-8
1872716,"הפרשות סוציאליות",7420-116-9
823768,"מסים והיטלים על השכר",7420-117-6
929095,"החזקת רכב",7420-118-3
574038,"שעות נוספות",7420-119-0
"בגדי עבודה 43,704",,7420-215-3
200000,"החזקת לוחות מודעות",7420-425-8
696000,"תחזוקה בא.ת. עטרות",7420-477-7
800000,"טיפול בשפפים",7420-478-4
360,טלפונים,7420-540-0
1882181,"מוסך ותחבורה - העמסה",7420-710-3
3006218,"חומרים, ציוד וכלי עבודה",7420-720-6
,"אגן העיר העתיקה-תחזוקה",7420-721-3
5900000,"החזקת מערכות ניקוז",7420-736-1
995897,"ניקיון גרפיטי ולוחות מודעות",7420-749-5
200000,"טיפול בעודפי עפר",7420-760-8
100000,"גגות ומרזבים בשוק מחנה יהודה",7420-762-2
50000,"תיקון כלים מכאניים־אחזקה",7420-780-4
3657100,"עבודות תחזוקה ברחבי העיר",7420-781-1
700000,"דגלול ברחבי העיר",7420-784-2
731510,"ניכוש עשבייה",7420-786-6
600000,"העלאת רמת התחזוקה במרכז העיר",7420-787-3
722000,"החזקת גשר קלטרווה",7420-788-0
475000,"אחזקת תוואי הרכבת",7420-790-7
221400,"ביצוע עבודות לגורמים משלמים",7420-951-4
80000,"שיקום כבישים",7420-952-1
305000,"טיפול בעודפי עפר",7420-955-2
,"אגן העיר העתיקה-תחזוקה",7420-957-6
,"תגבור פעולות",7420-959-0
1443546,"משכורת ושכר משולבים",7430-111-1
3356872,תוספות,7430-112-8
246231,"החזר הוצאות",7430-113-5
1080004,"הפרשות סוציאליות",7430-116-6
496933,"מסים והיטלים על השכר",7430-117-3
630724,"החזקת רכב",7430-118-0
623722,"שעות נוספות",7430-119-7
10871,"בגדי עבודה",7430-215-0
150000,"מפקח בקרה לשילוט במזרח העיר",7430-216-7
59202,"כלי רכב בליסינג תפעולי",7430-424-8
276894,"מוסך ותחבורה - העמסה",7430-710-0
1540360,"חומרים - בטיחות בדרכים",7430-720-3
,"אגן העיר העתיקה-בטיחות בדרכים",7430-721-0
1126700,"עבודה קבלנית - בטיחות בדרכים",7430-750-2
,"סימון כבישים",7430-780-1
50000,"עבודות בטיחות באתרי עבודה",7430-951-1
,"אגן העיר העתיקה-בטיחות בדרכים",7430-956-6
1797120,"משכורת ושכר משולבים",7440-111-8
2124784,תוספות,7440-112-5
244485,"החזר הוצאות",7440-113-2
976104,"הפרשות סוציאליות",7440-116-3
416051,"מסים והיטלים על השכר",7440-117-0
620525,"החזקת רכב",7440-118-7
555195,"שעות נוספות",7440-119-4
9306,"בגדי עבודה",7440-215-7
118404,"כלי רכב בליסינג תפעולי",7440-424-5
25835901,"זרם חשמל לתאורת רחובות",7440-430-0
461129,"מוסך ותחבורה - העמסה",7440-710-7
1506000,"חומרים וציוד עזר לעבודה",7440-720-0
1000000,"תאורה חגיגית",7440-740-6
300000,"תאורה דקורטיבית",7440-745-1
765000,"עבודה קבלנית-רשת המאור",7440-750-9
7586978,"החזקת תאורה באמצעות קבלנים",7440-752-3
1103004,"מערכת פיקוד ובקרה אלחוטית",7440-754-7
10973673,"משכורת ושכר משולבים",7460-111-2
16636449,תוספות,7460-112-9
1713696,"החזר הוצאות",7460-113-6
5661489,"הפרשות סוציאליות",7460-116-7
2546711,"מסים והיטלים על השכר",7460-117-4
1557881,"החזקת רכב",7460-118-1
2340971,"שעות נוספות",7460-119-8
140207,"בגדי עבודה",7460-215-1
144834,"שכר דירה",7460-410-8
118404,"כלי רכב בליסינג תפעולי",7460-424-9
110400,חשמל,7460-430-4
12036000,"מים להשקיה",7460-431-1
3991250,"שדרוג הסביבה הקרובה לבית",7460-477-5
500000,"תגבור ניקיון בגנים",7460-520-2
73440,טלפונים,7460-540-8
14000,פרסומים,7460-630-6
2257790,"מוסך ותחבורה - העמסה",7460-710-1
2214000,"חומרים וכלי עבודה",7460-720-4
,"אגן העיר העתיקה-גננות",7460-722-8
200000,"מערכת השקיה",7460-725-9
1172816,"החזקת מערכת השקיה ממוחשבת",7460-726-6
380736,"הפעלת מרכז בקרת השקיה",7460-727-3
197318,"החזר שכר עבודה - גן הוורדים",7460-730-7
397400,"החזקת טיילת גולדמן",7460-732-1
500000,"הגן הבוטני",7460-733-8
1800000,"אחזקת פארק עמק הצבאים",7460-734-5
80000,"התקנת מונים בגנים ציבוריים",7460-740-0
50000,"התקנת מעקות בטיחות בגנים",7460-741-7
1197544,"פרחים עונתיים",7460-758-9
200000,"החזקת מכונות, ציוד וכלי עבודה",7460-780-2
24157194,"תחזוקת גנים באמצעות קבלנים",7460-781-9
130000,"תחזוקת אנדרטאות ולוחות זיכרון",7460-782-6
373000,"תיקון ליקויים במתקני משחקים",7460-783-3
,"החזקת מתקן שעשועים בגן סאקר",7460-784-0
1762152,"תחזוקת מתקני משחקים",7460-786-4
1558200,"החזקת מערכות הצללה בגנים",7460-787-1
,"פיקוח על שטחי אחזקה",7460-788-8
1172064,"החזקת טיילת שרובר",7460-792-9
,"ריהוט גן",7460-793-6
1198157,"תחזוקת מזרקות ברחבי העיר",7460-794-3
1700000,"החזקת פארקים מטרופולינים",7460-795-0
,"העסקת נערים",7460-796-7
170000,"רכישת ציוד",7460-930-9
37300,"עבודות גננות",7460-953-6
,"אגן העיר העתיקה-גננות",7460-954-3
,"תגבור פעולות",7460-959-8
1273123,"משכורת ושכר משולבים",7470-111-9
885842,תוספות,7470-112-6
171275,"החזר הוצאות",7470-113-3
661115,"הפרשות סוציאליות",7470-116-4
249412,"מסים והיטלים על השכר",7470-117-1
260400,"החזקת רכב",7470-118-8
496619,"שעות נוספות",7470-119-5
230000,"קניית שירותי כ״א",7470-216-5
159435,"שכר דירה",7470-410-5
177606,"כלי רכב בליסינג תפעולי",7470-424-6
40140,"תקשורת סלולרית",7470-448-0
,"הפעלת מינהלת מהנה יהודה",7470-450-7
16909,כיבודים,7470-610-7
50000,"הוצאות ארגוניות ושונות",7470-682-2
368500,"ניקיון ותחזוקת-מבני הרובעים",7470-749-0
194176,"מחשוב עירוני - העמסה",7470-755-5
190000,"פעולות ומבצעים משולבים ברובעים",7470-781-6
40000,"רכישת ציוד",7470-930-6
,"תגבור פעולות",7470-959-5
464346,"משכורת ושכר משולבים",7280-111-0
810360,תוספות,7280-112-7
62916,"החזר הוצאות",7280-113-4
247711,"הפרשות סוציאליות",7280-116-5
126343,"מסים והיטלים על השכר",7280-117-2
208641,"החזקת רכב",7280-118-9
60181,"שעות נוספות",7280-119-6
54500,"שכר דירה",7280-410-6
59202,"כלי רכב בליסינג תפעולי",7280-424-7
752530,"ביטוח - העמסה",7280-440-5
70000,"הוצאות הג״א - פרסומים",7280-630-4
,"החזקת כלי רכב ייעודי",7280-711-6
8613,"הוצאות הג״א - מפקדות",7280-780-0
19208,"הוצאות הג״א - מחסנים",7280-781-7
100000,"תחזוקת מקלטים",7280-782-4
5000,"ערכות מיגון",7280-783-1
5720825,"פעולות ארציות",7280-813-1
2655848,"משכורת ושכר משולבים",7290-111-7
3121798,תוספות,7290-112-4
276504,"החזר הוצאות",7290-113-1
1513464,"הפרשות סוציאליות",7290-116-2
617583,"מסים והיטלים על השכר",7290-117-9
714148,"החזקת רכב",7290-118-6
625004,"שעות נוספות",7290-119-3
750931,"קריית העירייה - העמסה",7290-400-0
9177274,"אבטחה ושמירה",7290-415-8
-9177274,"אבטחה ושמירה - הפחתת העמסה",7290-416-5
56611572,"שמירה בבתי ספר",7290-417-2
7163210,"שמירה ואבטחת קריית העירייה",7290-418-9
137379,"החזקת מערכות במתקני עירייה",7290-419-6
1886118,"אבטחה ושמירה - העמסה",7290-420-6
,"מתחם החרמות הר חומה",7290-423-7
828828,"כלי רכב בליסינג תפעולי",7290-424-4
158455,"תקשורת סלולרית",7290-448-8
9400,"מכשירי כתיבה וציוד משרדי",7290-460-8
33000,"הדפסות ונייר רציף",7290-462-2
9700,"עיתונות וספרות",7290-480-4
25112,"רכש ואספקה - העמסה",7290-490-7
115913,"מערכת התראה לרעידות אדמה",7290-511-1
81647,"טלפונים - העמסה",7290-541-0
15675,כיבודים,7290-610-5
177927,"מוסך ותחבורה - העמסה",7290-710-6
34421,דלק,7290-735-7
641858,"מחשוב עירוני - העמסה",7290-755-3
100500,"אחזקת מערכת טמ״ס",7290-759-1
226284,"החזקת מערכות בטחון במוס״ח",7290-760-1
174974,"אזור התעשייה עטרות",7290-761-8
836250,"ביטחון קהילתי",7290-780-7
33000,"פעולות משק לשעת חירום",7290-781-4
2000000,"הוצאות נזקי טבע",7290-782-1
,"אחזקת זימוניות",7290-784-5
200000,"המשמר האזרחי",7290-785-2
232190,"אימונים והשתלמויות",7290-788-3
609631,"הפעלת ניידת סיור",7290-790-0
500000,"הוצאות ביטחון שונות",7290-951-7
60000,"ביטחון - קריית העירייה",7290-952-4
500000,"אבטחה במוסדות חינוך",7290-953-1
100000,"תגבור פעולות ביטחון",7290-956-2
100000,"תגבור שמירה בקו התפר",7290-957-9
28000000,"אבטחת הרכבת הקלה",7290-958-6
2613187,"משכורת ושכר משולבים",7815-111-4
4186078,תוספות,7815-112-1
391859,"החזר הוצאות",7815-113-8
1951442,"הפרשות סוציאליות",7815-116-9
777154,"מסים והיטלים על השכר",7815-117-6
773383,"החזקת רכב",7815-118-3
2163985,"שעות נוספות",7815-119-0
399370,"בגדי עבודה",7815-215-3
111942,"קריית העירייה - העמסה",7815-400-7
667392,"שכר דירה",7815-410-0
30000,"תיקונים, שיפוצים ותחזוקה",7815-420-3
262600,"חשמל ומים",7815-430-6
196354,"החזקה ותיקון מסופונים",7815-432-0
217262,"תקשורת סלולרית",7815-448-5
157905,"כיבוס מדים",7815-451-9
150000,"מכשירי כתיבה והדפסות",7815-460-5
18441,"רכש ואספקה - העמסה",7815-490-4
8000,נסיעות,7815-510-1
74160,טלפונים,7815-540-0
6910,"טלפונים - העמסה",7815-541-7
12829,"דואר - העמסה",7815-545-5
37899,כיבודים,7815-610-2
58157,"מים לשתייה לפקחים",7815-620-5
20000,פרסומים,7815-630-8
4000,"נסחי רישום מהטאבו",7815-685-8
170430,"פינוי ואחסון כלי רכב נטושים",7815-686-5
17700,"הפעלת מודל מצוינות",7815-688-9
758240,"מוסך ותחבורה - העמסה",7815-710-3
,"גרירת רכבים",7815-753-6
1123109,"מחשוב עירוני - העמסה",7815-755-0
28000,"רכישת ציוד",7815-930-1
10000,"ביצוע עבודות לגורמים משלמים",7815-951-4
3259379,"משכורת ושכר משולבים",7818-111-1
5068702,תוספות,7818-112-8
607451,"החזר הוצאות",7818-113-5
3017253,"הפרשות סוציאליות",7818-116-6
1257287,"מסים והיטלים על השכר",7818-117-3
4735074,"החזקת רכב",7818-118-0
2444865,"שעות נוספות",7818-119-7
1020703,"משכורת ושכר משולבים",7820-111-6
1172871,תוספות,7820-112-3
