תקציב 2016,,
,,
מס' כרטיס,שם כרטיס,תקציב
1822000540,בולים טלפון ומברק,"12,000.00"
1822000550,פרסום,
1822000810,השת בעמו תרבות נו,"8,128,000.00"
1822000811,אירועי תרבות,
1822000812,הוצאות לאירועי חג,"1,610,000.00"
1822000813,שישי שוק,
1823000110,שכר ספריה עירונית,"2,782,194.00"
1823000780,השתתפות בשכר ספרניות,
1824000110,"שכר עובדי מתנ""ס","266,716.00"
1824000810,הקצבות    למתנס,"1,750,000.00"
1824000812,ארועי יום העצמאות במערב העיר,"120,000.00"
1825200811,תזמורת קאמרית,"180,000.00"
1825200812,להקת מחול עירונית,"72,000.00"
1825200813,מקהלת פרחי חדרה,"72,000.00"
1825200814,מרכז צעירים,"380,000.00"
1825200815,תנועות נער,"250,000.00"
1826200811,השתתפות מוזיאון,"400,000.00"
1826400812,הקצבה ליד לבנים,"540,000.00"
1827000110,שכר חינוך תורני,"1,220,582.00"
1827000530,אחזקת רכב וביטוח,"46,000.00"
1827000540,בולים טלפון ומברק,"17,000.00"
1827000780,פעילות תרבות וקהילה,"617,000.00"
1827000781,פעולות לתרבות תור,"617,000.00"
1827000782,פעולות מותנות הכנסה אגף לתרבות וקהילה,"100,000.00"
1827000783,אירועי תרבות תורניים,"120,000.00"
1828100110,שכר מועדונים-מינה,
1828200110,שכר - מועדוני נוע,"3,475,452.00"
1829300110,שכר ספורט עירוני,"2,697,700.00"
1829300810,העברות לאגודות הס,"320,000.00"
1829300811,פעילות ספורט,"600,000.00"
1832400810,השת.בטיפת חלב,"40,000.00"
1836200810,השתת' נט'ן,"210,000.00"
1841000110,שכר מינהל רווחה,"15,302,594.00"
1841000410,שכירות משרדים לרו,"971,540.00"
1841000430,מאור כח מים,"253,000.00"
1841000450,ריהוט,"45,000.00"
1841000530,אחזקת רכב וביטוח,"65,000.00"
1841000540,בולים טלפון ומברק,"70,000.00"
1841000550,פרסומים,
1841000780,הוצאות    אחרות,"100,000.00"
1841000781,יוזמות אגפיות,"120,000.00"
1842200110,שכר עובדי אלכוהול,"719,726.00"
1842200820,טיפול באלכוליסטים,"37,000.00"
1842200821,משפחות במצוקה בקהילה,"233,333.00"
1842200824,טיפול בדרי רחוב,"895,000.00"
1842200828,מרכז עצמה,"400,000.00"
1842200829,מודל קליטה ליוצאי צרפת ,"118,000.00"
1842210110,שכר מודל קליטה ליוצאי צרפת ,"190,000.00"
1842300110,שכר תחנה לטיפול משפחתי,"81,620.00"
1842400110,שכר עובדי אלימות,"973,208.00"
1842400821,מרכזי טיפול באלימ,
1842400822,תחנה לטיפול משפחת,"330,000.00"
1842400823,טיפול בפרט ובמשפחה,"5,000.00"
1842400824,סיוע מיוחד למשפחות עם ילדים,"240,000.00"
1843400110,שכר לטיפול בילד בקהילה,
1843500110,שכר לטיפול בהורים,"493,429.00"
1843500821,טיפול בהורים וילדים,"188,800.00"
1843500822,יצירת קשר הורים ילדים,"42,000.00"
1843500823,טיפול בילד בקהילה,"1,242,000.00"
1843500825,טיפול בילדים בסיכון הפעלת חוק סדרי דין,"209,000.00"
1843510110,שכר לטיפול בילד בקהילה,"260,000.00"
1843600110,שכר יצירת קשר,"90,602.00"
1843800110,שכר תוכנית לאומית לילד ולנוער,"330,000.00"
1843800820,אחזקת ילדים בפנמי,"12,331,000.00"
1843800821,טיפול במשפחות אומ,"538,200.00"
1843800823,תכנית לאומית ילדים ונוער,"354,000.00"
1843900110,תוכנית לאומית נוער וצעירים,"100,000.00"
1843900820,ילדים במעונות יום,"3,380,000.00"
1843900822,תוכנית בשבילי,"70,000.00"
1843900823,טיפול בפגיעות מיניות,"205,000.00"
1844300820,אחזקת זקנים במעונ,"3,520,000.00"
1844300821,שכונה תומכת,"600,000.00"
1844300822,נופשונים לזקן,"15,000.00"
1844400820,מועדונים לזקנים,"716,000.00"
1844400821,טיפול בזקן בקהילה,"228,000.00"
1844400823,טיפול בניצולי שואה,"100,000.00"
1844500810,מרכזי יום לקשיש,"1,100,000.00"
1845100820,סידור מפגרים במוס,"17,655,640.00"
1845100821,מפגרים במוסד ממשל,"4,260,000.00"
1845101821,אחזקת אוטיסטים,"1,907,000.00"
1845101822,משפחות אומנה למפג,"56,808.00"
1845200110,שכר עובדי מסגרת י,"793,000.00"
1845200820,מסגרות יום ארוך,"80,000.00"
1845200821,טיפול בהורים וילדים אוטיסטים,"140,000.00"
1845200822,מפגרים במעון טיפו,"1,036,728.00"
1845200823,מרכז יום שיקומי לאוטיסט,"471,360.00"
1845200824,מפגרים במכון אימוני,"39,900.00"
1845200825,מרכז יום תעסוקה לבוגרים אוטיסטים,"140,000.00"
1845200826,נופשונים לאוטיסטים,"5,000.00"
1845200827,מרכז יום שיקומי למפגר,"58,920.00"
1845200828,מועדון לילדים ובוגרים אוטיסטים ,"40,000.00"
1845300820,שרותים תומכים למפ,"200,000.00"
1845300821,נופשונים למפגר,"30,000.00"
1845400110,"שכר עובדי מע""ש","1,900,606.00"
1845400420,תיקונים   מעש,"50,000.00"
1845400720,חמרים,"145,000.00"
1845400780,הוצ אחר+תשל.לחניך,"1,089,000.00"
1845400781,ארוחות מעש,"400,000.00"
1845400820,"חניכים במע""ש חוץ","285,876.00"
1845400822,הסעות למפגר,"180,000.00"
1845400823,מועדונים חברתיים למפגר,"96,000.00"
1846300110,שכר מועדונים לעיור,"39,702.00"
1846300820,שיקום העיוור בקהי,"25,000.00"
1846300822,הדרכת עייור ובני,"75,000.00"
1846300823,ילדים עיוורים בקהילה ,"40,000.00"
1846400820,מפעלי שיקום לעיוו,"60,000.00"
1846400821,מפעלי תעסוקה ומוע,"82,624.00"
1846400822,תעסוקה נתמכת לנכים,"208,000.00"
1846500820,אחזקת נכים בפנימי,"3,912,000.00"
1846500821,מעונות ממשלתים שי,"140,400.00"
1846500822,נכים במשפחות אומנ,"350,000.00"
1846500823,תוכנית מעבר,"100,000.00"
1846500825,טיפול במשפחות אומ,"45,000.00"
1846600820,תעסוקה מוגנת למוג,"350,000.00"
1846600821,מסגרת לילד המוגבל,"307,000.00"
1846600822,הסעות לגן שיקומי,"416,000.00"
1846600823,ליווי בהסעות לגן,"155,000.00"
1846600824,נופשונים והבראה ל,"20,000.00"
1846600826,מ.יום שיקומי לנכים,"471,360.00"
1846600827,מרכז יום לנכים קשים ,"138,000.00"
1846700110,שכר קהילה תומכת,"251,446.00"
1846700820,תוכניות לילד החרי,"93,000.00"
1846700821,הסעות נכים,"25,000.00"
1846700822,קהילה תומכת לנכים,"70,000.00"
1846800820,מרכזי אבחון ושיקו,"156,000.00"
1846800821,שיקום נכים בקהילה,"82,700.00"
1846800822,נכים קשים בקהילה,"79,200.00"
1846800823,בוגרים עיוורים בקהילה מועדונית,"48,870.00"
1846800824,פעילות מועדונים חברתיים לבוגרים רגיש נגיד,"57,876.00"
1847100110,שכר טיפול בנערות במצוקה,"152,778.00"
1847100821,טיפול בנערות במצו,"127,000.00"
1847100825,מקלטים לנשים מוכו,"270,000.00"
1847100826,טיפול בנוער ובצעי,"50,000.00"
1847200110,שכר עובדי שיקום האסיר,"152,700.00"
1847300110,שכר עובדי סמים ומרכז להתמכרויות,"359,374.00"
1847300811,בדיקות למשתמשי סמ,"8,000.00"
1847300812,מתאם עירוני למשתמש,"250,000.00"
1847300813,מרכז יום להתמכרויות,"205,000.00"
1847300814,התמכרות חוץ ביתי,"20,000.00"
1847300820,טיפול בנפגעי סמים,"40,000.00"
1847300821,איתור נוער מכור,"12,000.00"
1847300822,"מפת""ן חוץ","20,000.00"
1847400110,תוכנית מעטפת שכר,"207,315.00"
1847400821,"מפת""ן מקומי החזקה","420,000.00"
1847400822,תוכנית מעטפת פעולות,"236,000.00"
1847400824,"נוח""ם - נוער חרדי מנותק ","306,000.00"
1847410110,"שכר מפת""ן מיתר נירים ","510,000.00"
1847500110,שכר איתור נוער מכור,"564,990.00"
1847600110,שכר נפגעות תקיפה מינית,"130,000.00"
1847600830,נפגעות תקיפה מינית,"58,000.00"
1847700110,שכר מיתר נירים,
1847800110,"שכר תכנית מט""ל ","110,000.00"
1847800810,"תוכנית מט""ל פעולות ","88,000.00"
1847900110,שכר מרחב פתוח לנערות בסיכון ,"193,000.00"
1847900820,מרחב פתוח לנערות בסיכון פעולות ,"90,000.00"
1848200820,עבודות קהילתיות,"40,000.00"
1848300820,הוצאו. למתנדבים,"40,000.00"
1848400750,"עוץ שי""ל","5,000.00"
1848500780,הוצאות אחרות,"30,000.00"
1848500820,הוצאות שיקום שכונ,"11,000.00"
1849000824,מעונות יום עולים,"120,000.00"
1849000828,מפגר בפנימיה עולי,"1,207,848.00"
1849000829,ילדים בפנימיות עו,"622,260.00"
1849000830,טיפול בזקנים עולי,"150,000.00"
1849000832,ילדים במצוקה עולי,"88,500.00"
1849000833,משפחות עולים במצו,"50,000.00"
1849000834,אבחנה ושיקום נכים,"20,000.00"
1849900110,הפרשה לביטוח לאומ,
1851000810,השתת.לשרותי דת,"3,600,000.00"
1860000110,משכורת מח קליטה,"1,160,520.00"
1860000410,שכר דירה ודמי חכי,"71,042.00"
1860000430,מאור כח חימום מים,"32,000.00"
1860000540,בולים טלפון ומברק,"18,000.00"
1860000550,פירסומים,
1860000750,עבודות קבלניות,"740,000.00"
1860000780,הוצאות אחרות,"5,000.00"
1870000110,שכר איכות הסביבה,"807,274.00"
1870000530,אחזקת רכב וביטוח,"105,000.00"
1870000780,הוצאות אחרות,"30,000.00"
1937000430,חשמל שוק חדרה,"121,000.00"
1937000750,הפעלת השוק העירונ,"300,000.00"
1941000110,שכר מינהל רכב,"712,600.00"
1941000530,אחזקת רכב וביטוח,
1941000780,הוצאות שונות,"10,000.00"
1980000110,שכר פנסיונרים,"40,926,786.00"
1995000860,"הנחות ארנונה עפ""י","44,500,000.00"
1999999997,הוצאות שנים קודמות,"1,000,000.00"
,"סה""כ תשלומים","569,019,432.00"
,תקבולים פחות תשלומים,1
