חשבון ,,פרק,שם חשבון ,מחלקה ,מקורי 2015 ,ביצוע עד ספטמ,תקציב 2016-כו,תקציב בסיס 2016,מותנה 2016 
1611105140,611105140,61,החזר הוצאות רכב ,1611105,0,13700,18000,18000,0
1611105141,611105141,61,החזר הוצאות אחר ,1611105,0,1800,3000,3000,0
1611105181,611105181,61,הפרשות סוציאליות ,1611105,0,11300,16000,16000,0
1611105182,611105182,61,מיסים ועלויות ,1611105,0,7100,10000,10000,0
1611105210,611105210,61,השכר הקובע ללא תקן ,1611105,270000,163900,170000,170000,0
1611105470,611105470,61,ציוד משרדי מתכלה ,1611105,4300,2300,4300,4300,0
1611105471,611105471,61,מ. צילום ופקס ,1611105,1200,1200,1300,1300,0
1611105510,611105510,61,אש'ל וכבודים ,1611105,2000,400,2000,2000,0
1611105514,611105514,61,רכישת מתנות ,1611105,5100,0,5100,5100,0
1611105522,611105522,61,ספרות מקצועית ועתונות ,1611105,4000,0,4000,4000,0
1611105540,611105540,61,דואר וטלפון ,1611105,2000,600,1500,1500,0
1611105542,611105542,61,"רט""ן- תקשורת סלולרית ",1611105,5400,1400,6000,6000,0
1611105580,611105580,61,הוצ' יועצים ,1611105,80000,0,80000,50000,30000
1611105780,611105780,61,הוצאות שונות ,1611105,6000,600,6000,5000,1000
1611106110,611106110,61,השכר הקובע ,1611106,239000,177300,248000,248000,0
1611106120,611106120,61,תוספות שלא נכללות בשכר ,1611106,14000,13700,14000,14000,0
1611106130,611106130,61,שעות נוספות ,1611106,9000,6800,10000,9000,1000
1611106140,611106140,61,החזר הוצאות רכב ,1611106,44000,38500,48000,48000,0
1611106141,611106141,61,החזר הוצאות אחרות ,1611106,6000,10400,15000,15000,0
1611106181,611106181,61,הפרשות סוציאליות ,1611106,57000,43600,60000,60000,0
1611106182,611106182,61,מיסים ועלויות ,1611106,42000,32900,46000,46000,0
1611106470,611106470,61,ציוד משרדי מתכלה ,1611106,4300,1900,4300,4300,0
1611106510,611106510,61,אשל וכיבודים ,1611106,2000,1000,2000,2000,0
1611106514,611106514,61,רכישת מתנות ,1611106,5100,2500,5100,5100,0
1611106522,611106522,61,ספרות מקצועית ועיתונות ,1611106,3000,1700,3000,3000,0
1611106540,611106540,61,דואר וטלפון ,1611106,2000,1100,1000,1000,0
1611106542,611106542,61,"רט""ן-תקשורת סלולרית ",1611106,6500,3000,6000,6000,0
1611106780,611106780,61,הוצאות שונות ,1611106,6000,3600,6000,5000,1000
1611301110,611301110,61,השכר הקבוע ,1611301,823000,616700,862000,862000,0
1611301120,611301120,61,תוספות שלא נכללות בשכר ,1611301,62000,59700,68000,68000,0
1611301140,611301140,61,החזר הוצאות רכב ,1611301,106000,60700,94000,94000,0
1611301141,611301141,61,החזר הוצאות אחר ,1611301,41000,32200,44000,44000,0
1611301181,611301181,61,הפרשות סוציאליות ,1611301,202000,151400,211000,211000,0
1611301182,611301182,61,מיסים ועלויות ,1611301,149000,113200,162000,162000,0
1611301210,611301210,61,שכר זמניים ,1611301,100000,29700,100000,100000,0
1611301470,611301470,61,ציוד משרדי מתכלה ,1611301,6000,3000,6000,6000,0
1611301471,611301471,61,הוצאות מ. צילום ,1611301,3500,3500,3700,3700,0
1611301510,611301510,61,אש'ל וכבודים ,1611301,4000,1800,4000,4000,0
1611301522,611301522,61,ספרות מקצועית ועתונים ,1611301,4000,3100,4000,4000,0
1611301530,611301530,61, 50-699-30,1611301,25000,12600,25000,25000,0
1611301540,611301540,61,דואר וטלפון ,1611301,2000,1300,2500,2500,0
1611301542,611301542,61,"רט""ן-תקשורת סלולרית ",1611301,7100,4200,10000,10000,0
1611301580,611301580,61,יועצים ופעולות אירגוניות ,1611301,345000,61400,345000,150000,195000
1611301581,611301581,61,ייעוץ אירגוני ,1611301,0,0,0,0,0
1611301582,611301582,61,הצ' אירגוניות ,1611301,0,0,0,0,0
1611301750,611301750,61,עבודות קבלניות ,1611301,40000,3000,40000,20000,20000
1611301751,611301751,61,שטח סטרילי ,1611301,0,0,0,0,0
1611301760,611301760,61,קנית שרותים מרשויות ומוסד,1611301,0,0,0,0,0
1611301780,611301780,61,בדיקות מיוחדות ,1611301,90000,29000,90000,45000,45000
1611301930,611301930,61,רכישת ציוד יסודי ,1611301,0,0,0,0,0
1611301931,611301931,61,רכישת ערכות אבלים ,1611301,134000,9000,134000,34000,100000
1611301981,611301981,61,קרן הצטיידות ,1611301,0,0,0,0,0
1611302110,611302110,61,השכר הקבוע ,1611302,692000,488200,692000,692000,0
1611302120,611302120,61,תוספות שלא נכללות בשכר ,1611302,69000,55900,66000,66000,0
1611302130,611302130,61,שעות נוספות ,1611302,11000,13000,21000,18900,2100
1611302140,611302140,61,החזרהוצאות רכב ,1611302,66000,51800,71000,71000,0
1611302141,611302141,61,החזר הוצאות אחר ,1611302,35000,21500,31000,31000,0
1611302181,611302181,61,הפרשות סוציאליות ,1611302,101000,72600,103000,103000,0
1611302182,611302182,61,מיסים ועלויות ,1611302,129000,95000,135000,135000,0
1611302210,611302210,61,שכר זמניים ,1611302,70000,62500,70000,70000,0
1611302470,611302470,61,ציודמשרדי מתכלה ,1611302,6000,3100,6000,6000,0
1611302471,611302471,61,אחז' מכונת צילום ,1611302,4700,4700,5000,5000,0
1611302510,611302510,61,אש'ל וכבודים ,1611302,2000,500,2000,2000,0
1611302511,611302511,61,אירוח ,1611302,14000,700,14000,14000,0
1611302521,611302521,61,השתלמויות - מינהל כללי ,1611302,10000,0,10000,10000,0
1611302522,611302522,61,ספרות מקצועית ועתונות ,1611302,22000,18900,22000,22000,0
1611302530,611302530,61,רכב צמוד מספר 8640076 ,1611302,40000,16400,40000,40000,0
1611302540,611302540,61,דואר וטלפון ,1611302,2000,1700,2500,2500,0
1611302542,611302542,61,"רט""ן-תקשורת סלולרית ",1611302,57600,29900,55000,55000,0
1611302580,611302580,61,הוצאות ארגוניות ,1611302,170000,79800,180000,130000,50000
1611302581,611302581,61,ועדת ערר ,1611302,0,0,0,0,0
1611302582,611302582,61,כרטיס תושב ,1611302,0,0,100000,50000,50000
1611302760,611302760,61,קנית שרותים מרשויות מוסדת,1611302,20000,12600,20000,20000,0
1611302930,611302930,61,רכישת ציוד יסודי ,1611302,125000,54700,125000,100000,25000
1611303210,611303210,61,שכר עובדים זמניים ,1611103,0,0,0,0,0
1611304110,611304110,61,השכר הקבוע ,1611304,274000,235600,324000,324000,0
1611304120,611304120,61,תוספות שלא נכללות בשכר ,1611304,38000,35300,43000,43000,0
1611304130,611304130,61,עשות נוספות ,1611304,10000,9700,12000,10800,1200
1611304140,611304140,61,החזר הוצאות רכב ,1611304,66000,51600,67000,67000,0
1611304141,611304141,61,החזר הוצאות אחר ,1611304,11000,9800,14000,14000,0
1611304181,611304181,61,הפרשות סוציאליות ,1611304,62000,54100,73000,73000,0
1611304182,611304182,61,מיסים ועלויות ,1611304,55000,45400,63000,63000,0
1611304210,611304210,61,עובדים זמניים ,1611304,0,0,0,0,0
1611304470,611304470,61,צ. משרדי ,1611304,4000,2500,4000,4000,0
1611304522,611304522,61,ס. מקצועית ועיתונים ,1611304,2000,0,2000,2000,0
1611304540,611304540,61,הוצ' טלפון ,1611304,1000,500,1000,1000,0
1611304542,611304542,61,"רט""ן-תקשורת סלולרית ",1611304,1300,800,2000,2000,0
1611304572,611304572,61,תוכנה ,1611304,6000,0,25000,25000,0
1611305110,611305110,61,השכר הקובע ,1611305,949000,733600,1075000,1075000,0
1611305120,611305120,61,תוספות שלא נכללות בשכר ,1611305,296000,201400,245000,245000,0
1611305130,611305130,61,שעות נוספות ,1611305,132000,88400,111000,99900,11100
1611305140,611305140,61,החזרהוצאות רכב ,1611305,266000,186600,271000,271000,0
1611305141,611305141,61,החזר הוצאות אחר ,1611305,39000,32100,45000,45000,0
1611305181,611305181,61,הפרשות סוציאליות ,1611305,211000,170800,245000,245000,0
1611305182,611305182,61,מיסים ועלויות ,1611305,229000,166200,241000,241000,0
1611305210,611305210,61,שכר עובדים זמניים ,1611305,0,0,0,0,0
1611305470,611305470,61,ציוד משרדי מתכלה ,1611305,3400,1700,3400,3400,0
1611305471,611305471,61,מכונות צילום ,1611305,3500,3500,3700,3700,0
1611305510,611305510,61,כיבוד ,1611305,1000,500,1000,1000,0
1611305522,611305522,61,ספרות מקצועית ,1611305,5000,0,5000,5000,0
1611305540,611305540,61,דואר וטלפון ,1611305,120000,79900,120000,120000,0
1611305542,611305542,61,"רט""ן-תקשורת סלולרית ",1611305,16600,9100,16000,16000,0
1611305545,611305545,61,הוצאות תקשורת ,1611305,100000,43900,100000,100000,0
1611305570,611305570,61,"הוצ' ע""פ ו. מיחשוב ",1611305,300000,187600,400000,200000,200000
1611305571,611305571,61,חומרה ,1611305,205000,61700,215000,215000,0
1611305572,611305572,61,שכירות תוכנה ,1611305,390000,128400,410000,410000,0
1611305574,611305574,61,כ'א מקצועי (גורמי חוץ( ,1611305,420000,145200,420000,320000,100000
1611305575,611305575,61,שירותים שונים ,1611305,110000,12500,110000,110000,0
1611305576,611305576,61,ייעוץ מקצועי ,1611305,100000,36500,110000,60000,50000
1611305577,611305577,61,תקשורת ,1611305,175000,69400,180000,180000,0
1611305578,611305578,61,השתלמויות וספרות מקצועית ,1611305,0,0,0,0,0
1611305579,611305579,61,פרוייקטים ,1611305,0,0,0,0,0
1611305720,611305720,61,חומרים ,1611305,5000,0,5000,5000,0
1611305730,611305730,61, 80-132-72תפעולי ,1611305,30000,10300,30000,30000,0
1611305740,611305740,61,כלים מכשירים וציוד ,1611305,4000,300,4000,4000,0
1611305920,611305920,61,העברת תקציב פיתוח לרגיל ,1611305,500000,6700,500000,0,500000
1611305921,611305921,61,העברה מתקציב פיתוח ,1611305,1000000,879600,0,0,0
1611305981,611305981,61,קרן מיחשוב ,1611305,0,0,0,0,0
1611306110,611306110,61,השכר הקובע ,1611306,289000,268500,365000,365000,0
1611306120,611306120,61,תוספות שלא נכללות בשכר ,1611306,44000,21900,23000,23000,0
1611306130,611306130,61,שעות נוספות ,1611306,1000,2200,3000,2700,300
1611306140,611306140,61,החזר הוצאות רכב ,1611306,49000,15900,19000,19000,0
1611306141,611306141,61,החזר הוצאות אחרות ,1611306,11000,12500,17000,17000,0
1611306181,611306181,61,הפרשות סוציאליות ,1611306,69000,66500,90000,90000,0
1611306182,611306182,61,מיסים ועלויות ,1611306,60000,49400,68000,68000,0
1611306210,611306210,61,שכר עובדים זמניים ,1611306,0,0,0,0,0
1611306420,611306420,61,אחזקת המשרד ,1611306,270000,239300,300000,300000,0
1611306470,611306470,61,ציוד משרדי ,1611306,2600,900,2600,2600,0
1611306471,611306471,61,מ. צילום ,1611306,0,0,3700,3700,0
1611306510,611306510,61,כיבוד ,1611306,1000,700,1000,1000,0
1611306522,611306522,61,ספרות מקצועית ,1611306,6000,1300,6000,6000,0
1611306530,611306530,61, 36-927-31,1611306,35000,10700,35000,35000,0
1611306540,611306540,61,דואר וטלפון ,1611306,9000,5900,9000,9000,0
1611306542,611306542,61,"רט""ן תקשורת סלולרית ",1611306,2000,1100,2000,2000,0
1611306550,611306550,61,פירסומים ,1611306,24000,2000,24000,24000,0
1611306572,611306572,61,תוכנה ,1611306,0,0,0,0,0
1611306580,611306580,61,הוצ' אירגוניות ויועצים ,1611306,140000,1900,150000,100000,50000
1611306581,611306581,61,הוצ' שולחן עגול ,1611306,90000,5700,90000,20000,70000
1611306750,611306750,61,סרט תדמית ומדיה עסקית ,1611306,56000,0,56000,0,56000
1611306752,611306752,61,יוזמות תעסוקה גיוס מפעלים,1611306,210000,20400,210000,170000,40000
1611306753,611306753,61,"מפת""ח- מרכז פיתוח תעסקה ח",1611306,200000,0,200000,200000,0
1611306760,611306760,61,גיוס מפעלים ויזמים ,1611306,270000,190200,270000,250000,20000
1611306761,611306761,61,חממת שטראוס ,1611306,0,144600,320000,250000,70000
1611306771,611306771,61,חשמל יחידת תעסוקה ,1611306,0,1100,1500,1500,0
1611306820,611306820,61,חממת שטראוס ,1611306,320000,0,0,0,0
1612000110,612000110,61,השכר הקובע ,1612000,1079000,823200,1123000,1123000,0
1612000120,612000120,61,תוספות שלא נכללות בשכר ,1612000,82000,72600,85000,85000,0
1612000130,612000130,61,שעות נוספות ,1612000,35000,24800,35000,31500,3500
1612000140,612000140,61,החזר הוצאות רכב ,1612000,143000,104700,164000,164000,0
1612000141,612000141,61,החזר הוצאות אחר ,1612000,57000,36200,50000,50000,0
1612000181,612000181,61,הפרשות סוציאליות ,1612000,248000,207000,278000,278000,0
1612000182,612000182,61,מיסים ועלויות ,1612000,201000,154700,213000,213000,0
1612000470,612000470,61,ציוד משרדי מתכלה ,1612000,2000,700,2000,2000,0
1612000471,612000471,61,מכונות צילום ,1612000,3500,3500,4000,4000,0
1612000510,612000510,61,כיבוד ,1612000,1000,500,1000,1000,0
1612000522,612000522,61,ספרות מקצועית ועתנות ,1612000,1000,0,1000,1000,0
1612000530,612000530,61, 66-450-30,1612000,40000,40700,42000,42000,0
1612000540,612000540,61,דואר וטלפון ,1612000,2000,900,2000,2000,0
1612000541,612000541,61,משלוחים ,1612000,0,0,0,0,0
1612000542,612000542,61,"רט""ן-תקשורת סלולרית ",1612000,7600,3300,9000,9000,0
1612000560,612000560,61,"הוצאות דו""ח בקורת ",1612000,4000,900,4000,4000,0
1612000750,612000750,61,עבודות קבלניות ,1612000,80000,9200,80000,80000,0
1612000751,612000751,61,בדיקות מיוחדות ,1612000,50000,19300,50000,50000,0
1613000110,613000110,61,השכר הקובע ,1613000,593000,375800,493000,493000,0
1613000120,613000120,61,תוספות שלא נכללות בשכר ,1613000,229000,139000,160000,160000,0
1613000130,613000130,61,שעות נוספות ,1613000,3000,3800,6000,5400,600
1613000140,613000140,61,החזרהוצאות רכב ,1613000,131000,66200,80000,80000,0
1613000141,613000141,61,החזר הוצאות אחר ,1613000,24000,17900,25000,25000,0
1613000181,613000181,61,הפרשות סוציאליות ,1613000,97000,64400,83000,83000,0
1613000182,613000182,61,מיסים ועלויות ,1613000,131000,78100,104000,104000,0
1613000210,613000210,61,משכורת זמניים ,1613000,0,0,0,0,0
1613000470,613000470,61,ציוד משרדי מתכלה ,1613000,35000,5500,35000,35000,0
1613000471,613000471,61,מכונות צילום ,1613000,58000,11900,62100,62100,0
1613000510,613000510,61,אש'ל וכבודים ,1613000,950000,592300,950000,950000,0
1613000522,613000522,61,ספרות מקצועית ועתונות ,1613000,0,0,1000,1000,0
1613000540,613000540,61,דואר וטלפון ,1613000,100000,45200,100000,100000,0
1613000541,613000541,61,דואר ושליחויות ,1613000,450000,317000,450000,450000,0
1613000542,613000542,61,"רט""ן-תקשורת סלולרית ",1613000,6300,2500,4000,4000,0
1613000580,613000580,61,יועץ תקשורת ,1613000,40000,16900,40000,40000,0
1613000730,613000730,61,רכב תיפעולי 5316260 ,1613000,30000,13600,30000,30000,0
1613000750,613000750,61,ארכיב ,1613000,200000,88900,250000,200000,50000
1613000920,613000920,61,העברה מתקציב פיתוח לרגיל ,1613000,0,0,0,0,0
1614000110,614000110,61,השכר הקובע ,1614000,683000,486900,744000,744000,0
1614000120,614000120,61,תוספות שלא נכללות בשכר ,1614000,129000,102800,124000,124000,0
1614000130,614000130,61,שעות נוספות ,1614000,74000,48700,67000,60300,6700
1614000140,614000140,61,החזר הוצאות רכב ,1614000,78000,40500,56000,56000,0
1614000141,614000141,61,החזר הוצאות אחר ,1614000,16000,12000,20000,20000,0
1614000181,614000181,61,הפרשות סוציאליות ,1614000,130000,101300,156000,156000,0
1614000182,614000182,61,מיסים ועלויות ,1614000,136000,96800,145000,145000,0
1614000210,614000210,61,משכורת זמנית ,1614000,100000,49800,0,0,0
1614000470,614000470,61,ציוד משרדי מתכלה ,1614000,6000,1000,6000,6000,0
1614000471,614000471,61,אחזקת מכונת צילום ,1614000,3500,3500,3700,3700,0
1614000522,614000522,61,ספרות מקצועית ועתונות ,1614000,8000,8000,8000,8000,0
1614000530,614000530,61, - 18-884-34רכב צמוד ,1614000,35000,14600,30000,30000,0
1614000540,614000540,61,דואר וטלפון ,1614000,4000,2400,4000,4000,0
1614000542,614000542,61,"רט""ן-תקשורת סלולרית ",1614000,8200,5500,10000,10000,0
1614000550,614000550,61,פירסומים ,1614000,850000,636300,850000,750000,100000
1614000551,614000551,61,קמפיינים ,1614000,500000,314700,500000,500000,0
1614000552,614000552,61,רכישת אביזרי פירסום ,1614000,100000,14700,100000,75000,25000
1614000553,614000553,61,"אביזרי פרסום לשכת ראה""ע ",1611101,0,0,0,0,0
1614000554,614000554,61,פרסום מודעות אבל ,1614000,15000,5500,15000,15000,0
1614000572,614000572,61,תוכנה ואתר אינטרנט ,1614000,51000,24100,51000,51000,0
1614000580,614000580,61,"יועצים - ע""פ חוזה ",1614000,410000,239300,410000,350000,60000
1614000581,614000581,61,"דו""ח לתושב ",1614000,180000,0,180000,100000,80000
1614000752,614000752,61,עיצוב גרפי ,1614000,29000,24300,30000,30000,0
1614000753,614000753,61,שרותי הפצה ,1614000,10000,0,10000,10000,0
1614000754,614000754,61,צילומים ,1614000,0,0,0,0,0
1614000756,614000756,61,סרט תדמית ,1614000,0,0,100000,80000,20000
1614000757,614000757,61,מדיה חברתית ,1614000,0,0,150000,100000,50000
1614000777,614000777,61,פרסומים - דרושים ,1614000,200000,207800,350000,300000,50000
1614000981,614000981,61,הוצ' חד פעמיות - צוק איתן,1614000,0,0,0,0,0
1615000110,615000110,61,השכר הקובע ,1615000,1511000,1211100,1726000,1726000,0
1615000120,615000120,61,תוספות שלא נכללות בשכר ,1615000,543000,415900,506000,506000,0
1615000130,615000130,61,שעות נוספות ,1615000,7000,14600,29000,26100,2900
1615000140,615000140,61,החזר הוצאות רכב ,1615000,222000,122200,177000,177000,0
1615000141,615000141,61,החזר הוצאות אחר ,1615000,59000,57400,102000,102000,0
1615000181,615000181,61,הפרשות סוציאליות ,1615000,292000,236100,344000,344000,0
1615000182,615000182,61,מיסים ועלויות ,1615000,334000,256600,365000,365000,0
1615000210,615000210,61,משכורות זמניים ,1615000,300000,221900,200000,200000,0
1615000470,615000470,61,ציוד משרדי מתכלה ,1615000,13000,9700,13000,13000,0
1615000471,615000471,61,מכונות צילום ,1615000,4700,4700,5000,5000,0
1615000510,615000510,61,הוצ' כיבוד ,1615000,3000,2200,3000,3000,0
1615000514,615000514,61,הישתתפות העריה-מתנות ,1615000,2300000,1817300,3000000,2700000,300000
1615000520,615000520,61,השתלמויות יזומות ,1615000,300000,242200,350000,350000,0
1615000521,615000521,61,השתלמויות-ו. השתלמויות ,1615000,0,-1000,0,0,0
1615000522,615000522,61,ספרות מקצועית ועתונות ,1615000,3000,1900,3000,3000,0
1615000523,615000523,61,דמי חבר בארגונים ,1615000,1350000,1330100,1350000,1350000,0
1615000530,615000530,61,רכב צמוד 7180475 ,1615000,35000,21400,35000,35000,0
1615000531,615000531,61, - 6637362רכב צמוד ,1615000,35000,17100,35000,35000,0
1615000540,615000540,61,דואר וטלפון ,1615000,9000,5200,8000,8000,0
1615000542,615000542,61,"רט""ן-תקשורת סלולרית ",1615000,5000,3300,6000,6000,0
1615000560,615000560,61,הוצאות משרדיות ,1615000,7000,0,7000,7000,0
1615000571,615000571,61,חומרה ,1615000,45000,41500,45000,45000,0
1615000572,615000572,61,תוכנה ,1615000,0,0,10000,10000,0
1615000574,615000574,61,"כ""א חיצוני ",1615000,0,0,0,0,0
1615000575,615000575,61,שרותים שונים ,1615000,0,0,0,0,0
1615000577,615000577,61,תקשורת ,1615000,0,0,0,0,0
1615000580,615000580,61,רווחת העובד ,1615000,500000,14900,1500000,1000000,500000
1615000581,615000581,61,"הרמת כוסית (רשה""ש ופסח( ",1615000,32000,-600,32000,32000,0
1615000582,615000582,61,מיון והשמה ,1615000,25000,4500,25000,25000,0
1615000583,615000583,61,אובדן פריט אישי ,1615000,5000,0,5000,5000,0
1615000584,615000584,61,אירועים שונים ,1615000,35000,12900,35000,35000,0
1615000585,615000585,61,יועצים ,1615000,0,0,0,0,0
1615000586,615000586,61,רווחת העובד ,1615000,350000,89400,673000,473000,200000
1615000587,615000587,61,"חוגים וגנ""י - לעובדים ",1615000,1932000,1394500,2100000,1800000,300000
1615000588,615000588,61,רווחת גימלאי העירייה ,1615000,83000,-26700,100000,100000,0
1615000589,615000589,61,"חבורת זמר ""הגדוד העיברי"" ",1615000,60000,40000,60000,60000,0
1615000750,615000750,61,מועדון גמלאים ,1615000,25000,4600,25000,25000,0
1615000751,615000751,61,פינויים מד'א ,1615000,18000,500,18000,18000,0
1615000752,615000752,61,"יעוץ מקצועי והנה""ח ",1615000,13000,0,0,0,0
1615000760,615000760,61,העסקת שירות לאומי ,1615000,0,0,0,0,0
1615000780,615000780,61,ארועים ,1615000,978000,342200,1300000,1100000,200000
1615000981,615000981,61,הוצ' חד פעמיות - צוק איתן,1615000,0,0,0,0,0
1615001110,615001110,61,השכר הקובע ,1615001,219000,191200,258000,258000,0
1615001120,615001120,61,תוספות שלא נכללות בשכר ,1615001,68000,73200,87000,87000,0
1615001130,615001130,61,שעות נוספות ,1615001,0,0,0,0,0
1615001140,615001140,61,החזר הוצאות רכב ,1615001,44000,37700,47000,47000,0
1615001141,615001141,61,החזר הוצאות אחר ,1615001,19000,14800,20000,20000,0
1615001181,615001181,61,הפרשות סוציאליות ,1615001,47000,39200,51000,51000,0
1615001182,615001182,61,מיסים ועלויות ,1615001,47000,41500,57000,57000,0
1615001470,615001470,61,ציוד משרדי מתכלה ,1615001,19000,4200,19000,19000,0
1615001471,615001471,61,מכונות צילום ,1615001,3500,3500,3700,3700,0
1615001514,615001514,61,הישתתפות העריה-מתנות ,1615001,0,0,0,0,0
1615001540,615001540,61,דואר וטלפון ,1615001,3000,1700,3000,3000,0
1615001542,615001542,61,"רט""ן-תקשורת סלולרית ",1615001,10200,1900,6000,6000,0
1615001572,615001572,61,תוכנה ,1615001,5000,0,35000,10000,25000
1615001581,615001581,61,"חוגים וגנ""י - לעובדים ",1615001,0,-14300,0,0,0
1615002110,615002110,61,השכר הקובע ,1615000,151000,12700,13000,13000,0
1615002120,615002120,61,תוספות שלא נכללות בשכר ,1615000,11000,3300,4000,4000,0
1615002130,615002130,61,שעות נוספות ,1615000,3000,0,1000,900,100
1615002140,615002140,61,החזר הוצאות רכב ,1615000,7000,0,0,0,0
1615002141,615002141,61,החזר הוצאות אחר ,1615000,9000,2500,3000,3000,0
1615002181,615002181,61,הפרשות סוציאליות ,1615000,23000,3600,4000,4000,0
1615002182,615002182,61,מיסים ועלויות ,1615000,29000,2100,4000,4000,0
1615002211,615002211,61,משכורות זמניים ,1615000,400000,256000,400000,400000,0
1615002320,615002320,61,פיצויים ,1615000,0,700,1000,1000,0
1616000110,616000110,61,השכר הקובע ,1616000,392000,297900,411000,411000,0
1616000120,616000120,61,תוספות שלא נכללות בשכר ,1616000,84000,76400,90000,90000,0
1616000130,616000130,61,שעות נוספות ,1616000,39000,30700,41000,36900,4100
1616000140,616000140,61,החזר הוצאות רכב ,1616000,75000,72600,95000,95000,0
1616000141,616000141,61,החזר הוצאות אחר ,1616000,23000,14800,20000,20000,0
1616000181,616000181,61,הפרשות סוציאליות ,1616000,71000,57100,76000,76000,0
1616000182,616000182,61,מיסים ועלויות ,1616000,84000,69600,95000,95000,0
1616000470,616000470,61,ציוד משרדי מתכלה ,1616000,2000,700,2000,2000,0
1616000471,616000471,61,אחז' מכונות צילום ,1616000,3500,3500,3700,3700,0
1616000520,616000520,61,ועדת השתלמויות ,1616000,180000,101100,180000,180000,0
1616000522,616000522,61,ספרות מקצועית ,1616000,2000,700,2000,2000,0
1616000540,616000540,61,דואר וטלפון ,1616000,1000,500,1000,1000,0
1616000542,616000542,61,"רט""ן - תקשורת סלולרית ",1616000,1300,800,3000,3000,0
1616000572,616000572,61,תוכנה ,1616000,0,0,10500,10500,0
1616000580,616000580,61,הדרכת עובדים ,1616000,260000,165900,260000,260000,0
1617000110,617000110,61,השכר הקבוע ,1617000,2078000,1590000,2277000,2097000,180000
1617000120,617000120,61,תוספות שלא נכללות בשכר ,1617000,242000,208000,261000,261000,0
1617000130,617000130,61,שעות נוספות ,1617000,19000,11200,14000,12600,1400
1617000140,617000140,61,החזר הוצאות רכב ,1617000,314000,232800,336000,336000,0
1617000141,617000141,61,החזר הוצאות אחר ,1617000,89000,72800,105000,105000,0
1617000181,617000181,61,הפרשות סוציאליות ,1617000,431000,357400,501000,501000,0
1617000182,617000182,61,מיסים ועלויות ,1617000,385000,297900,430000,430000,0
1617000210,617000210,61,משכורת זמנית ,1617000,0,0,0,0,0
1617000441,617000441,61,ביטוח ,1617000,31000,2400,30000,30000,0
1617000470,617000470,61,ציוד משרדי מתכלה ,1617000,16000,7400,16000,16000,0
1617000471,617000471,61,מכונות צילום ,1617000,5800,5800,6200,6200,0
1617000510,617000510,61,כיבוד ,1617000,2000,900,2000,2000,0
1617000521,617000521,61,השתלמויות ,1617000,15000,11800,15000,15000,0
1617000522,617000522,61,ספרות מקצועית ועתונות ,1617000,15000,1300,15000,15000,0
1617000530,617000530,61,רכב צמוד 7657471 ,1617000,30000,8100,30000,30000,0
1617000531,617000531,61, 89-773-66,1617000,30000,6800,30000,30000,0
1617000540,617000540,61,דואר וטלפון ,1617000,5000,3000,5000,5000,0
1617000541,617000541,61,משלוחים ,1617000,3000,2400,3000,3000,0
1617000542,617000542,61,"רט""ן-תקשורת סלולרית ",1617000,9900,6700,12000,12000,0
1617000572,617000572,61,תוכנה ,1617000,17000,10900,18000,18000,0
1617000581,617000581,61,הוצאות משפטיות(אגרות בול(,1617000,130000,91500,130000,130000,0
1617000582,617000582,61,"הוצאות משפטיות-ע""פ חוזה ",1617000,720000,528900,720000,720000,0
1617000583,617000583,61,הוצאות משפטיות שונות ,1617000,1500000,1140500,1500000,1500000,0
1617000584,617000584,61,ניהול אוכלוסין - תוכנה ,1617000,5000,600,5000,5000,0
1617000585,617000585,61,ועדת ערר ,1617000,100000,33500,100000,50000,50000
1617000761,617000761,61,"שכ""ט מוממחים ",1617000,16000,0,16000,16000,0
1617000810,617000810,61,בית הדין למשמעת - השתת' א,1617000,0,0,50000,50000,0
1618000110,618000110,61,השכר הקובע ,1618000,533000,415000,635000,635000,0
1618000120,618000120,61,תוספות שלא נכללות ,1618000,43000,37500,50000,50000,0
1618000130,618000130,61,שעות נוספות ,1618000,11000,9300,13000,11700,1300
1618000140,618000140,61,החזר הוצאות ,1618000,62000,48100,71000,71000,0
1618000141,618000141,61,החזר הוצאות אחרות ,1618000,21000,16100,25000,25000,0
1618000181,618000181,61,הפרשות סוציאליות ,1618000,120000,94500,143000,143000,0
1618000182,618000182,61,מיסים ועלויות ,1618000,100000,78600,120000,120000,0
1618000210,618000210,61,שכר עובדים זמניים ,1618000,0,0,0,0,0
1618000470,618000470,61,ציוד משרדי ,1618000,8000,5800,8000,8000,0
1618000471,618000471,61,מכונות צילום ,1618000,3500,3500,3700,3700,0
1618000510,618000510,61,כיבוד ,1618000,2000,400,2000,2000,0
1618000522,618000522,61,ספרות מקצועית ,1618000,5000,3100,5000,5000,0
1618000530,618000530,61, 13-210-30,1618000,35000,44100,44000,44000,0
1618000540,618000540,61,דואר וטלפון ,1618000,2000,1300,2500,2500,0
1618000542,618000542,61,"רט""ן - תקשורת סלולרית ",1618000,3500,3600,7000,7000,0
1618000560,618000560,61,הוצ' משרדיות ,1618000,0,0,0,0,0
1618000561,618000561,61,שנתון סטטיסטי ,1618000,35000,0,35000,35000,0
1618000562,618000562,61,חוברות ועיבודים סטטיסטים ,1618000,50000,2800,50000,50000,0
1618000572,618000572,61,תוכנה ,1618000,37500,400,37500,37500,0
1618000580,618000580,61,תוכנית עבודה מקושרת תקציב,1618000,50000,40800,50000,50000,0
